date,high,low,close,previous,diff,numtrans,tradedshares,volume
2016-07-12,359.0,328.0,359.0,,359.0,7,29034,9524682.0
2016-07-13,394.0,366.0,394.0,359.0,35.0,52,36508,14383452.0
2016-07-14,433.0,384.0,433.0,394.0,39.0,914,383111,163101101.0
2016-07-17,476.0,424.0,476.0,433.0,43.0,1377,279518,127263297.0
2016-07-18,501.0,441.0,455.0,476.0,-21.0,936,165946,79410151.0
2016-07-19,464.0,421.0,427.0,455.0,-28.0,637,139774,60438829.0
2016-07-20,432.0,400.0,400.0,427.0,-27.0,445,107322,43864941.0
2016-07-21,430.0,402.0,410.0,400.0,10.0,330,49398,20279632.0
2016-07-25,432.0,405.0,430.0,410.0,20.0,247,45118,19020424.0
2016-07-26,449.0,422.0,430.0,430.0,,286,53932,23229835.0
2016-07-27,435.0,418.0,425.0,430.0,-5.0,254,42012,17821236.0
2016-07-28,425.0,415.0,416.0,425.0,-9.0,168,20633,8672405.0
2016-07-31,420.0,410.0,412.0,416.0,-4.0,167,30489,12657403.0
2016-08-01,417.0,407.0,408.0,412.0,-4.0,196,38734,15889440.0
2016-08-02,416.0,400.0,405.0,408.0,-3.0,194,42066,17085742.0
2016-08-03,410.0,400.0,403.0,405.0,-2.0,175,40746,16462322.0
2016-08-04,417.0,389.0,391.0,403.0,-12.0,266,51130,20371798.0
2016-08-07,410.0,390.0,390.0,391.0,-1.0,371,45554,18139408.0
2016-08-08,387.0,369.0,369.0,390.0,-21.0,147,29440,11217379.0
2016-08-09,397.0,376.0,395.0,369.0,26.0,49,16573,6415359.0
2016-08-10,402.0,385.0,392.0,395.0,-3.0,283,45740,17938357.0
2016-08-11,392.0,383.0,390.0,392.0,-2.0,349,34904,13512862.0
2016-08-14,390.0,358.0,362.0,390.0,-28.0,424,49307,18049043.0
2016-08-15,366.0,338.0,344.0,362.0,-18.0,299,36829,12687852.0
2016-08-16,355.0,336.0,350.0,344.0,6.0,424,36420,12532486.0
2016-08-17,357.0,345.0,355.0,350.0,5.0,364,33053,11593698.0
2016-08-21,356.0,344.0,346.0,355.0,-9.0,199,14759,5152713.0
2016-08-22,341.0,326.0,329.0,346.0,-17.0,321,30973,10319815.0
2016-08-23,330.0,319.0,325.0,329.0,-4.0,338,29800,9665679.0
2016-08-24,339.0,325.0,335.0,325.0,10.0,185,20017,6628564.0
2016-08-28,346.0,330.0,331.0,335.0,-4.0,175,16833,5611276.0
2016-08-29,334.0,321.0,326.0,331.0,-5.0,224,25024,8170046.0
2016-08-30,338.0,326.0,331.0,326.0,5.0,335,28564,9463540.0
2016-08-31,333.0,320.0,325.0,331.0,-6.0,202,18569,6084662.0
2016-09-01,328.0,320.0,325.0,325.0,,264,19977,6480054.0
2016-09-04,325.0,317.0,320.0,325.0,-5.0,170,18682,5991951.0
2016-09-05,324.0,312.0,324.0,320.0,4.0,194,20849,6636791.0
2016-09-06,326.0,316.0,320.0,324.0,-4.0,280,23174,7419684.0
2016-09-07,325.0,314.0,321.0,320.0,1.0,120,13664,4376284.0
2016-09-08,329.0,317.0,324.0,321.0,3.0,204,22517,7248200.0
2016-09-11,330.0,315.0,316.0,324.0,-8.0,218,28696,9143186.0
2016-09-12,319.0,311.0,313.0,316.0,-3.0,228,31672,9942218.0
2016-09-14,314.0,303.0,305.0,313.0,-8.0,343,33290,10291784.0
2016-09-18,315.0,303.0,305.0,305.0,,260,28671,8835184.0
2016-09-20,306.0,298.0,299.0,305.0,-6.0,256,22726,6850300.0
2016-09-21,303.0,295.0,301.0,299.0,2.0,204,29742,8911357.0
2016-09-22,307.0,296.0,300.0,301.0,-1.0,275,22034,6607614.0
2016-09-25,304.0,289.0,295.0,300.0,-5.0,170,12975,3830920.0
2016-09-26,300.0,295.0,298.0,295.0,3.0,228,20918,6220625.0
2016-09-27,303.0,295.0,300.0,298.0,2.0,296,45477,13588132.0
2016-09-28,301.0,295.0,301.0,300.0,1.0,138,19123,5728476.0
2016-09-29,302.0,297.0,297.0,301.0,-4.0,188,24587,7379651.0
2016-10-02,310.0,295.0,308.0,297.0,11.0,87,10053,3061508.0
2016-10-03,311.0,301.0,305.0,308.0,-3.0,105,7688,2362111.0
2016-10-04,309.0,297.0,300.0,305.0,-5.0,75,12183,3670161.0
2016-10-05,304.0,299.0,300.0,300.0,,69,11360,3410249.0
2016-10-06,305.0,298.0,300.0,300.0,,93,16601,4983462.0
2016-10-16,303.0,295.0,299.0,300.0,-1.0,109,16068,4823591.0
2016-10-17,300.0,292.0,299.0,299.0,,77,8452,2507978.0
2016-10-18,300.0,291.0,300.0,299.0,1.0,196,12086,3593204.0
2016-10-19,303.0,294.0,297.0,300.0,-3.0,190,20664,6154179.0
2016-10-20,299.0,296.0,298.0,297.0,1.0,167,16334,4861313.0
2016-10-23,300.0,294.0,300.0,298.0,2.0,148,17264,5131367.0
2016-10-24,299.0,293.0,296.0,300.0,-4.0,105,6900,2041686.0
2016-10-25,299.0,284.0,293.0,296.0,-3.0,154,10061,2913074.0
2016-10-26,291.0,281.0,283.0,293.0,-10.0,148,14748,4194736.0
2016-10-27,287.0,280.0,286.0,283.0,3.0,222,13510,3845673.0
2016-11-03,286.0,280.0,284.0,286.0,-2.0,36,3562,1007410.0
2016-11-07,285.0,278.0,280.0,284.0,-4.0,148,9702,2721843.0
2016-11-08,285.0,278.0,284.0,280.0,4.0,226,15000,4207385.0
2016-11-09,289.0,271.0,275.0,284.0,-9.0,174,22637,6284907.0
2016-11-10,292.0,275.0,282.0,275.0,7.0,149,24708,6916522.0
2016-11-13,281.0,270.0,277.0,282.0,-5.0,140,23973,6656262.0
2016-11-14,284.0,268.0,279.0,277.0,2.0,194,21791,6043618.0
2016-11-15,281.0,272.0,281.0,279.0,2.0,224,43991,12166152.0
2016-11-16,290.0,277.0,283.0,281.0,2.0,140,20539,5771195.0
2016-11-17,280.0,273.0,278.0,283.0,-5.0,250,18364,5096043.0
2016-11-20,282.0,265.0,272.0,278.0,-6.0,203,24936,6802644.0
2016-11-21,277.0,260.0,274.0,272.0,2.0,166,13058,3474053.0
2016-11-22,279.0,269.0,275.0,274.0,1.0,252,27376,7533650.0
2016-11-23,278.0,270.0,272.0,275.0,-3.0,93,10423,2842023.0
2016-11-24,275.0,260.0,269.0,272.0,-3.0,103,13798,3640404.0
2016-11-27,264.0,248.0,257.0,269.0,-12.0,110,13181,3349919.0
2016-11-28,257.0,236.0,257.0,257.0,,79,13709,3346009.0
2016-11-29,265.0,250.0,260.0,257.0,3.0,88,13035,3374002.0
2016-11-30,270.0,260.0,265.0,260.0,5.0,107,13682,3598387.0
2016-12-01,273.0,255.0,267.0,265.0,2.0,103,28307,7368503.0
2016-12-04,268.0,256.0,261.0,267.0,-6.0,74,23562,6115155.0
2016-12-05,264.0,251.0,258.0,261.0,-3.0,89,7517,1941908.0
2016-12-06,260.0,250.0,259.0,258.0,1.0,128,7627,1942307.0
2016-12-07,264.0,255.0,260.0,259.0,1.0,122,7991,2063613.0
2016-12-08,257.0,249.0,251.0,260.0,-9.0,82,6283,1593623.0
2016-12-11,252.0,248.0,251.0,251.0,,102,15506,3877241.0
2016-12-12,252.0,244.0,250.0,251.0,-1.0,91,8927,2216043.0
2016-12-14,253.0,245.0,250.0,250.0,,83,5816,1445386.0
2016-12-15,255.0,245.0,253.0,250.0,3.0,74,8147,2038482.0
2016-12-18,252.0,247.0,249.0,253.0,-4.0,99,5913,1478307.0
2016-12-19,253.0,245.0,245.0,249.0,-4.0,151,14559,3592657.0
2016-12-20,246.0,237.0,242.0,245.0,-3.0,91,5947,1439836.0
2016-12-21,241.0,234.0,238.0,242.0,-4.0,161,14245,3367994.0
2016-12-22,241.0,234.0,238.0,238.0,,235,15147,3576263.0
2016-12-26,238.0,225.0,225.0,238.0,-13.0,108,8283,1925872.0
2016-12-27,229.0,219.0,222.0,225.0,-3.0,126,14116,3143756.0
2016-12-28,227.0,216.0,223.0,222.0,1.0,99,20996,4647582.0
2016-12-29,227.0,222.0,226.0,223.0,3.0,98,19211,4318926.0
2017-01-01,232.0,224.0,227.0,226.0,1.0,192,25955,5913981.0
2017-01-02,235.0,224.0,229.0,227.0,2.0,112,13338,3054014.0
2017-01-03,232.0,224.0,228.0,229.0,-1.0,79,10266,2331219.0
2017-01-04,232.0,222.0,226.0,228.0,-2.0,62,4710,1068590.0
2017-01-05,228.0,222.0,223.0,226.0,-3.0,121,9327,2097523.0
2017-01-08,224.0,219.0,220.0,223.0,-3.0,125,17194,3785568.0
2017-01-09,224.0,220.0,222.0,220.0,2.0,64,8076,1791734.0
2017-01-10,226.0,221.0,224.0,222.0,2.0,86,10500,2355099.0
2017-01-11,229.0,221.0,228.0,224.0,4.0,83,8740,1960689.0
2017-01-12,228.0,223.0,224.0,228.0,-4.0,58,8031,1804765.0
2017-01-15,226.0,223.0,225.0,224.0,1.0,74,13424,3019912.0
2017-01-16,226.0,220.0,222.0,225.0,-3.0,49,6113,1361387.0
2017-01-17,230.0,219.0,222.0,222.0,,136,9206,2049499.0
2017-01-18,225.0,220.0,221.0,222.0,-1.0,122,13628,3025814.0
2017-01-19,225.0,220.0,220.0,221.0,-1.0,75,8139,1804894.0
2017-01-22,225.0,220.0,220.0,220.0,,98,14419,3221614.0
2017-01-23,222.0,218.0,219.0,220.0,-1.0,82,13617,3002617.0
2017-01-24,220.0,215.0,218.0,219.0,-1.0,47,10942,2375165.0
2017-01-25,219.0,210.0,211.0,218.0,-7.0,55,5407,1161999.0
2017-01-26,211.0,200.0,201.0,211.0,-10.0,115,10929,2234084.0
2017-01-30,209.0,195.0,196.0,201.0,-5.0,63,4776,952041.0
2017-01-31,204.0,192.0,200.0,196.0,4.0,94,10171,2022941.0
2017-02-01,214.0,190.0,214.0,200.0,14.0,139,193980,37084484.0
2017-02-02,222.0,200.0,201.0,214.0,-13.0,157,37939,7817444.0
2017-02-05,208.0,195.0,198.0,201.0,-3.0,190,44526,8858074.0
2017-02-06,201.0,194.0,195.0,198.0,-3.0,140,35319,6926295.0
2017-02-07,199.0,191.0,193.0,195.0,-2.0,259,45932,8897035.0
2017-02-08,203.0,188.0,192.0,193.0,-1.0,352,27062,5186296.0
2017-02-09,195.0,186.0,186.0,192.0,-6.0,267,41582,7924858.0
2017-02-12,190.0,182.0,183.0,186.0,-3.0,160,24596,4535686.0
2017-02-13,188.0,179.0,187.0,183.0,4.0,101,11578,2104374.0
2017-02-14,190.0,183.0,190.0,187.0,3.0,113,12310,2306465.0
2017-02-15,195.0,186.0,192.0,190.0,2.0,157,14656,2782509.0
2017-02-16,196.0,187.0,194.0,192.0,2.0,133,22651,4371738.0
2017-02-19,196.0,189.0,193.0,194.0,-1.0,103,22076,4286304.0
2017-02-20,200.0,189.0,193.0,193.0,,158,23968,4667640.0
2017-02-21,196.0,192.0,194.0,193.0,1.0,197,14751,2853397.0
2017-02-22,200.0,188.0,191.0,194.0,-3.0,106,8747,1677819.0
2017-02-23,193.0,186.0,193.0,191.0,2.0,72,15424,2904788.0
2017-02-26,193.0,185.0,188.0,193.0,-5.0,66,12241,2292290.0
2017-02-28,191.0,184.0,188.0,188.0,,74,9290,1732340.0
2017-03-01,192.0,185.0,190.0,188.0,2.0,121,9066,1703164.0
2017-03-02,190.0,186.0,190.0,190.0,,131,10018,1888013.0
2017-03-05,195.0,186.0,194.0,190.0,4.0,95,12980,2483066.0
2017-03-06,199.0,191.0,195.0,194.0,1.0,136,14352,2801813.0
2017-03-07,195.0,190.0,193.0,195.0,-2.0,87,5221,1002640.0
2017-03-09,195.0,188.0,191.0,193.0,-2.0,118,8036,1542907.0
2017-03-13,193.0,188.0,192.0,191.0,1.0,52,3704,705412.0
2017-03-14,193.0,188.0,189.0,192.0,-3.0,86,8449,1608598.0
2017-03-15,195.0,185.0,192.0,189.0,3.0,71,8089,1543541.0
2017-03-16,195.0,192.0,194.0,192.0,2.0,45,4591,890436.0
2017-03-19,195.0,192.0,195.0,194.0,1.0,81,5845,1130915.0
2017-03-20,202.0,195.0,198.0,195.0,3.0,97,80792,15946725.0
2017-03-21,205.0,198.0,205.0,198.0,7.0,140,18415,3693463.0
2017-03-22,219.0,203.0,210.0,205.0,5.0,106,29752,6304083.0
2017-03-23,212.0,202.0,208.0,210.0,-2.0,98,11022,2270335.0
2017-03-26,220.0,208.0,215.0,208.0,7.0,132,19926,4238596.0
2017-03-28,235.0,215.0,231.0,215.0,16.0,158,33691,7592083.0
2017-03-29,243.0,225.0,227.0,231.0,-4.0,269,43206,10020010.0
2017-03-30,230.0,219.0,223.0,227.0,-4.0,202,29275,6566540.0
2017-04-02,235.0,223.0,235.0,223.0,12.0,28,2837,647480.0
2017-04-03,256.0,227.0,227.0,235.0,-8.0,156,33826,8257790.0
2017-04-04,231.0,218.0,224.0,227.0,-3.0,163,26160,5836183.0
2017-04-06,225.0,217.0,218.0,224.0,-6.0,105,13207,2918853.0
2017-04-09,225.0,215.0,222.0,218.0,4.0,107,13034,2854706.0
2017-04-10,225.0,218.0,225.0,222.0,3.0,83,8311,1842360.0
2017-04-11,225.0,219.0,224.0,225.0,-1.0,92,13906,3083092.0
2017-04-12,230.0,219.0,219.0,224.0,-5.0,125,22368,4965818.0
2017-04-13,223.0,212.0,218.0,219.0,-1.0,103,11327,2482283.0
2017-04-16,221.0,214.0,217.0,218.0,-1.0,84,9327,2024558.0
2017-04-18,217.0,208.0,208.0,217.0,-9.0,111,10670,2241362.0
2017-04-19,218.0,208.0,212.0,208.0,4.0,103,10706,2279804.0
2017-04-20,218.0,210.0,212.0,212.0,,119,10259,2176172.0
2017-04-23,228.0,216.0,218.0,212.0,6.0,80,23829,5235990.0
2017-04-24,220.0,213.0,215.0,218.0,-3.0,100,7878,1707292.0
2017-04-25,215.0,210.0,212.0,215.0,-3.0,71,6658,1412516.0
2017-04-26,214.0,210.0,211.0,212.0,-1.0,99,11309,2388596.0
2017-04-27,213.0,210.0,210.0,211.0,-1.0,97,8707,1837174.0
2017-04-30,216.0,209.0,215.0,210.0,5.0,69,9421,2002670.0
2017-05-02,213.0,210.0,211.0,215.0,-4.0,78,5402,1141069.0
2017-05-03,216.0,210.0,212.0,211.0,1.0,122,7383,1565508.0
2017-05-04,215.0,209.0,210.0,212.0,-2.0,84,8192,1727019.0
2017-05-07,214.0,209.0,209.0,210.0,-1.0,91,9208,1936372.0
2017-05-08,210.0,208.0,209.0,209.0,,55,4687,976965.0
2017-05-09,213.0,206.0,210.0,209.0,1.0,205,13468,2820087.0
2017-05-11,218.0,210.0,215.0,210.0,5.0,165,17070,3648411.0
2017-05-15,220.0,209.0,210.0,215.0,-5.0,55,10617,2260687.0
2017-05-16,210.0,208.0,209.0,210.0,-1.0,92,13642,2858737.0
2017-05-17,216.0,209.0,216.0,209.0,7.0,66,24992,5256985.0
2017-05-18,215.0,210.0,213.0,216.0,-3.0,97,8684,1842287.0
2017-05-21,213.0,207.0,210.0,213.0,-3.0,92,15792,3306536.0
2017-05-22,212.0,207.0,210.0,210.0,,133,9806,2049212.0
2017-05-23,213.0,207.0,208.0,210.0,-2.0,69,10447,2181409.0
2017-05-24,211.0,207.0,211.0,208.0,3.0,85,11348,2361331.0
2017-05-28,210.0,207.0,209.0,211.0,-2.0,162,11732,2444738.0
2017-05-30,209.0,205.0,206.0,209.0,-3.0,156,11133,2304228.0
2017-05-31,210.0,204.0,207.0,206.0,1.0,100,10490,2164635.0
2017-06-01,209.0,205.0,205.0,207.0,-2.0,125,6772,1397263.0
2017-06-04,207.0,200.0,205.0,205.0,,125,8067,1644666.0
2017-06-05,217.0,201.0,207.0,205.0,2.0,183,10116,2099841.0
2017-06-06,214.0,207.0,210.0,207.0,3.0,127,9069,1898817.0
2017-06-07,211.0,207.0,208.0,210.0,-2.0,103,8243,1720919.0
2017-06-08,208.0,202.0,204.0,208.0,-4.0,130,12652,2596680.0
2017-06-11,208.0,196.0,201.0,204.0,-3.0,141,15794,3176003.0
2017-06-12,205.0,196.0,201.0,201.0,,134,13283,2657407.0
2017-06-13,202.0,196.0,200.0,201.0,-1.0,94,8527,1706588.0
2017-06-14,205.0,198.0,199.0,200.0,-1.0,81,9275,1844391.0
2017-06-15,202.0,197.0,200.0,199.0,1.0,96,13595,2710989.0
2017-06-18,200.0,194.0,197.0,200.0,-3.0,94,8776,1732245.0
2017-06-19,198.0,193.0,193.0,197.0,-4.0,108,11597,2267587.0
2017-06-20,196.0,189.0,192.0,193.0,-1.0,97,9376,1794250.0
2017-06-21,200.0,190.0,196.0,192.0,4.0,94,10391,2050909.0
2017-06-22,199.0,195.0,195.0,196.0,-1.0,87,4933,968758.0
