date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-07-20,819,750,819,771,48,34,1704,1294869.3
2023-07-23,805,775,800,819,-19,54,1779,1408241.9
2023-07-24,800,775,776,800,-24,44,1777,1396455.7
2023-07-25,780,751,763,776,-13,32,1911,1477767
2023-07-26,773.9,750,770,763,7,24,614,464539
2023-07-27,775,740,740,770,-30,15,328,247770.9
2023-07-30,732.5,702,702,740,-38,28,577,411274.8
2023-07-31,730,703,718,702,16,17,440,313231
2023-08-01,703.7,678,678,718,-40,92,3290,2264301.6
2023-08-02,680,666.4,666.4,678,-11.600000000000023,23,545,365517.2
2023-08-03,678.9,655,678.9,666.4,12.5,8,165,108526.5
2023-08-06,670.1,640,640,678.9,-38.89999999999998,19,883,580665.1
2023-08-07,639,600,611.9,640,-28.100000000000023,57,4615,2801063.9
2023-08-08,612,588,600,611.9,-11.899999999999977,38,1408,840977.8
2023-08-09,660,595,659,600,59,19,309,190954.3
2023-08-10,672.1,607,616,659,-43,71,3275,2033799.4
2023-08-13,628,607.9,615,616,-1,22,432,265507.5
2023-08-14,665,600,638,615,23,35,1175,727149.5
2023-08-15,625.3,590,625.2,638,-12.799999999999955,31,2114,1278063.4
2023-08-16,625.2,601,615,625.2,-10.200000000000045,20,599,364698.1
2023-08-17,613,593.5,613,615,-2,23,947,570771.6
2023-08-20,616,601,601,613,-12,11,267,161812.7
2023-08-21,605,594,605,601,4,10,186,110700
2023-08-22,616,593,615,605,10,17,451,269484.3
2023-08-23,625,605.1,618,615,3,25,574,350657.3
2023-08-24,618,601,611,618,-7,19,363,220683
2023-08-27,598.8,589,592.1,611,-18.899999999999977,7,212,125958.3
2023-08-28,611,592.1,611,592.1,18.899999999999977,8,128,76965.4
2023-08-29,611,588,604.7,611,-6.2999999999999545,16,444,262823.1
2023-08-30,599,581,592,604.7,-12.700000000000045,13,156,92033.4
2023-09-03,590,579,579.3,592,-12.700000000000045,15,1085,629159.5
2023-09-04,622,567,619,579.3,39.700000000000045,30,1597,927368.9
2023-09-05,626,613.5,620,619,1,4,34,21075
2023-09-07,625,578.5,610,620,-10,16,304,180143.4
2023-09-10,618.7,597.8,618.7,610,8.700000000000045,21,385,232616.9
2023-09-11,620,608,608,618.7,-10.700000000000045,20,481,295469
2023-09-12,600,585,600,608,-8,15,351,208544.7
2023-09-13,619,600,616,600,16,18,312,190608
2023-09-17,628.3,579.2,613.9,616,-2.1000000000000227,23,424,254740.8
2023-09-18,615.8,590.2,612,613.9,-1.8999999999999773,8,123,74336
2023-09-19,615,600,615,612,3,9,226,137760.9
2023-09-21,646,603,620,615,5,44,2967,1853219.7
2023-09-24,682,613,682,620,62,150,28600,17932490.2
2023-09-25,750,631.1,750,682,68,95,9191,6184953.2
2023-09-26,764,680,706,750,-44,163,6062,4314706.5
2023-09-27,742,658.6,742,706,36,171,24978,16927777.5
2023-10-01,741.5,679,708.9,742,-33.10000000000002,166,13828,9516992.4
2023-10-02,703,676.5,691,708.9,-17.899999999999977,71,7160,4917396.6
2023-10-03,734,669.1,734,691,43,81,24139,16351340.6
2023-10-04,740,680.1,700.6,734,-33.39999999999998,136,9240,6460897.9
2023-10-05,769,673,756,700.6,55.39999999999998,171,44054,30207799.3
2023-10-08,740.9,680.4,680.4,756,-75.60000000000002,167,19621,13366417.6
2023-10-09,734,612.4,612.4,680.4,-68,375,48955,31168993.9
2023-10-10,635,600,626,612.4,13.600000000000023,47,1608,984067.1
2023-10-11,625,613.5,623,626,-3,16,360,222591
2023-10-12,634,586.6,607,623,-16,113,5378,3216398.6
2023-10-16,617.9,572,601,607,-6,36,2328,1399423
2023-10-17,624,563.5,565,601,-36,136,15556,8910423.3
2023-10-18,610,555,568,565,3,82,7970,4646485.2
2023-10-19,599,551,565,568,-3,70,2957,1683971.8
2023-10-29,586,520,550,565,-15,86,26497,14174607.5
2023-10-30,567.9,540,567.9,550,17.899999999999977,51,3558,1971347.5
2023-10-31,575.9,536.3,552.8,567.9,-15.100000000000023,64,12509,6840703.3
2023-11-01,606,536,600,552.8,47.200000000000045,65,6162,3424047.6
2023-11-02,634,544,630,600,30,159,13741,7842285.4
2023-11-05,642.6,567,567,630,-63,80,3354,1911560.1
2023-11-06,586.3,544.6,568,567,1,70,4342,2418519.8
2023-11-07,601,540,572,568,4,114,4949,2738985.8
2023-11-08,594.8,539,565.9,572,-6.100000000000023,51,3880,2167335.9
2023-11-09,577,545,547.2,565.9,-18.699999999999932,64,5230,2916958.9
2023-11-20,580,536.3,580,547.2,32.799999999999955,55,3450,1901323
2023-11-21,568.4,525.3,568,580,-12,47,2286,1230680
2023-11-22,565,545,556.9,568,-11.100000000000023,27,1542,842707.9
2023-11-23,559.9,531,536.1,556.9,-20.799999999999955,46,4206,2264216.6
2023-11-26,576,525.4,561,536.1,24.899999999999977,69,5039,2723118.7
2023-11-27,582,539,541.3,561,-19.700000000000045,55,1804,984701.8
2023-11-28,595,530.5,546,541.3,4.7000000000000455,49,3571,1928452.5
2023-11-29,549,540.2,549,546,3,12,311,169893.2
2023-11-30,552,531,540,549,-9,36,2081,1114069.8
2023-12-03,535,520.1,530,540,-10,39,1548,814935.9
2023-12-04,573,522.3,549,530,19,47,2578,1383318.5
2023-12-05,556.8,520,550.9,549,1.8999999999999773,74,5418,2851695.1
2023-12-06,539.9,519.1,539.9,550.9,-11,76,5907,3107058.2
2023-12-07,549,530,546.9,539.9,7,37,5054,2717357.9
2023-12-10,590,536,590,546.9,43.10000000000002,15,1791,1013260
2023-12-11,586,555.4,561,590,-29,96,4528,2570005.8
2023-12-12,584,551,573.9,561,12.899999999999977,160,13420,7707680.8
2023-12-13,596,552,587,573.9,13.100000000000023,119,6871,4012446.7
2023-12-14,645.7,565,645.7,587,58.700000000000045,94,6017,3587121.2
2023-12-17,658.6,583.1,602,645.7,-43.700000000000045,221,17982,10704650.4
2023-12-18,644,596.5,624.9,602,22.899999999999977,179,16236,10061259.6
2023-12-19,637.3,612.6,621,624.9,-3.8999999999999773,70,5164,3202359.4
2023-12-20,629.4,613,620,621,-1,99,8914,5537401.2
2023-12-21,628,600,600,620,-20,91,8124,4983257
2023-12-24,620,588,598.9,600,-1.1000000000000227,115,10706,6432413.4
2023-12-27,658.7,585,600,598.9,1.1000000000000227,68,4606,2731169
2023-12-28,604,580.2,582,600,-18,59,2053,1206383.7
2024-01-01,628,575,575,582,-7,83,6467,3839573
2024-01-02,609,565,579,575,4,74,5447,3132381.2
2024-01-03,578,565.1,574,579,-5,65,5874,3357828.7
2024-01-04,580,555,563,574,-11,59,4655,2618360.5
2024-01-07,574,549,559,563,-4,75,10579,5834181.6
