date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,230.0,223.0,223.0,234.0,-11.0,3,396,89628.0
2010-04-19,228.0,225.0,228.0,227.0,1.0,2,460,104580.0
2010-04-21,226.0,222.0,224.0,228.0,-4.0,12,1370,307552.0
2010-04-22,224.0,220.0,224.0,224.0,,4,2042,455048.0
2010-04-25,223.0,223.0,223.0,224.0,-1.0,2,176,39248.0
2010-04-26,223.0,223.0,223.0,223.0,,1,90,20070.0
2010-04-27,220.0,220.0,220.0,223.0,-3.0,3,954,209880.0
2010-05-10,216.0,216.0,216.0,220.0,-4.0,1,44,9504.0
2010-05-12,236.0,220.0,236.0,216.0,20.0,5,50,11400.0
2010-05-13,259.0,240.0,259.0,236.0,23.0,13,1206,311776.0
2010-05-16,254.0,234.0,234.0,259.0,-25.0,11,1370,329672.0
2010-05-17,242.0,238.0,242.0,234.0,8.0,2,144,34672.0
2010-05-18,250.0,230.0,250.0,242.0,8.0,12,1760,424800.0
2010-05-19,269.0,255.0,269.0,250.0,19.0,8,2740,703228.0
2010-05-20,279.0,270.0,271.0,269.0,2.0,17,914,249020.0
2010-05-23,276.0,271.0,271.0,271.0,,3,542,148012.0
2010-05-24,292.0,276.0,292.0,271.0,21.0,8,940,269140.0
2010-05-25,312.0,297.0,312.0,292.0,20.0,7,440,133798.0
2010-05-26,318.0,290.0,290.0,312.0,-22.0,15,1281,394146.0
2010-05-30,319.0,295.0,319.0,290.0,29.0,7,130,40830.0
2010-05-31,331.0,303.0,303.0,319.0,-16.0,20,2157,685943.0
2010-06-01,297.0,285.0,293.0,303.0,-10.0,14,1674,484700.0
2010-06-03,288.0,280.0,280.0,293.0,-13.0,3,375,105825.0
2010-06-06,298.0,285.0,298.0,280.0,18.0,10,846,248394.0
2010-06-07,305.0,295.0,305.0,298.0,7.0,5,484,144850.0
2010-06-10,306.0,300.0,306.0,305.0,1.0,3,230,69274.0
2010-06-13,312.0,306.0,306.0,306.0,,2,264,81048.0
2010-06-14,302.0,300.0,300.0,306.0,-6.0,2,270,81440.0
2010-06-15,300.0,300.0,300.0,300.0,,2,400,120000.0
2010-06-17,300.0,294.0,294.0,300.0,-6.0,2,54,16140.0
2010-06-21,289.0,289.0,289.0,294.0,-5.0,1,11,3179.0
2010-06-23,285.0,285.0,285.0,289.0,-4.0,1,80,22800.0
2010-06-24,285.0,285.0,285.0,285.0,,3,340,96900.0
2010-06-30,281.0,280.0,281.0,285.0,-4.0,6,524,147076.0
2010-07-01,301.0,286.0,295.0,281.0,14.0,5,810,234210.0
2010-07-05,290.0,288.0,288.0,295.0,-7.0,3,138,39844.0
2010-07-13,285.0,277.0,277.0,288.0,-11.0,26,1310,370218.0
2010-07-14,272.0,272.0,272.0,277.0,-5.0,1,100,27200.0
2010-07-18,270.0,267.0,270.0,272.0,-2.0,26,1310,352806.0
2010-07-19,270.0,270.0,270.0,270.0,,2,42,11340.0
2010-07-20,280.0,274.0,280.0,270.0,10.0,38,1604,439566.0
2010-07-21,280.0,280.0,280.0,280.0,,1,60,16800.0
2010-07-22,287.0,280.0,282.0,280.0,2.0,20,858,241746.0
2010-07-25,282.0,277.0,277.0,282.0,-5.0,3,420,117440.0
2010-07-26,272.0,255.0,255.0,277.0,-22.0,5,642,166812.0
2010-07-27,265.0,260.0,265.0,255.0,10.0,4,350,92000.0
2010-07-29,265.0,264.0,264.0,265.0,-1.0,2,140,37020.0
2010-08-01,262.0,262.0,262.0,264.0,-2.0,2,198,51876.0
2010-08-03,261.0,257.0,261.0,262.0,-1.0,2,420,108420.0
2010-08-12,261.0,261.0,261.0,261.0,,43,2068,539748.0
2010-08-15,256.0,256.0,256.0,261.0,-5.0,1,200,51200.0
2010-08-16,252.0,252.0,252.0,256.0,-4.0,1,50,12600.0
2010-08-18,247.0,240.0,240.0,252.0,-12.0,4,260,63100.0
2010-08-19,240.0,240.0,240.0,240.0,,1,200,48000.0
2010-08-22,240.0,232.0,232.0,240.0,-8.0,3,475,112760.0
2010-08-23,232.0,230.0,232.0,232.0,,10,1610,371900.0
2010-08-26,232.0,225.0,232.0,232.0,,32,3526,809848.0
2010-08-29,238.0,228.0,238.0,232.0,6.0,17,2012,470652.0
