date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-06-15,227.0,227.0,227.0,231.0,-4.0,3,165,37455.0
2010-07-19,223.0,219.0,219.0,227.0,-8.0,6,300,65900.0
2010-08-08,215.0,215.0,215.0,219.0,-4.0,2,100,21500.0
2011-03-17,180.0,180.0,180.0,215.0,-35.0,1,70,12600.0
2011-03-20,183.0,183.0,183.0,180.0,3.0,1,20,3660.0
2011-05-02,175.0,175.0,175.0,183.0,-8.0,17,1020,178500.0
2011-08-02,172.0,169.0,169.0,175.0,-6.0,12,910,156220.0
2011-09-15,166.0,166.0,166.0,169.0,-3.0,2,140,23240.0
2012-01-22,163.0,163.0,163.0,166.0,-3.0,1,35,5705.0
2012-02-12,160.0,160.0,160.0,163.0,-3.0,1,35,5600.0
2012-02-27,157.0,154.0,154.0,160.0,-6.0,4,160,24670.0
2012-03-28,151.0,148.0,148.0,154.0,-6.0,2,70,10465.0
2012-07-12,141.0,141.0,141.0,148.0,-7.0,1,90,12690.0
2012-07-30,139.0,127.0,127.0,141.0,-14.0,7,80,10680.0
2012-07-31,125.0,115.0,115.0,127.0,-12.0,6,60,7200.0
2013-06-06,113.0,104.0,104.0,115.0,-11.0,6,70,7620.0
2013-06-09,102.0,94.0,94.0,104.0,-10.0,9,170,16220.0
2013-06-10,93.0,85.0,85.0,94.0,-9.0,9,90,8010.0
2013-06-11,84.0,77.0,77.0,85.0,-8.0,9,200,15720.0
2013-06-12,76.0,70.0,70.0,77.0,-7.0,8,500,36850.0
2013-06-13,69.0,63.0,63.0,70.0,-7.0,11,340,21870.0
2013-06-16,62.0,57.0,57.0,63.0,-6.0,15,810,46480.0
2013-06-17,56.0,52.0,52.0,57.0,-5.0,7,320,16840.0
2013-06-18,51.0,46.8,46.8,52.0,-5.2,9,450,21286.0
2013-06-19,45.86,42.12,42.5,46.8,-4.3,16,1350,57495.0
2013-06-20,42.0,41.65,42.0,42.5,-0.5,3,2050,85750.0
2013-07-02,46.2,42.84,46.2,42.0,4.2,5,100,4455.0
2013-07-03,50.82,47.12,50.82,46.2,4.62,12,1420,71883.0
2013-07-04,55.0,51.0,55.0,50.82,4.18,9,270,14650.0
2013-07-07,59.0,56.0,59.0,55.0,4.0,6,380,22080.0
2013-07-08,60.0,58.0,58.0,59.0,-1.0,4,485,28400.0
2013-07-09,60.0,58.0,60.0,58.0,2.0,7,2560,150410.0
2013-07-10,64.0,61.0,64.0,60.0,4.0,5,720,44560.0
2013-07-11,67.0,65.0,66.0,64.0,2.0,7,2340,154370.0
2013-07-14,67.0,67.0,67.0,66.0,1.0,1,60,4020.0
2013-07-15,66.0,66.0,66.0,67.0,-1.0,1,210,13860.0
2013-07-17,65.0,64.0,64.0,66.0,-2.0,3,170,10950.0
2013-07-18,64.0,64.0,64.0,64.0,,1,20,1280.0
2013-07-21,63.0,63.0,63.0,64.0,-1.0,1,350,22050.0
2013-07-28,63.0,63.0,63.0,63.0,,4,280,17640.0
2013-07-29,62.0,61.0,62.0,63.0,-1.0,3,150,9250.0
2013-07-30,61.0,61.0,61.0,62.0,-1.0,1,50,3050.0
2013-08-01,60.0,59.0,59.0,61.0,-2.0,3,190,11260.0
2013-08-15,58.0,58.0,58.0,59.0,-1.0,1,80,4640.0
2013-08-20,59.0,57.0,59.0,58.0,1.0,6,320,18700.0
2013-08-25,58.0,57.0,57.0,59.0,-2.0,3,190,10900.0
2013-12-05,58.0,58.0,58.0,57.0,1.0,4,240,13920.0
2013-12-09,63.0,59.0,63.0,58.0,5.0,11,1930,118470.0
2013-12-10,65.0,64.0,65.0,63.0,2.0,3,540,35030.0
2013-12-11,71.0,66.0,71.0,65.0,6.0,7,530,36560.0
2013-12-12,73.0,72.0,73.0,71.0,2.0,2,360,26060.0
2013-12-15,77.0,74.0,77.0,73.0,4.0,4,730,55470.0
2013-12-16,78.0,78.0,78.0,77.0,1.0,2,160,12480.0
2013-12-18,80.0,79.0,80.0,78.0,2.0,2,240,18970.0
2013-12-19,81.0,80.0,81.0,80.0,1.0,2,360,28920.0
2013-12-24,80.0,80.0,80.0,81.0,-1.0,1,100,8000.0
2016-06-16,81.6,81.6,81.6,80.0,1.6,1,10,816.0
2016-07-10,83.23,83.23,83.23,81.6,1.63,1,10,832.3
2016-07-13,87.72,84.0,87.72,83.23,4.49,4,40,3427.2
2016-07-25,91.0,89.47,91.0,87.72,3.28,2,30,2714.7
2016-08-14,92.0,92.0,92.0,91.0,1.0,1,10,920.0
