date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-07-08,343.2,312.0,343.2,312.0,31.2,7,70,23052.0
2019-07-09,377.0,360.0,377.0,343.2,33.8,27,2030,731180.0
2019-07-10,414.0,395.0,414.0,377.0,37.0,117,1170,483990.0
2019-07-11,442.0,395.0,396.0,414.0,-18.0,2546,33978,13894370.0
2019-07-14,398.0,378.0,386.0,396.0,-10.0,824,9560,3713690.0
2019-07-15,399.0,384.0,393.0,386.0,7.0,410,6312,2471492.0
2019-07-16,400.0,391.0,400.0,393.0,7.0,253,3470,1373900.0
2019-07-17,398.0,394.0,395.0,400.0,-5.0,292,3115,1231855.0
2019-07-18,400.0,390.0,393.0,395.0,-2.0,295,3580,1414180.0
2019-07-21,394.0,389.0,393.0,393.0,,284,4220,1651860.0
2019-07-22,394.0,388.0,392.0,393.0,-1.0,176,2380,932410.0
2019-07-23,400.0,391.0,394.0,392.0,2.0,295,4115,1629155.0
2019-07-24,405.0,394.0,404.0,394.0,10.0,357,8278,3322862.0
2019-07-25,404.0,393.0,399.0,404.0,-5.0,186,4425,1766585.0
2019-07-28,413.0,399.0,411.0,399.0,12.0,369,7960,3223210.0
2019-07-29,440.0,410.0,440.0,411.0,29.0,371,7883,3316990.0
2019-07-30,466.0,440.0,461.0,440.0,21.0,474,16362,7431797.0
2019-07-31,503.0,451.0,500.0,461.0,39.0,387,16916,7949635.0
2019-08-01,550.0,487.0,533.0,500.0,33.0,463,17210,8921130.0
2019-08-04,551.0,491.0,507.0,533.0,-26.0,486,14349,7548883.0
2019-08-05,513.0,467.0,471.0,507.0,-36.0,387,10930,5330434.0
2019-08-06,470.0,439.0,468.0,471.0,-3.0,293,5996,2674734.0
2019-08-07,502.0,437.0,490.0,468.0,22.0,222,8803,4216283.0
2019-08-08,485.0,464.0,477.0,490.0,-13.0,159,3480,1645934.0
2019-08-11,486.0,456.0,474.0,477.0,-3.0,180,2700,1272110.0
2019-08-12,495.0,470.0,480.0,474.0,6.0,202,5140,2472120.0
2019-08-13,490.0,475.0,481.0,480.0,1.0,215,4465,2157290.0
2019-08-14,486.0,473.0,475.0,481.0,-6.0,124,2635,1258090.0
2019-08-15,484.0,468.0,478.0,475.0,3.0,72,1190,561940.0
