date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-08-06,582.4,529.5,582.4,0,582.4,5354,54780,31883777.5
2023-08-07,640.6,594,616,582.4,33.60000000000002,43209,701803,436259348
2023-08-08,619,585,589,616,-27,27918,299597,178932202.6
2023-08-09,600.7,571.2,597.3,589,8.299999999999955,19750,266818,155026202.2
2023-08-10,609,583,590,597.3,-7.2999999999999545,10825,141998,84078844.8
2023-08-13,595,580,580.8,590,-9.200000000000045,13970,182198,106195208.6
2023-08-14,596.8,569.2,589.9,580.8,9.100000000000023,11445,191385,112441979.6
2023-08-15,600,580.3,581,589.9,-8.899999999999977,6297,98939,57775243.8
2023-08-16,585,575.2,576.9,581,-4.100000000000023,4651,103174,59662670.3
2023-08-17,590,571,583.1,576.9,6.2000000000000455,6037,133203,77941378.1
2023-08-20,585,578,580,583.1,-3.1000000000000227,5409,114230,66301070.7
2023-08-21,582.9,572.1,577,580,-3,3842,101241,58377288.5
2023-08-22,579,567,576,577,-1,3985,61149,35115293.5
2023-08-23,585,574,579.1,576,3.1000000000000227,4477,94254,54642813.7
2023-08-24,590,570,570.2,579.1,-8.899999999999977,3925,85739,49248761.4
2023-08-27,570,555,558,570.2,-12.200000000000045,4782,97116,54517226.7
2023-08-28,564,551.1,554.5,558,-3.5,3761,69132,38488289.2
2023-08-29,558,550,550.9,554.5,-3.6000000000000227,3450,58882,32475795.1
2023-08-30,554,548,549.2,550.9,-1.6999999999999318,3176,60855,33561227.8
2023-09-03,553,541,541.3,549.2,-7.900000000000091,3705,69096,37641946.1
2023-09-04,559,540,559,541.3,17.700000000000045,3719,96212,52884032.5
2023-09-05,560,552,556.4,559,-2.6000000000000227,2576,50793,28241754.2
2023-09-07,551.1,544.3,545.5,556.4,-10.899999999999977,2248,57647,31488083.1
2023-09-10,549.9,535.6,538.8,545.5,-6.7000000000000455,2444,72788,39331365.6
2023-09-11,552,528.2,550,538.8,11.200000000000045,2632,63895,34930948.3
2023-09-12,566,539.6,541.2,550,-8.799999999999955,1690,60371,32991921.1
2023-09-13,555.3,540,554,541.2,12.799999999999955,2508,70531,38824316.6
2023-09-17,555,535.3,536,554,-18,2329,86027,46586887.9
2023-09-18,540,530,540,536,4,2084,45272,24206897
2023-09-19,540,531,537,540,-3,1999,42969,23016831.4
2023-09-21,554,538.1,543.2,537,6.2000000000000455,4006,107149,58427180.3
2023-09-24,545,531.1,531.5,543.2,-11.700000000000045,2581,54688,29346959.7
2023-09-25,539.9,530.1,530.3,531.5,-1.2000000000000455,2413,45640,24324519.7
2023-09-26,540.8,533.1,538,530.3,7.7000000000000455,2525,51509,27691630.2
2023-09-27,545,530.6,532.5,538,-5.5,1797,46183,24613696.9
2023-10-01,531,516.3,520.1,532.5,-12.399999999999977,2632,68794,35920377
2023-10-02,522,511,514,520.1,-6.100000000000023,2555,50083,25761547.5
2023-10-03,514,505,506,514,-8,1826,35796,18209584.1
2023-10-04,518,507,510,506,4,2404,44037,22493579.1
2023-10-05,510.5,502,503.3,510,-6.699999999999989,1873,36244,18337140.1
2023-10-08,504.5,484.1,486,503.3,-17.30000000000001,2185,85829,42050442.3
2023-10-09,494,477.3,481,486,-5,1841,42793,20663593.2
2023-10-10,490,476,477,481,-4,1520,31208,14946842.5
2023-10-11,483,472.5,480.2,477,3.1999999999999886,1559,36280,17371946.6
2023-10-12,483,473.1,480.9,480.2,0.6999999999999886,1993,50497,24125533
2023-10-16,480,460.6,467.1,480.9,-13.799999999999955,1979,61593,28783902.7
2023-10-17,484.5,463.3,484.5,467.1,17.399999999999977,1443,42542,20122737.5
2023-10-18,494,475.1,489.5,484.5,5,797,49828,24277088.3
2023-10-19,497.6,481.3,485.2,489.5,-4.300000000000011,556,47462,23146459.5
2023-10-29,485,469,470.2,485.2,-15,1076,24923,11735062.5
2023-10-30,471,461.5,468,470.2,-2.1999999999999886,1118,15882,7390878.1
2023-10-31,469,461.1,462.1,468,-5.899999999999977,868,18484,8566266.5
2023-11-01,466,459.1,460,462.1,-2.1000000000000227,976,17431,8036033.7
2023-11-02,474.3,450,452,460,-8,1127,27479,12478078.4
2023-11-05,453,444,452,452,0,1108,31593,14137640.1
2023-11-06,461,446.1,456.8,452,4.800000000000011,1120,24440,11160394
2023-11-07,468.2,451,465.1,456.8,8.300000000000011,1007,30656,14127082.5
2023-11-08,474,458,469.5,465.1,4.399999999999977,703,33311,15585102.9
2023-11-09,478.8,463,465.1,469.5,-4.399999999999977,602,24362,11356102.4
2023-11-20,479,460.1,464,465.1,-1.1000000000000227,1029,24427,11430407.3
2023-11-21,473,456.7,458.7,464,-5.300000000000011,883,27383,12578802.9
2023-11-22,468,450.3,467.7,458.7,9,1011,20892,9629710
2023-11-23,492,460.2,487,467.7,19.30000000000001,1444,55355,26704522.1
2023-11-26,525,482.1,522,487,35,2823,117199,59883524.2
