date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-01-07,279.0,279.0,279.0,279.0,,1,10,2790.0
2019-01-09,279.0,274.0,274.0,279.0,-5.0,4,80,21920.0
2019-01-16,274.0,261.0,269.0,274.0,-5.0,3,50,13290.0
2019-01-17,269.0,243.0,243.0,269.0,-26.0,4,70,17410.0
2019-01-23,243.0,231.0,231.0,243.0,-12.0,3,500,115500.0
2019-01-29,231.0,220.0,220.0,231.0,-11.0,1,20,4400.0
2019-02-07,220.0,201.0,201.0,220.0,-19.0,3,60,12300.0
2019-02-10,201.0,191.0,191.0,201.0,-10.0,1,20,3820.0
2019-02-26,191.0,176.0,176.0,191.0,-15.0,3,60,10740.0
2019-03-03,176.0,168.0,168.0,176.0,-8.0,1,10,1680.0
2019-03-05,168.0,160.0,160.0,168.0,-8.0,1,20,3200.0
2019-04-09,152.0,147.0,147.0,160.0,-13.0,3,50,7440.0
2019-05-13,140.0,140.0,140.0,147.0,-7.0,1,20,2800.0
2019-05-14,133.0,133.0,133.0,140.0,-7.0,3,50,6650.0
2019-05-23,127.0,123.0,123.0,133.0,-10.0,4,70,8750.0
2019-05-26,117.0,111.0,111.0,123.0,-12.0,13,210,23570.0
2019-05-28,106.0,104.0,104.0,111.0,-7.0,2,20,2100.0
2019-05-29,99.0,94.0,94.0,104.0,-10.0,148,2505,235870.0
2019-05-30,98.0,93.0,94.0,94.0,,244,4586,435640.0
2019-06-02,95.0,91.0,95.0,94.0,1.0,59,1100,102890.0
2019-06-03,94.0,94.0,94.0,95.0,-1.0,1,20,1880.0
2019-06-04,93.0,88.0,88.0,94.0,-6.0,100,1800,163020.0
2019-06-06,92.0,89.0,92.0,88.0,4.0,98,1820,164350.0
2019-06-11,96.0,91.0,94.0,92.0,2.0,129,3610,340130.0
2019-06-12,93.0,87.0,90.0,94.0,-4.0,50,790,70070.0
2019-06-13,89.0,85.0,87.0,90.0,-3.0,33,600,51830.0
2019-06-16,86.0,84.0,86.0,87.0,-1.0,37,660,56010.0
2019-06-17,85.0,83.0,84.0,86.0,-2.0,28,480,40420.0
2019-06-18,84.0,83.0,84.0,84.0,,25,480,40220.0
2019-06-19,85.0,83.0,84.0,84.0,,14,260,21800.0
2019-06-20,85.0,80.0,84.0,84.0,,16,470,38550.0
2019-06-23,84.0,82.0,83.0,84.0,-1.0,30,640,53040.0
2019-06-24,83.0,80.0,83.0,83.0,,35,760,62120.0
2019-06-25,83.0,81.0,83.0,83.0,,23,390,32030.0
2019-06-26,83.0,81.0,82.0,83.0,-1.0,38,760,62500.0
2019-06-27,84.0,81.0,83.0,82.0,1.0,25,480,39470.0
2019-06-30,82.0,79.0,81.0,83.0,-2.0,46,860,69500.0
2019-07-01,81.0,79.0,80.0,81.0,-1.0,53,950,75740.0
2019-07-02,81.0,79.0,80.0,80.0,,29,530,42150.0
2019-07-03,80.0,78.0,78.0,80.0,-2.0,39,1030,81760.0
2019-07-04,79.0,78.0,79.0,78.0,1.0,7,130,10240.0
2019-07-07,80.0,78.0,79.0,79.0,,10,180,14160.0
2019-07-08,79.0,78.0,78.0,79.0,-1.0,15,250,19530.0
2019-07-09,81.0,77.0,79.0,78.0,1.0,24,420,33100.0
2019-07-10,79.0,78.0,79.0,79.0,,12,220,17220.0
2019-07-11,79.0,76.0,76.0,79.0,-3.0,57,1050,81520.0
2019-07-14,77.0,75.0,77.0,76.0,1.0,16,290,21990.0
2019-07-15,78.0,77.0,78.0,77.0,1.0,5,100,7740.0
2019-07-16,79.0,77.0,77.0,78.0,-1.0,19,370,28850.0
2019-07-17,80.0,78.0,79.0,77.0,2.0,15,450,35590.0
2019-07-18,80.0,77.0,77.0,79.0,-2.0,7,170,13500.0
2019-07-21,79.0,77.0,79.0,77.0,2.0,17,270,21020.0
2019-07-22,79.0,77.0,79.0,79.0,,19,520,40470.0
2019-07-23,80.0,78.0,78.0,79.0,-1.0,14,280,22140.0
2019-07-24,80.0,76.0,79.0,78.0,1.0,25,430,33420.0
2019-07-25,80.0,79.0,79.0,79.0,,17,380,30200.0
2019-07-28,78.0,78.0,78.0,79.0,-1.0,10,190,14820.0
2019-07-29,78.0,74.0,75.0,78.0,-3.0,9,160,12150.0
2019-07-30,76.0,74.0,75.0,75.0,,25,440,32910.0
2019-07-31,76.0,74.0,75.0,75.0,,18,330,24560.0
2019-08-01,76.0,74.0,74.0,75.0,-1.0,20,330,24620.0
2019-08-04,75.0,73.0,74.0,74.0,,26,480,35320.0
2019-08-05,74.0,73.0,73.0,74.0,-1.0,14,230,16900.0
2019-08-06,75.0,73.0,75.0,73.0,2.0,34,650,47890.0
2019-08-07,74.0,71.0,74.0,75.0,-1.0,10,200,14600.0
2019-08-08,76.0,73.0,74.0,74.0,,38,680,50480.0
2019-08-11,73.0,68.0,68.0,74.0,-6.0,73,1450,103140.0
2019-08-12,74.0,68.0,73.0,68.0,5.0,20,390,27420.0
2019-08-13,73.0,71.0,71.0,73.0,-2.0,34,740,53440.0
2019-08-14,72.0,70.0,71.0,71.0,,19,370,26270.0
2019-08-15,71.0,70.0,70.0,71.0,-1.0,11,220,15520.0
2019-08-18,70.0,68.0,69.0,70.0,-1.0,34,610,41730.0
2019-08-19,68.0,66.0,67.0,69.0,-2.0,18,330,22180.0
2019-08-20,67.0,65.0,67.0,67.0,,13,260,17240.0
2019-08-21,68.0,66.0,68.0,67.0,1.0,31,670,45000.0
2019-08-22,69.0,67.0,67.0,68.0,-1.0,25,600,40790.0
2019-08-25,66.0,64.0,66.0,67.0,-1.0,15,370,24160.0
2019-08-26,67.0,65.0,66.0,66.0,,18,340,22510.0
2019-08-27,68.0,65.0,67.0,66.0,1.0,18,340,22670.0
2019-08-28,68.0,66.0,67.0,67.0,,10,200,13360.0
2019-08-29,69.0,66.0,66.0,67.0,-1.0,18,330,22310.0
2019-09-01,66.0,64.0,64.0,66.0,-2.0,13,211,13645.0
2019-09-02,63.0,62.0,62.0,64.0,-2.0,13,200,12480.0
2019-09-03,63.0,61.0,62.0,62.0,,4,50,3100.0
2019-09-04,64.0,62.0,63.0,62.0,1.0,17,310,19530.0
2019-09-05,64.0,62.0,64.0,63.0,1.0,18,360,22750.0
2019-09-08,63.0,62.0,62.0,64.0,-2.0,3,50,3120.0
2019-09-09,61.0,60.0,60.0,62.0,-2.0,12,400,24320.0
2019-09-10,61.0,60.0,61.0,60.0,1.0,5,301,18310.0
2019-09-11,62.0,60.0,62.0,61.0,1.0,7,120,7300.0
2019-09-12,62.0,60.0,61.0,62.0,-1.0,16,300,18240.0
2019-09-16,61.0,58.0,60.0,61.0,-1.0,43,780,45770.0
