date,high,low,close,previous,diff,numtrans,tradedshares,volume
2015-12-10,419.0,381.0,419.0,,419.0,10,590,237510.0
2015-12-17,460.0,427.0,460.0,419.0,41.0,10,100,45070.0
2016-03-23,492.0,483.0,492.0,460.0,32.0,8,190,92670.0
2016-03-24,541.0,516.0,541.0,492.0,49.0,44,440,237590.0
2016-03-27,568.0,568.0,568.0,541.0,27.0,3,30,17040.0
2016-03-28,596.0,596.0,596.0,568.0,28.0,5,50,29800.0
2016-03-31,528.0,528.0,528.0,518.0,10.0,1,10,5280.0
2016-05-03,538.0,538.0,538.0,528.0,10.0,1,10,5380.0
2016-05-10,548.0,548.0,548.0,538.0,10.0,1,10,5480.0
2016-05-15,558.0,558.0,558.0,548.0,10.0,1,10,5580.0
2016-05-18,585.0,585.0,585.0,558.0,27.0,1,10,5850.0
2016-05-31,607.0,596.0,607.0,585.0,22.0,2,20,12030.0
2016-06-09,619.0,619.0,619.0,607.0,12.0,1,10,6190.0
2016-06-20,649.0,649.0,649.0,619.0,30.0,1,10,6490.0
2016-06-26,661.0,661.0,661.0,649.0,12.0,1,10,6610.0
2016-07-05,694.0,694.0,694.0,661.0,33.0,1,10,6940.0
2016-07-14,707.0,707.0,707.0,694.0,13.0,1,10,7070.0
2016-07-17,777.0,721.0,777.0,707.0,70.0,7,1125,860965.0
2016-07-18,792.0,792.0,792.0,777.0,15.0,1,10,7920.0
2016-07-19,807.0,807.0,807.0,792.0,15.0,1,10,8070.0
2016-07-20,847.0,847.0,847.0,807.0,40.0,1,10,8470.0
2016-07-27,863.0,863.0,863.0,847.0,16.0,1,10,8630.0
2016-07-28,906.0,906.0,906.0,863.0,43.0,1,10,9060.0
2016-08-07,942.0,924.0,942.0,906.0,36.0,2,20,18660.0
2016-08-08,1008.0,989.0,1008.0,942.0,66.0,2,20,19970.0
2016-08-09,1058.0,1058.0,1058.0,1008.0,50.0,1,10,10580.0
2016-08-14,1110.0,1110.0,1110.0,1058.0,52.0,2,20,22200.0
2016-08-16,1150.0,1150.0,1150.0,1110.0,40.0,1,10,11500.0
2016-08-21,1173.0,1173.0,1173.0,1150.0,23.0,1,10,11730.0
2016-08-28,1219.0,1196.0,1219.0,1173.0,46.0,2,20,24150.0
2016-08-31,1267.0,1243.0,1267.0,1219.0,48.0,2,20,25100.0
2016-09-04,1330.0,1330.0,1330.0,1267.0,63.0,4,40,53200.0
2016-09-08,1356.0,1356.0,1356.0,1330.0,26.0,1,10,13560.0
2016-09-11,1383.0,1383.0,1383.0,1356.0,27.0,1,10,13830.0
2016-09-14,1410.0,1410.0,1410.0,1383.0,27.0,1,10,14100.0
2016-09-18,1480.0,1480.0,1480.0,1410.0,70.0,2,20,29600.0
2016-09-20,1509.0,1509.0,1509.0,1480.0,29.0,1,10,15090.0
2016-09-22,1584.0,1584.0,1584.0,1509.0,75.0,1,10,15840.0
2016-09-25,1615.0,1615.0,1615.0,1584.0,31.0,1,10,16150.0
2016-09-28,1712.0,1647.0,1712.0,1615.0,97.0,3,30,50380.0
2016-10-03,1780.0,1746.0,1780.0,1712.0,68.0,2,20,35260.0
2016-10-05,1906.0,1869.0,1906.0,1780.0,126.0,2,20,37750.0
2016-10-16,1944.0,1944.0,1944.0,1906.0,38.0,1,10,19440.0
2016-10-17,1982.0,1982.0,1982.0,1944.0,38.0,1,10,19820.0
2016-10-19,2061.0,2021.0,2061.0,1982.0,79.0,2,20,40820.0
2016-10-24,2144.0,2102.0,2144.0,2061.0,83.0,2,20,42460.0
2016-10-25,2229.0,2186.0,2229.0,2144.0,85.0,2,20,44150.0
2016-10-26,2451.0,2273.0,2451.0,2229.0,222.0,8,80,191700.0
2016-10-27,2696.0,2500.0,2696.0,2451.0,245.0,20,420,1127520.0
2016-11-03,2965.0,2749.0,2965.0,2696.0,269.0,27,490,1447520.0
2016-11-07,3055.0,2802.0,3050.0,2965.0,85.0,144,1620,4796230.0
2016-11-08,3100.0,2901.0,3060.0,3050.0,10.0,114,1355,4067900.0
2016-11-09,3060.0,2906.0,2906.0,3060.0,-154.0,52,620,1828610.0
2016-11-10,3000.0,2860.0,2899.0,2906.0,-7.0,55,560,1637940.0
2016-11-13,2998.0,2850.0,2905.0,2899.0,6.0,74,750,2186520.0
2016-11-14,2910.0,2865.0,2868.0,2905.0,-37.0,30,420,1210870.0
2016-11-15,2900.0,2820.0,2840.0,2868.0,-28.0,20,200,570080.0
2016-11-16,2840.0,2740.0,2740.0,2840.0,-100.0,33,450,1243780.0
2016-11-17,2686.0,2600.0,2600.0,2740.0,-140.0,9,120,313290.0
2016-11-20,2548.0,2411.0,2411.0,2600.0,-189.0,13,130,323440.0
2016-11-21,2363.0,2200.0,2290.0,2411.0,-121.0,29,320,723320.0
2016-11-22,2280.0,2157.0,2163.0,2290.0,-127.0,56,680,1508410.0
2016-11-23,2200.0,2066.0,2066.0,2163.0,-97.0,82,860,1819250.0
2016-11-24,2150.0,2027.0,2027.0,2066.0,-39.0,29,310,643020.0
2016-11-27,2050.0,1851.0,1851.0,2027.0,-176.0,67,690,1372080.0
2016-11-28,1887.0,1666.0,1887.0,1851.0,36.0,53,580,1014300.0
2016-11-29,1960.0,1780.0,1960.0,1887.0,73.0,44,1595,2909645.0
2016-11-30,1665.0,1665.0,1665.0,1633.0,32.0,1,50,83250.0
2016-12-01,1735.0,1698.0,1735.0,1665.0,70.0,11,200,342720.0
2016-12-04,1744.0,1710.0,1744.0,1735.0,9.0,3,30,51940.0
2016-12-05,1786.0,1750.0,1786.0,1744.0,42.0,4,110,192970.0
2016-12-06,1755.0,1686.0,1686.0,1786.0,-100.0,16,160,275710.0
2016-12-07,1686.0,1686.0,1686.0,1686.0,,1,10,16860.0
2016-12-08,1788.0,1719.0,1788.0,1686.0,102.0,3,40,70130.0
2016-12-11,1823.0,1787.0,1787.0,1788.0,-1.0,2,30,53970.0
2016-12-12,1765.0,1752.0,1765.0,1787.0,-22.0,3,30,52780.0
2016-12-14,1735.0,1731.0,1735.0,1765.0,-30.0,20,200,346450.0
2016-12-18,1720.0,1701.0,1720.0,1735.0,-15.0,3,30,51230.0
2016-12-19,1690.0,1690.0,1690.0,1720.0,-30.0,1,10,16900.0
2016-12-20,1715.0,1658.0,1691.0,1690.0,1.0,8,160,270970.0
2016-12-21,1661.0,1630.0,1630.0,1691.0,-61.0,9,210,345080.0
2016-12-22,1645.0,1635.0,1645.0,1630.0,15.0,2,20,32800.0
2016-12-26,1809.0,1677.0,1809.0,1645.0,164.0,40,1390,2502230.0
2016-12-27,1815.0,1741.0,1815.0,1809.0,6.0,11,210,377120.0
2016-12-28,1888.0,1813.0,1813.0,1815.0,-2.0,10,110,202450.0
2016-12-29,1849.0,1813.0,1813.0,1813.0,,6,110,199890.0
2017-01-01,1849.0,1849.0,1849.0,1813.0,36.0,1,10,18490.0
2017-01-02,1868.0,1850.0,1868.0,1849.0,19.0,5,80,149000.0
2017-01-03,1831.0,1795.0,1795.0,1868.0,-73.0,8,80,144050.0
2017-01-04,1800.0,1761.0,1764.0,1795.0,-31.0,4,50,89210.0
2017-01-05,1745.0,1745.0,1745.0,1764.0,-19.0,3,30,52350.0
2017-01-08,1779.0,1713.0,1779.0,1745.0,34.0,4,130,229930.0
2017-01-09,1780.0,1780.0,1780.0,1779.0,1.0,1,40,71200.0
2017-01-10,1851.0,1815.0,1815.0,1780.0,35.0,12,280,514990.0
2017-01-11,1800.0,1800.0,1800.0,1815.0,-15.0,1,10,18000.0
2017-01-12,1764.0,1730.0,1730.0,1800.0,-70.0,7,220,381290.0
2017-01-15,1734.0,1696.0,1734.0,1730.0,4.0,6,60,102900.0
2017-01-16,1734.0,1700.0,1721.0,1734.0,-13.0,3,30,51550.0
2017-01-18,1860.0,1755.0,1860.0,1721.0,139.0,5,70,127950.0
2017-01-19,1835.0,1805.0,1813.0,1860.0,-47.0,11,170,310190.0
2017-01-22,1888.0,1830.0,1870.0,1813.0,57.0,6,282,521788.0
2017-01-23,1836.0,1836.0,1836.0,1870.0,-34.0,1,10,18360.0
2017-01-24,1849.0,1802.0,1815.0,1836.0,-21.0,14,210,382840.0
2017-01-25,1785.0,1751.0,1751.0,1815.0,-64.0,6,88,156530.0
2017-01-26,1716.0,1651.0,1660.0,1751.0,-91.0,7,280,465260.0
2017-01-30,1628.0,1495.0,1495.0,1660.0,-165.0,7,70,108230.0
2017-01-31,1495.0,1437.0,1437.0,1495.0,-58.0,10,260,382320.0
2017-02-02,1580.0,1465.0,1549.0,1437.0,112.0,8,120,186440.0
2017-02-06,1575.0,1575.0,1575.0,1549.0,26.0,3,30,47250.0
2017-02-07,1606.0,1575.0,1581.0,1575.0,6.0,8,90,142990.0
