date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,417.0,417.0,417.0,425.0,-8.0,1,100,41700.0
2010-04-26,409.0,376.0,376.0,417.0,-41.0,14,1102,420797.0
2010-04-27,369.0,369.0,369.0,376.0,-7.0,2,200,73800.0
2010-04-28,370.0,348.0,350.0,369.0,-19.0,11,1323,478092.0
2010-04-29,385.0,357.0,367.0,350.0,17.0,20,2026,753860.0
2010-05-09,360.0,360.0,360.0,367.0,-7.0,3,51,18360.0
2010-05-10,368.0,353.0,365.0,360.0,5.0,10,828,298478.0
2010-05-11,397.0,370.0,390.0,365.0,25.0,7,251,97440.0
2010-05-12,429.0,383.0,429.0,390.0,39.0,20,3104,1269865.0
2010-05-13,469.0,410.0,423.0,429.0,-6.0,36,4978,2169207.0
2010-05-16,415.0,387.0,387.0,423.0,-36.0,15,1548,606967.0
2010-05-17,406.0,394.0,406.0,387.0,19.0,4,168,67102.0
2010-05-18,420.0,394.0,412.0,406.0,6.0,22,2615,1052670.0
2010-05-19,418.0,410.0,418.0,412.0,6.0,3,224,92720.0
2010-05-20,435.0,418.0,425.0,418.0,7.0,14,1033,444665.0
2010-05-23,433.0,408.0,408.0,425.0,-17.0,15,1478,618248.0
2010-05-24,422.0,416.0,420.0,408.0,12.0,6,785,328984.0
2010-05-25,460.0,428.0,455.0,420.0,35.0,18,2340,1052388.0
2010-05-26,473.0,424.0,424.0,455.0,-31.0,15,1599,730717.0
2010-05-30,465.0,432.0,465.0,424.0,41.0,5,179,79410.0
2010-05-31,492.0,426.0,430.0,465.0,-35.0,39,3849,1755172.0
2010-06-01,445.0,420.0,445.0,430.0,15.0,10,1798,780682.0
2010-06-02,441.0,425.0,441.0,445.0,-4.0,5,349,149546.0
2010-06-03,466.0,437.0,453.0,441.0,12.0,18,1746,790199.0
2010-06-07,444.0,421.0,421.0,453.0,-32.0,7,806,344576.0
2010-06-08,450.0,429.0,450.0,421.0,29.0,9,936,418709.0
2010-06-09,463.0,450.0,460.0,450.0,10.0,13,1469,670335.0
2010-06-10,460.0,453.0,457.0,460.0,-3.0,14,972,443224.0
2010-06-13,457.0,450.0,450.0,457.0,-7.0,3,160,72567.0
2010-06-14,450.0,436.0,440.0,450.0,-10.0,11,1170,516530.0
2010-06-15,445.0,440.0,445.0,440.0,5.0,11,992,437903.0
2010-06-16,453.0,444.0,444.0,445.0,-1.0,4,328,146392.0
2010-06-17,447.0,441.0,447.0,444.0,3.0,8,752,334748.0
2010-06-20,455.0,450.0,450.0,447.0,3.0,17,2064,930501.0
2010-06-21,455.0,450.0,451.0,450.0,1.0,4,538,242456.0
2010-06-22,451.0,442.0,449.0,451.0,-2.0,5,234,104534.0
2010-06-23,450.0,445.0,445.0,449.0,-4.0,2,800,357400.0
2010-06-24,444.0,437.0,440.0,445.0,-5.0,7,1086,479238.0
2010-06-28,440.0,440.0,440.0,440.0,,3,292,128480.0
2010-06-29,440.0,437.0,437.0,440.0,-3.0,4,594,260901.0
2010-06-30,445.0,430.0,430.0,437.0,-7.0,14,1368,595981.0
2010-07-01,456.0,438.0,448.0,430.0,18.0,27,3246,1449615.0
2010-07-04,443.0,435.0,443.0,448.0,-5.0,5,759,331770.0
2010-07-05,438.0,427.0,427.0,443.0,-16.0,10,2420,1052696.0
2010-07-06,459.0,432.0,459.0,427.0,32.0,9,481,212570.0
2010-07-07,450.0,435.0,440.0,459.0,-19.0,7,811,356050.0
2010-07-08,434.0,427.0,430.0,440.0,-10.0,15,1403,603034.0
2010-07-11,435.0,426.0,435.0,430.0,5.0,6,502,217576.0
2010-07-12,448.0,427.0,448.0,435.0,13.0,11,1650,711526.0
