date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-08-21,526.9,479,526.9,0,526.9,98,1102,578739.8
2023-08-22,579.5,537.4,579.5,526.9,52.60000000000002,97,970,561081
2023-08-23,637.4,591,637.4,579.5,57.89999999999998,64,640,406796
2023-08-24,701.1,650.1,701.1,637.4,63.700000000000045,149,2578,1806184.8
2023-08-27,771.2,715.1,771.2,701.1,70.10000000000002,161,2509,1931848.7
2023-08-28,848.3,786.6,848.3,771.2,77.09999999999991,172,1991,1687451.3
2023-08-29,933.1,848.3,933.1,848.3,84.80000000000007,1032,16318,14938378.8
2023-08-30,969,862.4,882,933.1,-51.10000000000002,1207,14491,12993835.7
2023-09-03,865,794,808,882,-74,551,8735,7161216
2023-09-04,836.4,780,836,808,28,289,4450,3562938
2023-09-05,830,804,830,836,-6,89,1376,1124518.2
2023-09-07,823.1,800.6,822,830,-8,106,3308,2694918
2023-09-10,868.5,794,805,822,-17,140,3756,3018310
2023-09-11,819.9,780.2,814,805,9,71,1750,1420103
2023-09-12,812,793,806,814,-8,56,2980,2392661.5
2023-09-13,839,791.4,834,806,28,81,1925,1572528.5
2023-09-17,822,796.3,814.9,834,-19.100000000000023,55,1340,1080841.5
2023-09-18,829.8,800,813,814.9,-1.8999999999999773,74,2667,2156877
2023-09-19,828.8,796.9,799.1,813,-13.899999999999977,71,1596,1299600
2023-09-21,839,815,833,799.1,33.89999999999998,123,4760,3940843
2023-09-24,864,818,833,833,0,87,3728,3115925.7
2023-09-25,849,818,849,833,16,69,2420,2023876
2023-09-26,876,816.5,859,849,10,88,3308,2794380.8
2023-09-27,844.9,820,834,859,-25,36,927,769553.5
2023-10-01,828,805,805.1,834,-28.899999999999977,42,847,688893
2023-10-02,820,796,815,805.1,9.899999999999977,59,1385,1121369.7
2023-10-03,812,797.5,812,815,-3,31,876,704805.6
2023-10-04,815.9,801.2,810,812,-2,40,1395,1123127
2023-10-05,810,795.4,807,810,-3,41,783,628638.5
2023-10-08,796,786.1,786.1,807,-20.899999999999977,43,840,664420.5
2023-10-09,791,780,789,786.1,2.8999999999999773,35,1003,786129.4
2023-10-10,780.1,770,780,789,-9,39,1619,1253657.5
2023-10-11,788.4,772,788.4,780,8.399999999999977,28,590,458243
2023-10-12,774,760,774,788.4,-14.399999999999977,37,770,588109
2023-10-16,770,735.2,736,774,-38,50,1236,925133
2023-10-17,750.7,736,747,736,11,23,520,387315
2023-10-18,775,747,774.7,747,27.700000000000045,14,310,235865
