date,high,low,close,previous,diff,numtrans,tradedshares,volume
2015-12-08,339.0,315.0,339.0,,339.0,5,50,16350.0
2015-12-09,372.0,345.0,372.0,339.0,33.0,9,90,32790.0
2015-12-14,386.0,379.0,386.0,372.0,14.0,2,20,7650.0
2015-12-21,424.0,393.0,424.0,386.0,38.0,5,50,20410.0
2016-01-10,466.0,432.0,466.0,424.0,42.0,44,440,204150.0
2016-01-11,512.0,475.0,512.0,466.0,46.0,6,60,29780.0
2016-01-12,563.0,522.0,563.0,512.0,51.0,17,170,94670.0
2016-01-13,619.0,574.0,619.0,563.0,56.0,6,60,36000.0
2016-01-14,680.0,631.0,680.0,619.0,61.0,9,90,59970.0
2016-04-12,714.0,714.0,714.0,680.0,34.0,1,10,7140.0
2016-05-03,728.0,728.0,728.0,714.0,14.0,1,10,7280.0
2016-05-11,764.0,764.0,764.0,728.0,36.0,1,10,7640.0
2016-05-16,779.0,779.0,779.0,764.0,15.0,1,10,7790.0
2016-05-25,817.0,817.0,817.0,779.0,38.0,1,10,8170.0
2016-05-26,857.0,857.0,857.0,817.0,40.0,1,10,8570.0
2016-05-31,908.0,874.0,908.0,857.0,51.0,3,30,26730.0
2016-06-02,944.0,926.0,944.0,908.0,36.0,2,20,18700.0
2016-06-05,1000.0,962.0,1000.0,944.0,56.0,3,30,29430.0
2016-06-08,1005.0,1005.0,1005.0,1000.0,5.0,1,10,10050.0
2016-06-13,1045.0,1025.0,1045.0,1005.0,40.0,2,20,20700.0
2016-06-16,1107.0,1065.0,1107.0,1045.0,62.0,3,30,32580.0
2016-06-28,1130.0,1129.0,1130.0,1107.0,23.0,2,800,903990.0
2016-06-30,1175.0,1152.0,1175.0,1130.0,45.0,2,20,23270.0
2016-07-03,1221.0,1198.0,1221.0,1175.0,46.0,2,20,24190.0
2016-07-04,1269.0,1245.0,1269.0,1221.0,48.0,2,50,62970.0
2016-07-13,1371.0,1294.0,1371.0,1269.0,102.0,4,330,435800.0
2016-07-14,1482.0,1398.0,1482.0,1371.0,111.0,4,50,72400.0
2016-07-17,1630.0,1511.0,1630.0,1482.0,148.0,6,240,374930.0
2016-07-18,1793.0,1662.0,1793.0,1630.0,163.0,31,870,1556660.0
2016-07-19,1972.0,1828.0,1972.0,1793.0,179.0,12,120,233080.0
2016-07-20,2169.0,2070.0,2169.0,1972.0,197.0,30,300,648970.0
2016-07-21,2385.0,2212.0,2385.0,2169.0,216.0,31,640,1520870.0
2016-07-25,2485.0,2150.0,2200.0,2385.0,-185.0,37,910,2019320.0
2016-07-26,2345.0,2200.0,2300.0,2200.0,100.0,135,1670,3774440.0
2016-07-27,2448.0,2300.0,2400.0,2300.0,100.0,53,570,1355250.0
2016-07-28,2640.0,2352.0,2640.0,2400.0,240.0,83,1060,2689140.0
2016-07-31,2876.0,2588.0,2876.0,2640.0,236.0,62,740,2041370.0
2016-08-01,2991.0,2933.0,2933.0,2876.0,57.0,9,150,442850.0
2016-08-02,2984.0,2755.0,2825.0,2933.0,-108.0,91,980,2771060.0
2016-08-03,2800.0,2600.0,2620.0,2825.0,-205.0,46,500,1350300.0
2016-08-04,2670.0,2591.0,2650.0,2620.0,30.0,52,560,1473410.0
2016-08-07,2915.0,2703.0,2915.0,2650.0,265.0,37,630,1830970.0
2016-08-08,2930.0,2790.0,2845.0,2915.0,-70.0,15,150,424550.0
2016-08-09,2901.0,2901.0,2901.0,2845.0,56.0,1,10,29010.0
2016-08-10,3029.0,2850.0,3029.0,2901.0,128.0,39,580,1713350.0
2016-08-11,3148.0,2990.0,3075.0,3029.0,46.0,61,910,2796310.0
2016-08-14,3050.0,2925.0,2980.0,3075.0,-95.0,20,490,1464930.0
2016-08-15,2921.0,2800.0,2870.0,2980.0,-110.0,17,210,595660.0
2016-08-16,3110.0,2813.0,3110.0,2870.0,240.0,34,460,1372040.0
2016-08-17,3213.0,3050.0,3213.0,3110.0,103.0,39,441,1374980.0
2016-08-21,3250.0,3029.0,3063.0,3213.0,-150.0,28,280,873150.0
2016-08-22,3079.0,2930.0,2930.0,3063.0,-133.0,6,60,179080.0
2016-08-23,2980.0,2875.0,2900.0,2930.0,-30.0,40,620,1820360.0
2016-08-24,2958.0,2844.0,2926.0,2900.0,26.0,7,70,203030.0
2016-08-28,2950.0,2868.0,2950.0,2926.0,24.0,15,150,437180.0
2016-08-29,3009.0,2891.0,2900.0,2950.0,-50.0,26,260,769080.0
2016-08-30,3077.0,2958.0,3020.0,2900.0,120.0,47,610,1852350.0
2016-08-31,3250.0,3070.0,3185.0,3020.0,165.0,60,690,2184850.0
2016-09-01,3185.0,3150.0,3150.0,3185.0,-35.0,10,100,317900.0
2016-09-04,3200.0,3092.0,3150.0,3150.0,,27,350,1099460.0
2016-09-05,3250.0,3087.0,3233.0,3150.0,83.0,38,450,1446600.0
2016-09-06,3250.0,3060.0,3107.0,3233.0,-126.0,28,551,1767460.0
2016-09-07,3308.0,3093.0,3242.0,3107.0,135.0,20,330,1065510.0
2016-09-08,3325.0,3210.0,3230.0,3242.0,-12.0,33,390,1272280.0
2016-09-11,3250.0,3170.0,3233.0,3230.0,3.0,7,90,290160.0
2016-09-12,3350.0,3250.0,3350.0,3233.0,117.0,11,180,593200.0
2016-09-14,3685.0,3332.0,3685.0,3350.0,335.0,42,740,2621690.0
2016-09-18,4053.0,3461.0,4053.0,3685.0,368.0,51,731,2888990.0
2016-09-20,4458.0,4134.0,4458.0,4053.0,405.0,47,1730,7704380.0
2016-09-21,4729.0,4300.0,4474.0,4458.0,16.0,63,1270,5617320.0
2016-09-22,4508.0,4275.0,4280.0,4474.0,-194.0,58,845,3680880.0
2016-09-25,4195.0,3901.0,4005.0,4280.0,-275.0,78,1150,4583840.0
2016-09-26,4265.0,3920.0,4100.0,4005.0,95.0,29,370,1506200.0
2016-09-27,4166.0,4001.0,4166.0,4100.0,66.0,21,270,1089910.0
2016-09-28,4085.0,4000.0,4000.0,4166.0,-166.0,13,170,687090.0
2016-09-29,4070.0,4000.0,4025.0,4000.0,25.0,46,530,2147920.0
2016-10-02,4050.0,3860.0,3920.0,4025.0,-105.0,24,240,940220.0
2016-10-03,3874.0,3844.0,3845.0,3920.0,-75.0,14,260,1001710.0
2016-10-04,3875.0,3845.0,3875.0,3845.0,30.0,8,500,1930500.0
2016-10-05,3875.0,3830.0,3875.0,3875.0,,5,300,1160800.0
2016-10-06,3855.0,3855.0,3855.0,3875.0,-20.0,1,40,154200.0
2016-10-16,3920.0,3920.0,3920.0,3855.0,65.0,1,10,39200.0
2016-10-17,3842.0,3691.0,3691.0,3920.0,-229.0,6,60,223720.0
2016-10-20,3839.0,3691.0,3839.0,3691.0,148.0,4,40,151330.0
2016-10-23,3994.0,3840.0,3994.0,3839.0,155.0,9,100,388320.0
2016-10-24,3925.0,3916.0,3916.0,3994.0,-78.0,9,160,627070.0
2016-10-25,3838.0,3838.0,3838.0,3916.0,-78.0,1,10,38380.0
2016-10-26,3900.0,3700.0,3700.0,3838.0,-138.0,8,380,1461460.0
2016-10-27,3850.0,3700.0,3850.0,3700.0,150.0,20,210,789030.0
2016-11-03,3800.0,3700.0,3800.0,3850.0,-50.0,21,210,783580.0
2016-11-07,4100.0,3870.0,4070.0,3800.0,270.0,12,250,999720.0
2016-11-08,4070.0,4003.0,4030.0,4070.0,-40.0,34,360,1444960.0
2016-11-09,3956.0,3809.0,3821.0,4030.0,-209.0,21,210,811490.0
2016-11-10,3897.0,3763.0,3763.0,3821.0,-58.0,10,250,964300.0
2016-11-13,3840.0,3720.0,3805.0,3763.0,42.0,43,430,1623130.0
2016-11-14,3850.0,3751.0,3845.0,3805.0,40.0,37,420,1601340.0
2016-11-15,4077.0,3771.0,4000.0,3845.0,155.0,37,620,2455680.0
2016-11-16,4060.0,3920.0,3931.0,4000.0,-69.0,18,1100,4403040.0
2016-11-17,3920.0,3854.0,3915.0,3931.0,-16.0,59,810,3157400.0
2016-11-20,3993.0,3801.0,3875.0,3915.0,-40.0,31,450,1748210.0
2016-11-21,3900.0,3550.0,3725.0,3875.0,-150.0,25,280,1032080.0
2016-11-22,3784.0,3660.0,3751.0,3725.0,26.0,57,580,2160650.0
