date,high,low,close,previous,diff,numtrans,tradedshares,volume
2018-10-11,121.0,110.0,121.0,,121.0,133,1330,160570.0
2018-10-14,133.0,115.0,121.0,121.0,,883,16907,2086020.0
2018-10-15,123.0,116.0,119.0,121.0,-2.0,350,8242,980588.0
2018-10-21,120.0,115.0,120.0,119.0,1.0,265,2940,342530.0
2018-10-22,118.0,114.0,116.0,120.0,-4.0,718,12677,1460845.0
2018-10-23,116.0,113.0,114.0,116.0,-2.0,320,7050,808850.0
2018-10-24,115.0,110.0,110.0,114.0,-4.0,382,7911,881103.0
2018-10-25,116.0,108.0,114.0,110.0,4.0,332,4390,498350.0
2018-10-28,118.0,109.0,113.0,114.0,-1.0,316,7500,847800.0
2018-10-29,115.0,109.0,114.0,113.0,1.0,303,5000,564970.0
2018-10-30,118.0,112.0,118.0,114.0,4.0,392,11750,1370780.0
2018-10-31,120.0,114.0,117.0,118.0,-1.0,223,2710,314830.0
2018-11-01,118.0,114.0,116.0,117.0,-1.0,250,2940,342520.0
2018-11-04,117.0,114.0,115.0,116.0,-1.0,115,1792,207130.0
2018-11-05,115.0,112.0,113.0,115.0,-2.0,225,2250,254570.0
2018-11-11,114.0,112.0,113.0,113.0,,65,1330,150130.0
2018-11-12,114.0,112.0,112.0,113.0,-1.0,111,1110,125210.0
2018-11-13,114.0,110.0,111.0,112.0,-1.0,104,1040,115980.0
2018-11-14,116.0,109.0,113.0,111.0,2.0,92,1160,130660.0
2018-11-15,114.0,110.0,111.0,113.0,-2.0,158,2355,263085.0
2018-11-18,113.0,109.0,110.0,111.0,-1.0,161,1610,177730.0
2018-11-19,112.0,108.0,108.0,110.0,-2.0,217,2361,258090.0
2018-11-20,110.0,107.0,107.0,108.0,-1.0,69,780,84270.0
2018-11-21,109.0,105.0,108.0,107.0,1.0,64,1090,117920.0
2018-11-22,109.0,106.0,107.0,108.0,-1.0,120,1200,128190.0
2018-11-25,107.0,103.0,104.0,107.0,-3.0,93,2390,249770.0
2018-11-26,104.0,102.0,104.0,104.0,,86,1010,104430.0
2018-11-27,106.0,103.0,104.0,104.0,,89,890,92510.0
2018-11-28,106.0,103.0,106.0,104.0,2.0,100,4570,479610.0
2018-11-29,106.0,102.0,103.0,106.0,-3.0,52,610,63220.0
2018-12-02,105.0,101.0,105.0,103.0,2.0,61,650,67180.0
2018-12-03,106.0,103.0,104.0,105.0,-1.0,56,760,79720.0
2018-12-04,105.0,103.0,103.0,104.0,-1.0,58,1420,147630.0
2018-12-05,105.0,101.0,105.0,103.0,2.0,43,3250,339310.0
2018-12-06,106.0,103.0,104.0,105.0,-1.0,30,300,31220.0
2018-12-09,104.0,102.0,103.0,104.0,-1.0,25,250,25660.0
2018-12-10,104.0,102.0,104.0,103.0,1.0,18,180,18510.0
2018-12-11,105.0,102.0,103.0,104.0,-1.0,16,160,16520.0
2018-12-12,104.0,101.0,103.0,103.0,,46,460,46790.0
2018-12-13,105.0,101.0,105.0,103.0,2.0,30,820,84830.0
2018-12-16,107.0,103.0,107.0,105.0,2.0,38,470,48770.0
2018-12-17,108.0,103.0,103.0,107.0,-4.0,23,1610,169110.0
2018-12-18,103.0,101.0,103.0,103.0,,23,230,23560.0
2018-12-19,105.0,101.0,102.0,103.0,-1.0,31,500,51620.0
2018-12-20,103.0,101.0,102.0,102.0,,23,470,47950.0
2018-12-23,105.0,100.0,101.0,102.0,-1.0,90,2640,271930.0
2018-12-24,101.0,98.0,101.0,101.0,,72,3080,309640.0
2018-12-25,102.0,99.0,100.0,101.0,-1.0,42,680,68310.0
2018-12-26,102.0,99.0,99.0,100.0,-1.0,42,420,42250.0
2018-12-27,104.0,99.0,103.0,99.0,4.0,80,2250,230360.0
2018-12-30,105.0,100.0,100.0,103.0,-3.0,49,740,74380.0
2018-12-31,104.0,100.0,104.0,100.0,4.0,59,590,59960.0
2019-01-01,104.0,101.0,102.0,104.0,-2.0,69,710,72710.0
2019-01-02,103.0,100.0,101.0,102.0,-1.0,23,1220,125230.0
2019-01-03,102.0,100.0,100.0,101.0,-1.0,32,530,53630.0
2019-01-06,101.0,100.0,100.0,100.0,,19,300,30180.0
2019-01-07,102.0,100.0,102.0,100.0,2.0,25,600,60900.0
2019-01-08,102.0,99.0,100.0,102.0,-2.0,36,360,35990.0
2019-01-09,101.0,99.0,100.0,100.0,,52,520,52010.0
2019-01-10,101.0,100.0,100.0,100.0,,73,820,82330.0
