date,high,low,close,previous,diff,numtrans,tradedshares,volume
2011-02-13,331.0,331.0,331.0,,331.0,10,400,132400.0
2011-03-15,325.0,307.0,307.0,331.0,-24.0,4,40,12640.0
2011-03-16,301.0,277.0,277.0,307.0,-30.0,7,70,20050.0
2011-03-17,272.0,257.0,257.0,277.0,-20.0,4,50,13250.0
2011-03-20,252.0,239.0,239.0,257.0,-18.0,4,40,9810.0
2011-03-21,235.0,216.0,216.0,239.0,-23.0,6,60,13510.0
2011-03-22,212.0,195.0,195.0,216.0,-21.0,11,110,22150.0
2011-03-23,192.0,176.0,176.0,195.0,-19.0,8,80,14590.0
2011-03-24,168.0,159.0,159.0,176.0,-17.0,5,50,8220.0
2011-03-27,156.0,144.0,144.0,159.0,-15.0,6,60,8950.0
2011-03-28,137.0,130.0,130.0,144.0,-14.0,5,50,6660.0
2011-03-30,128.0,118.0,118.0,130.0,-12.0,6,60,7380.0
2011-03-31,116.0,107.0,109.0,118.0,-9.0,11,110,12120.0
2011-04-04,109.0,104.0,104.0,109.0,-5.0,113,1630,172940.0
2011-04-05,104.0,100.0,102.0,104.0,-2.0,163,2280,232820.0
2011-04-06,101.0,98.0,100.0,102.0,-2.0,127,1420,141120.0
2011-04-07,102.0,99.0,102.0,100.0,2.0,83,1670,168870.0
2011-04-10,102.0,100.0,100.0,102.0,-2.0,49,1020,102080.0
2011-04-11,100.0,98.0,98.0,100.0,-2.0,27,370,36600.0
2011-04-13,99.0,99.0,99.0,98.0,1.0,2,80,7920.0
2011-04-17,101.0,99.0,99.0,99.0,,7,120,11970.0
2011-04-18,99.0,98.0,98.0,99.0,-1.0,34,490,48080.0
2011-04-19,99.0,96.0,96.0,98.0,-2.0,308,3740,363070.0
2011-04-20,95.0,93.0,93.0,96.0,-3.0,65,1310,123390.0
2011-04-21,93.0,91.0,91.0,93.0,-2.0,71,850,78090.0
2011-04-25,100.0,91.0,95.0,91.0,4.0,66,880,83860.0
2011-04-27,104.0,93.0,104.0,95.0,9.0,96,1030,101510.0
2011-04-28,105.0,94.0,94.0,104.0,-10.0,85,1810,183330.0
2011-05-02,93.0,90.0,90.0,94.0,-4.0,46,830,76410.0
2011-05-03,91.0,89.0,91.0,90.0,1.0,75,940,85120.0
2011-05-04,92.0,91.0,92.0,91.0,1.0,3,110,10020.0
2011-05-05,92.0,89.0,92.0,92.0,,51,510,45890.0
2011-05-08,92.0,92.0,92.0,92.0,,41,710,65320.0
2011-05-09,92.0,92.0,92.0,92.0,,26,470,43240.0
2011-05-10,91.0,90.0,90.0,92.0,-2.0,25,310,27910.0
2011-05-11,96.0,91.0,95.0,90.0,5.0,70,820,76010.0
2011-05-12,104.0,97.0,100.0,95.0,5.0,86,1340,132980.0
2011-05-15,105.0,91.0,92.0,100.0,-8.0,94,1940,186230.0
2011-05-16,101.0,91.0,95.0,92.0,3.0,162,1690,161230.0
2011-05-18,99.0,97.0,97.0,95.0,2.0,85,850,83190.0
2011-05-19,100.0,97.0,97.0,97.0,,40,430,42660.0
2011-05-22,100.0,97.0,97.0,97.0,,92,1040,102390.0
2011-05-23,97.0,97.0,97.0,97.0,,9,90,8730.0
2011-05-24,96.0,93.0,95.0,97.0,-2.0,53,670,63680.0
2011-05-25,95.0,94.0,95.0,95.0,,73,900,85490.0
2011-05-26,97.0,96.0,97.0,95.0,2.0,51,750,72230.0
2011-05-30,99.0,96.0,99.0,97.0,2.0,109,1300,126900.0
2011-05-31,101.0,100.0,100.0,99.0,1.0,52,520,52120.0
2011-06-01,104.0,100.0,100.0,100.0,,39,410,41880.0
2011-06-02,99.0,95.0,96.0,100.0,-4.0,28,280,27590.0
2011-06-05,98.0,96.0,96.0,96.0,,153,1530,147430.0
2011-06-06,96.0,91.0,93.0,96.0,-3.0,71,910,86470.0
2011-06-07,95.0,93.0,93.0,93.0,,54,540,50650.0
2011-06-08,93.0,92.0,93.0,93.0,,21,210,19520.0
2011-06-15,93.0,93.0,93.0,93.0,,10,300,27900.0
2011-06-16,89.0,89.0,89.0,93.0,-4.0,19,190,16910.0
2011-06-19,89.0,89.0,89.0,89.0,,7,70,6230.0
2011-06-23,92.0,90.0,92.0,89.0,3.0,74,1310,118330.0
2011-06-26,91.0,91.0,91.0,92.0,-1.0,1,40,3640.0
2011-06-27,98.0,95.0,95.0,91.0,4.0,46,910,87170.0
2011-06-29,97.0,96.0,97.0,95.0,2.0,17,570,54790.0
2011-06-30,98.0,96.0,97.0,97.0,,90,1460,142800.0
2011-07-03,96.0,93.0,93.0,97.0,-4.0,57,580,55420.0
2011-07-04,93.0,92.0,92.0,93.0,-1.0,9,130,12080.0
2011-07-05,93.0,92.0,92.0,92.0,,5,250,23010.0
2011-07-06,93.0,93.0,93.0,92.0,1.0,20,200,18600.0
2011-07-07,93.0,91.0,91.0,93.0,-2.0,29,350,32350.0
2011-07-10,92.0,90.0,92.0,91.0,1.0,45,1100,99940.0
2011-07-11,92.0,91.0,92.0,92.0,,44,440,40450.0
2011-07-12,93.0,93.0,93.0,92.0,1.0,40,400,37200.0
2011-07-13,96.0,92.0,92.0,93.0,-1.0,34,370,34520.0
2011-07-14,95.0,95.0,95.0,92.0,3.0,20,200,19000.0
2011-07-18,99.0,96.0,96.0,95.0,1.0,47,470,46050.0
2011-07-20,95.0,95.0,95.0,96.0,-1.0,4,40,3800.0
2011-07-24,96.0,96.0,96.0,95.0,1.0,1,70,6720.0
2011-07-26,97.0,97.0,97.0,96.0,1.0,8,480,46560.0
2011-07-27,98.0,98.0,98.0,97.0,1.0,4,100,9800.0
2011-07-31,97.0,96.0,96.0,98.0,-2.0,4,130,12570.0
2011-08-01,96.0,96.0,96.0,96.0,,5,50,4800.0
2011-08-02,95.0,95.0,95.0,96.0,-1.0,1,50,4750.0
2011-08-03,95.0,92.0,92.0,95.0,-3.0,12,190,17810.0
2011-08-04,92.0,86.0,86.0,92.0,-6.0,17,460,41240.0
2011-08-07,88.0,87.0,87.0,86.0,1.0,6,330,28780.0
2011-08-08,88.0,85.0,86.0,87.0,-1.0,32,730,62810.0
2011-08-09,88.0,87.0,88.0,86.0,2.0,21,210,18280.0
2011-08-10,87.0,86.0,86.0,88.0,-2.0,54,840,72620.0
2011-08-11,87.0,86.0,86.0,86.0,,12,330,28400.0
2011-08-16,86.0,85.0,85.0,86.0,-1.0,6,70,6000.0
2011-08-17,85.0,85.0,85.0,85.0,,16,230,19550.0
2011-08-18,84.0,83.0,83.0,85.0,-2.0,6,290,24110.0
2011-08-22,84.0,84.0,84.0,83.0,1.0,8,320,26880.0
2011-08-23,85.0,85.0,85.0,84.0,1.0,3,90,7650.0
2011-08-24,85.0,83.0,83.0,85.0,-2.0,5,250,20900.0
2011-08-25,82.0,79.0,79.0,83.0,-4.0,32,420,33710.0
2011-08-28,78.0,77.0,77.0,79.0,-2.0,17,170,13190.0
2011-08-29,76.0,71.0,71.0,77.0,-6.0,17,170,12370.0
2011-08-30,71.0,71.0,71.0,71.0,,23,230,16330.0
2011-09-04,72.0,72.0,72.0,71.0,1.0,1,10,720.0
2011-09-05,75.0,73.0,74.0,72.0,2.0,15,240,17860.0
2011-09-06,74.0,72.0,72.0,74.0,-2.0,134,1800,132710.0
2011-09-07,72.0,71.0,71.0,72.0,-1.0,12,190,13510.0
2011-09-08,71.0,70.0,70.0,71.0,-1.0,51,560,39600.0
2011-09-12,71.0,71.0,71.0,70.0,1.0,33,570,40470.0
2011-09-13,72.0,69.0,72.0,71.0,1.0,7,130,9180.0
2011-09-14,73.0,72.0,73.0,72.0,1.0,18,180,13100.0
2011-09-15,77.0,73.0,77.0,73.0,4.0,28,800,59270.0
2011-09-18,78.0,77.0,77.0,77.0,,3,40,3100.0
2011-09-19,77.0,74.0,77.0,77.0,,13,220,16570.0
