date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,263.0,254.0,257.0,253.0,4.0,70,2800,721560.0
2010-04-19,249.0,237.0,248.0,250.0,-2.0,147,7990,1968040.0
2010-04-20,247.0,238.0,245.0,248.0,-3.0,167,7430,1813360.0
2010-04-21,249.0,241.0,241.0,245.0,-4.0,49,3170,782780.0
2010-04-22,244.0,225.0,230.0,241.0,-11.0,79,3700,874910.0
2010-04-25,236.0,226.0,233.0,230.0,3.0,79,4510,1046750.0
2010-04-26,235.0,230.0,232.0,233.0,-1.0,66,3310,772300.0
2010-04-27,235.0,213.0,217.0,232.0,-15.0,85,4060,914850.0
2010-04-28,216.0,204.0,205.0,217.0,-12.0,32,1470,307820.0
2010-04-29,225.0,205.0,225.0,205.0,20.0,17,910,194030.0
2010-05-09,229.0,220.0,227.0,225.0,2.0,88,4650,1035240.0
2010-05-10,234.0,225.0,231.0,227.0,4.0,38,2190,500940.0
2010-05-11,242.0,235.0,242.0,231.0,11.0,19,800,191370.0
2010-05-12,265.0,242.0,265.0,242.0,23.0,18,1100,273700.0
2010-05-13,291.0,270.0,291.0,265.0,26.0,29,3250,936390.0
2010-05-16,305.0,262.0,267.0,291.0,-24.0,94,4410,1204900.0
2010-05-17,271.0,242.0,260.0,267.0,-7.0,41,2020,515890.0
2010-05-18,276.0,245.0,276.0,260.0,16.0,37,1510,383930.0
2010-05-19,290.0,272.0,290.0,276.0,14.0,32,1600,442970.0
2010-05-20,300.0,285.0,290.0,290.0,,75,3180,933550.0
2010-05-23,286.0,280.0,280.0,290.0,-10.0,45,2110,595010.0
2010-05-24,285.0,275.0,282.0,280.0,2.0,55,3480,976630.0
2010-05-25,293.0,272.0,293.0,282.0,11.0,10,1380,386100.0
2010-05-26,309.0,290.0,291.0,293.0,-2.0,33,4490,1355700.0
2010-05-30,320.0,296.0,320.0,291.0,29.0,6,210,64630.0
2010-05-31,338.0,308.0,308.0,320.0,-12.0,23,1240,405820.0
2010-06-01,312.0,278.0,304.0,308.0,-4.0,56,3400,981830.0
2010-06-02,300.0,285.0,300.0,304.0,-4.0,59,2170,629270.0
2010-06-03,310.0,295.0,300.0,300.0,,15,620,186250.0
2010-06-06,300.0,289.0,300.0,300.0,,57,2450,725240.0
2010-06-07,298.0,290.0,298.0,300.0,-2.0,36,1690,495450.0
2010-06-08,300.0,280.0,293.0,298.0,-5.0,23,1140,332260.0
2010-06-09,298.0,288.0,298.0,293.0,5.0,16,700,206920.0
2010-06-10,303.0,294.0,299.0,298.0,1.0,33,1460,433430.0
2010-06-13,300.0,289.0,300.0,299.0,1.0,44,2440,723910.0
2010-06-14,302.0,294.0,299.0,300.0,-1.0,41,2070,618280.0
2010-06-15,300.0,295.0,296.0,299.0,-3.0,49,3000,892220.0
2010-06-16,295.0,280.0,295.0,296.0,-1.0,57,2500,708510.0
2010-06-17,295.0,285.0,285.0,295.0,-10.0,76,3410,991100.0
2010-06-20,289.0,279.0,289.0,285.0,4.0,116,7840,2209730.0
2010-06-21,289.0,284.0,284.0,289.0,-5.0,8,440,125620.0
2010-06-22,290.0,270.0,285.0,284.0,1.0,69,3710,1056780.0
2010-06-23,285.0,276.0,282.0,285.0,-3.0,45,1950,548650.0
2010-06-24,286.0,280.0,286.0,282.0,4.0,107,7550,2154060.0
2010-06-28,290.0,285.0,289.0,286.0,3.0,45,2240,643770.0
2010-06-29,292.0,271.0,278.0,289.0,-11.0,100,6330,1758450.0
2010-06-30,277.0,272.0,272.0,278.0,-6.0,22,1130,308420.0
2010-07-01,292.0,277.0,285.0,272.0,13.0,20,1990,563600.0
2010-07-04,289.0,275.0,282.0,285.0,-3.0,88,3590,1004350.0
2010-07-05,285.0,274.0,274.0,282.0,-8.0,44,1790,497890.0
2010-07-06,275.0,268.0,273.0,274.0,-1.0,18,1190,322050.0
2010-07-07,285.0,273.0,274.0,273.0,1.0,72,3140,862380.0
2010-07-08,279.0,275.0,275.0,274.0,1.0,13,380,105360.0
2010-07-11,280.0,275.0,275.0,275.0,,38,840,232600.0
2010-07-12,275.0,275.0,275.0,275.0,,19,450,123750.0
2010-07-13,275.0,270.0,275.0,275.0,,5,220,59500.0
2010-07-14,277.0,275.0,277.0,275.0,2.0,6,270,74400.0
2010-07-15,282.0,280.0,280.0,277.0,3.0,2,100,28040.0
2010-07-18,285.0,276.0,285.0,280.0,5.0,59,2670,748160.0
2010-07-19,280.0,269.0,275.0,285.0,-10.0,24,3850,1048700.0
2010-07-20,276.0,271.0,275.0,275.0,,24,2120,579060.0
2010-07-21,275.0,269.0,275.0,275.0,,55,2990,812370.0
2010-07-22,282.0,272.0,278.0,275.0,3.0,17,690,189360.0
2010-07-25,281.0,269.0,269.0,278.0,-9.0,34,1220,338170.0
2010-07-26,270.0,266.0,270.0,269.0,1.0,20,460,122560.0
2010-07-27,270.0,265.0,265.0,270.0,-5.0,6,120,31920.0
2010-07-28,274.0,266.0,271.0,265.0,6.0,49,1060,284080.0
2010-07-29,271.0,266.0,271.0,271.0,,15,560,149980.0
2010-08-01,271.0,267.0,270.0,271.0,-1.0,19,1160,310190.0
2010-08-02,270.0,265.0,270.0,270.0,,8,350,93720.0
2010-08-03,275.0,263.0,263.0,270.0,-7.0,29,2000,546440.0
2010-08-04,268.0,263.0,268.0,263.0,5.0,41,1620,433560.0
2010-08-05,273.0,263.0,264.0,268.0,-4.0,78,2400,653000.0
2010-08-08,270.0,259.0,270.0,264.0,6.0,14,720,191390.0
2010-08-09,274.0,270.0,274.0,270.0,4.0,6,320,86480.0
2010-08-10,271.0,265.0,265.0,274.0,-9.0,22,990,264750.0
2010-08-11,268.0,263.0,264.0,265.0,-1.0,29,840,222440.0
2010-08-12,265.0,264.0,265.0,264.0,1.0,49,1790,473650.0
2010-08-15,265.0,264.0,264.0,265.0,-1.0,20,640,169290.0
2010-08-16,263.0,258.0,263.0,264.0,-1.0,6,420,109710.0
2010-08-17,261.0,256.0,256.0,263.0,-7.0,8,180,46660.0
2010-08-18,252.0,250.0,251.0,256.0,-5.0,25,1900,476620.0
2010-08-19,250.0,242.0,246.0,251.0,-5.0,29,1190,291710.0
2010-08-22,242.0,230.0,234.0,246.0,-12.0,13,510,119340.0
2010-08-23,235.0,230.0,231.0,234.0,-3.0,83,4640,1070590.0
2010-08-26,236.0,223.0,223.0,231.0,-8.0,25,1240,284090.0
2010-08-29,224.0,217.0,222.0,223.0,-1.0,39,2150,473380.0
2010-08-30,228.0,220.0,228.0,222.0,6.0,29,1500,334450.0
2010-08-31,228.0,224.0,224.0,228.0,-4.0,15,530,119910.0
2010-09-02,225.0,223.0,223.0,224.0,-1.0,9,510,114450.0
2010-09-05,228.0,220.0,224.0,223.0,1.0,45,2380,532130.0
2010-09-06,234.0,221.0,234.0,224.0,10.0,21,1450,321600.0
2010-09-07,239.0,234.0,235.0,234.0,1.0,12,520,122270.0
2010-09-08,239.0,238.0,239.0,235.0,4.0,3,110,26270.0
2010-09-09,239.0,227.0,231.0,239.0,-8.0,10,350,81210.0
2010-09-13,236.0,223.0,223.0,231.0,-8.0,38,1710,399840.0
2010-09-14,225.0,218.0,222.0,223.0,-1.0,17,680,149580.0
2010-09-15,220.0,216.0,216.0,222.0,-6.0,5,570,124480.0
2010-09-16,215.0,213.0,215.0,216.0,-1.0,11,1130,242550.0
2010-09-19,211.0,211.0,211.0,215.0,-4.0,1,50,10550.0
2010-09-20,216.0,210.0,216.0,211.0,5.0,27,1020,216150.0
2010-09-21,217.0,214.0,217.0,216.0,1.0,3,190,40930.0
2010-09-23,225.0,217.0,224.0,217.0,7.0,11,550,122310.0
2010-09-26,226.0,220.0,220.0,224.0,-4.0,17,680,152280.0
2010-09-27,226.0,223.0,226.0,220.0,6.0,6,320,72160.0
2010-09-28,222.0,216.0,217.0,226.0,-9.0,13,620,134620.0
2010-09-29,215.0,212.0,212.0,217.0,-5.0,5,230,49140.0
2010-09-30,217.0,215.0,216.0,212.0,4.0,18,850,183170.0
2010-10-03,216.0,212.0,215.0,216.0,-1.0,38,2840,603420.0
2010-10-05,220.0,220.0,220.0,220.0,,4,150,33000.0
2010-10-06,223.0,220.0,223.0,220.0,3.0,19,830,183410.0
2010-10-07,229.0,224.0,228.0,223.0,5.0,19,1730,389730.0
2010-10-10,225.0,225.0,225.0,228.0,-3.0,1,80,18000.0
2010-10-12,229.0,229.0,229.0,225.0,4.0,1,60,13740.0
2010-10-13,233.0,233.0,233.0,229.0,4.0,1,100,23300.0
2010-10-20,235.0,235.0,235.0,233.0,2.0,1,80,18800.0
2010-10-21,231.0,225.0,228.0,235.0,-7.0,5,450,102630.0
2010-10-24,230.0,228.0,229.0,228.0,1.0,8,320,73180.0
2010-10-25,239.0,230.0,238.0,229.0,9.0,10,660,155660.0
2010-10-26,238.0,230.0,230.0,238.0,-8.0,8,480,111760.0
2010-10-27,237.0,230.0,232.0,230.0,2.0,44,2550,595030.0
2010-10-28,229.0,224.0,224.0,232.0,-8.0,11,470,106380.0
2010-10-31,225.0,224.0,224.0,224.0,,13,760,170690.0
2010-11-02,223.0,219.0,222.0,223.0,-1.0,4,160,35500.0
2010-11-03,222.0,216.0,216.0,222.0,-6.0,18,1370,299040.0
2010-11-04,211.0,207.0,211.0,216.0,-5.0,6,170,35270.0
2010-11-09,202.0,200.0,200.0,211.0,-11.0,23,1160,234080.0
2010-11-10,220.0,204.0,218.0,200.0,18.0,8,300,64300.0
2010-11-11,224.0,220.0,224.0,218.0,6.0,39,2280,509200.0
2010-11-14,220.0,220.0,220.0,224.0,-4.0,1,60,13200.0
2010-11-15,222.0,217.0,222.0,220.0,2.0,9,500,109720.0
2010-11-16,225.0,220.0,220.0,222.0,-2.0,14,690,153130.0
2010-11-18,220.0,210.0,216.0,220.0,-4.0,15,810,174000.0
2010-11-21,220.0,214.0,218.0,216.0,2.0,26,2000,432150.0
2010-11-22,221.0,212.0,212.0,218.0,-6.0,32,1790,389580.0
2010-11-23,212.0,208.0,208.0,212.0,-4.0,25,880,185840.0
2010-11-24,212.0,212.0,212.0,208.0,4.0,1,70,14840.0
2010-11-25,216.0,209.0,209.0,212.0,-3.0,10,400,85130.0
2010-11-28,209.0,202.0,209.0,209.0,,10,610,125170.0
2010-11-29,213.0,208.0,210.0,209.0,1.0,52,1270,268460.0
2010-11-30,214.0,209.0,214.0,210.0,4.0,5,710,149010.0
2010-12-01,213.0,209.0,209.0,214.0,-5.0,15,620,130140.0
2010-12-02,213.0,201.0,201.0,209.0,-8.0,10,1240,256140.0
2010-12-05,209.0,202.0,206.0,201.0,5.0,42,990,203520.0
2010-12-06,210.0,201.0,202.0,206.0,-4.0,33,1620,334610.0
2010-12-07,207.0,199.0,205.0,202.0,3.0,21,3440,686650.0
2010-12-08,205.0,200.0,202.0,205.0,-3.0,12,820,165100.0
2010-12-09,203.0,202.0,202.0,202.0,,16,610,123690.0
2010-12-12,202.0,201.0,201.0,202.0,-1.0,7,310,62600.0
2010-12-13,202.0,201.0,202.0,201.0,1.0,41,2430,490260.0
2010-12-14,212.0,202.0,206.0,202.0,4.0,44,1530,317710.0
2010-12-15,202.0,198.0,201.0,206.0,-5.0,8,320,63920.0
2010-12-16,200.0,200.0,200.0,201.0,-1.0,4,240,48000.0
2010-12-19,201.0,198.0,200.0,200.0,,7,230,45990.0
2010-12-20,204.0,200.0,202.0,200.0,2.0,13,740,149460.0
2010-12-22,200.0,200.0,200.0,202.0,-2.0,2,120,24000.0
2010-12-23,204.0,200.0,202.0,200.0,2.0,26,760,153350.0
2010-12-26,205.0,204.0,204.0,202.0,2.0,37,1670,342200.0
2010-12-27,205.0,200.0,205.0,204.0,1.0,20,5980,1223250.0
2010-12-28,209.0,205.0,205.0,205.0,,15,590,123190.0
2010-12-29,208.0,200.0,202.0,205.0,-3.0,63,5520,1129100.0
2011-01-02,202.0,202.0,202.0,202.0,,2,40,8080.0
2011-01-03,203.0,199.0,199.0,202.0,-3.0,9,330,66220.0
2011-01-04,199.0,196.0,196.0,199.0,-3.0,11,460,90830.0
2011-01-05,205.0,198.0,201.0,196.0,5.0,23,1310,261630.0
2011-01-06,203.0,195.0,197.0,201.0,-4.0,32,1010,200890.0
2011-01-09,196.0,194.0,196.0,197.0,-1.0,15,470,91580.0
2011-01-10,195.0,190.0,195.0,196.0,-1.0,24,980,187860.0
2011-01-11,195.0,192.0,192.0,195.0,-3.0,6,170,32770.0
2011-01-12,195.0,190.0,193.0,192.0,1.0,36,1070,207030.0
2011-01-13,195.0,192.0,192.0,193.0,-1.0,25,660,127890.0
2011-01-16,198.0,195.0,195.0,192.0,3.0,27,1050,205690.0
2011-01-17,195.0,192.0,194.0,195.0,-1.0,52,2120,410950.0
2011-01-18,198.0,192.0,196.0,194.0,2.0,22,1160,227630.0
2011-01-20,195.0,192.0,192.0,196.0,-4.0,19,1420,276720.0
2011-01-23,193.0,190.0,191.0,192.0,-1.0,13,530,101340.0
2011-01-24,193.0,190.0,193.0,191.0,2.0,3,100,19140.0
2011-01-31,190.0,190.0,190.0,193.0,-3.0,1,20,3800.0
2011-02-01,196.0,190.0,196.0,190.0,6.0,12,530,102710.0
2011-02-02,196.0,190.0,190.0,196.0,-6.0,12,260,49760.0
2011-02-03,193.0,190.0,193.0,190.0,3.0,6,250,47890.0
2011-02-06,202.0,196.0,202.0,193.0,9.0,5,250,49780.0
2011-02-07,205.0,205.0,205.0,202.0,3.0,8,160,32800.0
2011-02-09,205.0,195.0,195.0,205.0,-10.0,20,1780,352150.0
2011-02-10,214.0,195.0,213.0,195.0,18.0,21,700,141660.0
2011-02-13,209.0,192.0,192.0,213.0,-21.0,49,3220,628770.0
2011-02-14,192.0,179.0,186.0,192.0,-6.0,49,1880,351480.0
