date,high,low,close,previous,diff,numtrans,tradedshares,volume
2020-09-20,330.0,270.0,270.0,300.0,-30.0,5173,104308,33469970.0
2020-09-21,257.0,243.0,243.0,270.0,-27.0,2193,44405,10802315.0
2020-09-22,239.0,219.0,219.0,243.0,-24.0,1008,20625,4517715.0
2020-09-23,229.0,198.0,218.0,219.0,-1.0,6827,125652,26279887.0
2020-09-24,231.0,211.0,223.0,218.0,5.0,2673,51690,11402670.0
2020-09-27,226.0,215.0,216.0,223.0,-7.0,1305,31570,6895980.0
2020-09-28,215.0,206.0,209.0,216.0,-7.0,1136,24911,5231169.0
2020-09-29,215.0,200.0,208.0,209.0,-1.0,1299,48410,9947895.0
2020-09-30,215.0,200.0,210.0,208.0,2.0,950,34150,7178430.0
2020-10-01,218.0,203.0,204.0,210.0,-6.0,1022,28932,5951065.0
2020-10-04,204.0,197.0,200.0,204.0,-4.0,1034,37708,7529888.0
2020-10-05,204.0,194.0,203.0,200.0,3.0,1003,26919,5375410.0
2020-10-06,221.0,199.0,221.0,203.0,18.0,1011,32089,6762700.0
2020-10-07,240.0,211.0,237.0,221.0,16.0,1209,67383,15432660.0
2020-10-08,240.0,220.0,221.0,237.0,-16.0,812,65555,14817208.0
2020-10-11,225.0,209.0,217.0,221.0,-4.0,618,24434,5259706.0
2020-10-12,215.0,209.0,214.0,217.0,-3.0,497,21884,4646701.0
2020-10-13,213.0,206.0,208.0,214.0,-6.0,411,21310,4461805.0
2020-10-14,208.0,201.0,202.0,208.0,-6.0,384,18425,3745115.0
2020-10-15,211.0,200.0,204.0,202.0,2.0,351,15355,3144565.0
2020-10-18,205.0,200.0,203.0,204.0,-1.0,279,6610,1335140.0
2020-10-19,207.0,199.0,207.0,203.0,4.0,218,7280,1478570.0
2020-10-20,215.0,203.0,207.0,207.0,,252,19670,4110085.0
2020-10-21,208.0,204.0,208.0,207.0,1.0,156,6045,1244155.0
2020-10-22,210.0,202.0,208.0,208.0,,193,7775,1611040.0
2020-10-28,210.0,202.0,206.0,208.0,-2.0,260,8050,1654220.0
2020-10-29,209.0,203.0,205.0,206.0,-1.0,372,11183,2309148.0
2020-11-01,207.0,201.0,204.0,205.0,-1.0,423,16955,3474795.0
2020-11-02,207.0,200.0,204.0,204.0,,332,7080,1447715.0
2020-11-03,210.0,203.0,206.0,204.0,2.0,358,10115,2078615.0
2020-11-04,210.0,196.0,208.0,206.0,2.0,301,7018,1450362.0
2020-11-05,212.0,203.0,212.0,208.0,4.0,421,25497,5325488.0
2020-11-08,220.0,209.0,217.0,212.0,5.0,524,34970,7528495.0
2020-11-09,221.0,212.0,213.0,217.0,-4.0,395,24572,5289204.0
2020-11-10,215.0,211.0,211.0,213.0,-2.0,250,14990,3194228.0
2020-11-11,214.0,207.0,210.0,211.0,-1.0,257,11710,2472110.0
2020-11-12,212.0,207.0,209.0,210.0,-1.0,294,7230,1508340.0
2020-11-18,208.0,205.0,206.0,209.0,-3.0,235,17345,3579103.0
2020-11-19,213.0,204.0,209.0,206.0,3.0,430,21285,4473495.0
2020-11-22,213.0,204.0,205.0,209.0,-4.0,429,21020,4365975.0
2020-11-23,206.0,201.0,205.0,205.0,,408,24135,4898654.0
2020-11-24,212.0,203.0,206.0,205.0,1.0,353,17360,3597700.0
2020-11-25,223.0,204.0,208.0,206.0,2.0,467,19690,4079315.0
2020-11-26,209.0,204.0,206.0,208.0,-2.0,406,13760,2833037.0
2020-11-29,208.0,203.0,207.0,206.0,1.0,487,28977,5939270.0
2020-11-30,215.0,206.0,215.0,207.0,8.0,545,21701,4534545.0
2020-12-01,223.0,209.0,216.0,215.0,1.0,484,26536,5696759.0
2020-12-02,226.0,211.0,222.0,216.0,6.0,618,67591,14845356.0
2020-12-03,230.0,218.0,225.0,222.0,3.0,539,67823,15083580.0
2020-12-06,226.0,209.0,210.0,225.0,-15.0,298,25052,5396842.0
2020-12-07,223.0,208.0,217.0,210.0,7.0,368,15265,3282485.0
2020-12-08,227.0,213.0,213.0,217.0,-4.0,370,19820,4309778.0
2020-12-09,231.0,210.0,220.0,213.0,7.0,476,39063,8595758.0
2020-12-10,242.0,218.0,242.0,220.0,22.0,887,113061,26306793.0
2020-12-13,260.0,237.0,242.0,242.0,,626,53662,13193217.0
2020-12-14,244.0,226.0,228.0,242.0,-14.0,440,39121,9099060.0
2020-12-15,238.0,217.0,229.0,228.0,1.0,336,34220,7795151.0
2020-12-16,241.0,223.0,226.0,229.0,-3.0,282,15920,3623100.0
2020-12-17,230.0,219.0,221.0,226.0,-5.0,313,16988,3779640.0
2020-12-20,218.0,205.0,207.0,221.0,-14.0,294,24828,5214545.0
2020-12-21,218.0,200.0,217.0,207.0,10.0,330,19468,4077994.0
2020-12-22,232.0,213.0,220.0,217.0,3.0,401,22415,4901140.0
2020-12-23,231.0,215.0,217.0,220.0,-3.0,209,10820,2345330.0
2020-12-24,220.0,210.0,217.0,217.0,,208,8078,1743260.0
2020-12-27,221.0,210.0,214.0,217.0,-3.0,221,8650,1863890.0
2020-12-28,215.0,210.0,210.0,214.0,-4.0,189,7730,1634780.0
2020-12-29,220.0,207.0,213.0,210.0,3.0,266,15765,3310236.0
2020-12-30,213.0,208.0,212.0,213.0,-1.0,224,6310,1326810.0
2020-12-31,215.0,208.0,212.0,212.0,,239,6815,1430085.0
2021-01-03,218.0,208.0,218.0,212.0,6.0,306,11740,2488270.0
2021-01-04,218.0,209.0,212.0,218.0,-6.0,180,6260,1328940.0
2021-01-05,222.0,209.0,217.0,212.0,5.0,239,9746,2109506.0
2021-01-06,218.0,210.0,212.0,217.0,-5.0,168,15752,3353534.0
2021-01-07,222.0,212.0,220.0,212.0,8.0,371,17538,3804535.0
2021-01-10,222.0,213.0,220.0,220.0,,280,7826,1698730.0
2021-01-11,231.0,215.0,219.0,220.0,-1.0,175,7230,1574750.0
2021-01-12,220.0,213.0,217.0,219.0,-2.0,233,13080,2840500.0
