date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-27,623.0,623.0,623.0,635.0,-12.0,1,10,6230.0
2010-04-29,611.0,588.0,588.0,623.0,-35.0,5,50,29980.0
2010-05-09,577.0,566.0,566.0,588.0,-22.0,2,20,11430.0
2010-05-11,566.0,566.0,566.0,566.0,,1,10,5660.0
2010-05-17,555.0,535.0,535.0,566.0,-31.0,3,30,16340.0
2010-05-18,540.0,530.0,540.0,535.0,5.0,9,570,303600.0
2010-05-20,540.0,530.0,535.0,540.0,-5.0,3,110,59050.0
2010-05-30,545.0,545.0,545.0,535.0,10.0,2,20,10900.0
2010-06-01,555.0,555.0,555.0,545.0,10.0,1,50,27750.0
2010-06-02,610.0,566.0,610.0,555.0,55.0,8,410,235550.0
2010-06-03,671.0,622.0,671.0,610.0,61.0,5,80,51330.0
2010-06-09,697.0,684.0,697.0,671.0,26.0,2,30,20650.0
2010-06-15,685.0,685.0,685.0,697.0,-12.0,2,60,41100.0
2010-06-20,672.0,659.0,659.0,685.0,-26.0,6,1060,711670.0
2010-06-21,646.0,623.0,623.0,659.0,-36.0,3,130,82860.0
2010-06-22,611.0,611.0,611.0,623.0,-12.0,5,90,54990.0
2010-06-24,600.0,600.0,600.0,611.0,-11.0,2,60,36000.0
2010-06-28,595.0,595.0,595.0,600.0,-5.0,1,10,5950.0
2010-06-29,596.0,590.0,596.0,595.0,1.0,6,80,47600.0
2010-07-04,601.0,590.0,601.0,596.0,5.0,2,90,53760.0
2010-07-05,607.0,600.0,607.0,601.0,6.0,5,50,30150.0
2010-07-07,610.0,607.0,610.0,607.0,3.0,2,160,97570.0
2010-07-08,601.0,601.0,601.0,610.0,-9.0,1,10,6010.0
2010-07-11,600.0,588.0,588.0,601.0,-13.0,7,550,329880.0
2010-07-12,585.0,585.0,585.0,588.0,-3.0,1,20,11700.0
2010-07-13,574.0,574.0,574.0,585.0,-11.0,1,150,86100.0
2010-07-14,581.0,581.0,581.0,574.0,7.0,6,150,87150.0
2010-07-15,580.0,580.0,580.0,581.0,-1.0,1,10,5800.0
2010-07-20,590.0,590.0,590.0,580.0,10.0,1,90,53100.0
2010-07-22,601.0,601.0,601.0,590.0,11.0,1,10,6010.0
2010-07-25,600.0,591.0,591.0,601.0,-10.0,3,30,17910.0
2010-07-26,580.0,580.0,580.0,591.0,-11.0,1,20,11600.0
2010-07-27,569.0,569.0,569.0,580.0,-11.0,1,20,11380.0
2010-07-29,558.0,558.0,558.0,569.0,-11.0,1,20,11160.0
2010-08-02,558.0,557.0,557.0,558.0,-1.0,2,30,16730.0
2010-08-08,568.0,568.0,568.0,557.0,11.0,1,10,5680.0
2010-08-10,601.0,579.0,601.0,568.0,33.0,3,60,35510.0
2010-08-11,612.0,612.0,612.0,601.0,11.0,1,20,12240.0
2010-08-12,612.0,600.0,608.0,612.0,-4.0,4,280,168480.0
2010-08-15,598.0,598.0,598.0,608.0,-10.0,1,30,17940.0
2010-08-16,587.0,587.0,587.0,598.0,-11.0,4,40,23480.0
2010-08-18,585.0,585.0,585.0,587.0,-2.0,4,80,46800.0
2010-08-19,586.0,586.0,586.0,585.0,1.0,1,20,11720.0
2010-08-29,580.0,580.0,580.0,586.0,-6.0,2,20,11600.0
2010-08-30,580.0,580.0,580.0,580.0,,7,190,110200.0
2010-09-02,580.0,580.0,580.0,580.0,,1,100,58000.0
2010-09-06,576.0,575.0,576.0,580.0,-4.0,2,20,11510.0
2010-09-07,588.0,575.0,588.0,576.0,12.0,4,140,80960.0
2010-09-08,599.0,599.0,599.0,588.0,11.0,1,10,5990.0
2010-09-12,600.0,600.0,600.0,599.0,1.0,1,10,6000.0
2010-09-14,600.0,600.0,600.0,600.0,,2,360,216000.0
2010-09-15,610.0,604.0,610.0,600.0,10.0,16,1640,992990.0
2010-09-16,610.0,600.0,600.0,610.0,-10.0,9,450,270200.0
2010-09-19,590.0,590.0,590.0,600.0,-10.0,2,2000,1180000.0
2010-09-21,590.0,589.0,590.0,590.0,,4,100,58990.0
2010-09-26,590.0,590.0,590.0,590.0,,1,10,5900.0
2010-09-27,590.0,580.0,580.0,590.0,-10.0,3,110,64100.0
2010-09-28,580.0,580.0,580.0,580.0,,6,930,539400.0
2010-09-29,571.0,570.0,571.0,580.0,-9.0,2,30,17120.0
2010-09-30,571.0,571.0,571.0,571.0,,4,40,22840.0
2010-10-03,582.0,571.0,582.0,571.0,11.0,4,70,40430.0
2010-10-06,582.0,582.0,582.0,582.0,,1,10,5820.0
2010-10-11,582.0,582.0,582.0,582.0,,1,200,116400.0
2010-10-12,580.0,572.0,572.0,582.0,-10.0,2,20,11520.0
2010-10-26,570.0,570.0,570.0,572.0,-2.0,3,50,28500.0
2010-11-02,555.0,555.0,555.0,561.0,-6.0,1,150,83250.0
