date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-05-07,294.9,251,255,0,255,3996,73692,18976103.2
2023-05-08,270.3,237,256.1,255,1.1000000000000227,2159,24595,6252181.2
2023-05-09,261.1,247,258.3,256.1,2.1999999999999886,1096,10970,2787323
2023-05-10,255,246.2,253,258.3,-5.300000000000011,698,9415,2353939.5
2023-05-11,253,243.1,249.9,253,-3.0999999999999943,624,7708,1891467.2
2023-05-14,246,235,238.7,249.9,-11.200000000000017,604,13746,3300644.4
2023-05-15,249,230,240,238.7,1.3000000000000114,657,14233,3395733.1
2023-05-16,244,232,243,240,3,556,8788,2089577
2023-05-17,250.2,239,249.8,243,6.800000000000011,586,10005,2455437
2023-05-18,263,244,258,249.8,8.199999999999989,587,14308,3654576
2023-05-21,260.9,245.1,251,258,-7,471,15445,3953141.1
2023-05-22,255,243.1,250,251,-1,411,6560,1630656
2023-05-23,263,250,261.2,250,11.199999999999989,412,10517,2730466
2023-05-24,265,254.1,258.7,261.2,-2.5,335,10570,2737300
2023-05-28,263,247,254.9,258.7,-3.799999999999983,553,17735,4553345.5
2023-05-30,252,241.8,249.9,254.9,-5,354,6643,1640302.2
2023-05-31,249.9,238.2,240,249.9,-9.900000000000006,243,6030,1454388
2023-06-01,246.5,235.6,241,240,1,288,7970,1918198
2023-06-04,259.7,241,255,241,14,383,7010,1763672.8
2023-06-05,265.2,250.1,261,255,6,543,18629,4846589.8
2023-06-06,273,256.1,272.5,261,11.5,553,13624,3634185
2023-06-07,291,271,282,272.5,9.5,699,27982,7932441.6
2023-06-08,291.3,274.1,290.1,282,8.100000000000023,577,29302,8339850.3
2023-06-11,316,285,314,290.1,23.899999999999977,1139,24922,7569670.6
2023-06-12,333.3,307,323,314,9,1171,31893,10170604.5
2023-06-13,323,311,321,323,-2,830,21335,6767304.6
2023-06-14,333.5,312,319.9,321,-1.1000000000000227,914,26479,8561686.9
2023-06-15,330,313,330,319.9,10.100000000000023,775,25769,8236961.2
2023-06-18,330,317,320.8,330,-9.199999999999989,530,13336,4294104
2023-06-19,351,318,350,320.8,29.19999999999999,769,38594,12863538
2023-06-20,350,321,330,350,-20,336,11641,3893852
2023-06-21,333,316.2,320,330,-10,591,16412,5337129
2023-06-22,326.4,303,317,320,-3,445,15147,4806997.7
2023-06-25,320,291,310,317,-7,583,25017,7627580.5
2023-06-26,316.2,299,302,310,-8,359,7946,2430234.6
2023-06-27,330,284.2,315.5,302,13.5,498,20301,6096670
2023-06-28,319.2,296.5,297,315.5,-18.5,378,14835,4564879.5
2023-07-02,308,287.7,287.7,297,-9.300000000000011,407,8435,2480656.5
2023-07-03,295,279,279,287.7,-8.699999999999989,321,8954,2562999.7
2023-07-04,291,274.1,287.6,279,8.600000000000023,321,9685,2724554.5
2023-07-05,288,280.3,284,287.6,-3.6000000000000227,255,8855,2506907
2023-07-06,281,270,275,284,-9,323,11735,3254368
2023-07-09,280.5,270,275,275,0,375,5300,1447315
2023-07-10,280,262,271.3,275,-3.6999999999999886,336,16245,4347826
2023-07-11,280.4,266.1,270,271.3,-1.3000000000000114,310,17366,4720890
2023-07-12,290,265.1,290,270,20,321,7750,2176984
2023-07-13,295.8,274.5,290,290,0,301,5278,1488860
2023-07-16,294,271.5,273.1,290,-16.899999999999977,264,6195,1696782
2023-07-17,282,269,280,273.1,6.899999999999977,287,5012,1370765
2023-07-18,295,270.1,278,280,-2,263,10672,2939117.5
2023-07-19,275,267.2,274.9,278,-3.1000000000000227,225,5159,1400124.6
2023-07-20,279,262.7,278.9,274.9,4,241,11582,3095052
2023-07-23,281.5,263.3,273.2,278.9,-5.699999999999989,312,7385,2019884
2023-07-24,288.2,273.2,282,273.2,8.800000000000011,387,16101,4546060.7
2023-07-25,291,273.2,279,282,-3,262,8164,2276822
2023-07-26,284,268.2,270.1,279,-8.899999999999977,182,7457,2025640.7
2023-07-27,281,261.2,270,270.1,-0.10000000000002274,178,6328,1689927
2023-07-30,270,260,263.9,270,-6.100000000000023,174,7404,1937238.4
2023-07-31,264.9,260,263,263.9,-0.8999999999999773,197,2880,754294
2023-08-01,265.2,253.2,258.3,263,-4.699999999999989,194,4370,1135416
2023-08-02,267,252,267,258.3,8.699999999999989,220,4394,1126803.3
2023-08-03,268.2,253.8,267.9,267,0.8999999999999773,234,5040,1316942
2023-08-06,264,250,254.7,267.9,-13.199999999999989,257,8227,2093500
2023-08-07,270,245,255,254.7,0.30000000000001137,317,4400,1118463
2023-08-08,255,250,250.2,255,-4.800000000000011,318,5301,1328396
2023-08-09,270.3,242.1,270,250.2,19.80000000000001,307,5765,1461666
2023-08-10,275,255.1,271,270,1,239,5835,1524077
2023-08-13,265.6,250.1,253.3,271,-17.69999999999999,292,3110,792140
2023-08-14,257,249,256.8,253.3,3.5,320,4070,1029656
2023-08-15,267.1,247,254,256.8,-2.8000000000000114,283,10665,2675389
2023-08-16,259,235.3,250.1,254,-3.9000000000000057,138,3160,792302
2023-08-17,270.6,239.9,242,250.1,-8.099999999999994,204,7278,1781826.6
2023-08-20,259.8,237.2,243,242,1,230,7160,1729740
2023-08-21,251.8,235,239.9,243,-3.0999999999999943,188,4840,1166438
2023-08-22,260.1,230.7,260.1,239.9,20.200000000000017,208,5250,1256105
2023-08-23,258.7,241,253.8,260.1,-6.300000000000011,205,6450,1623602.2
2023-08-24,270,242,269,253.8,15.199999999999989,216,5812,1444351
2023-08-27,263.7,242.1,243.1,269,-25.900000000000006,204,5371,1307023.4
2023-08-28,247.8,238,238.2,243.1,-4.900000000000006,157,3110,745969
2023-08-29,239.4,234,234.3,238.2,-3.8999999999999773,163,4165,979064.5
2023-08-30,239,230.5,230.5,234.3,-3.8000000000000114,170,3036,708976.6
2023-09-03,235,225,225,230.5,-5.5,167,2000,459339
2023-09-04,239.1,221.2,234,225,9,196,2880,660323
2023-09-05,238,220,237.9,234,3.9000000000000057,125,1657,375544.2
2023-09-07,236.9,221,226.8,237.9,-11.099999999999994,117,3595,810535.1
2023-09-10,231.5,219.4,223,226.8,-3.8000000000000114,174,2870,643506
