date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-10-11,410.5,373.2,410.5,0,410.5,9169,120801,48090816
2023-10-12,451.5,402,440.1,410.5,29.600000000000023,5010,53234,23483653.8
2023-10-16,431.3,396.1,407.5,440.1,-32.60000000000002,4532,71195,29079421.2
2023-10-17,432,407.5,429.6,407.5,22.100000000000023,1886,40342,16847598
2023-10-18,460,416.5,450.1,429.6,20.5,1039,24712,10898431.5
2023-10-19,457,441.1,446.8,450.1,-3.3000000000000114,776,32579,14556051.8
2023-10-29,437.9,421.1,431.5,446.8,-15.300000000000011,934,22589,9657425.2
2023-10-30,454,423.1,441.5,431.5,10,813,20413,8885208.3
2023-10-31,445.2,433.1,442,441.5,0.5,489,10300,4511765
2023-11-01,448.8,435,438,442,-4,489,12368,5426794
2023-11-02,436,431,434,438,-4,418,9660,4194772
2023-11-05,435,415,424.8,434,-9.199999999999989,475,16710,7017474.4
2023-11-06,439,417.6,427,424.8,2.1999999999999886,501,12244,5233875.9
2023-11-07,445,420.1,431.1,427,4.100000000000023,433,14060,6165817
2023-11-08,468,439,460,431.1,28.899999999999977,698,36200,16571840
2023-11-09,465,446.7,452,460,-8,370,17631,8018540
2023-11-20,474,443,462,452,10,458,26462,12207292.2
2023-11-21,464.8,446,462,462,0,360,15340,6996732.7
2023-11-22,492,452.9,484.5,462,22.5,462,21333,9953339.4
2023-11-23,520,471,515,484.5,30.5,626,24561,12305952.5
2023-11-26,534,501,531,515,16,751,28973,15107771.6
2023-11-27,530,497.1,515.2,531,-15.799999999999955,691,54021,27764784.7
2023-11-28,525,504.9,514,515.2,-1.2000000000000455,480,18057,9309471
2023-11-29,545,503.9,523,514,9,446,16010,8342634
2023-11-30,533.4,499.8,501.2,523,-21.80000000000001,372,22157,11218077
2023-12-03,508,492,500,501.2,-1.1999999999999886,410,12907,6437275.4
2023-12-04,515,493,506,500,6,362,17551,8895253.1
2023-12-05,510,485.2,486,506,-20,343,29374,14553289.7
2023-12-06,504,481,485,486,-1,270,15690,7666260.8
2023-12-07,512,475.3,507,485,22,499,31801,15851777.9
2023-12-10,530,510,516,507,9,32,4610,2430538.5
2023-12-11,536.5,506,513.5,516,-2.5,695,39771,20490736.9
2023-12-12,535.3,506,529.5,513.5,16,685,57697,30193318
2023-12-13,573,522,554.1,529.5,24.600000000000023,593,48659,27046929.9
2023-12-14,575.2,544,555,554.1,0.8999999999999773,446,19222,10768815
2023-12-17,575,534,575,555,20,527,25631,14566786.3
2023-12-18,579,550,553,575,-22,585,46249,25957554.1
2023-12-19,572,545,568.9,553,15.899999999999977,537,37834,21154288
2023-12-20,605,563,592,568.9,23.100000000000023,646,53369,31367076.9
2023-12-21,651.2,581,651,592,59,849,71420,44760450.4
2023-12-24,716.1,642.1,687,651,36,911,69213,47475785.4
2023-12-27,701,661.2,685,687,-2,935,53036,35696529.4
2023-12-28,707,666.2,704.9,685,19.899999999999977,907,54518,37674327.8
2024-01-01,747.6,686,701,704.9,-3.8999999999999773,812,40322,28255946.5
2024-01-02,707.8,670.1,707.8,701,6.7999999999999545,649,71934,48872704.9
2024-01-03,720.1,673,720.1,707.8,12.300000000000068,674,35844,25145732.5
2024-01-04,775,706,775,720.1,54.89999999999998,970,76502,56025818
2024-01-07,805.8,745,795.6,775,20.600000000000023,671,46744,36313478.3
2024-01-08,786.4,762.3,777,795.6,-18.600000000000023,555,39975,30917618.5
2024-01-09,782,736,736,777,-41,615,77066,58045526
2024-01-10,752,715,728.4,736,-7.600000000000023,478,26029,18991447.2
2024-01-11,742.9,707,721,728.4,-7.399999999999977,438,29185,20831407
2024-01-14,746,715,736,721,15,379,25615,18587989
2024-01-16,759.9,721.7,750,736,14,578,31796,23446845.9
2024-01-17,765,719.1,736,750,-14,558,27012,19914033
2024-01-18,729,708,715,736,-21,637,20185,14489378
2024-01-21,749.9,709,709.4,715,-5.600000000000023,509,13505,9648867.5
2024-01-22,720,690.1,710,709.4,0.6000000000000227,455,14210,9968818.6
2024-01-23,722,689,700,710,-10,418,13159,9215198.4
2024-01-24,714,685,700,700,0,368,20819,14408684.4
2024-01-25,699,680,699,700,-1,302,13068,9007925
2024-01-28,710,683,701,699,2,428,8004,5552104
2024-01-29,715,689,704.9,701,3.8999999999999773,316,9685,6772777.5
2024-01-30,734,692,707,704.9,2.1000000000000227,510,12962,9258603.2
2024-01-31,721,696,696,707,-11,235,15063,10569504
2024-02-01,696,682.1,684,696,-12,208,10476,7192613.4
2024-02-04,691.5,671.1,673,684,-11,222,8927,6059077.1
2024-02-05,689,670,683,673,10,172,5566,3780777.9
2024-02-06,700,670,689,683,6,216,6864,4719812
2024-02-07,702.7,682,692,689,3,221,14062,9726928
2024-02-08,705,686.1,700,692,8,314,11615,8141318
2024-02-11,726,693.1,703,700,3,299,8934,6284359.7
2024-02-12,709,692,707,703,4,240,8475,5943211
2024-02-13,730.3,693.2,721.8,707,14.799999999999955,462,39381,28184338.6
2024-02-14,736.2,712.1,730,721.8,8.200000000000045,353,28088,20395283.1
2024-02-15,739,705,715,730,-15,253,12122,8674407
2024-02-18,715,692,696,715,-19,322,13125,9221614
2024-02-20,713,692,708,696,12,456,17501,12293589.5
2024-02-21,720,690.7,706,708,-2,287,16385,11429781.1
2024-02-22,700,681,700,706,-6,300,7472,5152881.3
2024-02-25,700,670,687,700,-13,228,7718,5265138
2024-02-26,700,663.6,690,687,3,210,11450,7714382
2024-02-27,690,668,689.7,690,-0.2999999999999545,90,2090,1416897.2
2024-02-28,689,667.5,687,689.7,-2.7000000000000455,123,10772,7262852.5
2024-02-29,683.3,658,670,687,-17,126,8562,5702664
2024-03-03,661,648.6,654,670,-16,97,3505,2290663.5
