date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-12-26,110.0,100.0,110.0,,10.0,20,150,16176.7
2021-12-27,121.0,110.0,121.0,110.0,11.0,36,184,21457.5
2021-12-28,133.1,119.3,133.1,121.0,12.1,22,160,20344.5
2021-12-29,146.4,133.1,146.4,133.1,13.3,19,137,19664.2
2022-01-02,161.0,144.6,161.0,146.4,14.6,30,239,37861.9
2022-01-03,177.1,164.2,177.1,161.0,16.1,30,217,37956.9
2022-01-04,194.8,177.1,194.8,177.1,17.7,25,212,40836.0
2022-01-05,214.2,198.6,214.2,194.8,19.4,33,315,67070.1
2022-01-06,235.6,214.2,235.6,214.2,21.4,56,445,103420.7
2022-01-09,259.1,240.3,259.1,235.6,23.5,69,609,157331.1
2022-01-10,285.0,259.1,285.0,259.1,25.9,44,440,124625.0
2022-01-11,313.5,290.7,313.5,285.0,28.5,72,556,173451.5
2022-01-12,344.8,309.6,344.8,313.5,31.3,178,1630,560608.0
2022-01-13,379.2,351.6,379.2,344.8,34.4,274,2675,1013673.0
2022-01-16,417.1,386.7,417.1,379.2,37.9,746,12392,5143469.0
2022-01-17,458.8,425.4,458.8,417.1,41.7,11853,240409,110154120.8
2022-01-18,503.0,441.0,496.0,458.8,37.2,25230,357427,174196927.5
2022-01-19,505.0,472.0,477.0,496.0,-19.0,11366,148537,71054715.5
2022-01-20,480.0,458.7,479.0,477.0,2.0,7475,135601,63478489.8
2022-01-23,488.0,465.9,470.0,479.0,-9.0,4727,86480,40896502.5
2022-01-24,470.0,450.1,455.0,470.0,-15.0,4138,102924,47084960.6
2022-01-25,461.0,440.0,447.0,455.0,-8.0,2898,71995,32332332.0
2022-01-26,451.2,435.0,437.0,447.0,-10.0,2390,64379,28296891.7
2022-01-27,452.0,432.0,441.0,437.0,4.0,2004,36998,16367388.5
2022-01-30,466.0,446.0,461.0,441.0,20.0,3634,64363,29096950.9
2022-01-31,479.0,448.0,448.1,461.0,-12.9,2352,43054,19559364.4
2022-02-01,463.0,441.0,455.0,448.1,6.9,3170,59724,27179344.5
2022-02-03,466.0,451.0,451.0,455.0,-4.0,3896,74742,34322809.8
2022-02-06,452.1,445.0,445.8,451.0,-5.2,2162,34341,15353650.0
2022-02-07,450.0,440.0,450.0,445.8,4.2,2468,38037,16905501.7
2022-02-08,467.0,437.0,441.1,450.0,-8.9,1965,46197,20619199.4
2022-02-09,441.0,433.1,436.3,441.1,-4.8,1459,33968,14821229.4
2022-02-10,447.7,430.0,431.0,436.3,-5.3,1571,32370,13999028.0
2022-02-13,425.0,407.0,409.0,431.0,-22.0,1550,47777,19684646.5
2022-02-14,419.1,401.0,406.0,409.0,-3.0,887,24853,10145301.0
2022-02-15,423.1,400.2,422.0,406.0,16.0,1083,29078,11927581.7
2022-02-16,423.0,408.1,409.0,422.0,-13.0,894,23013,9495293.4
2022-02-17,418.4,403.3,418.0,409.0,9.0,1117,23187,9593462.4
2022-02-20,416.2,397.0,410.0,418.0,-8.0,1158,27972,11456311.4
2022-02-21,420.0,405.1,414.0,410.0,4.0,1168,37810,15601998.5
2022-02-22,440.0,405.8,427.0,414.0,13.0,1849,97982,41836886.6
2022-02-23,465.9,427.1,452.0,427.0,25.0,2909,126540,56802073.3
2022-02-24,455.0,431.0,435.0,452.0,-17.0,1438,52331,23030888.3
2022-02-27,443.0,422.0,428.7,435.0,-6.3,1322,48473,20916177.6
2022-02-28,453.0,415.0,415.2,428.7,-13.5,1098,52097,22268509.7
2022-03-02,420.1,401.0,403.0,415.2,-12.2,840,31844,12935197.8
2022-03-06,409.0,398.0,400.0,403.0,-3.0,1005,27820,11191820.6
2022-03-07,408.0,375.0,389.0,400.0,-11.0,1171,68379,26584194.4
2022-03-09,393.0,374.9,378.0,389.0,-11.0,739,26126,9916217.0
2022-03-10,401.5,370.5,394.5,378.0,16.5,785,32450,12479191.1
2022-03-13,418.0,395.0,418.0,394.5,23.5,1112,36795,14979462.6
2022-03-14,420.0,400.0,408.0,418.0,-10.0,302,13178,5393014.1
2022-03-15,416.0,400.0,403.0,408.0,-5.0,901,26137,10594086.9
2022-03-16,404.0,394.1,399.9,403.0,-3.1,595,19150,7622762.0
2022-03-20,404.0,391.2,391.4,399.9,-8.5,730,22386,8841088.1
2022-03-21,406.8,387.1,404.0,391.4,12.6,916,29067,11547669.8
2022-03-22,412.0,397.0,400.0,404.0,-4.0,863,21203,8534226.6
2022-03-23,405.0,392.1,395.0,400.0,-5.0,512,14092,5574956.1
2022-03-24,397.8,387.1,390.0,395.0,-5.0,739,25713,10057085.5
2022-03-27,390.0,378.0,378.1,390.0,-11.9,732,21284,8143306.7
2022-03-28,383.0,372.0,372.0,378.1,-6.1,586,26946,10118279.5
2022-03-29,385.0,367.0,368.0,372.0,-4.0,523,17649,6542880.7
2022-03-30,380.0,362.1,380.0,368.0,12.0,602,16223,6062430.0
2022-03-31,385.9,370.7,371.0,380.0,-9.0,544,12636,4726351.2
2022-04-03,374.0,365.0,365.4,371.0,-5.6,574,15135,5567849.5
2022-04-04,370.0,360.0,361.0,365.4,-4.4,598,15069,5476656.6
2022-04-05,361.0,345.0,348.0,361.0,-13.0,751,30439,10626239.4
2022-04-06,347.9,336.0,337.6,348.0,-10.4,630,22140,7537295.5
2022-04-07,348.0,332.0,,337.6,5.4,704,21036,7209591.5
2022-04-11,350.0,329.0,329.0,343.0,-14.0,751,22565,7590123.7
2022-04-12,327.0,315.9,318.1,329.0,-10.9,517,18704,5998496.9
2022-04-13,327.0,307.1,317.0,318.1,-1.1,484,17952,5680519.5
2022-04-17,322.0,305.5,307.0,317.0,-10.0,469,12627,3948646.2
