date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-09-25,244.2,199.8,225,0,225,9454,139185,30483696.4
2023-09-26,247.5,220.5,247.5,225,22.5,4797,62839,14520907.1
2023-09-27,272.2,252.4,272,247.5,24.5,3927,46297,12378094.8
2023-10-01,270,244.8,244.8,272,-27.19999999999999,1652,53436,13293936.5
2023-10-02,240,225.1,232,244.8,-12.800000000000011,3102,73085,16879798
2023-10-03,245,227.5,233,232,1,2113,50026,11951573.4
2023-10-04,241,230,234,233,1,1561,23887,5605752.7
2023-10-05,234,228.1,231,234,-3,1228,20058,4616570
2023-10-08,227.7,219,221,231,-10,1214,36803,8206275.9
2023-10-09,228.5,215.1,221.1,221,0.09999999999999432,1058,29630,6640688
2023-10-10,225,217.1,221,221.1,-0.09999999999999432,992,31543,6970530.9
2023-10-11,227,217.2,224.4,221,3.4000000000000057,1092,23622,5246862.2
2023-10-12,223,215.2,217.9,224.4,-6.5,1134,19981,4357846.8
2023-10-16,224,204,207.2,217.9,-10.700000000000017,1278,27787,5831420.1
2023-10-17,214,202,204,207.2,-3.1999999999999886,606,15790,3258972.5
2023-10-18,210,201.1,207,204,3,427,8589,1774066.8
2023-10-19,209.2,201,201.8,207,-5.199999999999989,338,15772,3218692.9
2023-10-29,201.9,193,194,201.8,-7.800000000000011,554,17340,3437660
2023-10-30,199.9,190.3,199,194,5,528,13572,2649848.4
2023-10-31,195.8,192,195,199,-4,356,7120,1378244
2023-11-01,197,191,194.8,195,-0.19999999999998863,412,7495,1448311
2023-11-02,192,184,186,194.8,-8.800000000000011,385,10813,2038719.5
2023-11-05,186,182.6,184,186,-2,335,10675,1960451
2023-11-06,193.9,183.1,191.7,184,7.699999999999989,482,10575,2001223.5
2023-11-07,197,187.2,194.9,191.7,3.200000000000017,349,6590,1265168.2
2023-11-08,195.8,188.5,194,194.9,-0.9000000000000057,252,12885,2472747
2023-11-09,194,188,190,194,-4,225,11530,2219076
2023-11-20,195,187,187.3,190,-2.6999999999999886,368,7208,1367610.4
2023-11-21,187,178,180,187.3,-7.300000000000011,300,7616,1387746.1
2023-11-22,193.8,175,193.3,180,13.300000000000011,491,18628,3505875
2023-11-23,203,185.9,201.5,193.3,8.199999999999989,519,19022,3739614.1
2023-11-26,210,195,204.6,201.5,3.0999999999999943,748,25307,5202803.2
2023-11-27,207,197,199,204.6,-5.599999999999994,524,25439,5139522.8
2023-11-28,213.2,198,209,199,10,635,17176,3503834.3
2023-11-29,213,200.9,200.9,209,-8.099999999999994,418,38005,7796264.8
2023-11-30,204,191.7,196,200.9,-4.900000000000006,371,14706,2886357.8
2023-12-03,204,192.4,202.5,196,6.5,442,32493,6431822
2023-12-04,212.1,199.1,208,202.5,5.5,692,29146,6070721.6
2023-12-05,209,199,199.6,208,-8.400000000000006,356,13131,2659117.3
2023-12-06,205,197.1,203.9,199.6,4.300000000000011,302,10953,2215231.1
2023-12-07,216.4,199.9,210,203.9,6.099999999999994,685,26063,5448392.9
2023-12-10,222,211.6,220,210,10,36,4700,1036219
2023-12-11,223,210,216,220,-4,875,32962,7159772.7
2023-12-12,237.6,212.3,237.1,216,21.099999999999994,1217,102867,23735113.9
2023-12-13,253.9,232,240,237.1,2.9000000000000057,885,63187,15323847.9
2023-12-14,260,233,250.5,240,10.5,814,54694,13750088
2023-12-17,273.6,236.1,273.6,250.5,23.100000000000023,999,57698,15125023.5
2023-12-18,279,250,263.1,273.6,-10.5,995,89134,23273600.4
2023-12-19,270,248.2,266,263.1,2.8999999999999773,849,63387,16437451.2
