date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-07-05,275.4,243,243,0,243,2069,69350,17162091
2023-07-06,238.2,218.7,218.7,243,-24.30000000000001,409,26946,5897520.2
2023-07-09,226,197.9,218.1,218.7,-0.5999999999999943,15044,263768,56751648.7
2023-07-10,218.1,208,209.1,218.1,-9,6024,82952,17562182.4
2023-07-11,210.4,205,206.1,209.1,-3,4199,46920,9671982
2023-07-12,220,202.8,219.5,206.1,13.400000000000006,4462,77758,16693950.6
2023-07-13,223.5,207.6,208.6,219.5,-10.900000000000006,3614,76665,16292272.7
2023-07-16,212.7,205,207.5,208.6,-1.0999999999999943,2475,44573,9268540.5
2023-07-17,214,204.1,211.5,207.5,4,3169,49975,10524173
2023-07-18,214,211.2,211.3,211.5,-0.19999999999998863,2568,41978,8887963.4
2023-07-19,212,207.4,208,211.3,-3.3000000000000114,2086,38450,8032482.5
2023-07-20,228.8,205.3,217,208,9,3705,87926,19097545
2023-07-23,224,215,220,217,3,3546,76728,16899575.9
2023-07-24,235.5,217,225,220,5,3424,117096,26667845.4
2023-07-25,235,222,230,225,5,2586,68437,15665306.1
2023-07-26,230.1,220,222,230,-8,2207,63411,14278777
2023-07-27,225,215.1,218,222,-4,1753,52702,11469489.4
2023-07-30,222,210,210.9,218,-7.099999999999994,1781,37013,7868604.8
2023-07-31,218.9,207.5,209.5,210.9,-1.4000000000000057,2328,55013,11646550.3
2023-08-01,216,206.2,206.2,209.5,-3.3000000000000114,2029,42913,8956938.2
2023-08-02,211.1,205.6,208,206.2,1.8000000000000114,1880,28714,5959641.4
2023-08-03,211.3,206,207,208,-1,2329,41739,8687343.7
2023-08-06,214,200.2,202,207,-5,2369,41679,8482523
2023-08-07,205.9,198.3,200,202,-2,2930,51751,10381432.2
2023-08-08,202,193.2,194,200,-6,2213,38481,7558425.1
2023-08-09,201,189,200.1,194,6.099999999999994,1955,43607,8375456.1
2023-08-10,204,195.4,199,200.1,-1.0999999999999943,1690,42298,8387628.3
2023-08-13,196,191.2,192.1,199,-6.900000000000006,2464,37934,7351174.5
2023-08-14,195.9,190,190.5,192.1,-1.5999999999999943,1860,30083,5742862.1
2023-08-15,190,183,183.4,190.5,-7.099999999999994,1588,44990,8350254.4
2023-08-16,185,179,179.2,183.4,-4.200000000000017,950,22557,4071316.8
2023-08-17,184.9,179,180,179.2,0.8000000000000114,1131,22438,4070909.4
2023-08-20,187,173.6,173.6,180,-6.400000000000006,1134,21024,3693729
2023-08-21,173,156.4,165.1,173.6,-8.5,1106,58531,9773978.5
2023-08-22,179,162,178.3,165.1,13.200000000000017,1029,24115,4048118
2023-08-23,183.6,172.5,182,178.3,3.6999999999999886,1176,31189,5574213.7
2023-08-24,182,170.6,171,182,-11,951,34492,6048785.7
2023-08-27,174,163.1,164.1,171,-6.900000000000006,1153,29768,4953211.2
2023-08-28,170,163,165.5,164.1,1.4000000000000057,832,16631,2775997
2023-08-29,168,163,166,165.5,0.5,810,10508,1734143
2023-08-30,169,163,164.3,166,-1.6999999999999886,793,14058,2331450.5
2023-09-03,163,159,160,164.3,-4.300000000000011,931,26024,4169889.6
2023-09-04,165,157,164.2,160,4.199999999999989,717,13404,2157052.5
2023-09-05,165,160,161.1,164.2,-3.0999999999999943,613,8592,1390276.5
2023-09-07,162.3,159,162.3,161.1,1.200000000000017,745,17335,2783337.7
2023-09-10,171,159.3,164,162.3,1.6999999999999886,893,21435,3560568
2023-09-11,175,161,171.9,164,7.900000000000006,958,30653,5229397.6
2023-09-12,172,166.2,166.2,171.9,-5.700000000000017,568,17835,3006290.9
2023-09-13,175.4,163.1,175,166.2,8.800000000000011,810,26141,4492833.8
2023-09-17,175,165,167,175,-8,814,26541,4460675.7
2023-09-18,169.9,161.3,167,167,0,684,14326,2386695.2
2023-09-19,179.5,165.1,179.5,167,12.5,1068,34798,6003078.9
2023-09-21,192.8,178.5,188,179.5,8.5,2123,86981,16316891.9
2023-09-24,191,180,184,188,-4,1475,58233,10777579.3
2023-09-25,189,178,181.1,184,-2.9000000000000057,1290,30282,5539991.7
2023-09-26,195,181.1,191.6,181.1,10.5,1876,62508,11902947.7
2023-09-27,194.1,181.5,188,191.6,-3.5999999999999943,1165,64132,11922565
2023-10-01,189,171.5,177,188,-11,1332,58511,10481856.8
2023-10-02,187,170.6,181.7,177,4.699999999999989,1320,34890,6170774.5
2023-10-03,180.1,175,177.5,181.7,-4.199999999999989,881,19636,3484540.1
2023-10-04,186.5,175,180,177.5,2.5,1114,20286,3651648.8
2023-10-05,182,175.4,179,180,-1,991,20970,3732472
2023-10-08,178,171.1,172.5,179,-6.5,995,31350,5428063.5
2023-10-09,175,168.9,174.1,172.5,1.5999999999999943,858,19490,3349933.3
2023-10-10,179.9,167.4,168.3,174.1,-5.799999999999983,744,22985,3909035.6
2023-10-11,174.4,166.7,170,168.3,1.6999999999999886,791,24426,4185344.9
2023-10-12,173.4,167,169.5,170,-0.5,966,29833,5029783.1
2023-10-16,168,163.1,165,169.5,-4.5,867,24347,3996211.5
2023-10-17,173.3,163,166.9,165,1.9000000000000057,569,17010,2842343.3
2023-10-18,170.9,165.1,169,166.9,2.0999999999999943,411,15002,2536226.9
2023-10-19,170,163.7,167.9,169,-1.0999999999999943,287,16169,2694595.8
2023-10-29,169.5,162,163,167.9,-4.900000000000006,589,16730,2738169.9
2023-10-30,165,160.4,162,163,-1,609,23152,3752068.3
2023-10-31,164,160.4,162.9,162,0.9000000000000057,428,8336,1353033.2
2023-11-01,164,158.5,160.2,162.9,-2.700000000000017,539,24687,3962854.5
2023-11-02,163,156.7,157,160.2,-3.1999999999999886,569,16831,2657853.3
2023-11-05,157,152,153,157,-4,527,22041,3383982.1
2023-11-06,157,150,155,153,2,633,12755,1975824.5
2023-11-07,162.2,152.3,159,155,4,465,17827,2807910.6
2023-11-08,161,156,160.2,159,1.1999999999999886,327,7265,1155485
2023-11-09,160,155.4,156,160.2,-4.199999999999989,271,10135,1591500.4
2023-11-20,160.5,153,154.6,156,-1.4000000000000057,521,16820,2612684
2023-11-21,154,149.6,151.5,154.6,-3.0999999999999943,481,13983,2114046
2023-11-22,158,149,158,151.5,6.5,512,10768,1642214.4
2023-11-23,160,153,159.9,158,1.9000000000000057,500,12918,2039993.7
2023-11-26,170,156.8,168.9,159.9,9,964,35639,5890987.8
2023-11-27,177,165.1,166.5,168.9,-2.4000000000000057,752,27810,4721645.5
2023-11-28,170,163.3,168,166.5,1.5,720,20036,3339103.1
2023-11-29,174.4,163.1,166,168,-2,561,24342,4058877.6
2023-11-30,167.2,160.2,166,166,0,554,18671,3033292.1
2023-12-03,164.8,160.1,164.8,166,-1.1999999999999886,540,10065,1638168
2023-12-04,168.5,161.6,166,164.8,1.1999999999999886,672,25520,4221691.1
2023-12-05,169.3,161.9,164,166,-2,474,15325,2512639
2023-12-06,167,160.8,166,164,2,475,10650,1735382
2023-12-07,174.1,163,174,166,8,1012,53440,9034019.2
2023-12-10,190,177,188,174,14,86,13646,2560773.6
2023-12-11,191.7,176,182,188,-6,1555,107894,19604702
2023-12-12,200,178.5,198,182,16,1768,134953,25837354.4
