date,high,low,close,previous,diff,numtrans,tradedshares,volume
2020-12-16,378.0,344.0,378.0,344.0,34.0,5305,53050,19983900.0
2020-12-17,415.0,396.0,415.0,378.0,37.0,8009,82221,34091815.0
2020-12-20,435.0,374.0,379.0,415.0,-36.0,6527,78684,29829326.0
2020-12-21,390.0,343.0,387.0,379.0,8.0,2967,60950,22850550.0
2020-12-22,380.0,370.0,380.0,387.0,-7.0,1879,32646,12225030.0
2020-12-23,387.0,365.0,373.0,380.0,-7.0,1223,16780,6253200.0
2020-12-24,410.0,365.0,391.0,373.0,18.0,2208,53120,20524680.0
2020-12-27,409.0,387.0,387.0,391.0,-4.0,1695,72712,28816984.0
2020-12-28,399.0,379.0,392.0,387.0,5.0,946,13200,5144210.0
2020-12-29,410.0,382.0,386.0,392.0,-6.0,888,20180,7841780.0
2020-12-30,393.0,380.0,393.0,386.0,7.0,854,11930,4598290.0
2020-12-31,390.0,381.0,383.0,393.0,-10.0,752,10550,4048350.0
2021-01-03,388.0,378.0,379.0,383.0,-4.0,798,12200,4652245.0
2021-01-04,385.0,374.0,377.0,379.0,-2.0,556,11910,4528380.0
2021-01-05,409.0,371.0,383.0,377.0,6.0,668,12881,4943465.0
2021-01-06,390.0,380.0,383.0,383.0,,578,11846,4535841.0
2021-01-07,385.0,372.0,382.0,383.0,-1.0,675,8342,3179236.0
2021-01-10,382.0,375.0,378.0,382.0,-4.0,565,8420,3190860.0
2021-01-11,391.0,375.0,382.0,378.0,4.0,597,22075,8444595.0
2021-01-12,383.0,374.0,378.0,382.0,-4.0,321,11793,4455385.0
2021-01-13,385.0,376.0,384.0,378.0,6.0,418,9015,3430305.0
2021-01-17,405.0,379.0,396.0,384.0,12.0,592,24735,9839940.0
2021-01-18,415.0,395.0,401.0,396.0,5.0,554,18495,7420820.0
2021-01-19,405.0,393.0,400.0,401.0,-1.0,359,18151,7225530.0
2021-01-20,408.0,392.0,397.0,400.0,-3.0,385,9485,3792590.0
2021-01-21,436.0,396.0,436.0,397.0,39.0,949,40405,16889525.0
2021-01-24,479.0,420.0,479.0,436.0,43.0,718,31823,14993381.0
2021-01-25,526.0,461.0,526.0,479.0,47.0,1112,47755,24321450.0
2021-01-26,538.0,507.0,525.0,526.0,-1.0,976,26215,13655054.0
