date,high,low,close,previous,diff,numtrans,tradedshares,volume
2016-09-05,392.0,392.0,392.0,,392.0,1,10,3920.0
2016-09-08,411.0,411.0,411.0,392.0,19.0,1,10,4110.0
2016-11-24,419.0,419.0,419.0,411.0,8.0,1,10,4190.0
2016-12-06,451.0,427.0,451.0,419.0,32.0,4,50,21990.0
2016-12-15,478.0,460.0,478.0,451.0,27.0,3,92,43427.0
2016-12-18,496.0,487.0,496.0,478.0,18.0,2,20,9830.0
2016-12-21,487.0,460.0,487.0,451.0,36.0,4,40,18940.0
2016-12-26,535.0,496.0,535.0,487.0,48.0,5,50,25760.0
2017-01-19,545.0,545.0,545.0,535.0,10.0,1,10,5450.0
2017-01-23,566.0,555.0,566.0,545.0,21.0,2,41,23096.0
2017-01-24,577.0,577.0,577.0,566.0,11.0,1,10,5770.0
2017-02-06,,,,577.0,,4,18,10573.0
2017-02-09,610.0,588.0,610.0,577.0,33.0,3,30,17970.0
2017-02-12,646.0,622.0,646.0,610.0,36.0,3,74,47120.0
2017-02-13,671.0,658.0,671.0,646.0,25.0,2,20,13290.0
2017-02-14,684.0,684.0,684.0,671.0,13.0,1,10,6840.0
2017-02-26,710.0,697.0,710.0,684.0,26.0,2,20,14070.0
2017-03-01,752.0,724.0,752.0,710.0,42.0,3,30,22140.0
2017-03-02,782.0,767.0,782.0,752.0,30.0,2,41,31897.0
2017-03-14,797.0,797.0,797.0,782.0,15.0,1,10,7970.0
2017-03-20,,,,797.0,,1,4,3248.0
2017-03-21,844.0,812.0,844.0,797.0,47.0,3,50,41672.0
2017-03-22,877.0,860.0,877.0,844.0,33.0,2,27,23509.0
2017-03-26,894.0,894.0,894.0,877.0,17.0,1,10,8940.0
2017-04-06,975.0,938.0,975.0,894.0,81.0,5,61,58545.0
2017-04-09,,,,975.0,,2,10,9940.0
2017-04-11,1033.0,994.0,1033.0,975.0,58.0,3,35,35370.0
2017-04-12,1053.0,1053.0,1053.0,1033.0,20.0,2,20,21060.0
2017-04-13,1074.0,1074.0,1074.0,1053.0,21.0,1,10,10740.0
2017-04-20,1160.0,1095.0,1160.0,1074.0,86.0,4,40,45090.0
2017-04-24,1183.0,1183.0,1183.0,1160.0,23.0,2,20,23660.0
2017-04-26,1206.0,1206.0,1206.0,1183.0,23.0,1,10,12060.0
2017-04-27,1326.0,1230.0,1326.0,1206.0,120.0,19,312,406508.0
2017-04-30,1379.0,1352.0,1379.0,1326.0,53.0,2,22,30041.0
2017-05-04,1434.0,1406.0,1434.0,1379.0,55.0,4,28,39844.0
2017-05-07,1550.0,1462.0,1550.0,1434.0,116.0,4,43,64703.0
2017-05-08,1705.0,1581.0,1705.0,1550.0,155.0,8,75,124208.0
2017-05-09,1844.0,1739.0,1844.0,1705.0,139.0,6,54,97349.0
2017-05-11,1880.88,1880.88,1880.88,1844.0,36.88,1,10,18808.8
2017-05-15,1918.0,1918.0,1918.0,1880.88,37.12,1,10,19180.0
2017-05-17,2109.0,1956.0,2109.0,1918.0,191.0,6,72,147850.0
2017-05-18,2319.0,2151.0,2319.0,2109.0,210.0,28,575,1318840.0
2017-05-21,2550.9,2365.0,2550.0,2319.0,231.0,42,478,1214162.8
2017-05-22,2805.0,2601.0,2805.0,2550.0,255.0,101,1780,4978599.0
2017-05-23,3085.0,2690.0,2750.0,2805.0,-55.0,1216,23569,67176744.0
2017-05-24,2800.0,2553.0,2723.0,2750.0,-27.0,530,9195,24360864.0
2017-05-28,2670.0,2598.0,2618.0,2723.0,-105.0,289,4617,12079486.0
2017-05-30,2610.0,2541.0,2585.0,2618.0,-33.0,210,3110,8041649.0
2017-05-31,2636.0,2473.0,2598.0,2585.0,13.0,236,3194,8056183.0
2017-06-01,2547.0,2472.0,2512.0,2598.0,-86.0,102,3711,9304749.0
2017-06-04,2505.0,2382.0,2440.0,2512.0,-72.0,87,1476,3614703.0
2017-06-05,2487.0,2445.0,2476.0,2440.0,36.0,131,3213,7928935.0
2017-06-06,2545.0,2476.0,2538.0,2476.0,62.0,131,2535,6342094.0
2017-06-07,2599.0,2520.0,2525.0,2538.0,-13.0,138,5278,13483841.0
2017-06-08,2525.0,2480.0,2510.0,2525.0,-15.0,82,2104,5273791.0
2017-06-11,2475.0,2413.0,2431.0,2510.0,-79.0,112,2170,5313390.0
2017-06-12,2450.0,2375.0,2449.0,2431.0,18.0,143,2655,6350695.0
2017-06-13,2500.0,2353.0,2397.0,2449.0,-52.0,59,936,2252863.0
2017-06-14,2419.0,2361.0,2419.0,2397.0,22.0,71,900,2150867.0
2017-06-15,2449.0,2350.0,2400.0,2419.0,-19.0,90,2083,4973993.0
2017-06-18,2399.0,2338.0,2340.0,2400.0,-60.0,29,1179,2772015.0
2017-06-19,2369.0,2267.0,2280.0,2340.0,-60.0,51,1495,3422496.0
2017-06-20,2331.0,2250.0,2295.0,2280.0,15.0,40,1178,2697941.0
2017-06-21,2315.0,2252.0,2272.0,2295.0,-23.0,41,777,1770154.0
2017-06-22,2290.0,2256.0,2290.0,2272.0,18.0,31,597,1361116.0
2017-06-25,2301.0,2265.0,2285.0,2290.0,-5.0,30,605,1386672.0
2017-06-27,2330.0,2270.0,2277.0,2285.0,-8.0,47,1125,2579753.0
2017-06-28,2272.0,2232.0,2250.0,2277.0,-27.0,49,1418,3201579.0
2017-07-02,2290.0,2216.0,2218.0,2250.0,-32.0,52,925,2079078.0
2017-07-03,2244.0,2200.0,2240.0,2218.0,22.0,32,1136,2543567.0
2017-07-04,2245.0,2202.0,2210.0,2240.0,-30.0,66,843,1874544.0
2017-07-05,2280.0,2190.0,2280.0,2210.0,70.0,55,1061,2356931.0
2017-07-06,2350.0,2280.0,2325.0,2280.0,45.0,35,859,1985546.0
2017-07-09,2345.0,2180.0,2205.0,2325.0,-120.0,31,629,1421556.0
2017-07-10,2248.0,2206.0,2210.0,2205.0,5.0,41,1620,3590038.0
2017-07-11,2240.0,2200.0,2213.0,2210.0,3.0,40,701,1552593.0
2017-07-12,2245.0,2210.0,2224.0,2213.0,11.0,35,689,1530503.0
2017-07-13,2229.0,2200.0,2204.0,2224.0,-20.0,38,734,1618125.0
2017-07-16,2215.0,2185.0,2188.0,2204.0,-16.0,51,804,1765295.0
2017-07-17,2250.0,2156.0,2250.0,2188.0,62.0,57,1941,4306438.0
2017-07-18,2320.0,2225.0,2305.0,2250.0,55.0,62,3126,7080293.0
2017-07-19,2320.0,2215.0,2260.0,2305.0,-45.0,69,2192,5006505.0
2017-07-20,2274.0,2225.0,2260.0,2260.0,,40,879,1965480.0
2017-07-23,2280.0,2251.0,2253.0,2260.0,-7.0,75,1704,3862200.0
2017-07-24,2250.0,2214.0,2227.0,2253.0,-26.0,99,2418,5417129.0
2017-07-25,2245.0,2220.0,2230.0,2227.0,3.0,36,791,1766981.0
2017-07-26,2251.0,2196.0,2196.0,2230.0,-34.0,45,779,1743208.0
2017-07-27,2415.0,2202.0,2375.0,2196.0,179.0,102,3123,7286575.0
2017-07-30,2400.0,2282.0,2380.0,2375.0,5.0,89,2077,4906073.0
2017-07-31,2400.0,2334.0,2355.0,2380.0,-25.0,78,1418,3338924.0
2017-08-01,2469.0,2331.0,2469.0,2355.0,114.0,98,3586,8611983.0
2017-08-02,2450.0,2401.0,2429.0,2469.0,-40.0,75,1858,4486644.0
2017-08-03,2600.0,2392.0,2540.0,2429.0,111.0,146,4828,11907827.0
2017-08-06,2570.0,2455.0,2455.0,2540.0,-85.0,88,3983,9942160.0
2017-08-07,2450.0,2380.0,2438.0,2455.0,-17.0,67,1563,3772063.0
2017-08-09,2599.0,2412.0,2516.0,2438.0,78.0,259,8108,20396579.0
2017-08-10,2549.0,2476.0,2476.0,2516.0,-40.0,130,4364,10897325.0
2017-08-13,2460.0,2368.0,2382.0,2476.0,-94.0,86,2800,6720683.0
2017-08-15,2381.0,2335.0,2380.0,2382.0,-2.0,55,1035,2437341.0
2017-08-16,2429.0,2385.0,2411.0,2380.0,31.0,65,1354,3267147.0
2017-08-17,2402.0,2361.0,2380.0,2411.0,-31.0,49,1310,3109869.0
2017-08-20,2432.0,2340.0,2430.0,2380.0,50.0,26,755,1797489.0
2017-08-21,2390.0,2351.0,2353.0,2430.0,-77.0,32,619,1460213.0
2017-08-22,2437.0,2345.0,2355.0,2353.0,2.0,46,1149,2721486.0
2017-08-23,2375.0,2350.0,2355.0,2355.0,,46,1360,3201171.0
2017-08-24,2375.0,2323.0,2360.0,2355.0,5.0,57,898,2116571.0
2017-08-27,2385.0,2325.0,2385.0,2360.0,25.0,30,746,1762985.0
2017-08-28,2400.0,2334.0,2337.0,2385.0,-48.0,63,2066,4873319.0
2017-08-30,2390.0,2340.0,2346.0,2337.0,9.0,89,1752,4145080.0
2017-08-31,2344.0,2325.0,2325.0,2346.0,-21.0,60,885,2064436.0
2017-09-04,2324.0,2261.0,2300.0,2325.0,-25.0,64,1490,3428583.0
2017-09-06,2399.0,2320.0,2337.0,2300.0,37.0,47,1177,2770336.0
2017-09-07,2387.0,2330.0,2387.0,2337.0,50.0,53,1125,2639330.0
2017-09-10,2440.0,2300.0,2374.0,2387.0,-13.0,90,6000,14278295.0
2017-09-11,2388.0,2336.0,2355.0,2374.0,-19.0,85,1762,4149332.0
2017-09-12,2355.0,2305.0,2305.0,2355.0,-50.0,77,1802,4179275.0
2017-09-13,2340.0,2260.0,2315.0,2305.0,10.0,52,1137,2613760.0
2017-09-14,2349.0,2280.0,2298.0,2315.0,-17.0,90,1267,2906383.0
2017-09-17,2350.0,2300.0,2325.0,2298.0,27.0,223,3844,8924436.0
2017-09-18,1855.0,1788.0,1788.0,1788.0,,67,1683,3078743.0
2017-09-20,1775.0,1750.0,1756.0,1788.0,-32.0,17,404,709751.0
2017-09-24,1775.0,1720.0,1720.0,1756.0,-36.0,13,291,506007.0
2017-09-25,1719.0,1695.0,1700.0,1720.0,-20.0,12,288,489455.0
2017-09-26,1719.0,1676.0,1719.0,1700.0,19.0,13,4029,6760019.0
2017-10-03,1719.0,1719.0,1719.0,1719.0,,4,44,75636.0
