date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-12-14,196.6,178.8,196.6,0,196.6,139,940,183206.8
2023-12-17,216.2,200,216.2,196.6,19.599999999999994,164,1474,317608.1
2023-12-18,237.8,220.5,237.8,216.2,21.600000000000023,130,1220,289477.4
2023-12-19,261.5,242.5,261.5,237.8,23.69999999999999,116,1030,268600.1
2023-12-20,287.6,266.7,287.6,261.5,26.100000000000023,104,1040,298590
2023-12-21,316.3,288.1,316.3,287.6,28.69999999999999,167,1630,514277.5
2023-12-24,347.9,322.6,347.9,316.3,31.599999999999966,248,2449,851320.1
2023-12-27,382.6,354.8,382.6,347.9,34.700000000000045,262,2530,967249
2023-12-28,420.8,390,420.8,382.6,38.19999999999999,390,3870,1627262
2024-01-01,462.8,429.2,462.8,420.8,42,356,3530,1631380.4
2024-01-02,509,472,509,462.8,46.19999999999999,423,4220,2147069
2024-01-03,559.9,519.1,559.9,509,50.89999999999998,433,4320,2417760
2024-01-04,615.8,571,615.8,559.9,55.89999999999998,633,6280,3864783.8
2024-01-07,677.3,628.1,677.3,615.8,61.5,349,3461,2342300.3
2024-01-08,745,690,745,677.3,67.70000000000005,344,3430,2552337
2024-01-09,819.5,759.9,819.5,745,74.5,455,4511,3695028.6
2024-01-10,901.4,835,901.4,819.5,81.89999999999998,348,3432,3091635.8
2024-01-11,991.5,910,991.5,901.4,90.10000000000002,512,5770,5718412.3
2024-01-14,1090.6,1011.3,1090.6,991.5,99.09999999999991,484,4820,5253243
2024-01-16,1199.6,1112.4,1199.6,1090.6,109,487,4820,5777076.1
2024-01-17,1319.5,1080,1080.2,1199.6,-119.39999999999986,16575,211930,245027850.8
2024-01-18,1100.1,1010,1066,1080.2,-14.200000000000045,8165,82176,86440951.9
2024-01-21,1112,1021,1065,1066,-1,2925,43187,45894906.6
2024-01-22,1079,1020,1040,1065,-25,2049,38398,40345211.9
2024-01-23,1060.8,1026,1035,1040,-5,1640,32425,33879916
2024-01-24,1055.7,1015,1020,1035,-15,997,17945,18476761.3
2024-01-25,1025,973.3,990,1020,-30,1350,34647,34493429.6
2024-01-28,1000,955.9,969,990,-21,1385,26989,26158633.7
