date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-03-22,292,265.5,292,0,292,78,680,195156.4
2023-03-23,321.2,297.8,321.2,292,29.19999999999999,199,6317,2028370
2023-03-26,353.3,327.6,353.3,321.2,32.10000000000002,834,8740,3086311
2023-03-27,367.5,327.3,340,353.3,-13.300000000000011,5864,97727,32904101.9
2023-03-28,347,331.1,342,340,2,2638,34239,11599111
2023-03-29,347,330.3,337,342,-5,1512,24389,8118576.2
2023-03-30,343.7,324,332,337,-5,1647,31298,10269025.8
2023-04-02,336,307.8,312,332,-20,1318,35279,11198850
2023-04-03,307.1,293.1,297,312,-15,912,34267,10202746.7
2023-04-04,300,289.2,298.9,297,1.8999999999999773,540,16077,4770557.5
2023-04-05,305.1,290,298,298.9,-0.8999999999999773,496,8585,2557499
2023-04-06,300,292.2,293.9,298,-4.100000000000023,403,10773,3176748.6
2023-04-09,290,275.6,275.6,293.9,-18.299999999999955,584,20584,5779699.9
2023-04-10,282.6,271.2,279,275.6,3.3999999999999773,446,11394,3149455.5
2023-04-11,304,274.6,280.5,279,1.5,626,10110,2835702.5
2023-04-12,308.5,281.1,305,280.5,24.5,785,21164,6341022.7
2023-04-13,316,292,292.2,305,-12.800000000000011,614,20822,6236260.2
2023-04-16,302.9,287.2,297.9,292.2,5.699999999999989,571,14280,4186000.5
2023-04-17,296,285.6,288.9,297.9,-9,337,9551,2773049.1
2023-04-18,294.6,278.2,291,288.9,2.1000000000000227,356,8861,2545623
2023-04-19,295,285,295,291,4,335,8620,2493899
2023-04-20,295,284.4,284.5,295,-10.5,244,6531,1874806.5
2023-04-23,284,274.4,275,284.5,-9.5,423,6952,1925290.8
2023-04-24,281.5,270,275.3,275,0.30000000000001137,420,5315,1460030.7
2023-04-25,280.5,270,279,275.3,3.6999999999999886,368,10429,2842676
2023-04-26,281,272,272.5,279,-6.5,285,7107,1956300
2023-04-27,274,268.1,273.5,272.5,1,286,5596,1514193.3
2023-04-30,273,261.2,261.3,273.5,-12.199999999999989,291,9439,2504664.1
2023-05-02,263,251.9,255,261.3,-6.300000000000011,318,6600,1688192
2023-05-03,260,250.3,260,255,5,213,4928,1255235.5
2023-05-04,268,251.2,268,260,8,242,8253,2121458.3
2023-05-07,263,251.3,256,268,-12,260,4850,1230959.5
2023-05-08,253,237.2,245,256,-11,243,9444,2315318.7
2023-05-09,255,237.2,249,245,4,234,4036,987735.1
2023-05-10,245,240.1,243,249,-6,120,2265,550007.5
2023-05-11,246,234.2,243.7,243,0.6999999999999886,155,3890,923432
2023-05-14,243.5,225,233,243.7,-10.699999999999989,221,8232,1910253.2
2023-05-15,237.5,220.1,230,233,-3,203,5092,1164336.9
2023-05-16,248.1,226,243.1,230,13.099999999999994,256,14843,3408540.5
2023-05-17,245,229.1,244.9,243.1,1.8000000000000114,213,4381,1050529.2
2023-05-18,259.4,236,257,244.9,12.099999999999994,315,10888,2728045.2
2023-05-21,257,246,248,257,-9,313,12133,3050156
2023-05-22,266.9,244,259,248,11,273,10207,2582301.5
2023-05-23,270,254.1,266.1,259,7.100000000000023,371,11880,3154336.5
2023-05-24,265.9,256,261.2,266.1,-4.900000000000034,230,9351,2442715.1
2023-05-28,266.2,247.1,253.9,261.2,-7.299999999999983,325,10840,2789039
2023-05-30,250.5,237,244,253.9,-9.900000000000006,294,9429,2280135.1
2023-05-31,247.8,231.5,235,244,-9,210,6755,1599894
2023-06-01,239.5,226.4,236,235,1,240,10112,2358037.2
2023-06-04,248.7,240.7,248.4,236,12.400000000000006,240,13843,3385290
2023-06-05,249.7,240,240,248.4,-8.400000000000006,300,20075,4893216
2023-06-06,252.9,237,251.9,240,11.900000000000006,332,10327,2536156.1
2023-06-07,260,246.9,252,251.9,0.09999999999999432,375,16638,4261097.8
2023-06-08,268,248,258,252,6,360,18122,4613657.8
2023-06-11,267.7,254,264.8,258,6.800000000000011,526,20489,5385978.8
2023-06-12,270,258.9,264.9,264.8,0.0999999999999659,400,17636,4620496.6
2023-06-13,274,258.1,271,264.9,6.100000000000023,546,20037,5378451.9
2023-06-14,274,261,269,271,-2,462,24238,6458227.9
2023-06-15,272,262,264,269,-5,337,13820,3647757
2023-06-18,273,260.2,273,264,9,461,20808,5588027.9
2023-06-19,278.4,267.1,273.8,273,0.8000000000000114,348,16412,4451808
2023-06-20,275.4,264.6,264.6,273.8,-9.199999999999989,262,28198,7611206
2023-06-21,269,253.5,255,264.6,-9.600000000000023,311,13226,3416286.1
2023-06-22,259,241,245,255,-10,312,19022,4709203.7
2023-06-25,267.9,237.7,258.8,245,13.800000000000011,530,17102,4195204.1
