date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-09-22,186.5,186.5,186.5,,,1,10,1865.0
2021-09-23,194.0,186.5,194.0,186.5,7.5,7,43,8184.4
2021-09-26,205.7,197.8,205.7,194.0,11.7,5,40,8033.0
2021-09-27,226.2,209.8,226.2,205.7,20.5,7,70,15428.0
2021-09-28,248.8,226.2,248.8,226.2,22.6,7,61,14501.8
2021-09-29,269.0,253.7,269.0,248.8,20.2,6,50,12993.7
2021-09-30,295.9,274.3,295.9,269.0,26.9,8,80,23137.0
2021-10-03,325.4,301.8,325.4,295.9,29.5,24,237,76497.1
2021-10-04,357.9,325.4,357.9,325.4,32.5,98,1960,684137.0
2021-10-05,393.6,365.0,393.6,357.9,35.7,49,490,192162.0
2021-10-06,432.9,401.4,432.9,393.6,39.3,302,9919,4291135.1
2021-10-10,476.1,399.7,476.1,432.9,43.2,1393,19643,8682853.4
2021-10-11,500.0,440.0,460.0,476.1,-16.1,620,12360,5716882.0
2021-10-17,470.0,421.0,444.0,460.0,-16.0,391,4210,1868883.0
2021-10-18,444.0,405.0,417.5,444.0,-26.5,344,4363,1837982.9
2021-10-19,417.5,380.0,384.0,417.5,-33.5,267,6370,2496810.9
2021-10-20,422.4,384.0,422.4,384.0,38.4,179,2071,838446.4
2021-10-21,430.0,402.0,411.1,422.4,-11.3,190,2307,957372.2
2021-10-24,424.0,388.0,411.0,411.1,-0.1,248,3868,1600156.0
2021-10-25,452.0,404.1,426.0,411.0,15.0,282,5561,2375063.0
2021-10-26,468.6,434.0,465.0,426.0,39.0,276,10535,4740218.4
2021-10-27,499.8,447.0,478.0,465.0,13.0,316,8020,3846097.5
2021-10-28,499.8,452.0,499.0,478.0,21.0,292,5225,2507073.0
2021-10-31,541.2,466.0,510.0,499.0,11.0,370,9397,4682867.8
2021-11-01,517.0,490.0,490.0,510.0,-20.0,174,5305,2627338.0
2021-11-02,498.0,470.0,490.0,490.0,,161,4051,1951322.0
2021-11-03,499.0,472.1,484.0,490.0,-6.0,135,5963,2892001.2
2021-11-08,500.0,472.0,481.0,484.0,-3.0,198,4543,2212259.5
2021-11-09,477.0,456.2,470.0,481.0,-11.0,267,6167,2870880.0
2021-11-11,460.6,442.0,450.0,470.0,-20.0,196,3812,1702212.0
2021-11-14,459.0,416.0,437.0,450.0,-13.0,222,2889,1263337.7
2021-11-15,479.9,429.0,479.0,437.0,42.0,321,10219,4668644.0
2021-11-16,526.9,470.0,526.9,479.0,47.9,682,20389,10408575.7
2021-11-17,579.5,535.0,577.0,526.9,50.1,585,18598,10562093.5
2021-11-18,598.0,540.0,548.0,577.0,-29.0,534,13900,7841682.4
2021-11-21,560.0,526.5,530.0,548.0,-18.0,350,9353,5023303.0
2021-11-22,535.0,522.0,528.1,530.0,-1.9,248,4575,2421487.0
2021-11-23,530.4,514.1,516.1,528.1,-12.0,227,5314,2772074.7
2021-11-24,567.7,490.0,565.0,516.1,48.9,549,19047,10282668.5
2021-11-25,597.7,553.7,557.0,565.0,-8.0,359,9960,5685011.7
2021-11-28,590.0,527.0,554.9,557.0,-2.1,242,11767,6434468.0
2021-11-29,565.0,535.1,560.0,554.9,5.1,197,7635,4191765.0
2021-11-30,573.0,539.0,570.0,560.0,10.0,191,8778,4920487.0
2021-12-01,580.0,555.0,563.0,570.0,-7.0,150,7020,3922176.0
2021-12-02,556.2,525.0,525.0,563.0,-38.0,154,4706,2534887.6
2021-12-05,545.0,497.0,545.0,525.0,20.0,199,7328,3768255.5
2021-12-06,555.0,495.0,545.0,545.0,,167,6478,3380613.0
2021-12-07,555.0,511.6,528.0,545.0,-17.0,142,7356,3900651.0
2021-12-08,538.0,500.0,538.0,528.0,10.0,133,5559,2843827.5
