date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-09-02,172.0,169.0,169.0,,169.0,2,30,5130.0
2010-09-13,166.0,163.0,163.0,169.0,-6.0,2,30,4920.0
2010-09-28,160.0,147.0,147.0,163.0,-16.0,12,200,30300.0
2010-09-29,145.0,145.0,145.0,147.0,-2.0,1,20,2900.0
2010-09-30,143.0,131.0,131.0,145.0,-14.0,7,150,20590.0
2010-10-03,129.0,118.0,118.0,131.0,-13.0,7,270,32780.0
2010-10-05,116.0,108.0,114.0,113.0,1.0,223,8410,945040.0
2010-10-06,120.0,112.0,116.0,114.0,2.0,119,5540,645920.0
2010-10-07,120.0,111.0,117.0,116.0,1.0,81,3350,386490.0
2010-10-10,122.0,116.0,121.0,117.0,4.0,155,9440,1130930.0
2010-10-11,121.0,118.0,121.0,121.0,,47,2390,285760.0
2010-10-12,121.0,117.0,120.0,121.0,-1.0,43,2500,298690.0
2010-10-13,120.0,117.0,118.0,120.0,-2.0,28,1840,217630.0
2010-10-20,121.0,119.0,120.0,118.0,2.0,143,4280,513900.0
2010-10-21,132.0,120.0,132.0,120.0,12.0,61,4110,516030.0
2010-10-24,132.0,127.0,132.0,132.0,,101,5060,655140.0
2010-10-25,132.0,125.0,126.0,132.0,-6.0,83,3630,463150.0
2010-10-26,129.0,125.0,126.0,126.0,,83,3740,473570.0
2010-10-27,129.0,122.0,125.0,126.0,-1.0,97,3730,467740.0
2010-10-28,129.0,121.0,129.0,125.0,4.0,58,2530,314790.0
2010-10-31,130.0,124.0,126.0,129.0,-3.0,242,11230,1435510.0
2010-11-02,124.0,121.0,122.0,123.0,-1.0,70,2160,265320.0
2010-11-03,128.0,122.0,126.0,122.0,4.0,114,4050,501460.0
2010-11-04,126.0,121.0,123.0,126.0,-3.0,83,2970,366920.0
2010-11-09,125.0,121.0,123.0,123.0,,82,2550,314980.0
2010-11-10,129.0,123.0,127.0,123.0,4.0,117,6060,751240.0
2010-11-11,130.0,127.0,130.0,127.0,3.0,59,2850,366080.0
