date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-10-06,397.5,397.5,397.5,,,16,90,35621.9
2021-10-10,403.2,403.2,403.2,397.5,5.7,3,20,8030.6
2021-10-17,411.2,403.2,411.2,403.2,8.0,3,20,8224.0
2021-10-19,427.7,419.4,427.7,411.2,16.5,2,20,8471.0
2021-10-24,462.7,436.2,462.7,427.7,35.0,4,40,17975.0
2021-10-25,471.9,471.9,471.9,462.7,9.2,1,10,4719.0
2021-10-26,490.9,481.3,490.9,471.9,19.0,2,20,9722.0
2021-10-27,520.9,500.7,520.9,490.9,30.0,3,30,15323.0
2021-10-28,552.7,520.9,552.7,520.9,31.8,10,53,28328.2
2021-10-31,598.0,563.7,598.0,552.7,45.3,5,41,23814.9
2021-11-01,657.8,609.9,657.8,598.0,59.8,9,71,45275.2
2021-11-02,657.8,657.8,657.8,657.8,,3,6,3900.4
2021-11-03,697.9,670.9,697.9,657.8,40.1,3,30,20531.0
2021-11-08,767.6,711.8,767.6,697.9,69.7,9,79,59010.6
2021-11-09,844.3,782.9,844.3,767.6,76.7,6,60,49150.0
2021-11-11,928.7,861.1,928.7,844.3,84.4,7,60,53733.0
2021-11-14,1021.5,947.2,1021.5,928.7,92.8,11,100,100141.0
2021-11-15,1123.6,1041.9,1123.6,1021.5,102.1,6,60,65412.0
2021-11-16,1235.9,1146.0,1235.9,1123.6,112.3,5,50,59590.0
2021-11-17,1359.4,1260.6,1359.4,1235.9,123.5,15,101,133741.9
2021-11-18,1495.3,1386.5,1495.3,1359.4,135.9,23,189,278121.5
2021-11-21,1644.8,1525.2,1644.8,1495.3,149.5,37,370,605646.0
2021-11-22,1809.2,1677.0,1809.2,1644.8,164.4,90,900,1625029.0
2021-11-23,1990.1,1845.3,1990.1,1809.2,180.9,134,1310,2603479.0
2021-11-24,2189.1,1985.0,1999.0,1990.1,8.9,2116,26187,54303912.6
2021-11-25,2005.0,1851.0,1860.5,1999.0,-138.5,952,10621,19921909.0
2021-11-28,1823.3,1675.0,1710.0,1860.5,-150.5,607,11732,20296226.4
2021-11-29,1677.0,1618.0,1630.0,1710.0,-80.0,298,4964,8175526.4
2021-11-30,1720.0,1605.0,1720.0,1630.0,90.0,154,1831,3043091.3
2021-12-01,1720.0,1666.0,1690.0,1720.0,-30.0,108,1430,2406808.0
2021-12-02,1680.0,1621.2,1630.0,1690.0,-60.0,139,2460,4016045.0
2021-12-05,1630.0,1525.0,1553.0,1630.0,-77.0,166,4205,6513049.0
2021-12-06,1640.0,1500.0,1600.0,1553.0,47.0,139,2350,3597153.0
2021-12-07,1605.0,1520.1,1550.0,1600.0,-50.0,85,1981,3113756.0
2021-12-08,1540.0,1470.0,1518.0,1550.0,-32.0,75,1400,2093732.0
2021-12-09,1510.0,1466.2,1468.1,1518.0,-49.9,57,860,1266802.0
2021-12-12,1451.5,1400.0,1400.1,1468.1,-68.0,82,1740,2471360.0
2021-12-13,1372.1,1266.0,1280.0,1400.1,-120.1,116,2799,3638277.9
2021-12-14,1408.0,1300.0,1400.0,1280.0,120.0,46,970,1319114.0
2021-12-15,1510.0,1428.0,1470.0,1400.0,70.0,118,2638,3885378.5
2021-12-16,1470.0,1384.8,1401.0,1470.0,-69.0,68,1300,1840264.0
2021-12-20,1429.0,1370.0,1370.0,1401.0,-31.0,53,1500,2071871.0
2021-12-21,1370.0,1343.0,1370.0,1370.0,,39,670,907439.0
2021-12-22,1474.9,1346.0,1390.0,1370.0,20.0,51,929,1299586.0
2021-12-23,1414.0,1370.0,1385.0,1390.0,-5.0,57,1170,1628660.0
2021-12-26,1400.0,1359.0,1385.0,1385.0,,55,790,1095720.0
2021-12-27,1408.0,1340.0,1340.0,1385.0,-45.0,73,1205,1651358.0
2021-12-28,1393.3,1309.1,1335.0,1340.0,-5.0,41,816,1077730.0
2021-12-29,1347.0,1309.0,1314.0,1335.0,-21.0,61,1398,1845128.0
2022-01-02,1375.0,1290.0,1340.0,1314.0,26.0,75,1120,1481941.0
2022-01-03,1421.0,1330.0,1361.0,1340.0,21.0,59,850,1164248.0
2022-01-04,1399.0,1337.0,1390.0,1361.0,29.0,63,1138,1560921.0
2022-01-05,1446.0,1361.0,1390.0,1390.0,,48,930,1287137.0
2022-01-06,1400.0,1363.0,1388.0,1390.0,-2.0,65,960,1331637.0
2022-01-09,1437.0,1388.0,1400.0,1388.0,12.0,102,2681,3792953.0
2022-01-10,1415.0,1381.0,1400.0,1400.0,,51,1050,1468042.0
2022-01-11,1540.0,1400.0,1500.0,1400.0,100.0,168,5380,7974560.0
2022-01-12,1616.0,1500.0,1530.0,1500.0,30.0,160,5859,9047863.0
2022-01-13,1600.0,1522.0,1600.0,1530.0,70.0,126,3540,5540314.0
2022-01-16,1695.0,1600.0,1655.0,1600.0,55.0,155,4063,6716182.6
2022-01-17,1685.0,1600.0,1621.0,1655.0,-34.0,134,2350,3805386.0
2022-01-18,1653.0,1539.0,1540.0,1621.0,-81.0,137,4705,7400231.0
2022-01-19,1565.0,1535.0,1538.0,1540.0,-2.0,119,3221,4970655.6
2022-01-20,1600.0,1516.2,1550.0,1538.0,12.0,130,2935,4499541.0
2022-01-23,1581.0,1530.0,1535.0,1550.0,-15.0,84,1307,2027470.0
2022-01-24,1515.0,1469.0,1470.0,1535.0,-65.0,91,1569,2339340.5
2022-01-25,1485.0,1441.0,1462.0,1470.0,-8.0,57,1413,2074887.0
2022-01-26,1450.0,1400.0,1400.0,1462.0,-62.0,79,1441,2051682.2
2022-01-27,1460.0,1406.0,1453.0,1400.0,53.0,56,730,1051563.0
2022-01-30,1590.0,1482.0,1550.0,1453.0,97.0,150,2751,4228525.0
2022-01-31,1600.0,1530.0,1572.2,1550.0,22.2,116,1940,3047854.0
2022-02-01,1571.9,1531.0,1560.0,1572.2,-12.2,83,1251,1944142.9
2022-02-03,1561.0,1520.0,1520.0,1560.0,-40.0,129,2875,4417967.0
2022-02-06,1500.0,1477.0,1500.0,1520.0,-20.0,66,1020,1513148.5
2022-02-07,1500.0,1471.0,1490.0,1500.0,-10.0,51,903,1333280.0
2022-02-08,1530.0,1450.0,1461.1,1490.0,-28.9,69,1119,1645427.0
2022-02-09,1455.0,1426.0,1450.0,1461.1,-11.1,58,990,1424536.0
2022-02-10,1458.0,1430.0,1432.0,1450.0,-18.0,45,570,819585.0
2022-02-13,1420.0,1372.0,1372.0,1432.0,-60.0,93,1975,2749713.0
2022-02-14,1405.0,1370.0,1390.0,1372.0,18.0,41,585,812363.0
2022-02-15,1420.0,1369.0,1420.0,1390.0,30.0,41,860,1204372.0
2022-02-16,1447.0,1402.0,1422.0,1420.0,2.0,30,468,667980.5
2022-02-17,1425.0,1394.0,1400.0,1422.0,-22.0,59,1135,1594639.0
2022-02-20,1410.0,1349.0,1382.0,1400.0,-18.0,51,770,1073588.0
2022-02-21,1430.0,1380.0,1385.5,1382.0,3.5,71,1356,1889304.5
2022-02-22,1425.0,1380.0,1403.0,1385.5,17.5,54,1260,1779016.0
2022-02-23,1448.0,1403.0,1432.0,1403.0,29.0,64,935,1332920.0
2022-02-24,1420.0,1390.2,1393.0,1432.0,-39.0,44,754,1052434.0
2022-02-27,1395.0,1376.0,1377.2,1393.0,-15.8,26,300,415135.0
2022-02-28,1404.7,1357.3,1358.1,1377.2,-19.1,37,753,1035296.6
2022-03-02,1359.0,1301.0,1307.0,1358.1,-51.1,43,651,857101.0
2022-03-06,1345.0,1311.0,1334.9,1307.0,27.9,41,455,605077.0
2022-03-07,1352.0,1321.0,1349.0,1334.9,14.1,30,300,401799.0
2022-03-09,1345.0,1333.0,1335.0,1349.0,-14.0,36,471,630343.0
2022-03-10,1350.0,1316.1,1350.0,1335.0,15.0,31,470,626936.7
2022-03-13,1394.0,1340.0,1394.0,1350.0,44.0,49,633,866931.0
2022-03-14,1430.0,1366.2,1390.0,1394.0,-4.0,15,250,348742.0
2022-03-15,1380.2,1366.0,1370.1,1390.0,-19.9,41,590,809891.0
2022-03-16,1410.0,1382.0,1390.0,1370.1,19.9,38,695,966355.0
2022-03-20,1389.0,1363.0,1380.0,1390.0,-10.0,37,480,656245.0
2022-03-21,1390.0,1362.0,1375.0,1380.0,-5.0,31,395,542630.0
2022-03-22,1400.0,1368.0,1369.0,1375.0,-6.0,38,670,924339.0
2022-03-23,1374.0,1351.1,1374.0,1369.0,5.0,54,1537,2095098.0
2022-03-24,1460.0,1350.1,1414.0,1374.0,40.0,57,1200,1654586.0
2022-03-27,1390.0,1350.0,1390.0,1414.0,-24.0,57,1043,1429703.7
2022-03-28,1369.9,1340.0,1367.9,1390.0,-22.1,35,510,687275.0
2022-03-29,1360.0,1327.1,1340.0,1367.9,-27.9,33,410,550614.0
2022-03-30,1400.0,1315.1,1369.0,1340.0,29.0,42,1385,1883166.0
2022-03-31,1355.0,1330.1,1330.1,1369.0,-38.9,26,450,605896.0
2022-04-03,1380.0,1312.0,1343.0,1330.1,12.9,63,1063,1415680.0
2022-04-04,1340.0,1317.0,1318.0,1343.0,-25.0,33,485,641477.0
2022-04-05,1340.0,1270.5,1281.5,1318.0,-36.5,35,536,692540.0
2022-04-06,1292.0,1261.2,1292.0,1281.5,10.5,27,305,387348.0
2022-04-07,1310.6,1266.2,,1292.0,3.0,46,850,1100416.0
2022-04-11,1302.0,1275.0,1275.0,1295.0,-20.0,28,680,874337.0
2022-04-12,1265.0,1245.0,1250.0,1275.0,-25.0,31,705,881836.0
2022-04-13,1269.0,1205.0,1268.0,1250.0,18.0,42,1040,1280454.0
2022-04-17,1259.0,1232.0,1259.0,1268.0,-9.0,40,630,780153.0
2022-04-18,1233.9,1200.0,1205.0,1259.0,-54.0,33,534,645220.8
2022-04-19,1216.0,1183.0,1205.0,1205.0,,21,220,263355.0
2022-04-20,1201.0,1177.0,1177.0,1205.0,-28.0,30,480,571943.0
2022-04-21,1200.0,1154.0,1198.0,1177.0,21.0,23,280,326234.0
2022-04-24,1270.0,1170.0,1250.0,1198.0,52.0,29,630,778590.0
2022-04-25,1259.7,1227.0,1244.0,1250.0,-6.0,25,375,463332.0
2022-04-26,1221.0,1188.1,1220.0,1244.0,-24.0,31,925,1111086.0
2022-04-27,1200.0,1174.0,1182.0,1220.0,-38.0,21,320,378847.1
2022-04-28,1229.1,1187.0,1216.0,1182.0,34.0,30,540,646682.5
2022-05-02,1200.0,1171.0,1190.0,1216.0,-26.0,27,416,493391.0
2022-05-04,1207.0,1170.0,1200.0,1190.0,10.0,34,815,975573.0
2022-05-05,1200.0,1165.0,1192.0,1200.0,-8.0,28,485,576584.0
2022-05-08,1196.0,1170.0,1176.0,1192.0,-16.0,19,250,293983.0
2022-05-09,1217.0,1166.0,1189.0,1176.0,13.0,18,375,447800.5
2022-05-10,1215.0,1185.0,1200.0,1189.0,11.0,26,554,669825.0
2022-05-11,1239.9,1200.0,1239.9,1200.0,39.9,10,100,122639.0
2022-05-12,1264.0,1205.0,1207.0,1239.9,-32.9,15,268,330785.0
2022-05-17,1202.0,1176.0,1176.0,1207.0,-31.0,23,551,658125.0
2022-05-18,1193.0,1160.0,1170.0,1176.0,-6.0,14,160,187746.0
2022-05-19,1192.0,1149.0,1170.0,1170.0,,24,382,443383.0
2022-05-20,1185.0,1155.0,1158.0,1170.0,-12.0,23,300,351109.0
2022-05-23,1160.0,1140.0,1141.1,1158.0,-16.9,25,410,471855.0
2022-05-24,1145.0,1125.0,1145.0,1141.1,3.9,21,253,287819.0
2022-05-25,1170.0,1136.0,1150.0,1145.0,5.0,21,315,360692.0
2022-05-26,1158.0,1130.0,1158.0,1150.0,8.0,18,180,205727.0
2022-05-27,1150.0,1140.0,1150.0,1158.0,-8.0,11,130,148500.0
2022-05-30,1148.9,1127.0,1148.9,1150.0,-1.1,11,120,135799.0
2022-05-31,1165.0,1115.0,1165.0,1148.9,16.1,17,170,193040.0
2022-06-01,1165.0,1105.1,1110.0,1165.0,-55.0,12,120,134772.0
2022-06-02,1120.0,1100.0,1102.0,1110.0,-8.0,21,346,382512.0
2022-06-03,1102.0,1080.0,1080.0,1102.0,-22.0,28,682,742932.5
2022-06-06,1115.0,1081.0,1081.0,1080.0,1.0,32,450,493640.0
2022-06-07,1129.0,1045.1,1100.0,1081.0,19.0,25,340,368573.0
2022-06-08,1166.0,1100.0,1166.0,1100.0,66.0,27,490,549772.0
2022-06-09,1152.5,1130.0,1152.5,1166.0,-13.5,21,448,511605.0
2022-06-10,1129.5,1107.0,1107.0,1152.5,-45.5,3,30,33435.0
2022-06-13,1110.0,1047.0,1047.2,1107.0,-59.8,20,290,305296.0
2022-06-14,1050.0,1020.0,1020.0,1047.2,-27.2,27,544,557738.0
2022-06-15,1040.0,1004.5,1035.0,1020.0,15.0,18,180,184729.0
2022-06-16,1048.0,1011.0,1048.0,1035.0,13.0,22,240,246305.0
2022-06-17,1045.0,1028.0,1028.0,1048.0,-20.0,7,110,113300.0
2022-06-19,1020.0,990.3,990.3,1028.0,-37.7,21,415,416860.5
2022-06-20,973.0,915.2,925.0,990.3,-65.3,26,610,571456.0
2022-06-21,969.0,917.0,969.0,925.0,44.0,13,310,294398.0
2022-06-22,995.0,940.0,958.8,969.0,-10.2,15,330,318600.0
2022-06-23,982.0,872.0,962.4,958.8,3.6,51,1260,1177942.0
2022-06-24,981.5,960.0,979.0,962.4,16.6,11,170,165409.0
2022-06-26,1018.0,980.0,1017.9,979.0,38.9,39,1396,1395560.0
2022-06-27,1038.1,980.3,1016.0,1017.9,-1.9,40,1650,1634910.0
2022-06-28,1036.2,960.4,1001.9,1016.0,-14.1,13,140,138747.0
2022-06-30,1089.0,1033.7,1088.0,1035.0,53.0,47,1570,1675223.0
2022-07-01,1129.9,1087.5,1119.9,1088.0,31.9,33,816,902476.5
2022-07-03,1144.9,1082.0,1144.9,1119.9,25.0,37,565,632314.5
2022-07-04,1188.3,1093.0,1148.0,1144.9,3.1,50,1180,1350495.2
2022-07-05,1170.8,1080.0,1132.0,1148.0,-16.0,58,1908,2096502.4
2022-07-06,1154.5,1067.0,1119.9,1132.0,-12.1,21,460,501161.0
2022-07-07,1142.2,1080.1,1100.0,1119.9,-19.9,45,870,955606.0
2022-07-08,1121.9,1070.0,1094.9,1100.0,-5.1,12,310,339367.0
2022-07-11,1116.6,994.0,1004.5,1094.9,-90.4,34,970,1002294.0
2022-07-12,1024.4,970.0,974.9,1004.5,-29.6,34,820,811792.0
2022-07-13,1013.9,985.0,1013.9,974.9,39.0,18,425,422298.5
2022-07-14,1034.0,991.1,991.1,1013.9,-22.8,13,140,141342.0
2022-07-15,1010.0,990.0,1002.0,991.1,10.9,11,222,223171.0
2022-07-17,1029.0,1002.0,1029.0,1002.0,27.0,29,700,706526.0
2022-07-18,1049.4,1009.5,1044.9,1029.0,15.9,27,510,523211.0
2022-07-19,1075.0,1044.3,1073.5,1044.9,28.6,24,502,531340.2
2022-07-20,1115.9,1053.0,1056.6,1073.5,-16.9,22,374,398603.0
2022-07-21,1077.6,1025.0,1050.0,1056.6,-6.6,33,1172,1225147.8
2022-07-22,1070.9,1037.0,1048.9,1050.0,-1.1,17,350,365604.0
2022-07-24,1090.0,1030.2,1078.5,1048.9,29.6,28,400,421605.5
2022-07-25,1186.3,1060.0,1186.3,1078.5,107.8,82,3090,3459722.0
2022-07-26,1209.9,1125.1,1138.0,1186.3,-48.3,71,2080,2376890.0
2022-07-27,1226.0,1100.0,1213.0,1138.0,75.0,86,2892,3371727.0
2022-07-28,1295.2,1220.0,1295.2,1213.0,82.2,128,4528,5687631.0
2022-07-29,1321.0,1284.0,1306.0,1295.2,10.8,45,1083,1409074.0
2022-07-31,1332.0,1273.1,1324.0,1306.0,18.0,86,1783,2300806.6
2022-08-01,1350.3,1264.2,1289.0,1324.0,-35.0,49,2105,2697251.0
