date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-03-16,446.0,438.0,446.0,438.0,8.0,7,30,13267.0
2021-03-17,446.0,446.0,446.0,446.0,,4,4,1772.0
2021-03-18,446.0,446.0,446.0,446.0,,1,1,438.0
2021-03-22,463.0,440.0,463.0,446.0,17.0,4,31,14007.0
2021-03-23,490.0,472.0,490.0,463.0,27.0,3,30,14430.0
2021-03-24,508.0,499.0,508.0,490.0,18.0,2,20,10070.0
2021-03-25,538.0,518.0,538.0,508.0,30.0,3,30,15840.0
2021-03-29,591.0,564.0,591.0,538.0,53.0,6,50,28760.0
2021-03-30,602.0,602.0,602.0,591.0,11.0,1,10,6020.0
2021-03-31,662.0,614.0,662.0,602.0,60.0,5,50,31900.0
2021-04-01,708.0,695.0,708.0,662.0,46.0,2,20,14030.0
2021-04-04,736.0,722.0,736.0,708.0,28.0,2,20,14580.0
2021-04-05,765.0,718.0,765.0,736.0,29.0,5,32,23832.0
2021-04-06,841.0,780.0,841.0,765.0,76.0,5,50,40520.0
2021-04-07,925.0,857.0,925.0,841.0,84.0,6,60,53800.0
2021-04-12,1017.0,943.0,1017.0,925.0,92.0,10,90,89494.0
2021-04-13,1099.0,1037.0,1099.0,1017.0,82.0,5,50,53490.0
2021-04-15,1208.0,1120.0,1208.0,1099.0,109.0,7,70,82370.0
2021-04-18,1328.0,1232.0,1328.0,1208.0,120.0,10,80,103390.0
2021-04-19,1460.0,1354.0,1460.0,1328.0,132.0,15,120,172560.0
2021-04-20,1606.0,1489.0,1606.0,1460.0,146.0,12,120,189810.0
2021-04-21,1766.0,1686.0,1766.0,1606.0,160.0,27,270,475420.0
2021-04-22,1942.0,1801.0,1942.0,1766.0,176.0,37,370,715070.0
2021-04-25,2136.0,1980.0,2136.0,1942.0,194.0,105,1025,2185405.0
2021-04-26,2349.0,2178.0,2349.0,2136.0,213.0,125,1231,2887399.0
2021-04-27,2583.0,2466.0,2583.0,2349.0,234.0,141,1390,3586890.0
2021-04-28,2841.0,2766.0,2841.0,2583.0,258.0,128,1280,3632950.0
2021-04-29,3125.0,2979.0,3125.0,2841.0,284.0,187,1850,5778640.0
2021-05-02,3437.0,3281.0,3437.0,3125.0,312.0,184,1810,6201555.0
2021-05-03,3780.0,3608.0,3780.0,3437.0,343.0,159,2420,9139450.0
2021-05-04,4158.0,3969.0,4158.0,3780.0,378.0,245,2430,10096790.0
2021-05-05,4573.0,4365.0,4573.0,4158.0,415.0,227,2245,10248945.0
2021-05-06,5030.0,4801.0,5030.0,4573.0,457.0,987,12843,64582500.0
2021-05-09,5493.0,4527.0,4527.0,5030.0,-503.0,4411,51088,236773164.0
2021-05-10,4845.0,4263.0,4700.0,4527.0,173.0,2520,28160,125312004.0
2021-05-11,4800.0,4650.0,4725.0,4700.0,25.0,542,6971,32935938.0
2021-05-12,4700.0,4651.0,4670.0,4725.0,-55.0,389,6316,29518167.0
2021-05-13,4670.0,4584.0,4585.0,4670.0,-85.0,539,9166,42227030.0
2021-05-16,4660.0,4560.0,4657.0,4585.0,72.0,588,11595,53522330.0
2021-05-17,4664.0,4605.0,4638.0,4657.0,-19.0,337,7610,35339630.0
2021-05-18,4665.0,4620.0,4645.0,4638.0,7.0,347,8135,37748055.0
2021-05-19,4674.0,4578.0,4600.0,4645.0,-45.0,317,6930,32045519.0
2021-05-20,4650.0,4530.0,4615.0,4600.0,15.0,373,8460,39013187.0
2021-05-23,4618.0,4525.0,4590.0,4615.0,-25.0,268,4561,20951809.0
2021-05-24,4620.0,4565.0,4583.0,4590.0,-7.0,268,5060,23225345.0
2021-05-25,4600.0,4561.0,4571.0,4583.0,-12.0,220,3725,17050637.0
2021-05-27,4504.0,4388.0,4400.0,4571.0,-171.0,617,12727,56644787.0
2021-05-30,4484.0,4303.0,4339.0,4400.0,-61.0,345,5070,22197084.0
2021-05-31,4400.0,4314.0,4322.0,4339.0,-17.0,310,4288,18639343.0
2021-06-01,4350.0,4290.0,4305.0,4322.0,-17.0,215,3375,14574648.0
2021-06-02,4350.0,4290.0,4320.0,4305.0,15.0,224,3588,15408101.0
2021-06-03,4752.0,4320.0,4752.0,4320.0,432.0,677,13953,64960892.0
2021-06-06,5227.0,4989.0,5227.0,4752.0,475.0,606,19299,100573063.0
2021-06-07,5749.0,4999.0,5390.0,5227.0,163.0,1897,39897,222177513.0
2021-06-08,5600.0,5250.0,5299.0,5390.0,-91.0,469,7851,42046732.0
2021-06-09,5560.0,5050.0,5232.0,5299.0,-67.0,326,5274,27925821.0
2021-06-10,5330.0,5150.0,5188.0,5232.0,-44.0,280,5106,26571331.0
2021-06-13,5400.0,5101.0,5102.0,5188.0,-86.0,248,4948,25485265.0
2021-06-14,5170.0,5050.0,5050.0,5102.0,-52.0,244,5019,25433879.0
2021-06-15,5300.0,5002.0,5030.0,5050.0,-20.0,226,4994,25312697.0
2021-06-16,5304.0,4875.0,5035.0,5030.0,5.0,402,7023,35651030.0
2021-06-17,5237.0,5000.0,5004.0,5035.0,-31.0,195,3842,19352095.0
2021-06-20,5100.0,4750.0,4840.0,5004.0,-164.0,336,7297,35528752.0
2021-06-21,4936.0,4704.0,4730.0,4840.0,-110.0,227,4168,19922822.0
2021-06-22,4840.0,4705.0,4800.0,4730.0,70.0,148,3538,16943480.0
2021-06-23,4814.0,4635.0,4670.0,4800.0,-130.0,119,2396,11269137.0
2021-06-24,4814.0,4640.0,4670.0,4670.0,,133,2422,11417707.0
2021-06-27,4763.0,4585.0,4660.0,4670.0,-10.0,92,1252,5813735.0
2021-06-28,4810.0,4601.0,4800.0,4660.0,140.0,182,3633,17271655.0
2021-06-29,5040.0,4721.0,4730.0,4800.0,-70.0,156,2746,13335134.0
2021-06-30,4784.0,4660.0,4770.0,4730.0,40.0,78,1270,5977236.0
2021-07-01,4750.0,4650.0,4699.0,4770.0,-71.0,105,1644,7738796.0
2021-07-04,4770.0,4650.0,4650.0,4699.0,-49.0,111,1675,7844670.0
2021-07-05,4750.0,4626.0,4700.0,4650.0,50.0,123,2880,13509530.0
2021-07-06,4720.0,4630.0,4700.0,4700.0,,109,2873,13473879.0
2021-07-07,4807.0,4710.0,4780.0,4700.0,80.0,108,2063,9830490.0
2021-07-08,4801.0,4721.0,4800.0,4780.0,20.0,137,2429,11593815.0
2021-07-11,5079.0,4850.0,5056.0,4800.0,256.0,332,7027,35007820.0
2021-07-12,5195.0,4960.0,5000.0,5056.0,-56.0,296,5188,26238232.0
2021-07-13,5100.0,4910.0,4960.0,5000.0,-40.0,94,1818,9065510.0
2021-07-14,4965.0,4890.0,4890.0,4960.0,-70.0,72,1159,5715485.0
2021-07-15,4945.0,4830.0,4870.0,4890.0,-20.0,73,1565,7656050.0
2021-07-18,5087.0,4820.0,5087.0,4870.0,217.0,167,2925,14692095.5
2021-07-19,5188.0,5003.0,5050.0,5087.0,-37.0,161,2860,14557807.4
2021-07-20,5076.0,5002.0,5070.0,5050.0,20.0,113,1954,9871037.0
