date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-07-12,383.0,376.0,376.0,390.0,-14.0,2,538,203674.0
2010-09-13,378.0,378.0,378.0,376.0,2.0,1,10,3780.0
2010-09-14,396.0,396.0,396.0,378.0,18.0,1,10,3960.0
2010-09-21,403.0,403.0,403.0,396.0,7.0,1,20,8060.0
2010-09-30,403.0,403.0,403.0,403.0,,1,135,54405.0
2010-10-03,411.0,411.0,411.0,403.0,8.0,1,10,4110.0
2010-10-26,427.0,419.0,427.0,411.0,16.0,2,42,17774.0
2010-11-14,435.0,435.0,435.0,427.0,8.0,1,20,8700.0
2010-11-24,443.0,443.0,443.0,435.0,8.0,1,20,8860.0
2010-11-29,451.0,451.0,451.0,443.0,8.0,2,132,59532.0
2010-12-01,465.0,460.0,465.0,451.0,14.0,2,86,39890.0
2010-12-19,474.0,474.0,474.0,465.0,9.0,1,70,33180.0
2011-01-06,483.0,483.0,483.0,474.0,9.0,1,84,40572.0
2011-01-10,474.0,474.0,474.0,483.0,-9.0,1,200,94800.0
2011-01-11,474.0,474.0,474.0,474.0,,2,181,85794.0
2011-01-17,480.0,480.0,480.0,474.0,6.0,1,160,76800.0
2011-03-14,471.0,471.0,471.0,480.0,-9.0,1,243,114453.0
2011-03-15,470.0,461.0,461.0,471.0,-10.0,2,142,66542.0
2011-04-07,461.0,461.0,461.0,461.0,,1,920,424120.0
2011-05-08,452.0,452.0,452.0,461.0,-9.0,7,455,205660.0
2011-06-23,443.0,435.0,435.0,452.0,-17.0,2,44,19316.0
2013-11-28,427.0,427.0,427.0,435.0,-8.0,1,340,145180.0
2013-12-26,443.0,435.0,443.0,427.0,16.0,2,510,223890.0
2014-01-06,435.0,435.0,435.0,443.0,-8.0,1,219,95265.0
2020-12-03,295.0,295.0,295.0,290.0,5.0,1,10,2950.0
2020-12-06,300.0,300.0,300.0,295.0,5.0,29,8390,2517000.0
2020-12-07,330.0,306.0,330.0,300.0,30.0,5,50,15900.0
2020-12-08,363.0,336.0,363.0,330.0,33.0,8,160,57340.0
2020-12-09,399.0,370.0,399.0,363.0,36.0,6,60,23190.0
