date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,2040.0,2000.0,2000.0,2040.0,-40.0,40,3464,6935470.0
2010-04-19,2039.0,2000.0,2001.0,2080.0,-79.0,18,1774,3549542.0
2010-04-20,1975.0,1945.0,1945.0,2001.0,-56.0,18,1212,2369304.0
2010-04-21,1908.0,1800.0,1810.0,1945.0,-135.0,35,1916,3531917.0
2010-04-22,1831.0,1775.0,1831.0,1810.0,21.0,17,1197,2156607.0
2010-04-25,1804.0,1770.0,1786.0,1831.0,-45.0,16,1365,2440702.0
2010-04-26,1785.0,1750.0,1760.0,1786.0,-26.0,14,920,1625754.0
2010-04-27,1730.0,1695.0,1696.0,1760.0,-64.0,17,1418,2413719.0
2010-04-28,1729.0,1665.0,1671.0,1696.0,-25.0,5,293,491761.0
2010-04-29,1838.0,1704.0,1838.0,1671.0,167.0,12,622,1132280.0
2010-05-09,1840.0,1840.0,1840.0,1838.0,2.0,1,60,110400.0
2010-05-10,1930.0,1876.0,1927.0,1840.0,87.0,7,208,395608.0
2010-05-11,2005.0,1900.0,2005.0,1927.0,78.0,15,826,1617502.0
2010-05-12,2150.0,2010.0,2100.0,2005.0,95.0,20,953,1987601.0
2010-05-13,2310.0,2142.0,2200.0,2100.0,100.0,27,1750,3878050.0
2010-05-16,2194.0,2039.0,2075.0,2200.0,-125.0,24,1664,3492793.0
2010-05-17,2040.0,2000.0,2040.0,2075.0,-35.0,16,1032,2071515.0
2010-05-18,2140.0,2000.0,2100.0,2040.0,60.0,14,840,1756506.0
2010-05-19,2172.0,2100.0,2172.0,2100.0,72.0,19,1278,2708832.0
2010-05-20,2200.0,2120.0,2150.0,2172.0,-22.0,14,964,2091434.0
2010-05-23,2180.0,2145.0,2180.0,2150.0,30.0,8,805,1736215.0
2010-05-24,2185.0,2150.0,2180.0,2180.0,,18,1274,2757712.0
2010-05-25,2315.0,2223.0,2300.0,2180.0,120.0,31,2243,5133389.0
2010-05-26,2392.0,2299.0,2320.0,2300.0,20.0,25,1420,3331650.0
2010-05-30,2542.0,2366.0,2540.0,2320.0,220.0,23,1443,3648600.0
2010-05-31,2600.0,2343.0,2356.0,2540.0,-184.0,42,2755,6729356.0
