date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-03-28,793.3,747.7,793.3,,45.6,21,110,83963
2022-03-29,872.6,793.3,872.6,793.3,79.3,21,104,86540.1
2022-03-30,959.8,872.6,959.8,872.6,87.2,16,112,103808.9
2022-03-31,1055.7,959.8,1055.7,959.8,95.9,15,96,97194.7
2022-04-03,1161.2,1047.7,1161.2,1055.7,105.5,28,148,164928.9
2022-04-04,1277.3,1160.7,1277.3,1161.2,116.1,24,146,180802.5
2022-04-05,1405,1277.3,1405,1277.3,127.7,27,145,195958.5
2022-04-06,1545.5,1400.7,1545.5,1405,140.5,24,204,309356.4
2022-04-07,1700,1545.5,,1545.5,154.5,43,353,590484.5
2022-04-11,1870,1734,1870,1700,170,53,471,876070.1
2022-04-12,2057,1849.7,2057,1870,187,82,724,1478069.1
2022-04-13,2262.7,2023.7,2262.7,2057,205.7,79,765,1722443.8
2022-04-17,2488.9,2307.9,2488.9,2262.7,226.2,97,1300,3230351.1
2022-04-18,2737.7,2538.6,2737.7,2488.9,248.8,138,1428,3902563.6
2022-04-19,3011.4,2792.4,3011.4,2737.7,273.7,353,3871,11651762.4
2022-04-20,3312.5,2710.3,2710.3,3011.4,-301.1,4675,50565,141900479.3
2022-04-21,2850,2452,2800,2710.3,89.7,4102,41189,103627029.8
2022-04-24,2814,2695,2720.1,2800,-79.9,1382,18523,50519167.6
2022-04-25,2740,2642,2651,2720.1,-69.1,979,18085,48678442.6
2022-04-26,2719,2610.1,2670.1,2651,19.1,725,11409,30555609.5
2022-04-27,2700,2648,2667.1,2670.1,-3,370,5666,15105065.6
2022-04-28,2710,2650,2655,2667.1,-12.1,510,10171,27238320.3
2022-05-02,2650,2550,2561.1,2655,-93.9,584,8862,22949472.6
2022-05-04,2572.6,2512,2517,2561.1,-44.1,442,7040,17832565.8
2022-05-05,2516,2480,2482.1,2517,-34.9,462,8502,21236983.4
2022-05-08,2528,2450,2528,2482.1,45.9,410,7185,17944876
2022-05-09,2600,2525,2530,2528,2,283,7140,18303239.5
2022-05-10,2649,2530.1,2638,2530,108,308,6983,18052409
2022-05-11,2689.9,2587,2611,2638,-27,265,5825,15213855
2022-05-12,2611,2560,2575,2611,-36,305,8371,21649428.4
2022-05-17,2599,2499,2500,2575,-75,314,5327,13412265
2022-05-18,2601,2431,2456,2500,-44,327,7601,18709561
2022-05-19,2498,2425,2425,2456,-31,236,4008,9763185.2
2022-05-20,2448,2400,2406,2425,-19,168,3249,7833879
2022-05-23,2383,2325,2335,2406,-71,343,8576,20120895
2022-05-24,2370,2301,2305,2335,-30,244,4027,9353545
2022-05-25,2367,2305,2333,2305,28,189,3154,7361920
2022-05-26,2379,2301.2,2360,2333,27,139,2585,6059533
2022-05-27,2370,2327,2340,2360,-20,123,2306,5404324.5
2022-05-30,2345,2290,2295,2340,-45,199,3059,7072467
2022-05-31,2341,2230,2262,2295,-33,234,4393,9964486
2022-06-01,2290,2251.1,2260,2262,-2,135,2840,6431894
2022-06-02,2310,2205,2215,2260,-45,213,4530,10121757
2022-06-03,2209,2186,2195,2215,-20,173,3050,6697550.5
2022-06-06,2240,2196,2212.1,2195,17.1,177,3164,7025134
2022-06-07,2220,2160,2171.6,2212.1,-40.5,186,3883,8482963.5
2022-06-08,2284,2160,2250,2171.6,78.4,215,6880,15155667.6
2022-06-09,2294,2210,2210,2250,-40,172,3993,9000515.5
2022-06-10,2243.9,2190,2206,2210,-4,115,2718,6016097
2022-06-13,2230,2190,2210,2206,4,116,1665,3668006
2022-06-14,2249,2172,2173,2210,-37,194,4952,10878494.5
2022-06-15,2173,2106,2121,2173,-52,209,3833,8162414
2022-06-16,2180,2110,2130,2121,9,133,2641,5647513
2022-06-17,2172,2116,2120,2130,-10,58,937,1991129
2022-06-19,2130,2081,2090,2120,-30,179,3175,6664036
2022-06-20,2080,2048.2,2058.1,2090,-31.9,213,3950,8125392
2022-06-21,2099,2017.1,2046,2058.1,-12.1,151,2885,5955451
2022-06-22,2051,2006,2014.1,2046,-31.9,127,2573,5208949.5
2022-06-23,2015,1950,1958,2014.1,-56.1,171,2949,5826403.6
2022-06-24,1997.1,1855.2,1964,1958,6,252,9663,18255841.2
2022-06-26,2069.9,1925,2068,1964,104,283,6931,14045453
2022-06-27,2108.3,1970,2010,2068,-58,117,2445,4983550
2022-06-28,2010,1961,1989,2010,-21,123,2534,5021043.2
2022-06-30,2194,2041,2145,2050,95,212,5754,12188193
2022-07-01,2160,2110.1,2143,2145,-2,105,3070,6582250.5
2022-07-03,2357.3,2112,2357.3,2143,214.3,329,10473,23829664
2022-07-04,2500,2321,2374,2357.3,16.7,440,13957,33997855
2022-07-05,2453,2326.6,2355,2374,-19,302,9451,22427792.1
2022-07-06,2420,2310,2420,2355,65,281,5496,12908724
2022-07-07,2468,2320,2340,2420,-80,343,9593,22563952.2
2022-07-08,2320,2205,2265,2340,-75,169,3950,8913462.5
2022-07-11,2249,2170.4,2174,2265,-91,178,3256,7100223.8
2022-07-12,2217,2153,2153.1,2174,-20.9,136,3237,7025481.6
2022-07-13,2260.3,2170,2244.9,2153.1,91.8,164,3643,8044389.5
2022-07-14,2323,2271,2290,2244.9,45.1,179,3947,9063486.5
2022-07-15,2300,2250.1,2280,2290,-10,70,1472,3353636.7
2022-07-17,2310,2260,2300,2280,20,163,2803,6442146
2022-07-18,2356,2290,2340,2300,40,204,4626,10723212
2022-07-19,2435.7,2340,2418,2340,78,326,9520,22888795.5
2022-07-20,2420,2388,2395,2418,-23,167,4494,10816888.2
2022-07-21,2415,2370,2390,2395,-5,141,3374,8068595.9
2022-07-22,2400,2350,2350,2390,-40,130,3226,7620594.5
2022-07-24,2425,2326,2422,2350,72,259,6711,16067914.2
2022-07-25,2589.9,2430,2580,2422,158,444,14307,36090429
2022-07-26,2689,2499,2586.2,2580,6.2,514,19568,50810879
2022-07-27,2844.8,2520,2844,2586.2,257.8,881,31389,84841236.4
2022-07-28,3000,2788,2870,2844,26,582,15530,45195497.9
2022-07-29,2955,2820,2910,2870,40,294,9591,27714456
2022-07-31,3039,2900,2997,2910,87,701,17653,52249620.5
2022-08-01,3111,2925,2930,2997,-67,507,15727,47149718.9
2022-08-02,3223,2881,3130,2930,200,788,24113,73124349.4
2022-08-03,3250,3030,3060,3130,-70,357,9675,29856517.1
2022-08-04,3250,3000,3185,3060,125,696,22427,70434505
2022-08-05,3248.7,3100,3115,3185,-70,386,15754,49825066.8
2022-08-07,3175,3041,3090,3115,-25,457,13279,40740188
2022-08-08,3173.2,3091,3120,3090,30,523,20346,63764862.5
2022-08-09,3215,3075,3077.1,3120,-42.9,405,15173,47217682
2022-08-10,3150,3080,3125,3077.1,47.9,432,9223,28782952.8
2022-08-11,3230,3130,3209,3125,84,561,17102,54697592.2
2022-08-14,3270,3171,3202,3209,-7,413,10454,33746202
2022-08-15,3290,3210,3280,3202,78,518,15269,49742980.8
2022-08-16,3344,3181,3195,3280,-85,467,15889,51421595
2022-08-17,3250,3131.1,3190,3195,-5,308,9023,28847013
2022-08-18,3300,3190,3207,3190,17,376,14692,47584901.2
2022-08-22,3300,3205,3250,3240,10,417,14006,45496840.9
2022-08-23,3315,3235,3258.1,3250,8.1,241,6686,21773337.5
2022-08-24,3320,3260,3281,3258.1,22.9,334,8878,29162789.3
