date,high,low,close,previous,diff,numtrans,tradedshares,volume
2020-08-02,1011.0,1000.0,1011.0,,1011.0,2,200,201100.0
2020-08-03,1010.0,1010.0,1010.0,1011.0,-1.0,1,25,25250.0
2020-08-05,1010.0,1010.0,1010.0,1010.0,,1,25,25250.0
2020-08-06,1012.0,1010.0,1012.0,1010.0,2.0,2,125,126450.0
2020-08-09,1010.0,1010.0,1010.0,1012.0,-2.0,2,75,75750.0
2020-08-11,1030.0,1030.0,1030.0,1010.0,20.0,1,100,103000.0
2020-08-12,1030.0,1030.0,1030.0,1030.0,,1,25,25750.0
2020-09-07,1031.0,1031.0,1031.0,1030.0,1.0,1,25,25775.0
2020-09-17,1031.0,1031.0,1031.0,1031.0,,1,25,25775.0
2020-10-04,1045.0,1045.0,1045.0,1031.0,14.0,1,60,62700.0
2020-10-06,1050.0,1050.0,1050.0,1045.0,5.0,1,25,26250.0
2020-10-28,1050.0,1050.0,1050.0,1050.0,,1,25,26250.0
2020-10-29,1060.0,1060.0,1060.0,1050.0,10.0,1,30,31800.0
2020-11-02,1064.0,1064.0,1064.0,1060.0,4.0,1,30,31920.0
2020-11-04,1070.0,1070.0,1070.0,1064.0,6.0,1,25,26750.0
2020-12-02,1080.0,1070.0,1070.0,1070.0,,3,100,107500.0
2020-12-08,1090.0,1090.0,1090.0,1070.0,20.0,1,25,27250.0
2020-12-13,1070.0,1070.0,1070.0,1090.0,-20.0,1,300,321000.0
2020-12-14,1070.0,1070.0,1070.0,1070.0,,1,25,26750.0
2020-12-22,1091.0,1091.0,1091.0,1070.0,21.0,1,25,27275.0
2020-12-23,1100.0,1100.0,1100.0,1091.0,9.0,1,20,22000.0
2021-01-03,1078.0,1078.0,1078.0,1100.0,-22.0,2,425,458150.0
2021-01-07,1082.0,1082.0,1082.0,1078.0,4.0,1,30,32460.0
2021-01-13,1103.0,1103.0,1103.0,1082.0,21.0,1,25,27575.0
2021-01-18,1081.0,1081.0,1081.0,1103.0,-22.0,2,37,39997.0
2021-01-21,1075.0,1075.0,1075.0,1081.0,-6.0,2,270,290250.0
2021-01-25,1075.0,1075.0,1075.0,1075.0,,1,55,59125.0
2021-01-26,1054.0,1054.0,1054.0,1075.0,-21.0,1,13,13702.0
2021-01-27,1056.0,1055.0,1056.0,1054.0,2.0,3,150,158375.0
2021-01-28,1071.0,1071.0,1071.0,1056.0,15.0,1,10,10710.0
2021-02-04,1070.0,1070.0,1070.0,1071.0,-1.0,1,40,42800.0
2021-02-08,1080.0,1063.0,1080.0,1070.0,10.0,2,50,53575.0
2021-02-11,1072.0,1072.0,1072.0,1080.0,-8.0,1,45,48240.0
2021-02-14,1070.0,1070.0,1070.0,1072.0,-2.0,1,25,26750.0
2021-02-16,1075.0,1075.0,1075.0,1070.0,5.0,1,25,26875.0
2021-02-17,1070.0,1070.0,1070.0,1075.0,-5.0,1,10,10700.0
2021-02-21,1065.0,1065.0,1065.0,1070.0,-5.0,1,25,26625.0
2021-02-22,1053.0,1053.0,1053.0,1065.0,-12.0,2,40,42120.0
2021-02-23,1056.0,1056.0,1056.0,1053.0,3.0,1,25,26400.0
2021-02-24,1075.0,1075.0,1075.0,1056.0,19.0,1,30,32250.0
2021-03-01,1075.0,1075.0,1075.0,1075.0,,1,25,26875.0
2021-03-02,1096.0,1095.0,1096.0,1075.0,21.0,2,125,136975.0
2021-03-04,1084.0,1084.0,1084.0,1096.0,-12.0,1,30,32520.0
2021-03-07,1084.0,1084.0,1084.0,1084.0,,1,25,27100.0
2021-03-09,1103.0,1100.0,1103.0,1084.0,19.0,2,200,220120.0
2021-03-15,1103.0,1103.0,1103.0,1103.0,,2,50,55150.0
2021-03-16,1125.0,1125.0,1125.0,1103.0,22.0,2,200,225000.0
2021-03-18,1120.0,1120.0,1120.0,1125.0,-5.0,1,360,403200.0
2021-03-22,1120.0,1120.0,1120.0,1120.0,,1,300,336000.0
2021-03-24,1120.0,1120.0,1120.0,1120.0,,1,50,56000.0
2021-03-29,1120.0,1120.0,1120.0,1120.0,,1,100,112000.0
2021-03-30,1140.0,1140.0,1140.0,1120.0,20.0,4,200,228000.0
2021-04-01,1150.0,1140.0,1140.0,1140.0,,2,90,103100.0
2021-04-19,1140.0,1140.0,1140.0,1140.0,,2,100,114000.0
2021-04-26,1140.0,1140.0,1140.0,1140.0,,1,150,171000.0
2021-05-02,1140.0,1140.0,1140.0,1140.0,,2,125,142500.0
2021-05-23,1118.0,1118.0,1118.0,1140.0,-22.0,1,40,44720.0
2021-05-25,1105.0,1105.0,1105.0,1118.0,-13.0,1,25,27625.0
2021-05-27,1086.0,1086.0,1086.0,1105.0,-19.0,1,25,27150.0
2021-06-08,1087.0,1087.0,1087.0,1086.0,1.0,1,10,10870.0
2021-06-09,1087.0,1070.0,1087.0,1087.0,,2,50,53925.0
2021-06-13,1090.0,1090.0,1090.0,1087.0,3.0,1,200,218000.0
2021-06-15,1111.0,1090.0,1111.0,1090.0,21.0,6,235,258960.0
2021-06-20,1133.0,1132.0,1133.0,1111.0,22.0,2,530,600290.0
2021-06-23,1115.0,1115.0,1115.0,1133.0,-18.0,1,200,223000.0
2021-07-01,1115.0,1115.0,1115.0,1115.0,,1,900,1003500.0
2021-07-11,1115.0,1115.0,1115.0,1115.0,,1,10,11150.0
2021-07-13,1137.0,1137.0,1137.0,1115.0,22.0,1,40,45480.0
2021-07-15,1115.0,1115.0,1115.0,1137.0,-22.0,1,100,111500.0
2021-07-19,1092.7,1049.5,1049.5,1115.0,-65.5,6,200,210696.0
2021-07-20,1045.0,1045.0,1045.0,1049.5,-4.5,1,100,104500.0
2021-07-22,1065.9,1050.0,1050.0,1045.0,5.0,2,125,132840.0
2021-07-26,1060.0,1060.0,1060.0,1050.0,10.0,2,210,222600.0
2021-07-29,1046.2,1046.2,1046.2,1060.0,-13.8,1,100,104620.0
2021-08-08,1060.0,1060.0,1060.0,1046.2,13.8,1,190,201400.0
2021-08-10,1085.0,1061.6,1085.0,1060.0,25.0,4,365,394839.0
2021-08-16,1070.0,1070.0,1070.0,1085.0,-15.0,1,210,224700.0
2021-08-19,1048.7,1048.6,1048.6,1070.0,-21.4,2,100,104865.0
2021-08-24,1050.0,1050.0,1050.0,1048.6,1.4,1,30,31500.0
2021-08-25,1040.0,1040.0,1040.0,1050.0,-10.0,1,50,52000.0
2021-09-02,1040.3,1040.3,1040.3,1040.0,0.3,1,125,130037.5
2021-09-06,1030.0,1020.1,1020.1,1040.3,-20.2,2,125,128255.0
2021-09-12,1040.5,1040.5,1040.5,1020.1,20.4,1,10,10405.0
2021-09-13,1050.0,1050.0,1050.0,1040.5,9.5,1,12,12600.0
2021-09-14,1050.0,1050.0,1050.0,1050.0,,1,13,13650.0
2021-09-26,1029.0,1029.0,1029.0,1050.0,-21.0,1,25,25725.0
2021-09-27,1018.1,1018.0,1018.0,1029.0,-11.0,2,50,50902.5
2021-10-03,1020.0,1020.0,1020.0,1018.0,2.0,1,25,25500.0
2021-10-17,1020.0,1020.0,1020.0,1020.0,,1,10,10200.0
2021-10-24,1025.0,1025.0,1025.0,1020.0,5.0,1,250,256250.0
2021-10-25,1030.0,1030.0,1030.0,1025.0,5.0,2,2000,2060000.0
2021-10-26,1010.0,1010.0,1010.0,1030.0,-20.0,1,25,25250.0
