date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,535.0,530.0,530.0,528.0,2.0,3,629,334950.0
2010-04-19,510.0,502.0,502.0,516.0,-14.0,5,334,169336.0
2010-04-20,522.0,492.0,493.0,502.0,-9.0,16,2345,1173081.0
2010-04-21,486.0,478.0,478.0,493.0,-15.0,16,1831,879456.0
2010-04-22,471.0,461.0,470.0,478.0,-8.0,6,450,210465.0
2010-04-25,470.0,461.0,470.0,470.0,,2,292,136304.0
2010-04-26,475.0,465.0,475.0,470.0,5.0,4,217,102502.0
2010-04-27,470.0,461.0,465.0,475.0,-10.0,9,847,392717.0
2010-04-28,484.0,470.0,484.0,465.0,19.0,4,519,246034.0
2010-04-29,512.0,493.0,512.0,484.0,28.0,3,350,176300.0
2010-05-09,502.0,481.0,484.0,512.0,-28.0,8,1094,532910.0
2010-05-10,488.0,480.0,481.0,484.0,-3.0,3,412,198406.0
2010-05-12,499.0,490.0,499.0,481.0,18.0,2,20,9890.0
2010-05-13,548.0,508.0,548.0,499.0,49.0,18,2519,1378182.0
2010-05-16,555.0,510.0,525.0,548.0,-23.0,34,3010,1590630.0
2010-05-17,550.0,507.0,548.0,525.0,23.0,29,3039,1623947.0
2010-05-18,571.0,540.0,571.0,548.0,23.0,13,2295,1271792.0
2010-05-19,594.0,570.0,580.0,571.0,9.0,26,3115,1811867.0
2010-05-20,615.0,589.0,609.0,580.0,29.0,35,4217,2547057.0
2010-05-23,621.0,590.0,600.0,609.0,-9.0,26,2340,1410742.0
2010-05-24,610.0,590.0,600.0,600.0,,13,1227,729625.0
2010-05-25,660.0,600.0,660.0,600.0,60.0,33,2896,1866434.0
2010-05-26,680.0,620.0,636.0,660.0,-24.0,33,3896,2555032.0
2010-05-30,699.0,648.0,699.0,636.0,63.0,10,1101,767691.0
2010-05-31,754.0,640.0,645.0,699.0,-54.0,45,4674,3131058.0
2010-06-01,667.0,597.0,655.0,645.0,10.0,19,1644,1028251.0
2010-06-02,664.0,644.0,660.0,655.0,5.0,9,756,494713.0
2010-06-03,696.0,660.0,675.0,660.0,15.0,24,2066,1392495.0
2010-06-06,670.0,655.0,655.0,675.0,-20.0,15,1195,790025.0
2010-06-07,668.0,645.0,660.0,655.0,5.0,16,3024,1975599.0
2010-06-08,683.0,655.0,672.0,660.0,12.0,19,1222,822527.0
2010-06-09,687.0,670.0,674.0,672.0,2.0,21,2255,1533154.0
2010-06-10,679.0,670.0,674.0,674.0,,27,2248,1511222.0
2010-06-13,670.0,663.0,669.0,674.0,-5.0,19,1540,1025882.0
2010-06-14,665.0,658.0,665.0,669.0,-4.0,11,1059,702006.0
2010-06-15,665.0,659.0,659.0,665.0,-6.0,11,1128,746316.0
2010-06-16,655.0,652.0,655.0,659.0,-4.0,6,471,307705.0
2010-06-17,652.0,642.0,650.0,655.0,-5.0,18,2752,1787570.0
2010-06-20,659.0,648.0,659.0,650.0,9.0,11,771,503244.0
2010-06-21,664.0,650.0,660.0,659.0,1.0,9,1245,815908.0
2010-06-22,660.0,655.0,660.0,660.0,,3,470,309245.0
2010-06-23,660.0,651.0,655.0,660.0,-5.0,6,743,486406.0
2010-06-24,655.0,650.0,650.0,655.0,-5.0,7,419,273378.0
2010-06-28,660.0,647.0,647.0,650.0,-3.0,4,329,214055.0
2010-06-29,642.0,623.0,625.0,647.0,-22.0,12,959,603526.0
2010-06-30,629.0,624.0,625.0,625.0,,10,810,506268.0
2010-07-01,661.0,637.0,645.0,625.0,20.0,10,1103,706007.0
2010-07-04,633.0,624.0,630.0,645.0,-15.0,3,274,172857.0
2010-07-05,630.0,625.0,630.0,630.0,,5,427,267729.0
2010-07-06,630.0,630.0,630.0,630.0,,6,351,221130.0
2010-07-07,645.0,633.0,635.0,630.0,5.0,11,1217,775569.0
2010-07-08,635.0,613.0,635.0,635.0,,6,1028,640055.0
