date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-09-12,10,9.81,10,,,12,2100,20866
2022-09-14,9.81,9,9,10,-1,67,16900,154177
2022-09-15,8.82,8.1,8.28,9,-0.72,71,14670,121282.7
2022-09-16,8.24,7.97,8.1,8.28,-0.18,31,15500,125755.7
2022-09-18,8.16,8.1,8.1,8.1,,38,5160,41960.5
2022-09-20,8.26,7.95,8,8.1,-0.1,33,3300,26544
2022-09-21,8.58,7.84,7.98,8,-0.02,43,5400,43245
2022-09-22,8,7.83,8,7.98,0.02,23,3020,23891
2022-09-25,8.02,7.77,7.8,8,-0.2,17,2800,21947
2022-09-27,7.86,7.65,7.74,7.8,-0.06,20,2975,23121.5
2022-09-28,7.73,7.3,7.6,7.74,-0.14,12,2100,15897
2022-09-29,7.71,7.59,7.7,7.6,0.1,7,800,6130
2022-10-09,7.77,7.59,7.65,7.7,-0.05,21,3100,23720
2022-10-10,7.9,7.65,7.9,7.65,0.25,12,1800,13965
2022-10-11,8.21,7.76,8.19,7.9,0.29,18,3800,30558
2022-10-12,8.19,7.89,8,8.19,-0.19,9,6475,52015.93
2022-10-13,8.22,7.85,8.06,8,0.06,10,2775,21942.25
2022-10-16,7.91,7.9,7.91,8.06,-0.15,6,750,5926
2022-10-17,8.01,7.8,7.9,7.91,-0.01,22,2900,22890.14
2022-10-19,8.05,7.8,7.9,7.9,,18,2600,20564
2022-10-20,8,7.86,8,7.9,0.1,7,1700,13556
2022-10-23,8,7.86,7.9,8,-0.1,12,1300,10244
2022-10-31,8.1,8,8.1,7.9,0.2,12,2900,23350
2022-11-01,8.06,7.94,8,8.1,-0.1,13,2200,17517
2022-11-02,8.1,8,8,8,,9,2000,16030
2022-11-03,8,7.85,7.85,8,-0.15000000000000036,13,3775,30007.25
2022-11-06,7.9,7.82,7.87,7.85,0.020000000000000462,14,1700,13341
2022-11-07,8.16,7.8,8.16,7.87,0.29000000000000004,22,8475,68472
2022-11-08,8.25,8.06,8.1,8.16,-0.0600000000000005,10,1000,8121
2022-11-09,8.1,7.95,7.97,8.1,-0.1299999999999999,11,4600,36691
2022-11-10,7.97,7.83,7.86,7.97,-0.10999999999999943,7,1800,14238
2022-11-13,7.86,7.71,7.86,7.86,0,13,1950,15247
2022-11-14,7.9,7.76,7.79,7.86,-0.07000000000000028,6,600,4685
2022-11-15,7.9,7.67,7.9,7.79,0.11000000000000032,12,1300,10122
2022-11-16,8,7.9,8,7.9,0.09999999999999964,5,500,3990
2022-11-22,7.87,7.86,7.87,8,-0.1299999999999999,10,2900,22797
2022-11-23,7.9,7.85,7.9,7.87,0.03000000000000025,14,2855,22532.75
2022-11-24,7.94,7.86,7.94,7.9,0.040000000000000036,13,2300,18128
2022-11-27,8.09,7.85,7.93,7.94,-0.010000000000000675,13,1500,11868
2022-11-28,7.9,7.85,7.9,7.93,-0.02999999999999936,7,700,5510
2022-11-29,7.88,7.86,7.88,7.9,-0.020000000000000462,8,1850,14553
2022-11-30,7.9,7.85,7.88,7.88,0,13,1600,12596
2022-12-01,8.03,7.87,8.03,7.88,0.14999999999999947,19,3600,28713
2022-12-04,8.03,7.89,8.03,8.03,0,11,1800,14362
2022-12-05,8.02,7.77,7.9,8.03,-0.129999999999999,15,2600,20568
2022-12-06,7.9,7.75,7.8,7.9,-0.10000000000000053,11,1600,12482
2022-12-07,7.95,7.7,7.86,7.8,0.0600000000000005,12,2420,18889
2022-12-11,7.93,7.75,7.78,7.86,-0.08000000000000007,25,52690,417424
2022-12-12,7.81,7.75,7.79,7.78,0.009999999999999787,11,1500,11677
2022-12-13,7.82,7.67,7.75,7.79,-0.040000000000000036,15,1800,13901
2022-12-14,7.73,7.71,7.73,7.75,-0.019999999999999574,15,4300,33194
2022-12-15,7.73,7.65,7.68,7.73,-0.05000000000000071,10,1300,10001
2022-12-18,7.69,7.66,7.69,7.68,0.010000000000000675,9,1000,7679
2022-12-19,7.75,7.63,7.63,7.69,-0.0600000000000005,6,1500,11527
2022-12-20,7.7,7.63,7.7,7.63,0.07000000000000028,18,6120,46935
2022-12-21,7.8,7.63,7.8,7.7,0.09999999999999964,16,2310,17820
2022-12-22,7.82,7.66,7.82,7.8,0.020000000000000462,16,1800,13883
2022-12-26,7.9,7.68,7.9,7.82,0.08000000000000007,24,4050,31335
2022-12-27,8.06,7.9,7.9,7.9,0,15,2050,16317.5
2022-12-28,8,7.77,8,7.9,0.09999999999999964,17,3750,29337
2022-12-29,8.1,7.6,8.01,8,0.009999999999999787,20,3200,25419
2023-01-01,8.1,8,8.1,8.01,0.08999999999999986,18,4700,37650
2023-01-02,8.06,7.9,8.05,8.1,-0.049999999999998934,15,1600,12800
2023-01-03,8.01,7.8,7.95,8.05,-0.10000000000000053,16,4900,39089
2023-01-04,8.26,7.9,8.25,7.95,0.2999999999999998,18,4200,33842
2023-01-05,8.57,8.25,8.57,8.25,0.3200000000000003,24,5900,50418
2023-01-08,8.9,8.27,8.38,8.57,-0.1899999999999995,16,2600,22280
2023-01-09,8.83,8.2,8.67,8.38,0.28999999999999915,34,6600,55766
2023-01-10,9.01,8.5,9.01,8.67,0.33999999999999986,39,26950,234659.15
2023-01-12,8.83,8.49,8.49,9.01,-0.5199999999999996,8,1900,16182
2023-01-17,8.57,8.2,8.57,8.49,0.08000000000000007,27,6470,54048.9
2023-01-18,8.73,8.41,8.73,8.57,0.16000000000000014,29,6800,58023
2023-01-19,8.9,8.27,8.43,8.73,-0.3000000000000007,21,7700,66502
2023-01-23,8.5,8.17,8.5,8.43,0.07000000000000028,22,2805,23241.6
2023-01-24,8.67,8.18,8.5,8.5,0,43,10094,84066.34
2023-01-25,8.65,8.29,8.65,8.5,0.15000000000000036,24,4100,34433
2023-01-26,8.62,8.35,8.5,8.65,-0.15000000000000036,35,7000,59242.5
2023-01-29,8.42,8.25,8.42,8.5,-0.08000000000000007,21,3100,25705
2023-01-30,8.42,8.21,8.42,8.42,0,27,5150,42501.5
2023-01-31,8.4,8.24,8.24,8.42,-0.17999999999999972,22,11100,91766
2023-02-01,8.73,8.09,8.2,8.24,-0.040000000000000924,31,6075,51102
2023-02-02,8.22,8.06,8.09,8.2,-0.10999999999999943,9,1000,8094
2023-02-05,8,7.81,7.93,8.09,-0.16000000000000014,20,3550,28090
2023-02-06,8,7.9,7.91,7.93,-0.019999999999999574,16,3100,24678
2023-02-07,8.04,7.8,8.04,7.91,0.129999999999999,14,2300,18354
2023-02-08,8.54,8.06,8.23,8.04,0.19000000000000128,23,9750,81863
2023-02-09,8.13,8.11,8.13,8.23,-0.09999999999999964,9,2720,22109.6
2023-02-12,8.15,8,8.1,8.13,-0.030000000000001137,15,2400,19337
2023-02-14,8.06,8,8.06,8.1,-0.03999999999999915,16,1810,14513
2023-02-15,8.26,8.06,8.06,8.06,0,21,12600,102965
2023-02-16,8.16,7.97,8.01,8.06,-0.05000000000000071,16,2300,18416
2023-02-20,8.12,7.97,8,8.01,-0.009999999999999787,20,2450,19623
2023-02-22,8.11,7.97,8,8,0,23,2920,23399
2023-02-23,8.15,7.7,8,8,0,14,1900,15028
2023-02-26,7.9,7.81,7.82,8,-0.17999999999999972,9,1350,10632
2023-02-27,7.82,7.67,7.8,7.82,-0.020000000000000462,19,2800,21770
2023-02-28,7.9,7.68,7.9,7.8,0.10000000000000053,13,1700,13189
2023-03-01,8,7.75,7.77,7.9,-0.13000000000000078,12,1300,10184
2023-03-02,7.8,7.65,7.77,7.77,0,9,900,6952
2023-03-05,7.85,7.78,7.85,7.77,0.08000000000000007,17,2500,19590
2023-03-07,7.85,7.75,7.85,7.85,0,7,700,5466
2023-03-09,8,7.8,8,7.85,0.15000000000000036,17,2600,20378
2023-03-12,7.95,7.85,7.85,8,-0.15000000000000036,9,1100,8705
2023-03-13,7.85,7.85,7.85,7.85,0,12,2000,15700
2023-03-14,7.85,7.81,7.84,7.85,-0.009999999999999787,16,3330,26104.2
2023-03-15,7.95,7.8,7.8,7.84,-0.040000000000000036,11,1100,8600
2023-03-16,7.9,7.77,7.85,7.8,0.04999999999999982,11,1800,14144
2023-03-19,7.8,7.66,7.68,7.85,-0.16999999999999993,19,6000,46302
2023-03-20,7.88,7.66,7.8,7.68,0.1200000000000001,19,2900,22567
2023-03-22,7.96,7.66,7.81,7.8,0.009999999999999787,21,2500,19558
2023-03-23,7.89,7.71,7.74,7.81,-0.0699999999999994,14,2200,17160
2023-03-26,7.82,7.66,7.7,7.74,-0.040000000000000036,27,3275,25230.25
2023-03-27,7.7,7.52,7.6,7.7,-0.10000000000000053,19,5963,45699.84
2023-03-28,7.75,7.5,7.63,7.6,0.03000000000000025,15,2200,16857
2023-03-29,7.78,7.63,7.63,7.63,0,7,1800,13884
2023-03-30,7.57,7.51,7.56,7.63,-0.07000000000000028,8,800,6042
2023-04-02,7.75,7.46,7.75,7.56,0.1900000000000004,25,4700,35757
2023-04-03,7.77,7.6,7.77,7.75,0.019999999999999574,16,2500,19145
2023-04-04,7.7,7.58,7.6,7.77,-0.16999999999999993,8,1000,7654
2023-04-05,7.9,7.45,7.62,7.6,0.020000000000000462,14,1950,14785
2023-04-06,7.82,7.6,7.82,7.62,0.20000000000000018,16,1600,12334
2023-04-09,7.7,7.56,7.57,7.82,-0.25,6,600,4593
2023-04-10,7.75,7.57,7.61,7.57,0.040000000000000036,18,2300,17529
2023-04-11,7.8,7.5,7.8,7.61,0.1899999999999995,15,3525,27071
2023-04-12,7.9,7.66,7.9,7.8,0.10000000000000053,18,2400,18599
2023-04-13,8.05,7.81,7.91,7.9,0.009999999999999787,18,2350,18602
2023-04-16,7.91,7.76,7.82,7.91,-0.08999999999999986,9,1800,14086
2023-04-17,7.8,7.55,7.74,7.82,-0.08000000000000007,17,2200,16954
2023-04-18,7.83,7.7,7.83,7.74,0.08999999999999986,19,2700,20892
2023-04-19,7.9,7.81,7.82,7.83,-0.009999999999999787,12,1600,12526
2023-04-20,8.2,7.71,7.88,7.82,0.05999999999999961,17,1700,13511
2023-04-23,8,7.73,8,7.88,0.1200000000000001,18,4500,35437
2023-04-24,7.84,7.54,7.71,8,-0.29000000000000004,15,1800,13809
2023-04-25,7.86,7.57,7.74,7.71,0.03000000000000025,17,2600,19955
2023-04-26,7.8,7.69,7.77,7.74,0.02999999999999936,17,2500,19403
2023-04-27,8.07,7.66,8,7.77,0.23000000000000043,25,4650,36668.5
2023-04-30,8.1,7.85,8.1,8,0.09999999999999964,19,2510,19955.5
2023-05-02,7.94,7.79,7.9,8.1,-0.1999999999999993,7,900,7083
2023-05-03,7.91,7.75,7.84,7.9,-0.0600000000000005,18,2800,21898
2023-05-04,7.82,7.75,7.82,7.84,-0.019999999999999574,14,1800,14023
2023-05-07,7.72,7.67,7.72,7.82,-0.10000000000000053,10,1350,10389.5
2023-05-08,7.72,7.64,7.64,7.72,-0.08000000000000007,9,1200,9178
2023-05-09,7.81,7.5,7.81,7.64,0.16999999999999993,15,2520,19316.4
2023-05-10,7.82,7.66,7.82,7.81,0.010000000000000675,12,1400,10852
2023-05-11,7.95,7.68,7.8,7.82,-0.020000000000000462,14,5200,40562
2023-05-14,7.94,7.7,7.7,7.8,-0.09999999999999964,8,1450,11314
2023-05-15,7.8,7.7,7.8,7.7,0.09999999999999964,8,1200,9250
2023-05-16,7.95,7.7,7.95,7.8,0.15000000000000036,21,3050,23806.5
2023-05-17,8,7.84,7.85,7.95,-0.10000000000000053,7,1650,13100.5
2023-05-18,7.95,7.71,7.8,7.85,-0.04999999999999982,18,2300,17973
2023-05-21,8.05,7.66,8.05,7.8,0.2500000000000009,20,6000,47017
2023-05-22,8,7.9,8,8.05,-0.05000000000000071,12,1400,11190
2023-05-23,8.18,7.84,8.18,8,0.17999999999999972,19,3000,23912
2023-05-24,8.3,8.07,8.3,8.18,0.120000000000001,19,2900,23684.4
2023-05-28,8.46,7.98,8.4,8.3,0.09999999999999964,18,2710,22540
2023-05-30,8.35,8.05,8.05,8.4,-0.34999999999999964,17,10320,84680
2023-05-31,7.95,7.75,7.91,8.05,-0.14000000000000057,14,2200,17288
2023-06-01,7.8,7.76,7.77,7.91,-0.14000000000000057,13,1650,12826
2023-06-04,7.92,7.71,7.9,7.77,0.13000000000000078,17,6800,52664
2023-06-05,7.91,7.75,7.76,7.9,-0.14000000000000057,12,1300,10133
2023-06-06,7.92,7.62,7.79,7.76,0.03000000000000025,16,3600,27938
2023-06-07,7.82,7.69,7.82,7.79,0.03000000000000025,14,2400,18617
2023-06-08,7.85,7.71,7.85,7.82,0.02999999999999936,21,2250,17547
2023-06-11,8.06,7.91,7.95,7.85,0.10000000000000053,15,2400,19151
2023-06-12,8.05,7.9,8.05,7.95,0.10000000000000053,19,3500,27863
2023-06-13,8.09,7.9,8,8.05,-0.05000000000000071,25,14400,114106
2023-06-14,8.18,7.88,8.07,8,0.07000000000000028,29,3500,28231
2023-06-15,8,7.94,8,8.07,-0.07000000000000028,18,4100,32683
2023-06-18,8.19,8,8.19,8,0.1899999999999995,36,6400,51499
2023-06-19,8.68,8.03,8.08,8.19,-0.10999999999999943,26,2900,23577
2023-06-20,8.12,8,8.12,8.08,0.03999999999999915,20,3100,25046
2023-06-21,8.1,8,8.09,8.12,-0.02999999999999936,16,7100,57386
2023-06-22,8.02,7.94,8.02,8.09,-0.07000000000000028,7,730,5832.6
2023-06-25,8.2,7.97,8.2,8.02,0.17999999999999972,20,5650,45773
2023-06-26,8.5,8.2,8.5,8.2,0.3000000000000007,25,5460,45277.5
2023-06-27,8.67,8.33,8.67,8.5,0.16999999999999993,35,4800,40275
2023-06-28,8.64,8.5,8.6,8.67,-0.07000000000000028,23,11476,98712.6
2023-07-02,8.61,8.45,8.5,8.6,-0.09999999999999964,18,7375,63038
2023-07-03,8.49,8.17,8.47,8.5,-0.02999999999999936,15,2110,17734.4
2023-07-04,8.36,8.26,8.36,8.47,-0.11000000000000121,11,1150,9566.5
2023-07-05,8.5,8.25,8.5,8.36,0.14000000000000057,27,11500,96504
2023-07-06,8.47,8.3,8.47,8.5,-0.02999999999999936,21,5300,44433
2023-07-09,8.47,8.35,8.45,8.47,-0.02000000000000135,24,38750,326742.5
2023-07-10,8.45,8.29,8.45,8.45,0,17,5200,43531
2023-07-11,8.42,8.4,8.42,8.45,-0.02999999999999936,14,6300,53029
2023-07-12,9.26,8.3,9.26,8.42,0.8399999999999999,36,20410,174528.8
2023-07-13,10,9.06,9.42,9.26,0.16000000000000014,30,4901,46809.42
2023-07-16,10.17,9.6,10.17,9.42,0.75,6,1210,11730
2023-07-20,9.97,9.3,9.3,10.17,-0.8699999999999992,9,1550,14865.5
2023-07-23,9.12,9.12,9.12,9.3,-0.1800000000000015,2,200,1824
2023-07-24,8.94,8.78,8.8,9.12,-0.3199999999999985,42,4680,41291
2023-07-25,8.66,8.5,8.56,8.8,-0.2400000000000002,29,3900,33391
2023-07-26,8.56,8.39,8.39,8.56,-0.16999999999999993,25,7500,63621
2023-07-27,9.01,8.21,9.01,8.39,0.6199999999999992,38,50010,425651.75
2023-07-30,9.37,8.51,9.16,9.01,0.15000000000000036,45,7625,68117.25
2023-07-31,9.5,9.34,9.5,9.16,0.33999999999999986,4,1100,10305.2
2023-08-01,9.69,8.55,9.39,9.5,-0.10999999999999943,47,28173,248273.3
2023-08-02,9.52,8.79,9.26,9.39,-0.13000000000000078,39,32950,292182.38
2023-08-03,9.44,9,9.1,9.26,-0.16000000000000014,41,36775,338888
2023-08-06,9.18,8.58,8.99,9.1,-0.10999999999999943,27,4800,42523.5
2023-08-07,9.16,8.49,8.8,8.99,-0.1899999999999995,37,16904,150766.26
2023-08-08,8.63,8.3,8.31,8.8,-0.4900000000000002,25,6000,50085
2023-08-09,8.45,8.31,8.33,8.31,0.019999999999999574,24,7900,65885
2023-08-10,8.43,8.3,8.43,8.33,0.09999999999999964,22,12650,105793.5
2023-08-13,8.5,8.3,8.4,8.43,-0.02999999999999936,27,4450,37422.5
2023-08-14,8.4,8.24,8.35,8.4,-0.05000000000000071,22,2200,18258
2023-08-15,8.4,8.25,8.29,8.35,-0.0600000000000005,15,1530,12692.4
2023-08-16,8.21,8.18,8.21,8.29,-0.0799999999999983,18,2300,18837
2023-08-17,8.33,8.17,8.22,8.21,0.009999999999999787,12,1300,10665
2023-08-20,8.2,8.07,8.15,8.22,-0.07000000000000028,36,5000,40630.5
2023-08-21,8.1,8.06,8.1,8.15,-0.05000000000000071,23,3000,24222
2023-08-22,8,7.95,8,8.1,-0.09999999999999964,14,1400,11168
2023-08-23,8.1,8,8.03,8,0.02999999999999936,25,3000,24147
2023-08-24,8.09,8.01,8.09,8.03,0.0600000000000005,17,1900,15283
2023-08-27,8.05,7.93,8.01,8.09,-0.08000000000000007,21,2650,21221.5
2023-08-28,8.08,7.96,8.02,8.01,0.009999999999999787,19,3000,24050
2023-08-29,8.22,7.93,8.22,8.02,0.20000000000000107,28,13720,111899.4
2023-08-30,8.06,7.94,8.05,8.22,-0.16999999999999993,14,1800,14367
2023-09-03,8.1,7.9,7.95,8.05,-0.10000000000000053,26,2650,21100.5
2023-09-04,7.98,7.81,7.95,7.95,0,18,4200,33412
2023-09-05,8,7.75,8,7.95,0.04999999999999982,26,4550,36051
2023-09-07,7.92,7.86,7.87,8,-0.1299999999999999,16,3000,23686
2023-09-10,8,7.8,8,7.87,0.1299999999999999,21,4060,32184.7
2023-09-11,8.16,7.9,8.16,8,0.16000000000000014,18,8350,66185
2023-09-12,8.02,8,8.01,8.16,-0.15000000000000036,10,1700,13617
2023-09-13,8.03,7.86,8.03,8.01,0.019999999999999574,22,4700,37443
2023-09-17,8,7.95,7.96,8.03,-0.0699999999999994,27,3230,25747.5
2023-09-18,7.96,7.9,7.91,7.96,-0.04999999999999982,14,1900,15039
2023-09-19,8.11,7.76,8.11,7.91,0.1999999999999993,14,4500,36102
2023-09-21,8.27,7.96,8.27,8.11,0.16000000000000014,29,4600,37117
2023-09-24,8.11,7.95,7.95,8.27,-0.3199999999999994,34,61330,489913.3
2023-09-25,8.05,7.76,7.84,7.95,-0.11000000000000032,45,165900,1298076
2023-09-26,8.16,7.89,7.96,7.84,0.1200000000000001,24,37600,299432
2023-09-27,8.17,7.83,8.16,7.96,0.20000000000000018,32,21400,173918
2023-10-01,8.5,8,8.5,8.16,0.33999999999999986,45,102410,864163
2023-10-02,8.33,8.1,8.1,8.5,-0.40000000000000036,16,1900,15427
2023-10-03,8.1,7.98,8.1,8.1,0,28,3363,27196.3
2023-10-04,8.24,8.02,8.09,8.1,-0.009999999999999787,29,4300,34827
2023-10-05,8.25,7.94,8.07,8.09,-0.019999999999999574,19,3600,29361
2023-10-08,8.1,8,8,8.07,-0.07000000000000028,21,2700,21636
2023-10-09,8.07,7.92,7.98,8,-0.019999999999999574,15,2000,15959
2023-10-10,8,7.91,7.93,7.98,-0.05000000000000071,12,2000,15943
2023-10-11,7.97,7.81,7.9,7.93,-0.02999999999999936,14,3000,23805
2023-10-12,7.92,7.77,7.8,7.9,-0.10000000000000053,25,64425,502854.25
2023-10-16,7.8,7.68,7.71,7.8,-0.08999999999999986,34,17500,135251
2023-10-17,7.73,7.6,7.73,7.71,0.020000000000000462,20,2400,18467
2023-10-18,7.93,7.6,7.93,7.73,0.1999999999999993,26,18675,147225.75
2023-10-19,7.95,7.79,7.88,7.93,-0.04999999999999982,15,11700,92763
2023-10-29,7.86,7.67,7.67,7.88,-0.20999999999999996,22,3000,23256
2023-10-30,7.7,7.57,7.64,7.67,-0.03000000000000025,49,193400,1485263
2023-10-31,7.64,7.6,7.61,7.64,-0.02999999999999936,15,2700,20564
2023-11-01,7.78,7.56,7.68,7.61,0.0699999999999994,23,51900,399014
2023-11-02,7.65,7.6,7.65,7.68,-0.02999999999999936,11,1500,11435
2023-11-05,7.6,7.56,7.59,7.65,-0.0600000000000005,15,2300,17452
2023-11-06,7.74,7.6,7.65,7.59,0.0600000000000005,10,1400,10673
