date,high,low,close,previous,diff,numtrans,tradedshares,volume
2020-07-09,364.0,331.0,364.0,331.0,33.0,20,230,82440.0
2020-07-12,400.0,371.0,400.0,364.0,36.0,23,260,103250.0
2020-07-13,440.0,408.0,440.0,400.0,40.0,36,400,175200.0
2020-07-14,484.0,448.0,484.0,440.0,44.0,26,250,119810.0
2020-07-15,532.0,508.0,532.0,484.0,48.0,97,1050,558180.0
2020-07-16,585.0,542.0,585.0,532.0,53.0,104,1170,683360.0
2020-07-19,626.0,614.0,626.0,585.0,41.0,2,20,12400.0
2020-07-20,688.0,657.0,688.0,626.0,62.0,732,8160,5611680.0
2020-07-21,756.0,722.0,756.0,688.0,68.0,3244,38948,29340328.0
2020-07-22,831.0,793.0,805.0,756.0,49.0,18645,221826,181584821.0
2020-07-23,820.0,781.0,793.0,805.0,-12.0,7847,89223,70704095.0
2020-07-26,795.0,775.0,781.0,793.0,-12.0,6185,80655,62925155.0
2020-07-27,855.0,780.0,821.0,781.0,40.0,5961,96139,77920085.0
2020-07-28,839.0,810.0,830.0,821.0,9.0,4514,59825,49478790.0
2020-07-29,840.0,807.0,812.0,830.0,-18.0,3134,53350,43768120.0
2020-07-30,820.0,800.0,806.0,812.0,-6.0,2474,44120,35646810.0
2020-08-02,810.0,783.0,787.0,806.0,-19.0,2729,52090,41116162.0
2020-08-03,799.0,772.0,787.0,787.0,,1822,29520,23091985.0
2020-08-05,785.0,768.0,770.0,787.0,-17.0,2238,33236,25656934.0
2020-08-06,775.0,760.0,763.0,770.0,-7.0,2028,27895,21309065.0
2020-08-09,764.0,730.0,756.0,763.0,-7.0,2476,43385,32388975.0
2020-08-10,795.0,742.0,793.0,756.0,37.0,2464,34851,26764631.0
2020-08-11,793.0,772.0,778.0,793.0,-15.0,1755,30656,23869105.0
2020-08-12,780.0,765.0,767.0,778.0,-11.0,1830,26710,20570025.0
2020-08-13,770.0,753.0,759.0,767.0,-8.0,1823,30385,23114275.0
2021-03-31,795.0,759.0,795.0,765.12,29.88,24,239,188336.0
2021-04-01,874.0,834.0,874.0,795.0,79.0,33,451,391934.0
2021-04-04,961.0,917.0,961.0,874.0,87.0,307,3460,3322541.0
2021-04-05,1057.0,980.0,1057.0,961.0,96.0,94,1217,1283947.0
2021-04-06,1162.0,1109.0,1162.0,1057.0,105.0,97,1052,1220515.0
2021-04-07,1278.0,1220.0,1278.0,1162.0,116.0,114,1399,1786322.0
2021-04-08,1405.0,1297.0,1405.0,1278.0,127.0,66,731,1024845.0
2021-04-12,1545.0,1545.0,1545.0,1405.0,140.0,211,2882,4431210.0
2021-04-13,1699.0,1622.0,1699.0,1545.0,154.0,306,10426,17712269.0
2021-04-15,1868.0,1783.0,1868.0,1699.0,169.0,6408,269135,498963998.0
2021-04-18,2037.0,1831.0,1899.0,1868.0,31.0,10031,288975,553227180.0
2021-04-19,1940.0,1840.0,1849.0,1899.0,-50.0,5091,123524,231182553.0
2021-04-20,1900.0,1802.0,1818.0,1849.0,-31.0,3941,85694,156451074.0
2021-04-21,1900.0,1785.0,1793.0,1818.0,-25.0,3066,77827,140637057.0
2021-04-22,1885.0,1764.0,1837.0,1793.0,44.0,4498,116471,213579007.0
2021-04-25,1900.0,1761.0,1764.0,1837.0,-73.0,2890,71662,128018564.0
2021-04-26,1794.0,1700.0,1701.0,1764.0,-63.0,2772,73976,127765392.0
2021-04-27,1760.0,1700.0,1755.0,1701.0,54.0,1705,38987,67630180.0
2021-04-28,1806.0,1718.0,1729.0,1755.0,-26.0,1130,28733,50020377.0
2021-04-29,1750.0,1711.0,1726.0,1729.0,-3.0,999,20952,36232702.0
2021-05-02,1748.0,1710.0,1736.0,1726.0,10.0,1582,39847,68933507.0
2021-05-03,1765.0,1721.0,1738.0,1736.0,2.0,1236,28252,49240759.0
2021-05-04,1830.0,1725.0,1809.0,1738.0,71.0,2159,62225,110577683.0
2021-05-05,1910.0,1825.0,1873.0,1809.0,64.0,3540,119789,223615625.0
2021-05-06,1885.0,1820.0,1821.0,1873.0,-52.0,1760,48227,88706563.0
2021-05-09,1821.0,1764.0,1769.0,1821.0,-52.0,1354,36361,64941917.0
2021-05-10,1800.0,1747.0,1780.0,1769.0,11.0,1037,21338,37998836.0
2021-05-11,1805.0,1771.0,1780.0,1780.0,,1009,25790,46150209.0
2021-05-12,1795.0,1766.0,1773.0,1780.0,-7.0,807,21623,38521761.0
2021-05-13,1800.0,1750.0,1772.0,1773.0,-1.0,871,19962,35404082.0
2021-05-16,1795.0,1775.0,1790.0,1772.0,18.0,1076,29210,52070339.0
2021-05-17,1810.0,1780.0,1783.0,1790.0,-7.0,1051,29173,52165636.0
2021-05-18,1800.0,1780.0,1790.0,1783.0,7.0,1141,39058,69702401.0
2021-05-19,1836.0,1781.0,1798.0,1790.0,8.0,1781,66643,120666365.0
2021-05-20,1820.0,1776.0,1783.0,1798.0,-15.0,1051,31918,57211350.0
2021-05-23,1793.0,1750.0,1780.0,1783.0,-3.0,988,33784,60100764.0
2021-05-24,1790.0,1760.0,1762.0,1780.0,-18.0,1176,35799,63426867.0
2021-05-25,1785.0,1758.0,1758.0,1762.0,-4.0,939,23995,42364981.0
2021-05-27,1733.0,1607.0,1673.0,1758.0,-85.0,3405,111261,187343940.0
2021-05-30,1700.0,1655.0,1658.0,1673.0,-15.0,1487,41047,68517318.0
2021-05-31,1683.0,1644.0,1650.0,1658.0,-8.0,1452,43055,71223032.0
2021-06-01,1666.0,1622.0,1633.0,1650.0,-17.0,966,26567,43599744.0
2021-06-02,1670.0,1622.0,1643.0,1633.0,10.0,886,20574,33661845.0
2021-06-03,1725.0,1649.0,1649.0,1643.0,6.0,1010,25530,42426662.0
2021-06-06,1681.0,1641.0,1644.0,1649.0,-5.0,933,25578,42154787.0
2021-06-07,1660.0,1634.0,1634.0,1644.0,-10.0,960,21195,34798306.0
2021-06-08,1705.0,1626.0,1628.0,1634.0,-6.0,1032,34635,56525182.0
2021-06-09,1651.0,1625.0,1629.0,1628.0,2.0,904,34825,56779964.0
2021-06-10,1650.0,1614.0,1617.0,1629.0,-12.0,984,29349,47569564.0
2021-06-13,1628.0,1578.0,1609.0,1617.0,-8.0,1272,36522,58978353.0
2021-06-14,1635.0,1605.0,1616.0,1609.0,7.0,1005,28333,45797248.0
2021-06-15,1622.0,1600.0,1603.0,1616.0,-13.0,1110,29455,47286247.0
2021-06-16,1709.0,1595.0,1660.0,1603.0,57.0,1809,61567,102540870.0
2021-06-17,1723.0,1619.0,1629.0,1660.0,-31.0,802,24410,40068621.0
2021-06-20,1640.0,1595.0,1599.0,1629.0,-30.0,1152,27748,44567447.0
2021-06-21,1620.0,1520.0,1566.0,1599.0,-33.0,1046,27217,42897180.0
2021-06-22,1598.0,1550.0,1573.0,1566.0,7.0,791,23267,36538558.0
2021-06-23,1589.0,1539.0,1539.0,1573.0,-34.0,664,20286,31506527.0
2021-06-24,1566.0,1500.0,1516.0,1539.0,-23.0,1011,23509,35712348.0
2021-06-27,1540.0,1499.0,1507.0,1516.0,-9.0,951,20011,30205233.0
2021-06-28,1566.0,1510.0,1544.0,1507.0,37.0,995,25558,39398538.0
2021-06-29,1610.0,1546.0,1548.0,1544.0,4.0,845,24360,38278161.0
2021-06-30,1555.0,1515.0,1516.0,1548.0,-32.0,515,12917,19685637.0
2021-07-01,1538.0,1510.0,1516.0,1516.0,,658,15784,23981906.0
2021-07-04,1530.0,1509.0,1510.0,1516.0,-6.0,638,12304,18664137.0
2021-07-05,1539.0,1497.0,1500.0,1510.0,-10.0,704,21852,32836318.0
2021-07-06,1525.0,1496.0,1500.0,1500.0,,599,17498,26264463.0
2021-07-07,1520.0,1495.0,1499.0,1500.0,-1.0,596,14768,22197389.0
2021-07-08,1528.0,1499.0,1511.0,1499.0,12.0,551,13684,20695454.0
2021-07-11,1550.0,1511.0,1550.0,1511.0,39.0,609,16629,25534551.0
2021-07-12,1570.0,1525.0,1538.0,1550.0,-12.0,509,19812,30610156.0
2021-07-13,1555.0,1525.0,1539.0,1538.0,1.0,323,7292,11207935.0
2021-07-14,1548.0,1518.0,1531.0,1539.0,-8.0,388,7827,12000438.0
2021-07-15,1545.0,1530.0,1545.0,1531.0,14.0,500,17437,26769455.0
2021-07-18,1612.0,1560.0,1605.0,1545.0,60.0,796,27529,43664803.5
2021-07-19,1669.0,1608.0,1615.0,1605.0,10.0,596,19763,32231326.3
2021-07-20,1636.0,1600.0,1605.0,1615.0,-15.0,474,11650,18776750.7
2021-07-22,1620.0,1591.0,1595.4,1605.0,-9.0,619,16338,26143636.5
2021-07-25,1601.0,1590.5,1594.0,1595.4,-1.4,584,15010,23954406.0
2021-07-26,1642.0,1585.1,1638.0,1594.0,44.0,1013,31482,51272370.3
2021-07-27,1611.0,1551.1,1599.0,1638.0,-39.0,1090,42050,66999672.3
2021-07-28,1635.0,1588.0,1605.0,1599.0,6.0,749,17791,28668836.7
2021-07-29,1630.0,1590.2,1595.0,1605.0,-10.0,447,13485,21554026.7
2021-08-01,1649.9,1600.0,1608.0,1595.0,13.0,749,16141,26039269.6
2021-08-02,1640.0,1610.0,1630.0,1608.0,22.0,820,21357,34683582.6
2021-08-03,1711.0,1650.0,1697.0,1630.0,68.0,1708,68028,114900749.0
2021-08-04,1780.0,1675.0,1677.0,1697.0,-20.0,1274,50206,85407193.1
2021-08-05,1680.0,1635.0,1641.5,1677.0,-35.5,720,28817,47664478.1
2021-08-08,1674.0,1602.0,1615.0,1641.5,-26.5,759,29655,48359741.8
2021-08-09,1625.0,1592.0,1610.0,1615.0,-5.0,677,20822,33502654.4
2021-08-10,1651.0,1592.0,1620.0,1610.0,10.0,764,19278,31338580.9
2021-08-11,1630.0,1605.0,1610.0,1620.0,-10.0,652,20691,33425226.5
2021-08-12,1633.0,1600.0,1602.2,1610.0,-7.8,672,20561,33036484.6
2021-08-15,1634.2,1588.0,1610.0,1602.2,6.8,660,25826,41547973.9
