date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-02-23,232.2,213.2,216,236.85,-20.849999999999994,1298,276758,60028868.9
2023-02-26,212,204,207.5,216,-8.5,712,129624,26760453.2
2023-02-27,210.6,203.1,206,207.5,-1.5,495,88701,18158254.8
2023-02-28,207,203.2,203.7,206,-2.3000000000000114,378,62491,12738254.9
2023-03-01,205.9,203.7,204,203.7,0.30000000000001137,287,41099,8392332.1
2023-03-02,207.8,200,200.5,204,-3.5,396,57048,11525044.8
2023-03-05,202,197.1,197.5,200.5,-3,450,78195,15576014.8
2023-03-07,199.8,196.1,197,197.5,-0.5,324,40001,7914615.1
2023-03-09,202.9,199.2,201.2,197,4.199999999999989,389,67668,13592062.7
2023-03-12,204,196,198.2,201.2,-3,398,58923,11691012.5
2023-03-13,198.5,195.1,197,198.2,-1.1999999999999886,285,45952,9015160.3
2023-03-14,200.9,195,195,197,-2,358,57432,11243144.4
2023-03-15,197,192.6,193.2,195,-1.8000000000000114,328,58388,11302234.2
2023-03-16,193,190.6,192,193.2,-1.1999999999999886,322,55926,10731353.6
2023-03-19,193,189.7,190.9,192,-1.0999999999999943,382,72137,13758464.9
2023-03-20,194,190.2,191.4,190.9,0.5,308,41833,8025938.1
2023-03-22,194.5,190,191.5,191.4,0.09999999999999432,337,51533,9849554.6
2023-03-23,193.8,188.5,192,191.5,0.5,390,55968,10691172.4
2023-03-26,193,186.2,187.9,192,-4.099999999999994,498,85585,16079760.1
2023-03-27,190.7,184.3,188.3,187.9,0.4000000000000057,384,62229,11668533.2
2023-03-28,193,187.2,191,188.3,2.6999999999999886,286,39108,7467494.6
2023-03-29,191.9,186,191.4,191,0.4000000000000057,364,74551,14042749
2023-03-30,191,187.3,187.5,191.4,-3.9000000000000057,336,74624,14052794.5
2023-04-02,191.2,183,184.9,187.5,-2.5999999999999943,444,74001,13755187.8
2023-04-03,186,182,184,184.9,-0.9000000000000057,436,98341,17978397.3
2023-04-04,184.8,179.1,181.1,184,-2.9000000000000057,330,78330,14186265.8
2023-04-05,184,180.5,183.3,181.1,2.200000000000017,249,38531,7021362.9
2023-04-06,185,181,182.8,183.3,-0.5,444,82265,14949710.1
2023-04-09,182,179,181,182.8,-1.8000000000000114,506,100811,18186103.9
2023-04-10,182.7,179.3,180.5,181,-0.5,347,61761,11161240.5
2023-04-11,187.2,177,183.5,180.5,3,378,83463,15162176.4
2023-04-12,193.2,184.6,192.9,183.5,9.400000000000006,512,112996,21507712.7
2023-04-13,196,187,191,192.9,-1.9000000000000057,447,95095,18150614.9
2023-04-16,193,186.2,186.5,191,-4.5,364,66764,12560642
2023-04-17,190,184.6,185,186.5,-1.5,300,42409,7876751.6
2023-04-18,188.7,182.5,185,185,0,341,46710,8588419
2023-04-19,188,182.6,185,185,0,353,68139,12536848.7
2023-04-20,186,181.5,184,185,-1,272,48699,8956758.7
2023-04-23,187.6,180.1,181,184,-3,375,80139,14531664
2023-04-24,183,180,182.5,181,1.5,214,48384,8795838.4
2023-04-25,184.7,180.2,183.8,182.5,1.3000000000000114,202,37663,6887161.9
2023-04-26,186,182.4,184,183.8,0.19999999999998863,335,89370,16454727.7
2023-04-27,187,182.1,183.5,184,-0.5,200,34985,6435512.5
2023-04-30,185,182,182.9,183.5,-0.5999999999999943,447,195178,35709381.6
2023-05-02,184,181,182,182.9,-0.9000000000000057,280,56145,10189882.3
2023-05-03,184,180,181.9,182,-0.09999999999999432,225,55649,10118270
2023-05-04,182.5,180.1,181.6,181.9,-0.30000000000001137,332,74454,13487716.3
2023-05-07,185,180,180.5,181.6,-1.0999999999999943,350,75910,13734765.4
2023-05-08,183,179.5,179.6,180.5,-0.9000000000000057,350,78252,14067679.3
2023-05-09,182.5,179.2,179.2,179.6,-0.4000000000000057,272,34106,6143627.8
2023-05-10,182.9,180,180.3,179.2,1.1000000000000227,183,21675,3915797.1
2023-05-11,183,176.7,180,180.3,-0.30000000000001137,276,66954,12014141
2023-05-14,182.6,178.4,179.2,180,-0.8000000000000114,320,56296,10089630.8
2023-05-15,180.7,178,178.3,179.2,-0.8999999999999773,291,76315,13626259.9
2023-05-16,180,178.2,179.5,178.3,1.1999999999999886,196,31210,5598226.5
2023-05-17,183,179,180,179.5,0.5,286,53613,9672253.7
2023-05-18,184,180,182,180,2,339,66878,12211319
2023-05-21,186,182,183.8,182,1.8000000000000114,349,52616,9670782.1
