date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-05-23,961.0,961.0,961.0,980.0,-19.0,1,12,11532.0
2010-06-03,942.0,942.0,942.0,961.0,-19.0,1,300,282600.0
2010-06-14,924.0,871.0,871.0,942.0,-71.0,4,142,128204.0
2010-07-12,854.0,850.0,850.0,871.0,-21.0,6,87,73998.0
2010-07-25,833.0,770.0,770.0,850.0,-80.0,8,117,93351.0
2010-07-26,755.0,726.0,752.0,770.0,-18.0,9,297,219160.0
2010-07-27,770.0,754.0,765.0,752.0,13.0,11,436,331844.0
2010-07-28,750.0,707.0,707.0,765.0,-58.0,4,2095,1568215.0
2010-07-29,693.0,650.0,655.0,707.0,-52.0,9,4111,2678300.0
2010-08-01,667.0,650.0,665.0,655.0,10.0,9,4136,2693889.0
2010-08-02,678.0,671.0,678.0,665.0,13.0,5,183,123078.0
2010-08-03,690.0,680.0,690.0,678.0,12.0,3,45,30825.0
2010-08-04,703.0,677.0,703.0,690.0,13.0,4,134,92453.0
2010-08-05,700.0,700.0,700.0,703.0,-3.0,2,290,203000.0
2010-08-10,693.0,680.0,680.0,700.0,-20.0,17,1049,717510.0
2010-08-11,667.0,667.0,667.0,680.0,-13.0,1,60,40020.0
2010-08-12,655.0,655.0,655.0,667.0,-12.0,2,132,86460.0
2010-08-16,655.0,655.0,655.0,655.0,,1,15,9825.0
2010-08-17,643.0,642.0,642.0,655.0,-13.0,3,306,196650.0
2010-08-18,630.0,618.0,618.0,642.0,-24.0,3,54,33552.0
2010-08-19,615.0,615.0,615.0,618.0,-3.0,3,154,94710.0
2010-08-23,603.0,603.0,603.0,615.0,-12.0,1,15,9045.0
2010-08-26,591.0,591.0,591.0,603.0,-12.0,2,30,17730.0
2010-08-29,601.0,590.0,601.0,591.0,10.0,7,765,451815.0
2010-08-30,613.0,613.0,613.0,601.0,12.0,1,10,6130.0
2010-08-31,615.0,611.0,615.0,613.0,2.0,4,315,192895.0
2010-09-02,604.0,603.0,603.0,615.0,-12.0,2,200,120700.0
2010-09-05,592.0,591.0,592.0,603.0,-11.0,3,515,304480.0
2010-09-06,605.0,595.0,598.0,592.0,6.0,7,723,430965.0
2010-09-09,588.0,587.0,587.0,598.0,-11.0,2,30,17625.0
2010-09-12,592.0,581.0,592.0,587.0,5.0,4,145,85090.0
2010-09-13,603.0,595.0,603.0,592.0,11.0,3,328,197186.0
2010-09-14,595.0,595.0,595.0,603.0,-8.0,2,60,35700.0
2010-09-15,606.0,595.0,606.0,595.0,11.0,7,180,108405.0
2010-09-16,601.0,600.0,601.0,606.0,-5.0,2,215,129200.0
2010-09-20,590.0,580.0,580.0,601.0,-21.0,2,96,56340.0
2010-09-27,570.0,570.0,570.0,580.0,-10.0,1,15,8550.0
2010-09-28,581.0,570.0,576.0,570.0,6.0,5,115,66030.0
2010-09-29,587.0,587.0,587.0,576.0,11.0,2,30,17610.0
2010-09-30,608.0,597.0,608.0,587.0,21.0,3,80,48270.0
2010-10-03,630.0,596.0,630.0,608.0,22.0,6,2088,1313813.0
2010-10-05,629.0,605.0,629.0,618.0,11.0,6,1050,645895.0
2010-10-06,617.0,610.0,610.0,629.0,-19.0,2,435,266295.0
2010-10-10,610.0,610.0,610.0,610.0,,2,35,21350.0
2010-10-12,622.0,622.0,622.0,610.0,12.0,4,60,37320.0
2010-10-28,635.0,634.0,635.0,622.0,13.0,2,192,121752.0
2010-10-31,647.0,635.0,635.0,635.0,,3,265,169475.0
2010-11-02,659.0,647.0,659.0,647.0,12.0,2,200,130600.0
2010-11-03,710.0,660.0,710.0,659.0,51.0,8,635,441400.0
2010-11-04,724.0,710.0,724.0,710.0,14.0,2,300,214400.0
2010-11-09,725.0,710.0,725.0,724.0,1.0,3,417,299143.0
2010-11-11,755.0,739.0,755.0,725.0,30.0,4,322,242540.0
2010-11-14,760.0,760.0,760.0,755.0,5.0,1,24,18240.0
2010-11-15,761.0,761.0,761.0,760.0,1.0,5,75,57075.0
2010-11-16,761.0,760.0,760.0,761.0,-1.0,10,335,254660.0
2010-11-18,760.0,760.0,760.0,760.0,,1,120,91200.0
2010-11-21,760.0,760.0,760.0,760.0,,2,60,45600.0
2010-11-22,755.0,750.0,755.0,760.0,-5.0,3,53,39815.0
2010-11-23,755.0,750.0,751.0,755.0,-4.0,5,121,91257.0
2010-11-24,750.0,750.0,750.0,751.0,-1.0,4,455,341250.0
2010-11-25,750.0,750.0,750.0,750.0,,6,90,67500.0
2010-11-28,765.0,760.0,765.0,750.0,15.0,2,87,66345.0
2010-11-29,765.0,765.0,765.0,765.0,,1,20,15300.0
2010-11-30,765.0,765.0,765.0,765.0,,1,15,11475.0
2010-12-05,750.0,750.0,750.0,765.0,-15.0,1,12,9000.0
2010-12-07,735.0,710.0,722.0,750.0,-28.0,9,249,179876.0
2010-12-08,730.0,730.0,730.0,722.0,8.0,1,100,73000.0
2010-12-09,743.0,730.0,743.0,730.0,13.0,4,590,430960.0
2010-12-13,729.0,729.0,729.0,743.0,-14.0,1,15,10935.0
2010-12-14,715.0,715.0,715.0,729.0,-14.0,3,155,110825.0
2010-12-16,715.0,715.0,715.0,715.0,,1,20,14300.0
2010-12-20,701.0,701.0,701.0,715.0,-14.0,1,15,10515.0
2010-12-23,701.0,701.0,701.0,701.0,,3,45,31545.0
2010-12-29,715.0,700.0,715.0,701.0,14.0,5,1755,1237625.0
2011-01-02,715.0,715.0,715.0,715.0,,4,119,85085.0
2011-01-03,720.0,716.0,720.0,715.0,5.0,8,210,150900.0
2011-01-04,725.0,725.0,725.0,720.0,5.0,1,15,10875.0
2011-01-06,725.0,725.0,725.0,725.0,,5,140,101500.0
2011-01-09,730.0,723.0,730.0,725.0,5.0,3,695,503775.0
2011-01-12,730.0,730.0,730.0,730.0,,6,159,116070.0
2011-01-13,730.0,730.0,730.0,730.0,,3,105,76650.0
2011-01-16,735.0,735.0,735.0,730.0,5.0,1,75,55125.0
2011-01-18,749.0,749.0,749.0,735.0,14.0,1,30,22470.0
2011-01-20,793.0,759.0,793.0,749.0,44.0,6,83,63850.0
2011-01-23,808.0,792.0,792.0,793.0,-1.0,2,210,166480.0
2011-01-24,777.0,777.0,777.0,792.0,-15.0,3,2098,1630146.0
2011-02-02,792.0,791.0,792.0,777.0,15.0,4,150,118790.0
2011-02-03,792.0,777.0,785.0,792.0,-7.0,4,1136,891650.0
2011-02-06,785.0,785.0,785.0,785.0,,1,25,19625.0
2011-02-07,785.0,785.0,785.0,785.0,,1,30,23550.0
2011-02-09,770.0,770.0,770.0,785.0,-15.0,1,30,23100.0
2011-02-10,785.0,770.0,770.0,770.0,,3,195,152625.0
2011-02-14,771.0,771.0,771.0,770.0,1.0,1,95,73245.0
2011-02-15,781.0,773.0,781.0,771.0,10.0,3,40,31145.0
2011-02-17,780.0,780.0,780.0,781.0,-1.0,2,30,23400.0
2011-02-20,780.0,780.0,780.0,780.0,,1,15,11700.0
2011-02-21,790.0,785.0,790.0,780.0,10.0,3,54,42585.0
2011-02-22,780.0,780.0,780.0,790.0,-10.0,4,135,105300.0
2011-02-23,780.0,780.0,780.0,780.0,,3,30,23400.0
2011-02-24,785.0,780.0,780.0,780.0,,9,184,143685.0
2011-02-27,780.0,780.0,780.0,780.0,,2,90,70200.0
2011-02-28,780.0,780.0,780.0,780.0,,3,60,46800.0
2011-03-09,785.0,726.0,726.0,780.0,-54.0,9,175,134240.0
2011-03-13,720.0,720.0,720.0,726.0,-6.0,3,60,43200.0
2011-03-14,721.0,721.0,721.0,720.0,1.0,1,13,9373.0
2011-03-15,725.0,721.0,725.0,721.0,4.0,3,118,85138.0
2011-03-17,721.0,721.0,721.0,725.0,-4.0,1,120,86520.0
2011-03-24,725.0,725.0,725.0,721.0,4.0,1,13,9425.0
2011-03-29,725.0,725.0,725.0,725.0,,2,60,43500.0
2011-03-31,715.0,715.0,715.0,725.0,-10.0,1,20,14300.0
2011-04-18,701.0,701.0,701.0,715.0,-14.0,6,450,315450.0
2011-04-27,701.0,701.0,701.0,701.0,,2,30,21030.0
2011-05-02,687.0,648.0,648.0,701.0,-53.0,5,3083,2024499.0
2011-05-03,648.0,648.0,648.0,648.0,,2,30,19440.0
2011-05-05,660.0,660.0,660.0,648.0,12.0,1,100,66000.0
2011-05-12,647.0,640.0,640.0,660.0,-20.0,2,130,83900.0
2011-05-15,660.0,647.0,647.0,640.0,7.0,3,235,154290.0
2011-05-19,635.0,635.0,635.0,647.0,-12.0,1,15,9525.0
2011-05-24,630.0,630.0,630.0,635.0,-5.0,2,30,18900.0
2011-05-30,618.0,606.0,606.0,630.0,-24.0,2,88,53688.0
2011-06-13,594.0,594.0,594.0,606.0,-12.0,1,100,59400.0
2011-06-14,583.0,572.0,572.0,594.0,-22.0,2,60,34716.0
2011-06-15,561.0,561.0,561.0,572.0,-11.0,1,24,13464.0
2011-06-16,561.0,558.0,558.0,561.0,-3.0,2,930,521685.0
2011-06-20,590.0,569.0,590.0,558.0,32.0,4,51,29613.0
2011-06-23,647.0,601.0,647.0,590.0,57.0,5,109,68741.0
2011-06-26,659.0,659.0,659.0,647.0,12.0,3,59,38881.0
2011-06-29,672.0,659.0,659.0,659.0,,2,220,145240.0
2011-06-30,646.0,640.0,640.0,659.0,-19.0,6,250,160600.0
2011-07-03,628.0,616.0,616.0,640.0,-24.0,2,290,179960.0
2011-07-04,605.0,605.0,605.0,616.0,-11.0,2,143,86515.0
2011-07-06,600.0,600.0,600.0,605.0,-5.0,1,20,12000.0
2011-07-12,599.0,577.0,599.0,600.0,-1.0,4,95,55860.0
2011-07-13,588.0,577.0,577.0,599.0,-22.0,2,30,17475.0
2011-07-14,566.0,566.0,566.0,577.0,-11.0,1,30,16980.0
2011-07-18,577.0,577.0,577.0,566.0,11.0,1,17,9809.0
2011-07-20,600.0,588.0,600.0,577.0,23.0,5,641,377952.0
2011-07-21,600.0,590.0,591.0,600.0,-9.0,6,125,74295.0
2011-07-24,585.0,585.0,585.0,591.0,-6.0,1,23,13455.0
2011-07-25,577.0,575.0,577.0,585.0,-8.0,2,55,31675.0
2011-07-31,577.0,577.0,577.0,577.0,,7,453,261381.0
2011-08-02,610.0,588.0,610.0,577.0,33.0,3,62,37116.0
2011-08-03,601.0,601.0,601.0,610.0,-9.0,2,125,75125.0
2011-08-08,600.0,600.0,600.0,601.0,-1.0,2,156,93600.0
2011-08-09,600.0,595.0,600.0,600.0,,2,306,182250.0
2011-08-16,610.0,610.0,610.0,600.0,10.0,1,345,210450.0
2011-08-17,610.0,610.0,610.0,610.0,,2,30,18300.0
2011-08-23,601.0,598.0,601.0,610.0,-9.0,4,120,71865.0
2011-08-24,600.0,600.0,600.0,601.0,-1.0,1,100,60000.0
2011-08-28,590.0,580.0,580.0,600.0,-20.0,3,75,43650.0
2011-08-29,570.0,570.0,570.0,580.0,-10.0,4,2655,1513350.0
2011-08-30,559.0,559.0,559.0,570.0,-11.0,1,12,6708.0
2011-09-01,570.0,559.0,570.0,559.0,11.0,8,375,213585.0
2011-09-04,570.0,570.0,570.0,570.0,,2,30,17100.0
2011-09-06,560.0,560.0,560.0,570.0,-10.0,1,27,15120.0
2011-09-07,550.0,550.0,550.0,560.0,-10.0,2,60,33000.0
2011-09-13,550.0,539.0,539.0,550.0,-11.0,6,147,79395.0
2011-09-18,529.0,529.0,529.0,539.0,-10.0,3,45,23805.0
2011-09-19,525.0,525.0,525.0,529.0,-4.0,1,15,7875.0
2011-09-25,545.0,535.0,545.0,525.0,20.0,2,40,21600.0
2011-09-26,535.0,535.0,535.0,545.0,-10.0,1,42,22470.0
2011-09-29,545.0,545.0,545.0,535.0,10.0,1,15,8175.0
2011-10-09,545.0,545.0,545.0,545.0,,1,12,6540.0
2011-10-10,545.0,545.0,545.0,545.0,,1,15,8175.0
2011-10-24,555.0,555.0,555.0,545.0,10.0,2,30,16650.0
2011-11-02,565.0,565.0,565.0,555.0,10.0,1,20,11300.0
2011-11-03,595.0,576.0,595.0,565.0,30.0,3,50,29400.0
2011-11-06,606.0,596.0,606.0,595.0,11.0,2,34,20364.0
2011-11-08,615.0,610.0,615.0,606.0,9.0,4,225,137450.0
2011-11-09,615.0,603.0,615.0,615.0,,4,133,81555.0
2011-11-10,664.0,620.0,660.0,615.0,45.0,9,635,416410.0
2011-11-13,673.0,670.0,670.0,660.0,10.0,8,414,278002.0
2011-11-14,657.0,635.0,635.0,670.0,-35.0,4,224,146608.0
2011-11-15,623.0,600.0,600.0,635.0,-35.0,11,4020,2412340.0
2011-11-16,610.0,600.0,600.0,600.0,,4,788,473800.0
2011-11-17,612.0,600.0,612.0,600.0,12.0,2,2015,1209180.0
2011-11-20,600.0,600.0,600.0,612.0,-12.0,1,840,504000.0
2011-11-21,610.0,601.0,610.0,600.0,10.0,2,27,16362.0
2011-11-24,601.0,590.0,590.0,610.0,-20.0,4,117,69712.0
2011-11-27,601.0,601.0,601.0,590.0,11.0,2,24,14424.0
2011-11-28,602.0,602.0,602.0,601.0,1.0,1,50,30100.0
2011-12-06,606.0,595.0,606.0,602.0,4.0,4,503,300538.0
2011-12-07,605.0,600.0,600.0,606.0,-6.0,6,686,414284.0
2011-12-15,589.0,589.0,589.0,600.0,-11.0,1,24,14136.0
2011-12-20,590.0,590.0,590.0,589.0,1.0,1,24,14160.0
2011-12-27,579.0,579.0,579.0,590.0,-11.0,1,24,13896.0
2011-12-28,590.0,590.0,590.0,579.0,11.0,3,165,97350.0
2011-12-29,600.0,599.0,600.0,590.0,10.0,22,330,197685.0
2012-01-04,589.0,558.0,558.0,600.0,-42.0,4,3045,1700040.0
2012-01-05,569.0,569.0,569.0,558.0,11.0,1,375,213375.0
2012-01-12,615.0,580.0,615.0,569.0,46.0,8,250,150515.0
2012-01-16,627.0,627.0,627.0,615.0,12.0,2,200,125400.0
2012-01-17,627.0,615.0,627.0,627.0,,2,80,49440.0
2012-01-22,625.0,625.0,625.0,627.0,-2.0,1,45,28125.0
2012-01-23,627.0,621.0,621.0,625.0,-4.0,3,525,329025.0
2012-01-26,621.0,621.0,621.0,621.0,,4,376,233496.0
2012-01-29,622.0,620.0,622.0,621.0,1.0,2,150,93060.0
2012-01-31,632.0,620.0,632.0,622.0,10.0,5,250,156080.0
2012-02-01,635.0,631.0,631.0,632.0,-1.0,2,560,354560.0
2012-02-02,631.0,631.0,631.0,631.0,,1,50,31550.0
2012-02-05,635.0,632.0,635.0,631.0,4.0,2,45,28485.0
2012-02-06,647.0,647.0,647.0,635.0,12.0,1,200,129400.0
2012-02-07,640.0,635.0,640.0,647.0,-7.0,2,1015,649525.0
2012-02-08,640.0,640.0,640.0,640.0,,1,15,9600.0
2012-02-14,640.0,635.0,640.0,640.0,,3,45,28695.0
2012-02-15,650.0,645.0,645.0,640.0,5.0,2,43,27835.0
2012-02-23,641.0,640.0,641.0,645.0,-4.0,2,138,88443.0
2012-02-26,642.0,642.0,642.0,641.0,1.0,1,172,110424.0
2012-02-29,654.0,654.0,654.0,642.0,12.0,2,53,34662.0
2012-03-01,650.0,650.0,650.0,654.0,-4.0,1,30,19500.0
2012-03-04,650.0,650.0,650.0,650.0,,1,108,70200.0
2012-03-05,660.0,647.0,650.0,650.0,,5,135,88230.0
2012-03-06,660.0,650.0,660.0,650.0,10.0,2,43,28250.0
2012-03-11,660.0,660.0,660.0,660.0,,1,500,330000.0
2012-03-12,659.0,647.0,659.0,660.0,-1.0,2,28,18272.0
2012-03-13,659.0,659.0,659.0,659.0,,1,20,13180.0
2012-03-14,655.0,655.0,655.0,659.0,-4.0,2,1250,818750.0
2012-03-19,645.0,645.0,645.0,655.0,-10.0,1,4395,2834775.0
2012-03-20,640.0,640.0,640.0,645.0,-5.0,1,27,17280.0
2012-03-25,640.0,630.0,630.0,640.0,-10.0,4,160,101650.0
2012-03-28,640.0,630.0,630.0,630.0,,4,36107,22749070.0
2012-04-01,640.0,640.0,640.0,630.0,10.0,1,1000,640000.0
2012-04-03,640.0,640.0,640.0,640.0,,4,175,112000.0
2012-04-04,640.0,630.0,630.0,640.0,-10.0,2,25,15850.0
2012-04-12,642.0,642.0,642.0,630.0,12.0,1,20,12840.0
2012-04-15,654.0,654.0,654.0,642.0,12.0,1,10,6540.0
2012-04-16,693.0,667.0,693.0,654.0,39.0,3,40,27200.0
2012-04-17,706.0,706.0,706.0,693.0,13.0,1,13,9178.0
2012-04-18,776.0,719.0,776.0,706.0,70.0,6,95,70270.0
2012-04-19,837.0,791.0,829.0,776.0,53.0,9,894,739516.0
2012-04-22,820.0,820.0,820.0,829.0,-9.0,1,10,8200.0
2012-04-24,846.0,815.0,830.0,820.0,10.0,9,1776,1473540.0
2012-04-25,835.0,830.0,835.0,830.0,5.0,2,1500,1250000.0
2012-04-26,846.0,814.0,820.0,835.0,-15.0,12,6259,5192836.0
2012-04-29,861.0,820.0,861.0,820.0,41.0,16,3980,3298885.0
2012-05-03,861.0,861.0,861.0,861.0,,1,23,19803.0
2012-05-08,861.0,861.0,861.0,861.0,,1,305,262605.0
2012-05-09,895.0,878.0,895.0,861.0,34.0,3,60,53160.0
2012-05-16,928.0,911.0,928.0,895.0,33.0,3,80,73150.0
2012-05-22,910.0,910.0,910.0,928.0,-18.0,1,10,9100.0
2012-05-24,945.0,892.0,945.0,910.0,35.0,8,262,238330.0
2012-05-27,963.0,945.0,945.0,945.0,,2,20,19080.0
2012-06-10,927.0,927.0,927.0,945.0,-18.0,1,15,13905.0
2012-06-11,909.0,909.0,909.0,927.0,-18.0,2,30,27270.0
2012-06-12,927.0,927.0,927.0,909.0,18.0,1,10,9270.0
2012-06-19,909.0,866.0,899.0,927.0,-28.0,13,155,138245.0
2012-07-02,899.0,899.0,899.0,899.0,,2,60,53940.0
2012-07-09,882.0,810.0,810.0,899.0,-89.0,14,260,218640.0
2012-07-10,794.0,756.0,767.0,810.0,-43.0,21,672,515356.0
2012-07-11,785.0,774.0,780.0,767.0,13.0,10,1195,936740.0
2012-07-12,785.0,766.0,785.0,780.0,5.0,8,185,143490.0
2012-07-15,785.0,785.0,785.0,785.0,,1,500,392500.0
2012-07-17,804.0,785.0,795.0,785.0,10.0,35,1821,1446827.0
2012-07-18,803.0,795.0,803.0,795.0,8.0,8,2060,1645892.0
2012-07-19,815.0,800.0,815.0,803.0,12.0,11,1404,1134710.0
2012-07-22,846.0,804.0,846.0,815.0,31.0,12,2531,2054815.0
2012-07-23,850.0,830.0,850.0,846.0,4.0,3,406,342880.0
2012-07-24,845.0,833.0,845.0,850.0,-5.0,4,1376,1154268.0
2012-07-25,840.0,840.0,840.0,845.0,-5.0,2,823,691320.0
2012-07-26,841.0,841.0,841.0,840.0,1.0,2,30,25230.0
2012-07-30,870.0,848.0,860.0,841.0,19.0,7,2877,2449689.0
2012-07-31,860.0,860.0,860.0,860.0,,1,24,20640.0
2012-08-01,865.0,865.0,865.0,860.0,5.0,2,60,51900.0
2012-08-05,865.0,849.0,849.0,865.0,-16.0,2,582,502118.0
2012-08-06,865.0,864.0,864.0,849.0,15.0,9,299,258506.0
2012-08-07,865.0,865.0,865.0,864.0,1.0,2,515,445475.0
2012-08-12,881.0,865.0,871.0,865.0,6.0,8,699,607959.0
2012-08-13,879.0,865.0,879.0,871.0,8.0,9,988,855154.0
2012-08-14,880.0,866.0,875.0,879.0,-4.0,9,1472,1283670.0
2012-08-15,878.0,870.0,870.0,875.0,-5.0,4,814,709765.0
2012-08-16,885.0,870.0,885.0,870.0,15.0,5,712,620484.0
2012-08-19,885.0,875.0,876.0,885.0,-9.0,3,928,813123.0
2012-08-21,875.0,870.0,870.0,876.0,-6.0,4,2577,2251375.0
2012-08-22,870.0,865.0,870.0,870.0,,5,72,62580.0
2012-08-23,890.0,885.0,890.0,870.0,20.0,2,132,117420.0
2012-08-27,890.0,875.0,875.0,890.0,-15.0,14,3835,3358125.0
2012-08-28,880.0,874.0,880.0,875.0,5.0,3,1115,980525.0
2012-09-05,914.0,897.0,914.0,880.0,34.0,11,536,482898.0
2012-09-06,1002.0,932.0,1002.0,914.0,88.0,17,4495,4486960.0
2012-09-09,1102.0,1022.0,1102.0,1002.0,100.0,21,4094,4352973.0
2012-09-10,1212.0,1124.0,1212.0,1102.0,110.0,27,2980,3530102.0
2012-09-11,1300.0,1155.0,1285.0,1212.0,73.0,63,10220,12569255.0
2012-09-12,1260.0,1200.0,1223.0,1285.0,-62.0,22,9373,11378920.0
2012-09-13,1255.0,1200.0,1239.0,1223.0,16.0,29,2843,3455273.0
2012-09-16,1269.0,1200.0,1269.0,1239.0,30.0,13,1438,1732941.0
2012-09-17,1244.0,1200.0,1200.0,1269.0,-69.0,20,2643,3180705.0
2012-09-18,1224.0,1177.0,1200.0,1200.0,,15,2316,2789344.0
2012-09-19,1200.0,1188.0,1188.0,1200.0,-12.0,11,190,226185.0
2012-09-20,1200.0,1141.0,1141.0,1188.0,-47.0,4,261,300111.0
2012-09-23,1160.0,1118.0,1118.0,1141.0,-23.0,10,1675,1898485.0
2012-09-24,1185.0,1130.0,1162.0,1118.0,44.0,8,1261,1444550.0
2012-09-25,1185.0,1175.0,1185.0,1162.0,23.0,4,280,330850.0
2012-09-26,1195.0,1170.0,1170.0,1185.0,-15.0,21,4124,4856286.0
2012-09-27,1218.0,1174.0,1218.0,1170.0,48.0,14,1010,1196601.0
2012-09-30,1208.0,1200.0,1200.0,1218.0,-18.0,12,1867,2247395.0
2012-10-01,1314.0,1175.0,1314.0,1200.0,114.0,14,3256,3869438.0
2012-10-02,1288.0,1200.0,1208.0,1314.0,-106.0,17,2230,2697082.0
2012-10-03,1224.0,1218.0,1224.0,1208.0,16.0,10,1476,1801325.0
2012-10-04,1240.0,1200.0,1240.0,1224.0,16.0,15,2865,3457655.0
2012-10-07,1264.0,1240.0,1240.0,1240.0,,6,1875,2334550.0
2012-10-08,1221.0,1216.0,1220.0,1240.0,-20.0,3,1030,1252615.0
2012-10-09,1249.0,1225.0,1249.0,1220.0,29.0,21,1231,1524967.0
2012-10-10,1260.0,1243.0,1243.0,1249.0,-6.0,7,293,367395.0
2012-10-11,1260.0,1236.0,1240.0,1243.0,-3.0,13,1095,1368960.0
2012-10-14,1285.0,1261.0,1285.0,1240.0,45.0,2,25,31765.0
2012-10-15,1260.0,1236.0,1236.0,1285.0,-49.0,4,90,111600.0
2012-10-17,1260.0,1250.0,1260.0,1236.0,24.0,9,255,320334.0
2012-10-18,1295.0,1237.0,1295.0,1260.0,35.0,10,965,1224800.0
2012-10-30,1345.0,1295.0,1320.0,1295.0,25.0,5,201,265120.0
2012-10-31,1350.0,1330.0,1345.0,1320.0,25.0,10,860,1151650.0
2012-11-01,1325.0,1321.0,1325.0,1345.0,-20.0,3,45,59565.0
2012-11-04,1350.0,1320.0,1324.0,1325.0,-1.0,19,1782,2394758.0
2012-11-05,1415.0,1320.0,1415.0,1324.0,91.0,9,1261,1711120.0
2012-11-06,1424.0,1372.0,1424.0,1415.0,9.0,7,1138,1579255.0
2012-11-07,1451.0,1451.0,1451.0,1424.0,27.0,1,10,14510.0
2012-11-08,1529.0,1422.0,1450.0,1451.0,-1.0,17,974,1440103.0
2012-11-11,1421.0,1379.0,1379.0,1450.0,-71.0,6,280,388317.0
2012-11-12,1412.0,1345.0,1412.0,1379.0,33.0,11,1724,2375106.0
