date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-21,525.0,525.0,525.0,519.0,6.0,1,100,52500.0
2010-04-25,525.0,525.0,525.0,525.0,,1,100,52500.0
2010-05-11,535.0,535.0,535.0,525.0,10.0,1,66,35310.0
2010-05-12,535.0,535.0,535.0,535.0,,1,132,70620.0
2010-06-06,525.0,515.0,515.0,535.0,-20.0,2,1521,790395.0
2010-06-13,505.0,505.0,505.0,515.0,-10.0,2,88,44440.0
2010-07-05,495.0,486.0,486.0,505.0,-19.0,2,848,412218.0
2010-07-11,486.0,486.0,486.0,486.0,,1,147,71442.0
2010-07-18,477.0,477.0,477.0,486.0,-9.0,1,100,47700.0
2010-07-25,468.0,459.0,459.0,477.0,-18.0,2,2034,934200.0
2010-07-27,450.0,441.0,441.0,459.0,-18.0,2,20010,8824500.0
2010-08-29,433.0,433.0,433.0,441.0,-8.0,1,713,308729.0
2010-09-14,425.0,425.0,425.0,433.0,-8.0,2,88,37400.0
2010-09-29,417.0,409.0,417.0,425.0,-8.0,3,472,193656.0
2010-10-20,409.0,409.0,409.0,417.0,-8.0,1,51,20859.0
2010-11-04,401.0,393.0,393.0,409.0,-16.0,2,2099,825699.0
2010-11-09,386.0,386.0,386.0,393.0,-7.0,1,667,257462.0
2010-11-10,416.0,393.0,416.0,386.0,30.0,4,183,73675.0
2010-11-11,410.0,408.0,410.0,416.0,-6.0,3,521,213126.0
2010-11-14,402.0,380.0,380.0,410.0,-30.0,6,1497,582319.0
2010-11-15,373.0,373.0,373.0,380.0,-7.0,3,640,238720.0
2010-11-16,376.0,371.0,376.0,373.0,3.0,2,352,132022.0
2010-11-18,383.0,383.0,383.0,376.0,7.0,1,111,42513.0
2010-11-21,390.0,390.0,390.0,383.0,7.0,1,51,19890.0
2010-11-22,397.0,385.0,385.0,390.0,-5.0,4,244,95173.0
2010-11-23,378.0,378.0,378.0,385.0,-7.0,1,204,77112.0
2010-11-28,378.0,378.0,378.0,378.0,,2,176,66528.0
2010-11-29,385.0,378.0,385.0,378.0,7.0,4,463,175189.0
2010-12-06,378.0,378.0,378.0,385.0,-7.0,2,102,38556.0
2010-12-07,385.0,385.0,385.0,378.0,7.0,1,85,32725.0
2011-01-10,380.0,373.0,373.0,385.0,-12.0,2,150,56643.0
2011-01-11,366.0,360.0,360.0,373.0,-13.0,3,167,60822.0
2011-01-13,353.0,353.0,353.0,360.0,-7.0,6,14920,5266760.0
2011-01-18,346.0,340.0,340.0,353.0,-13.0,2,176,60368.0
2011-01-19,335.0,334.0,335.0,340.0,-5.0,3,501,167622.0
2011-01-20,332.0,332.0,332.0,335.0,-3.0,1,100,33200.0
2011-01-23,332.0,330.0,332.0,332.0,,2,224,74144.0
