date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-19,260.0,260.0,260.0,265.0,-5.0,5,2987,776620.0
2010-04-21,265.0,245.0,245.0,260.0,-15.0,10,1920,486200.0
2010-04-22,249.0,245.0,249.0,245.0,4.0,3,466,114885.0
2010-04-25,246.0,242.0,242.0,249.0,-7.0,2,331,80622.0
2010-04-26,255.0,246.0,255.0,242.0,13.0,3,300,75100.0
2010-04-27,250.0,242.0,242.0,255.0,-13.0,10,1719,421297.0
2010-04-28,248.0,240.0,248.0,242.0,6.0,5,1520,365140.0
2010-04-29,265.0,250.0,265.0,248.0,17.0,12,700,180854.0
2010-05-09,260.0,260.0,260.0,265.0,-5.0,1,495,128700.0
2010-05-10,260.0,255.0,260.0,260.0,,4,1833,469908.0
2010-05-11,280.0,260.0,280.0,260.0,20.0,20,2811,752390.0
2010-05-12,298.0,280.0,287.0,280.0,7.0,13,1213,348239.0
2010-05-13,297.0,282.0,282.0,287.0,-5.0,14,1993,579121.0
2010-05-17,277.0,272.0,272.0,282.0,-10.0,3,344,93928.0
2010-05-18,267.0,262.0,262.0,272.0,-10.0,2,144,38088.0
2010-05-19,272.0,267.0,272.0,262.0,10.0,2,99,26853.0
2010-05-20,287.0,272.0,285.0,272.0,13.0,8,1157,325473.0
2010-05-23,280.0,280.0,280.0,285.0,-5.0,1,20,5600.0
2010-05-24,287.0,285.0,285.0,280.0,5.0,5,371,105893.0
2010-05-25,310.0,290.0,305.0,285.0,20.0,7,665,201070.0
2010-05-26,310.0,300.0,306.0,305.0,1.0,11,1328,405582.0
2010-05-30,324.0,312.0,324.0,306.0,18.0,3,204,64488.0
2010-05-31,330.0,305.0,306.0,324.0,-18.0,11,1265,396498.0
2010-06-01,300.0,276.0,285.0,306.0,-21.0,18,2743,767036.0
2010-06-02,285.0,281.0,285.0,285.0,,2,306,87050.0
2010-06-03,295.0,290.0,295.0,285.0,10.0,2,700,203500.0
2010-06-06,300.0,290.0,290.0,295.0,-5.0,5,711,206890.0
2010-06-07,290.0,285.0,290.0,290.0,,2,300,86000.0
2010-06-08,300.0,295.0,300.0,290.0,10.0,2,229,67985.0
2010-06-09,306.0,297.0,298.0,300.0,-2.0,9,774,231088.0
2010-06-10,300.0,293.0,295.0,298.0,-3.0,6,506,150490.0
2010-06-13,290.0,272.0,277.0,295.0,-18.0,12,2108,591106.0
2010-06-14,272.0,271.0,271.0,277.0,-6.0,2,2232,606872.0
2010-06-16,281.0,276.0,280.0,271.0,9.0,4,645,178920.0
2010-06-17,287.0,285.0,286.0,280.0,6.0,3,300,85800.0
2010-06-20,287.0,287.0,287.0,286.0,1.0,1,100,28700.0
2010-06-21,294.0,290.0,294.0,287.0,7.0,3,373,108713.0
2010-06-22,295.0,290.0,295.0,294.0,1.0,6,484,142209.0
2010-06-23,290.0,290.0,290.0,295.0,-5.0,2,300,87000.0
2010-06-24,290.0,275.0,275.0,290.0,-15.0,7,956,270048.0
2010-06-28,272.0,270.0,272.0,275.0,-3.0,3,368,99696.0
2010-06-29,276.0,270.0,276.0,272.0,4.0,6,450,122482.0
2010-06-30,277.0,277.0,277.0,276.0,1.0,1,26,7202.0
