date,high,low,close,previous,diff,numtrans,tradedshares,volume
2015-12-21,337.0,325.0,337.0,,337.0,3,30,9930.0
2015-12-23,370.0,343.0,370.0,337.0,33.0,6,60,21480.0
2015-12-24,398.0,377.0,398.0,370.0,28.0,5,50,19480.0
2015-12-27,437.0,405.0,437.0,398.0,39.0,5,50,21050.0
2015-12-28,480.0,445.0,480.0,437.0,43.0,5,50,23110.0
2015-12-29,528.0,489.0,528.0,480.0,48.0,6,60,30660.0
2015-12-31,580.0,538.0,580.0,528.0,52.0,5,50,27930.0
2016-01-03,554.0,514.0,554.0,504.0,50.0,34,340,187360.0
2016-01-11,609.0,565.0,609.0,554.0,55.0,5,50,29350.0
2016-01-12,669.0,621.0,669.0,609.0,60.0,70,700,467100.0
2016-01-13,735.0,682.0,735.0,669.0,66.0,12,120,86870.0
2016-01-14,808.0,749.0,808.0,735.0,73.0,8,80,63150.0
2016-03-29,840.0,824.0,840.0,808.0,32.0,2,20,16640.0
2016-04-03,907.0,856.0,907.0,840.0,67.0,4,40,35260.0
2016-04-04,925.0,925.0,925.0,907.0,18.0,1,10,9250.0
2016-04-11,971.0,971.0,971.0,925.0,46.0,1,10,9710.0
2016-04-12,1019.0,1019.0,1019.0,971.0,48.0,1,10,10190.0
2016-04-21,1039.0,1039.0,1039.0,1019.0,20.0,1,10,10390.0
2016-04-26,1090.0,1090.0,1090.0,1039.0,51.0,1,10,10900.0
2016-05-08,1144.0,1144.0,1144.0,1090.0,54.0,4,40,45760.0
2016-05-11,1166.0,1166.0,1166.0,1144.0,22.0,1,10,11660.0
2016-05-17,1224.0,1224.0,1224.0,1166.0,58.0,1,10,12240.0
2016-05-18,1285.0,1285.0,1285.0,1224.0,61.0,1,10,12850.0
2016-05-22,1375.0,1349.0,1375.0,1285.0,90.0,2,20,27240.0
2016-05-23,1500.0,1443.0,1500.0,1375.0,125.0,4,40,59140.0
2016-05-24,1638.0,1575.0,1638.0,1500.0,138.0,4,40,63940.0
2016-05-25,1703.0,1670.0,1703.0,1638.0,65.0,3,30,50760.0
2016-05-31,1806.0,1737.0,1806.0,1703.0,103.0,3,30,53140.0
