date,high,low,close,previous,diff,numtrans,tradedshares,volume
2017-02-08,506.0,506.0,506.0,,506.0,1,10,5060.0
2017-02-14,516.0,516.0,516.0,506.0,10.0,1,10,5160.0
2017-02-19,567.0,526.0,567.0,516.0,51.0,10,1000,565960.0
2017-02-23,600.0,578.0,600.0,567.0,33.0,4,40,23670.0
2017-03-14,612.0,612.0,612.0,600.0,12.0,1,10,6120.0
2017-03-20,624.0,624.0,624.0,612.0,12.0,1,10,6240.0
2017-03-21,648.0,636.0,648.0,624.0,24.0,4,30,19380.0
2017-04-09,,,,648.0,,3,19,12540.0
2017-04-11,680.0,680.0,680.0,648.0,32.0,3,29,19837.0
2017-04-13,693.0,693.0,693.0,680.0,13.0,1,10,6930.0
2017-05-02,706.0,706.0,706.0,693.0,13.0,1,10,7060.0
2017-05-18,741.0,741.0,741.0,706.0,35.0,2,20,14820.0
2017-05-22,815.0,755.0,815.0,741.0,74.0,7,70,55550.0
2017-05-24,863.0,831.0,863.0,815.0,48.0,3,30,25410.0
2017-05-30,914.0,880.0,914.0,863.0,51.0,3,30,26910.0
2017-06-06,,,,914.0,,8,40,37280.0
2017-06-08,932.0,932.0,932.0,914.0,18.0,1,10,9320.0
2017-06-12,997.0,978.0,997.0,932.0,65.0,2,29,28723.0
2017-06-13,1036.0,1016.0,1036.0,997.0,39.0,2,20,20520.0
2017-06-14,,,,1036.0,,2,10,10560.0
2017-06-15,1119.0,1056.0,1119.0,1036.0,83.0,4,58,63453.0
2017-06-20,1186.0,1141.0,1186.0,1119.0,67.0,3,30,34900.0
2017-06-21,1233.0,1209.0,1233.0,1186.0,47.0,4,30,36510.0
2017-06-27,1294.0,1294.0,1294.0,1233.0,61.0,1,10,12940.0
2017-07-03,1345.0,1319.0,1345.0,1294.0,51.0,3,39,52195.0
2017-07-04,1371.0,1371.0,1371.0,1345.0,26.0,5,39,54009.0
2017-07-05,1425.0,1398.0,1425.0,1371.0,54.0,2,20,28230.0
2017-07-06,1453.0,1453.0,1453.0,1425.0,28.0,1,10,14530.0
2017-07-10,1511.0,1482.0,1511.0,1453.0,58.0,2,20,29930.0
2017-07-12,1571.0,1541.0,1571.0,1511.0,60.0,3,30,46830.0
2017-07-13,1714.0,1649.0,1714.0,1571.0,143.0,5,50,84423.0
2017-07-16,1782.0,1748.0,1782.0,1714.0,68.0,2,20,35300.0
2017-07-17,1927.0,1817.0,1927.0,1782.0,145.0,5,140,264240.0
2017-07-19,1965.0,1965.0,1965.0,1927.0,38.0,1,10,19650.0
2017-07-20,2004.0,2004.0,2004.0,1965.0,39.0,2,20,40080.0
2017-07-25,2084.0,2044.0,2084.0,2004.0,80.0,2,20,41280.0
2017-07-26,2167.0,2125.0,2167.0,2084.0,83.0,3,30,64590.0
2017-07-27,2299.0,2210.0,2299.0,2167.0,132.0,3,30,67630.0
2017-07-30,2528.0,2344.0,2528.0,2299.0,229.0,10,123,306384.0
2017-07-31,2780.0,2578.0,2780.0,2528.0,252.0,8,80,217420.0
2017-08-01,3058.0,2919.0,3058.0,2780.0,278.0,12,152,462396.0
2017-08-02,3363.0,3119.0,3363.0,3058.0,305.0,89,1369,4595567.0
2017-08-03,3699.0,3430.0,3699.0,3363.0,336.0,581,8523,31516170.0
2017-08-06,3855.0,3650.0,3855.0,3699.0,156.0,804,11155,41897149.0
2017-08-07,3860.0,3761.0,3795.0,3855.0,-60.0,331,5405,20483051.0
2017-08-09,3805.0,3750.0,3761.0,3795.0,-34.0,251,3152,11897619.0
2017-08-10,3761.0,3723.0,3725.0,3761.0,-36.0,170,2559,9556008.0
2017-08-13,3798.0,3561.0,3580.0,3725.0,-145.0,101,1769,6378356.0
2017-08-15,3630.0,3500.0,3630.0,3580.0,50.0,146,1928,6859059.0
2017-08-16,3695.0,3562.0,3660.0,3630.0,30.0,141,1838,6673308.0
2017-08-17,3651.0,3600.0,3643.0,3660.0,-17.0,80,1551,5638969.0
2017-08-20,3635.0,3600.0,3601.0,3643.0,-42.0,97,2129,7705022.0
2017-08-21,3600.0,3550.0,3571.0,3601.0,-30.0,56,835,2990431.0
2017-08-22,3600.0,3510.0,3570.0,3571.0,-1.0,73,1476,5271060.0
2017-08-23,3570.0,3512.0,3565.0,3570.0,-5.0,50,542,1926495.0
2017-08-24,3595.0,3511.0,3580.0,3565.0,15.0,54,1072,3821961.0
2017-08-27,3650.0,3565.0,3582.0,3580.0,2.0,74,1155,4139895.0
2017-08-28,3635.0,3515.0,3635.0,3582.0,53.0,101,1980,7144787.0
2017-08-30,3683.0,3611.0,3650.0,3635.0,15.0,87,2153,7818759.0
2017-08-31,3650.0,3606.0,3619.0,3650.0,-31.0,53,658,2386493.0
2017-09-04,3630.0,3595.0,3612.0,3619.0,-7.0,69,1114,4017610.0
2017-09-06,3670.0,3555.0,3630.0,3612.0,18.0,56,645,2334990.0
2017-09-07,3710.0,3630.0,3644.0,3630.0,14.0,57,758,2771924.0
2017-09-10,3620.0,3581.0,3587.0,3644.0,-57.0,89,2231,8031892.0
2017-09-11,3660.0,3520.0,3660.0,3587.0,73.0,53,1368,4963578.0
2017-09-12,3660.0,3587.0,3650.0,3660.0,-10.0,49,1675,6090550.0
2017-09-13,3690.0,3582.0,3582.0,3650.0,-68.0,47,1415,5119200.0
2017-09-14,3560.0,3224.0,3224.0,3582.0,-358.0,55,1914,6231230.0
2017-09-17,3280.0,3097.0,3260.0,3224.0,36.0,153,3981,12817065.0
2017-09-18,3391.0,3261.0,3350.0,3260.0,90.0,57,1253,4179895.0
2017-09-20,3370.0,3235.0,3301.0,3350.0,-49.0,20,253,841006.0
2017-09-24,3320.0,3260.0,3320.0,3301.0,19.0,12,256,840548.0
2017-09-25,3350.0,3287.0,3350.0,3320.0,30.0,13,233,774790.0
2017-09-26,3350.0,3349.0,3350.0,3350.0,,6,62,207688.0
2017-10-03,3350.0,3320.0,3350.0,3350.0,,10,259,867010.0
2017-10-04,3360.0,3330.0,3345.0,3350.0,-5.0,22,317,1059830.0
2017-10-08,3305.0,3250.0,3255.0,3345.0,-90.0,30,551,1805919.0
2017-10-09,3275.0,3250.0,3255.0,3255.0,,33,644,2095072.0
2017-10-10,3250.0,3220.0,3220.0,3255.0,-35.0,7,195,629395.0
2017-10-11,3264.0,3201.0,3222.0,3220.0,2.0,28,580,1874835.0
2017-10-12,3222.0,3191.0,3200.0,3222.0,-22.0,30,1176,3763718.0
2017-10-15,3250.0,3185.0,3200.0,3200.0,,24,339,1092800.0
2017-10-16,3264.0,3200.0,3220.0,3200.0,20.0,14,366,1176681.0
2017-10-17,3240.0,3160.0,3166.0,3220.0,-54.0,21,768,2455739.0
2017-10-22,3210.0,3160.0,3205.0,3166.0,39.0,9,805,2569751.0
2017-10-23,3245.0,3200.0,3245.0,3205.0,40.0,4,80,256750.0
2017-10-24,3240.0,3182.0,3184.0,3245.0,-61.0,7,76,243020.0
2017-10-25,3184.0,3101.0,3149.0,3184.0,-35.0,34,1809,5668481.0
2017-10-29,3130.0,3115.0,3115.0,3149.0,-34.0,20,332,1037002.0
2017-10-30,3070.0,3040.0,3041.0,3115.0,-74.0,57,2646,8084657.0
2017-10-31,3110.0,3000.0,3110.0,3041.0,69.0,11,141,427710.0
2017-11-01,3049.0,3000.0,3020.0,3110.0,-90.0,15,186,563089.0
2017-11-02,3025.0,2960.0,2960.0,3020.0,-60.0,41,925,2764683.0
2017-11-05,2910.0,2890.0,2910.0,2960.0,-50.0,23,970,2818328.0
2017-11-06,2960.0,2852.0,2900.0,2910.0,-10.0,17,1621,4739791.0
2017-11-07,2900.0,2855.0,2855.0,2900.0,-45.0,15,379,1084200.0
2017-11-08,2890.0,2815.0,2890.0,2855.0,35.0,43,726,2077929.0
2017-11-09,2938.0,2875.0,2889.0,2890.0,-1.0,28,638,1851225.0
2017-11-12,2900.0,2880.0,2900.0,2889.0,11.0,8,115,332879.0
2017-11-13,2898.0,2854.0,2890.0,2900.0,-10.0,9,315,908224.0
2017-11-14,3000.0,2890.0,2980.0,2890.0,90.0,11,230,684030.0
2017-11-15,3000.0,2975.0,2975.0,2980.0,-5.0,21,441,1317480.0
2017-11-16,2943.0,2930.0,2942.0,2975.0,-33.0,16,379,1114720.0
2017-11-19,2941.0,2884.0,2941.0,2942.0,-1.0,9,272,786811.0
2017-11-20,2950.0,2870.0,2870.0,2941.0,-71.0,12,120,347320.0
2017-11-21,2900.0,2815.0,2837.0,2870.0,-33.0,10,117,333753.0
2017-11-22,2860.0,2830.0,2853.0,2837.0,16.0,12,147,417390.0
2017-11-23,2910.0,2801.0,2910.0,2853.0,57.0,15,150,429180.0
2017-11-26,2950.0,2910.0,2950.0,2910.0,40.0,5,69,202580.0
2017-11-27,2999.0,2930.0,2930.0,2950.0,-20.0,24,274,811315.0
2017-11-28,3020.0,2930.0,3020.0,2930.0,90.0,61,2298,6854874.0
2017-11-29,3140.0,3021.0,3078.0,3020.0,58.0,44,1513,4686986.0
2017-11-30,3186.0,3041.0,3145.0,3078.0,67.0,149,3035,9469635.0
2017-12-04,2602.0,2600.0,2600.0,2621.0,-21.0,12,494,1284696.0
2017-12-05,2615.0,2590.0,2600.0,2600.0,,10,142,368907.0
2017-12-06,2705.0,2652.0,2705.0,2600.0,105.0,2,30,80090.0
2017-12-10,2810.0,2759.0,2810.0,2705.0,105.0,2,69,191391.0
2017-12-11,2810.0,2647.0,2647.0,2810.0,-163.0,8,583,1550090.0
2017-12-12,2615.0,2600.0,2614.0,2647.0,-33.0,6,220,573830.0
2017-12-13,2629.0,2570.0,2629.0,2614.0,15.0,7,209,547169.0
2017-12-14,2628.0,2573.0,2628.0,2629.0,-1.0,6,160,417880.0
2017-12-17,2674.0,2628.0,2674.0,2628.0,46.0,2,29,77086.0
2017-12-19,2675.0,2675.0,2675.0,2674.0,1.0,1,10,26750.0
2017-12-20,2622.0,2530.0,2560.0,2675.0,-115.0,16,704,1792110.0
2017-12-21,2580.0,2522.0,2540.0,2560.0,-20.0,21,368,939010.0
2017-12-24,2550.0,2505.0,2505.0,2540.0,-35.0,13,628,1578050.0
2017-12-26,2470.0,2455.0,2455.0,2505.0,-50.0,11,368,905604.0
2017-12-27,2445.0,2358.0,2445.0,2455.0,-10.0,6,79,189820.0
2017-12-28,2435.0,2387.0,2387.0,2445.0,-58.0,16,502,1207535.0
2017-12-31,2340.0,2294.0,2294.0,2387.0,-93.0,6,239,551050.0
2018-01-01,2397.0,2310.0,2397.0,2294.0,103.0,12,314,732310.0
2018-01-02,2400.0,2353.0,2353.0,2397.0,-44.0,5,339,799730.0
2018-01-03,2330.0,2271.0,2271.0,2353.0,-82.0,6,208,479339.0
2018-01-04,2277.0,2251.0,2251.0,2271.0,-20.0,13,576,1304110.0
2018-01-07,2305.0,2290.0,2305.0,2251.0,54.0,7,310,711200.0
2018-01-08,2300.0,2270.0,2270.0,2305.0,-35.0,10,490,1116310.0
2018-01-09,2360.0,2305.0,2360.0,2270.0,90.0,14,354,826966.0
2018-01-10,2352.0,2350.0,2350.0,2360.0,-10.0,6,80,188070.0
2018-01-14,2305.0,2251.0,2251.0,2350.0,-99.0,11,310,703600.0
2018-01-16,2250.0,2221.0,2230.0,2251.0,-21.0,6,186,417370.0
2018-01-17,2243.0,2200.0,2220.0,2230.0,-10.0,8,210,465870.0
2018-01-21,2280.0,2210.0,2270.0,2220.0,50.0,9,460,1038790.0
2018-01-22,2235.0,2220.0,2220.0,2270.0,-50.0,15,410,912620.0
2018-01-23,2235.0,2210.0,2210.0,2220.0,-10.0,14,390,864590.0
2018-01-24,2230.0,2210.0,2230.0,2210.0,20.0,10,348,774740.0
2018-01-25,2245.0,2230.0,2245.0,2230.0,15.0,11,461,1031855.0
2018-01-28,2240.0,2220.0,2226.0,2245.0,-19.0,14,238,530967.0
2018-01-29,2270.0,2183.0,2226.0,2226.0,,16,329,739224.0
2018-01-31,2285.0,2240.0,2240.0,2226.0,14.0,15,511,1157725.0
2018-02-01,2294.0,2255.0,2294.0,2240.0,54.0,10,487,1106327.0
2018-02-04,2300.0,2271.0,2300.0,2294.0,6.0,16,435,995145.0
2018-02-05,2288.0,2255.0,2255.0,2300.0,-45.0,5,384,877280.0
2018-02-06,2240.0,2226.0,2226.0,2255.0,-29.0,3,420,939520.0
2018-02-07,2226.0,2190.0,2190.0,2226.0,-36.0,12,229,505410.0
2018-02-08,2233.0,2160.0,2200.0,2190.0,10.0,4,130,288800.0
2018-02-11,2173.0,2161.0,2161.0,2200.0,-39.0,10,220,476870.0
2018-02-12,2173.0,2125.0,2173.0,2161.0,12.0,5,50,106910.0
2018-02-14,2180.0,2141.0,2180.0,2173.0,7.0,8,428,928449.0
2018-02-15,2358.0,2186.0,2358.0,2180.0,178.0,19,363,817456.0
2018-02-18,2400.0,2320.0,2320.0,2358.0,-38.0,13,372,876634.0
2018-02-20,2300.0,2210.0,2210.0,2320.0,-110.0,5,90,203850.0
2018-02-21,2210.0,2170.0,2176.0,2210.0,-34.0,10,176,387080.0
2018-02-22,2219.0,2150.0,2170.0,2176.0,-6.0,13,512,1109810.0
2018-02-25,2160.0,2130.0,2150.0,2170.0,-20.0,16,449,965928.0
2018-02-26,2130.0,2115.0,2120.0,2150.0,-30.0,17,519,1100835.0
2018-02-27,2150.0,2090.0,2150.0,2120.0,30.0,4,49,103810.0
2018-02-28,2111.0,2091.0,2096.0,2150.0,-54.0,9,272,570462.0
2018-03-04,2061.0,1975.0,2000.0,2096.0,-96.0,19,524,1056025.0
2018-03-05,2030.0,1941.0,1941.0,2000.0,-59.0,9,317,633978.0
2018-03-06,1969.0,1885.0,1969.0,1941.0,28.0,12,412,787368.0
2018-03-07,2025.0,1965.0,2025.0,1969.0,56.0,8,129,257785.0
2018-03-11,1985.0,1946.0,1946.0,2025.0,-79.0,3,50,97700.0
2018-03-12,1950.0,1950.0,1950.0,1946.0,4.0,3,70,136500.0
2018-03-13,1921.0,1921.0,1921.0,1950.0,-29.0,1,10,19210.0
2018-03-14,1920.0,1900.0,1900.0,1921.0,-21.0,5,120,229700.0
2018-03-15,1938.0,1938.0,1938.0,1900.0,38.0,1,10,19380.0
2018-03-18,1918.0,1918.0,1918.0,1938.0,-20.0,1,10,19180.0
2018-03-19,1925.0,1895.0,1905.0,1918.0,-13.0,8,180,342510.0
2018-03-20,1920.0,1880.0,1920.0,1905.0,15.0,11,499,952183.0
2018-03-21,1885.0,1814.0,1860.0,1920.0,-60.0,15,376,690930.0
2018-03-22,1823.0,1753.0,1766.0,1860.0,-94.0,23,695,1240120.0
2018-03-26,1731.0,1633.0,1633.0,1766.0,-133.0,7,155,260745.0
2018-03-27,1731.0,1601.0,1731.0,1633.0,98.0,11,425,712235.0
2018-03-28,1750.0,1664.0,1664.0,1731.0,-67.0,14,333,570926.0
2018-03-29,1697.0,1650.0,1697.0,1664.0,33.0,7,210,352230.0
