date,high,low,close,previous,diff,numtrans,tradedshares,volume
2020-06-29,432.0,382.0,382.0,424.0,-42.0,279,9779,3761368.0
2020-06-30,363.0,344.0,344.0,382.0,-38.0,551,20380,7016590.0
2020-07-01,378.0,315.0,378.0,344.0,34.0,1102,41011,14761825.0
2020-07-02,415.0,368.0,383.0,378.0,5.0,3809,152449,60682125.0
2020-07-05,415.0,370.0,400.0,383.0,17.0,9713,384082,151241987.0
2020-07-06,440.0,400.0,440.0,400.0,40.0,7466,337293,145331380.0
2020-07-07,484.0,453.0,484.0,440.0,44.0,3594,189080,91267083.0
2020-07-08,532.0,480.0,508.0,484.0,24.0,9527,501457,255799681.0
2020-07-09,516.0,486.0,504.0,508.0,-4.0,5322,302571,151845830.0
2020-07-12,535.0,501.0,509.0,504.0,5.0,4823,279522,143448460.0
2020-07-13,517.0,501.0,508.0,509.0,-1.0,3218,202660,102812349.0
2020-07-14,510.0,497.0,500.0,508.0,-8.0,3526,221004,111012243.0
2020-07-15,510.0,500.0,504.0,500.0,4.0,3015,193037,97362529.0
2020-07-16,529.0,503.0,521.0,504.0,17.0,2955,182560,94172564.0
2020-07-19,573.0,547.0,570.0,521.0,49.0,131,44436,25371293.0
2020-07-20,618.0,537.0,565.0,570.0,-5.0,2871,309752,176382799.0
2020-07-21,567.0,550.0,557.0,565.0,-8.0,3090,223552,124291832.0
2020-07-22,561.0,528.0,535.0,557.0,-22.0,4274,301663,162376267.0
2020-07-23,547.0,520.0,545.0,535.0,10.0,4240,212889,113239679.0
2020-07-26,552.0,520.0,549.0,545.0,4.0,6174,373050,199452916.0
2020-07-27,575.0,553.0,562.0,549.0,13.0,3974,264209,148861194.0
2020-07-28,569.0,555.0,566.0,562.0,4.0,2840,183834,103576159.0
2020-07-29,588.0,557.0,584.0,566.0,18.0,3234,272601,157100105.0
2020-07-30,615.0,576.0,599.0,584.0,15.0,4087,382720,229155063.0
2020-08-02,610.0,584.0,586.0,599.0,-13.0,3559,382259,226517075.0
2020-08-03,594.0,575.0,589.0,586.0,3.0,2217,171630,100417639.0
2020-08-05,590.0,576.0,576.0,589.0,-13.0,2619,234516,136119907.0
2020-08-06,585.0,565.0,575.0,576.0,-1.0,2377,206694,118115188.0
2020-08-09,580.0,563.0,572.0,575.0,-3.0,2114,156684,89114877.0
2020-08-10,597.0,566.0,591.0,572.0,19.0,2510,210854,123153743.0
2020-08-11,599.0,585.0,587.0,591.0,-4.0,2086,204932,121607806.0
2020-08-12,616.0,584.0,588.0,587.0,1.0,1690,102692,60381444.0
2020-08-13,588.0,580.0,580.0,588.0,-8.0,1781,123499,71937188.0
2020-08-16,584.0,571.0,575.0,580.0,-5.0,1733,133967,77110577.0
2020-08-17,590.0,570.0,588.0,575.0,13.0,1580,112845,65830289.0
2020-08-18,595.0,585.0,590.0,588.0,2.0,1497,108326,63932746.0
2020-08-19,587.0,578.0,579.0,590.0,-11.0,997,117221,68180359.0
2020-08-20,585.0,575.0,583.0,579.0,4.0,479,39562,23017814.0
2020-08-23,599.0,581.0,596.0,583.0,13.0,1121,113089,66811330.0
2020-08-24,624.0,596.0,624.0,596.0,28.0,3310,351252,216040975.0
2020-08-25,679.0,623.0,672.0,624.0,48.0,3703,443243,287405898.0
2020-08-26,726.0,671.0,712.0,672.0,40.0,4232,492948,349254823.0
2020-08-27,722.0,703.0,709.0,712.0,-3.0,2698,325117,231294329.0
2020-08-30,775.0,693.0,770.0,709.0,61.0,2997,478389,344209990.0
2020-08-31,847.0,775.0,847.0,770.0,77.0,2941,346675,287457228.0
2020-09-02,931.0,887.0,901.0,847.0,54.0,5932,732871,674242254.0
2020-09-03,920.0,856.0,889.0,901.0,-12.0,4786,466323,415707238.0
2020-09-06,933.0,860.0,871.0,889.0,-18.0,4294,455128,401301084.0
2020-09-07,880.0,854.0,856.0,871.0,-15.0,3646,329704,284037069.0
2020-09-08,870.0,837.0,859.0,856.0,3.0,3373,324098,275539967.0
2020-09-09,899.0,857.0,891.0,859.0,32.0,2505,253259,223122288.0
2020-09-10,918.0,891.0,895.0,891.0,4.0,1810,193377,174234526.0
2020-09-13,925.0,895.0,898.0,895.0,3.0,2430,269175,243165058.0
2020-09-14,942.0,882.0,882.0,898.0,-16.0,2104,229562,204308668.0
2020-09-15,908.0,874.0,881.0,882.0,-1.0,1702,148938,131382850.0
2020-09-16,890.0,873.0,884.0,881.0,3.0,1385,109028,96196246.0
2020-09-17,897.0,873.0,876.0,884.0,-8.0,1738,170721,149806832.0
2020-09-20,900.0,858.0,858.0,876.0,-18.0,1691,188349,162940197.0
2020-09-21,900.0,845.0,862.0,858.0,4.0,2297,172562,149036929.0
2020-09-22,870.0,855.0,862.0,862.0,,1737,144853,124476823.0
2020-09-23,870.0,819.0,869.0,862.0,7.0,1297,101235,87323701.0
2020-09-24,870.0,861.0,864.0,869.0,-5.0,1179,108550,93824698.0
2020-09-27,875.0,860.0,860.0,864.0,-4.0,1166,104161,90001415.0
2020-09-28,867.0,850.0,856.0,860.0,-4.0,1053,74520,64033445.0
2020-09-29,856.0,851.0,853.0,856.0,-3.0,1229,91565,78161176.0
2020-09-30,860.0,846.0,851.0,853.0,-2.0,1369,132294,112435136.0
2020-10-01,870.0,850.0,863.0,851.0,12.0,1439,97600,84173747.0
2020-10-04,898.0,863.0,891.0,863.0,28.0,2546,234510,208153684.0
2020-10-05,908.0,885.0,887.0,891.0,-4.0,2077,166071,149100463.0
2020-10-06,895.0,875.0,877.0,887.0,-10.0,1008,71469,62902371.0
2020-10-07,920.0,870.0,873.0,877.0,-4.0,959,78553,68569172.0
2020-10-08,887.0,865.0,868.0,873.0,-5.0,936,72675,63332030.0
2020-10-11,877.0,856.0,861.0,868.0,-7.0,1057,66945,57928083.0
2020-10-12,865.0,857.0,860.0,861.0,-1.0,1029,61915,53276432.0
2020-10-13,865.0,855.0,856.0,860.0,-4.0,952,73770,63289400.0
2020-10-14,858.0,851.0,852.0,856.0,-4.0,863,62327,53181854.0
2020-10-15,869.0,850.0,854.0,852.0,2.0,924,86805,74084223.0
2020-10-18,854.0,848.0,850.0,854.0,-4.0,863,57070,48531217.0
2020-10-19,858.0,848.0,854.0,850.0,4.0,528,33366,28453773.0
2020-10-20,896.0,850.0,856.0,854.0,2.0,403,25869,22074942.0
2020-10-21,863.0,852.0,857.0,856.0,1.0,429,29569,25405072.0
2020-10-22,865.0,853.0,856.0,857.0,-1.0,437,38551,32971137.0
2020-10-28,869.0,850.0,867.0,856.0,11.0,596,52226,44678831.0
2020-10-29,881.0,861.0,865.0,867.0,-2.0,677,51890,45237063.0
2020-11-01,869.0,858.0,858.0,865.0,-7.0,646,38398,33045165.0
2020-11-02,868.0,850.0,861.0,858.0,3.0,855,68958,59474517.0
2020-11-03,869.0,857.0,863.0,861.0,2.0,736,47681,41209073.0
2020-11-04,863.0,858.0,861.0,863.0,-2.0,663,38848,33451817.0
2020-11-05,865.0,856.0,858.0,861.0,-3.0,851,81104,69705953.0
2020-11-08,905.0,858.0,894.0,858.0,36.0,2686,291323,259202482.0
2020-11-09,973.0,900.0,969.0,894.0,75.0,5355,583920,550181485.0
2020-11-10,1000.0,951.0,961.0,969.0,-8.0,2775,292752,285332151.0
2020-11-11,977.0,951.0,964.0,961.0,3.0,1383,156439,151071432.0
2020-11-12,991.0,960.0,983.0,964.0,19.0,2196,337190,329605240.0
2020-11-18,1044.0,961.0,1037.0,983.0,54.0,2789,337844,336259920.0
2020-11-19,1118.0,1037.0,1110.0,1037.0,73.0,3373,377799,410845310.0
2020-11-22,1201.0,1108.0,1138.0,1110.0,28.0,3823,504782,580058318.0
2020-11-23,1152.0,1123.0,1127.0,1138.0,-11.0,2274,258335,293033741.0
