date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-08-06,275.4,250.4,275.4,0,275.4,3174,62033,17074308.2
2023-08-07,302.9,275,302.9,275.4,27.5,14177,277924,82519074.3
2023-08-08,333.1,308.9,333.1,302.9,30.200000000000045,5158,61197,20236379.8
2023-08-09,354.7,299.8,306.7,333.1,-26.400000000000034,17950,241388,75599039.4
2023-08-10,310,295,297,306.7,-9.699999999999989,5803,133080,39789597.7
2023-08-13,299,278.6,282,297,-15,5600,108982,31093494.2
2023-08-14,305,276.5,296,282,14,4324,82580,24363370.6
2023-08-15,293,284,285,296,-11,2355,42304,12174426.2
2023-08-16,285,277,278,285,-7,1595,45046,12640691.2
2023-08-17,285.6,275,278,278,0,1851,46745,13090193
2023-08-20,278,267.5,267.5,278,-10.5,1647,40091,10909831.2
2023-08-21,279.7,261,264.8,267.5,-2.6999999999999886,1333,33941,8983001.2
2023-08-22,270,261,267.5,264.8,2.6999999999999886,1308,37619,10013261.7
2023-08-23,275,264.5,272.8,267.5,5.300000000000011,1502,35734,9662487
2023-08-24,274,259.7,263,272.8,-9.800000000000011,1180,57178,15060025.9
2023-08-27,263,250.5,255,263,-8,1552,42073,10695757
2023-08-28,265,249.6,251.1,255,-3.9000000000000057,1128,36339,9207719.6
2023-08-29,255,248.8,251.5,251.1,0.4000000000000057,1047,22328,5610285.1
2023-08-30,252,245,245,251.5,-6.5,1001,28958,7173079.5
2023-09-03,243,233.7,234,245,-11,1129,37133,8862265
2023-09-04,244,227.4,237,234,3,824,40748,9445333.2
2023-09-05,241.5,230.7,233,237,-4,571,12465,2900259
2023-09-07,237.6,225.2,230,233,-3,790,22644,5170264.5
2023-09-10,234,225.3,229.5,230,-0.5,830,24418,5593460.1
2023-09-11,243,227,241,229.5,11.5,913,27163,6444611.8
2023-09-12,245,230.7,234.9,241,-6.099999999999994,520,27030,6364894.7
2023-09-13,244,231.6,240.2,234.9,5.299999999999983,717,26892,6421637.7
2023-09-17,237,230.6,233,240.2,-7.199999999999989,609,20730,4843643.2
2023-09-18,244,228.4,234.2,233,1.1999999999999886,589,11910,2767857
2023-09-19,239.8,231,237.4,234.2,3.200000000000017,708,14010,3294662
2023-09-21,255,240,249,237.4,11.599999999999994,1624,83534,20851090.6
2023-09-24,261.5,244.2,255,249,6,1385,68730,17596420.6
2023-09-25,257,248.3,248.3,255,-6.699999999999989,1040,30714,7753728.5
2023-09-26,263.4,245,260,248.3,11.699999999999989,1300,49356,12750693.5
2023-09-27,265,250,255,260,-5,805,38479,9826876.3
2023-10-01,259.6,240.2,241.3,255,-13.699999999999989,1147,41491,10146186.6
2023-10-02,249.9,237,244,241.3,2.6999999999999886,988,33090,8062054.4
2023-10-03,253,239.1,241.2,244,-2.8000000000000114,795,23623,5754463.5
2023-10-04,250,238.2,247.6,241.2,6.400000000000006,1006,22629,5555144.5
2023-10-05,255,242.1,244,247.6,-3.5999999999999943,826,21280,5242095.7
2023-10-08,246,237.5,237.6,244,-6.400000000000006,760,24315,5829161.3
