date,high,low,close,previous,diff,numtrans,tradedshares,volume
2020-08-26,336.0,306.0,336.0,306.0,30.0,3329,62637,20660602.0
2020-08-27,369.0,352.0,369.0,336.0,33.0,2270,28550,10526150.0
2020-08-30,405.0,387.0,405.0,369.0,36.0,17814,297162,120013260.0
2020-08-31,445.0,425.0,445.0,405.0,40.0,5340,75618,33530485.0
2020-09-02,489.0,467.0,489.0,445.0,44.0,1902,26975,13140815.0
2020-09-03,537.0,513.0,537.0,489.0,48.0,3101,44505,23893475.0
2020-09-06,590.0,484.0,484.0,537.0,-53.0,1016,49953,25695122.0
2020-09-07,460.0,436.0,436.0,484.0,-48.0,125,7815,3420000.0
2020-09-08,415.0,393.0,393.0,436.0,-43.0,180,10210,4032930.0
2020-09-09,374.0,354.0,354.0,393.0,-39.0,272,14498,5145882.0
2020-09-10,389.0,319.0,389.0,354.0,35.0,4539,83295,28900909.0
2020-09-13,427.0,408.0,427.0,389.0,38.0,3625,71494,30413883.0
2020-09-14,456.0,400.0,416.0,427.0,-11.0,6916,115029,48817754.0
2020-09-15,436.0,400.0,408.0,416.0,-8.0,3103,40769,16625804.0
2020-09-16,412.0,400.0,406.0,408.0,-2.0,2153,28882,11725930.0
2020-09-17,405.0,398.0,401.0,406.0,-5.0,2088,37908,15184272.0
2020-09-20,396.0,385.0,387.0,401.0,-14.0,2070,37140,14379455.0
2020-09-21,380.0,370.0,371.0,387.0,-16.0,3217,45446,16918850.0
2020-09-22,367.0,358.0,360.0,371.0,-11.0,2186,42449,15355897.0
2020-09-23,386.0,355.0,375.0,360.0,15.0,1875,26060,9547070.0
2020-09-24,380.0,369.0,375.0,375.0,,1387,19135,7183145.0
2020-09-27,374.0,364.0,368.0,375.0,-7.0,956,16779,6193073.0
2020-09-28,369.0,351.0,365.0,368.0,-3.0,1000,17357,6307747.0
2020-09-29,366.0,358.0,359.0,365.0,-6.0,1011,31940,11525000.0
2020-09-30,360.0,355.0,357.0,359.0,-2.0,920,24501,8761426.0
2020-10-01,377.0,352.0,359.0,357.0,2.0,1142,30235,10918760.0
2020-10-04,368.0,356.0,362.0,359.0,3.0,1247,24105,8719500.0
2020-10-05,363.0,357.0,358.0,362.0,-4.0,843,15312,5505303.0
2020-10-06,365.0,355.0,357.0,358.0,-1.0,735,14308,5103312.0
2020-10-07,371.0,352.0,371.0,357.0,14.0,842,25735,9246946.0
2020-10-08,371.0,359.0,360.0,371.0,-11.0,773,15029,5460448.0
2020-10-11,370.0,351.0,357.0,360.0,-3.0,633,9160,3253860.0
2020-10-12,357.0,353.0,354.0,357.0,-3.0,656,12798,4540357.0
2020-10-13,358.0,350.0,354.0,354.0,,567,10920,3865880.0
2020-10-14,353.0,345.0,350.0,354.0,-4.0,614,17455,6099140.0
2020-10-15,355.0,347.0,350.0,350.0,,426,10859,3794565.0
2020-10-18,350.0,342.0,346.0,350.0,-4.0,429,7560,2624720.0
2020-10-19,361.0,342.0,347.0,346.0,1.0,287,7100,2480040.0
2020-10-20,360.0,343.0,353.0,347.0,6.0,274,5910,2079340.0
2020-10-21,364.0,350.0,353.0,353.0,,283,14264,5056432.0
2020-10-22,360.0,346.0,352.0,353.0,-1.0,271,7400,2592780.0
2020-10-28,353.0,345.0,351.0,352.0,-1.0,354,8865,3111115.0
2020-10-29,353.0,340.0,350.0,351.0,-1.0,548,16375,5722450.0
2020-11-01,354.0,341.0,348.0,350.0,-2.0,564,11915,4107665.0
2020-11-02,350.0,342.0,347.0,348.0,-1.0,627,11672,4052815.0
2020-11-03,350.0,341.0,345.0,347.0,-2.0,501,9276,3200632.0
2020-11-04,350.0,343.0,347.0,345.0,2.0,497,10345,3564840.0
2020-11-05,355.0,342.0,342.0,347.0,-5.0,480,12990,4475911.0
2020-11-08,345.0,340.0,342.0,342.0,,606,20365,6976230.0
2020-11-09,366.0,342.0,353.0,342.0,11.0,799,31120,10977894.0
2020-11-10,360.0,350.0,353.0,353.0,,477,13169,4649869.0
2020-11-11,386.0,347.0,374.0,353.0,21.0,853,47089,17426869.0
2020-11-12,380.0,359.0,362.0,374.0,-12.0,769,47620,17327324.0
2020-11-18,372.0,360.0,364.0,362.0,2.0,393,16120,5861310.0
2020-11-19,400.0,361.0,400.0,364.0,36.0,1121,91460,35502641.0
2020-11-22,432.0,396.0,410.0,400.0,10.0,1477,131805,54990674.0
2020-11-23,412.0,400.0,400.0,410.0,-10.0,905,53791,21789986.0
2020-11-24,428.0,396.0,414.0,400.0,14.0,1015,60737,24906007.0
2020-11-25,419.0,404.0,413.0,414.0,-1.0,674,35031,14346925.0
2020-11-26,413.0,401.0,401.0,413.0,-12.0,790,36175,14650697.0
2020-11-29,407.0,391.0,396.0,401.0,-5.0,718,35687,14099399.0
2020-11-30,406.0,390.0,396.0,396.0,,761,29525,11697385.0
2020-12-01,414.0,389.0,390.0,396.0,-6.0,815,53218,21170355.0
2020-12-02,414.0,387.0,406.0,390.0,16.0,913,42500,17254669.0
2020-12-03,412.0,394.0,394.0,406.0,-12.0,638,25261,10139623.0
2020-12-06,398.0,376.0,376.0,394.0,-18.0,600,27859,10733212.0
2020-12-07,389.0,361.0,385.0,376.0,9.0,552,27595,10478660.0
2020-12-08,388.0,376.0,377.0,385.0,-8.0,452,20445,7797433.0
2020-12-09,384.0,368.0,369.0,377.0,-8.0,496,23613,8771785.0
2020-12-10,378.0,363.0,375.0,369.0,6.0,532,25032,9281306.0
2020-12-13,378.0,368.0,374.0,375.0,-1.0,447,12307,4566579.0
2020-12-14,401.0,371.0,388.0,374.0,14.0,660,35339,13646856.0
2020-12-15,399.0,381.0,383.0,388.0,-5.0,346,14719,5663991.0
2020-12-16,396.0,378.0,385.0,383.0,2.0,505,27715,10687554.0
2020-12-17,383.0,375.0,380.0,385.0,-5.0,449,21419,8111780.0
2020-12-20,380.0,362.0,362.0,380.0,-18.0,452,23081,8456491.0
2020-12-21,379.0,343.0,360.0,362.0,-2.0,611,26187,9379845.0
2020-12-22,372.0,360.0,365.0,360.0,5.0,551,17075,6271413.0
2020-12-23,369.0,360.0,361.0,365.0,-4.0,431,14146,5126242.0
2020-12-24,365.0,358.0,365.0,361.0,4.0,392,13890,5011820.0
2020-12-27,372.0,356.0,363.0,365.0,-2.0,469,13938,5042688.0
2020-12-28,364.0,354.0,357.0,363.0,-6.0,379,13711,4903690.0
2020-12-29,357.0,350.0,354.0,357.0,-3.0,416,21711,7655781.0
2020-12-30,354.0,347.0,352.0,354.0,-2.0,424,12130,4266570.0
2020-12-31,363.0,348.0,358.0,352.0,6.0,654,22469,8015757.0
2021-01-03,360.0,353.0,357.0,358.0,-1.0,462,12650,4509854.0
2021-01-04,360.0,353.0,353.0,357.0,-4.0,324,17949,6371284.0
2021-01-05,379.0,351.0,363.0,353.0,10.0,590,15817,5750560.0
2021-01-06,370.0,357.0,360.0,363.0,-3.0,424,11669,4240523.0
2021-01-07,365.0,356.0,359.0,360.0,-1.0,519,16731,6027769.0
2021-01-10,367.0,342.0,360.0,359.0,1.0,454,17040,6182370.0
2021-01-11,365.0,356.0,360.0,360.0,,382,10006,3610832.0
2021-01-12,364.0,354.0,357.0,360.0,-3.0,341,12711,4551163.0
2021-01-13,370.0,357.0,363.0,357.0,6.0,401,20810,7580704.0
2021-01-17,370.0,363.0,368.0,363.0,5.0,349,14000,5154250.0
2021-01-18,374.0,366.0,367.0,368.0,-1.0,329,15699,5806328.0
2021-01-19,380.0,362.0,365.0,367.0,-2.0,263,11981,4379989.0
2021-01-20,366.0,358.0,363.0,365.0,-2.0,289,12175,4425125.0
2021-01-21,365.0,360.0,363.0,363.0,,444,22388,8108772.0
2021-01-24,385.0,346.0,380.0,363.0,17.0,785,57206,21632480.0
2021-01-25,405.0,380.0,397.0,369.0,28.0,1076,104438,41253354.0
2021-01-26,405.0,385.0,390.0,397.0,-7.0,426,36977,14537572.0
2021-01-27,397.0,385.0,390.0,390.0,,409,27180,10637388.0
2021-01-28,387.0,376.0,377.0,390.0,-13.0,381,30397,11554325.0
2021-01-31,380.0,366.0,367.0,377.0,-10.0,335,14291,5277114.0
2021-02-01,374.0,365.0,371.0,367.0,4.0,358,18475,6863725.0
2021-02-02,394.0,365.0,382.0,371.0,11.0,454,21880,8384191.0
2021-02-03,386.0,371.0,373.0,382.0,-9.0,496,25592,9684216.0
2021-02-04,389.0,368.0,370.0,373.0,-3.0,404,25484,9498890.0
2021-02-07,390.0,370.0,384.0,370.0,14.0,639,46422,17687185.0
2021-02-08,403.0,389.0,393.0,384.0,9.0,705,56445,22237369.0
2021-02-09,412.0,385.0,385.0,393.0,-8.0,328,20707,8043239.0
2021-02-10,392.0,382.0,383.0,385.0,-2.0,317,20953,8108818.0
2021-02-11,415.0,382.0,392.0,383.0,9.0,853,75146,29873640.0
2021-02-14,409.0,392.0,402.0,392.0,10.0,568,54121,21664942.0
2021-02-15,430.0,403.0,409.0,402.0,7.0,757,66975,27510332.0
2021-02-16,429.0,400.0,404.0,409.0,-5.0,438,34927,14157642.0
2021-02-17,415.0,386.0,404.0,404.0,,479,34278,13889266.0
2021-02-18,410.0,397.0,402.0,404.0,-2.0,475,27108,10918230.0
2021-02-21,403.0,396.0,400.0,402.0,-2.0,576,35843,14294542.0
2021-02-22,420.0,392.0,394.0,400.0,-6.0,413,17319,6859482.0
