date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-09-23,1000.0,1000.0,1000.0,,,1,10,10000.0
2021-09-29,980.0,961.1,961.1,1000.0,-38.9,2,25,24216.5
2021-09-30,973.0,961.0,966.1,961.1,5.0,8,180,173855.0
2021-10-03,964.0,962.0,962.1,966.1,-4.0,6,175,168512.5
2021-10-04,959.0,958.0,958.0,962.1,-4.1,3,75,71875.0
2021-10-05,958.0,953.0,958.0,958.0,,2,50,47775.0
2021-10-06,965.0,955.0,965.0,958.0,7.0,4,100,95825.0
2021-10-10,960.1,960.0,960.1,965.0,-4.9,2,55,52802.5
2021-10-18,954.1,954.1,954.1,960.1,-6.0,1,25,23852.5
2021-10-20,952.0,950.0,952.0,954.1,-2.1,3,75,71325.0
2021-10-24,957.0,957.0,957.0,952.0,5.0,1,25,23925.0
2021-10-25,960.0,960.0,960.0,957.0,3.0,1,25,24000.0
2021-10-26,955.0,952.0,955.0,960.0,-5.0,5,150,142906.0
2021-10-27,950.0,950.0,950.0,955.0,-5.0,1,25,23750.0
2021-11-01,968.0,968.0,968.0,950.0,18.0,1,10,9680.0
2021-11-03,968.0,960.0,968.0,968.0,,2,50,48200.0
2021-11-08,951.0,951.0,951.0,968.0,-17.0,1,25,23775.0
2021-11-09,954.1,954.1,954.1,951.0,3.1,1,25,23852.5
2021-11-11,956.0,956.0,956.0,954.1,1.9,2,100,95600.0
2021-11-14,951.0,951.0,951.0,956.0,-5.0,1,25,23775.0
2021-11-15,969.0,955.0,969.0,951.0,18.0,6,250,240263.5
2021-11-16,960.0,960.0,960.0,969.0,-9.0,2,75,72000.0
2021-11-18,955.0,955.0,955.0,960.0,-5.0,1,200,191000.0
2021-11-21,960.0,955.0,960.0,955.0,5.0,2,50,47875.0
2021-11-23,958.0,952.0,958.0,960.0,-2.0,2,125,119600.0
2021-11-28,952.8,951.4,951.4,958.0,-6.6,3,75,71439.0
2021-11-29,951.2,951.2,951.2,951.4,-0.2,1,25,23780.0
2021-12-01,951.2,951.2,951.2,951.2,,1,25,23780.0
2021-12-06,949.2,946.0,946.0,951.2,-5.2,6,150,142105.0
2021-12-08,948.3,948.3,948.3,946.0,2.3,1,25,23707.5
2021-12-09,950.2,950.0,950.1,948.3,1.8,4,175,166275.0
2021-12-12,948.1,948.1,948.1,950.1,-2.0,2,50,47405.0
2021-12-20,947.5,946.3,947.5,948.1,-0.6,2,50,47345.0
2021-12-21,948.3,948.3,948.3,947.5,0.8,1,25,23707.5
2021-12-28,948.3,948.3,948.3,948.3,,1,101,95778.3
2021-12-29,960.0,960.0,960.0,948.3,11.7,1,25,24000.0
2022-01-10,960.0,960.0,960.0,960.0,,1,100,96000.0
2022-01-16,940.8,940.8,940.8,960.0,-19.2,1,25,23520.0
2022-01-17,925.0,923.0,925.0,940.8,-15.8,2,55,50815.0
2022-01-23,910.1,903.1,903.1,925.0,-21.9,5,150,136082.5
2022-01-26,903.1,903.0,903.0,903.1,-0.1,2,50,45152.5
2022-01-31,900.0,890.0,900.0,903.0,-3.0,6,180,161218.0
2022-02-01,900.0,900.0,900.0,900.0,,1,25,22500.0
2022-02-06,918.0,918.0,918.0,900.0,18.0,2,50,45900.0
2022-02-07,901.0,892.0,900.0,918.0,-18.0,8,125,111829.5
2022-02-10,910.0,910.0,910.0,900.0,10.0,1,25,22750.0
2022-02-13,891.8,882.1,882.1,910.0,-27.9,2,40,35429.5
2022-02-14,900.0,899.7,900.0,882.1,17.9,2,35,31497.0
2022-02-17,882.9,882.8,882.8,900.0,-17.2,2,25,22071.5
2022-02-20,879.0,878.1,878.1,882.8,-4.7,2,25,21966.0
2022-02-24,878.5,878.5,878.5,878.1,0.4,1,15,13177.5
2022-02-27,877.9,877.0,877.0,878.5,-1.5,4,65,57039.5
2022-03-02,877.2,874.0,874.0,877.0,-3.0,4,50,43808.0
2022-03-06,877.2,860.0,877.2,874.0,3.2,8,125,109007.0
2022-03-07,894.7,894.7,894.7,877.2,17.5,1,10,8947.0
2022-03-13,876.9,876.9,876.9,894.7,-17.8,1,25,21922.5
2022-03-16,870.0,863.0,863.0,876.9,-13.9,9,160,138340.5
2022-03-20,864.0,864.0,864.0,863.0,1.0,1,15,12960.0
2022-03-22,866.0,861.2,861.2,864.0,-2.8,6,115,99209.0
2022-03-27,856.1,856.1,856.1,861.2,-5.1,1,15,12841.5
2022-03-28,855.4,855.0,855.0,856.1,-1.1,2,60,51304.0
2022-04-12,872.1,872.1,872.1,855.0,17.1,1,50,43605.0
2022-04-17,856.2,856.2,856.2,872.1,-15.9,1,25,21405.0
2022-05-02,857.1,856.1,856.1,856.2,-0.1,2,25,21417.5
2022-05-04,856.6,856.6,856.6,856.1,0.5,1,15,12849.0
2022-05-05,856.5,855.9,855.9,856.6,-0.7,9,125,107023.0
2022-05-08,855.6,855.5,855.5,855.9,-0.4,3,50,42776.5
2022-05-11,860.0,850.0,856.5,855.5,1.0,4,125,107075.0
2022-05-18,854.8,854.8,854.8,856.5,-1.7,1,25,21370.0
2022-05-31,860.0,860.0,860.0,854.8,5.2,2,80,68800.0
2022-06-06,854.8,853.5,853.5,860.0,-6.5,3,50,42712.5
2022-06-14,853.5,853.5,853.5,853.5,,1,5,4270.0
2022-06-16,870.0,853.7,870.0,853.5,16.5,9,180,154645.5
2022-06-20,854.2,853.0,853.0,870.0,-17.0,5,75,64024.5
2022-06-27,839.0,785.0,785.0,853.0,-68.0,8,200,162607.5
2022-06-30,833.0,816.7,833.0,800.7,32.3,2,20,16497.0
2022-07-05,830.0,826.0,830.0,833.0,-3.0,3,75,62055.0
2022-07-06,831.9,815.6,831.9,830.0,1.9,2,40,32868.5
2022-07-15,848.5,848.5,848.5,831.9,16.6,1,10,8485.0
2022-07-21,831.6,817.0,817.0,848.5,-31.5,4,200,165955.0
2022-07-24,823.3,816.0,823.3,817.0,6.3,5,645,526516.0
2022-07-27,823.3,823.3,823.3,823.3,,1,10,8233.0
2022-08-01,809.1,809.1,809.1,823.3,-14.2,2,50,40455.0
2022-08-03,825.0,809.1,809.1,809.1,,2,35,28477.5
2022-08-07,793.1,793.1,793.1,809.1,-16.0,1,25,19827.5
2022-08-08,791.2,791.2,791.2,793.1,-1.9,1,25,19780.0
2022-08-11,800.0,800.0,800.0,791.2,8.8,1,561,448800.0
2022-08-17,800.0,790.1,790.1,800.0,-9.9,2,25,19851.5
2022-08-22,790.3,790.3,790.3,790.1,0.2,1,25,19757.5
2022-08-28,806.0,790.6,806.0,790.3,15.7,3,60,47821.0
2022-08-29,793.7,793.7,793.7,806.0,-12.3,1,25,19842.5
2022-08-30,798.0,798.0,798.0,793.7,4.3,1,25,19950.0
2022-08-31,807.0,807.0,807.0,798.0,9.0,1,25,20175.0
2022-09-01,800.2,800.2,800.2,807.0,-6.8,1,25,20005.0
2022-09-04,816.2,816.2,816.2,800.2,16.0,1,25,20405.0
2022-09-08,825.0,825.0,825.0,816.2,8.8,1,200,165000.0
2022-09-15,810.5,810.5,810.5,825.0,-14.5,2,70,56735.0
2022-09-21,800.0,797.0,797.0,810.5,-13.5,4,75,59805.0
2022-09-22,812.5,797.0,812.5,797.0,15.5,5,100,80547.5
2022-09-27,800.0,800.0,800.0,812.5,-12.5,1,25,20000.0
2022-10-13,785.0,785.0,785.0,800.0,-15.0,2,100,78500.0
2022-10-17,785.0,785.0,785.0,785.0,,1,25,19625.0
2022-11-01,770.0,770.0,770.0,785.0,-15.0,1,30,23100.0
2022-11-10,770.0,770.0,770.0,770.0,0.0,1,25,19250.0
2022-11-23,765.0,765.0,765.0,770.0,-5.0,1,30,22950.0
2022-12-18,767.2,767.2,767.2,765.0,2.200000000000045,2,50,38360.0
2022-12-19,765.0,765.0,765.0,767.2,-2.200000000000045,1,25,19125.0
2022-12-26,780.3,780.3,780.3,765.0,15.299999999999956,1,30,23409.0
2022-12-27,790.0,790.0,790.0,780.3,9.700000000000044,2,100,79000.0
2023-01-01,790.0,780.2,780.2,790.0,-9.799999999999956,2,50,39255.0
2023-01-02,792.4,792.4,792.4,780.2,12.199999999999932,1,75,59430.0
2023-01-03,805.0,805.0,805.0,792.4,12.600000000000025,2,200,161000.0
2023-01-10,793.0,789.1,789.1,805.0,-15.899999999999975,4,100,79082.6
2023-01-17,774.0,774.0,774.0,789.1,-15.100000000000025,1,25,19350.0
2023-01-18,759.0,759.0,759.0,774.0,-15.0,3,795,603405.0
2023-01-19,770.0,770.0,770.0,759.0,11.0,1,68,52360.0
2023-01-23,760.0,760.0,760.0,770.0,-10.0,1,25,19000.0
2023-01-25,765.0,765.0,765.0,760.0,5.0,1,100,76500.0
2023-01-29,770.0,770.0,770.0,765.0,5.0,1,25,19250.0
2023-01-31,785.0,785.0,785.0,770.0,15.0,2,50,39250.0
