date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,259.0,259.0,259.0,264.0,-5.0,1,50,12950.0
2010-04-19,254.0,254.0,254.0,259.0,-5.0,1,140,35560.0
2010-04-20,249.0,249.0,249.0,254.0,-5.0,1,40,9960.0
2010-04-21,245.0,237.0,237.0,249.0,-12.0,3,330,79210.0
2010-04-22,233.0,233.0,233.0,237.0,-4.0,1,20,4660.0
2010-04-26,229.0,229.0,229.0,233.0,-4.0,1,100,22900.0
2010-04-29,225.0,215.0,215.0,229.0,-14.0,4,800,175020.0
2010-05-10,215.0,215.0,215.0,215.0,,1,180,38700.0
2010-05-11,214.0,207.0,207.0,215.0,-8.0,5,550,115560.0
2010-05-13,220.0,215.0,220.0,207.0,13.0,4,1200,261400.0
2010-05-19,228.0,224.0,228.0,220.0,8.0,2,470,106360.0
2010-05-20,232.0,232.0,232.0,228.0,4.0,1,20,4640.0
2010-05-23,252.0,236.0,252.0,232.0,20.0,5,160,38680.0
2010-05-24,257.0,257.0,257.0,252.0,5.0,1,20,5140.0
2010-05-25,277.0,262.0,277.0,257.0,20.0,4,1220,330440.0
2010-05-26,286.0,282.0,285.0,277.0,8.0,4,1380,393760.0
2010-05-30,290.0,290.0,290.0,285.0,5.0,1,20,5800.0
2010-06-01,300.0,295.0,300.0,290.0,10.0,2,40,11900.0
2010-06-02,306.0,298.0,306.0,300.0,6.0,4,240,71720.0
2010-06-09,300.0,300.0,300.0,306.0,-6.0,1,100,30000.0
2010-06-10,294.0,294.0,294.0,300.0,-6.0,1,100,29400.0
2010-06-30,289.0,289.0,289.0,294.0,-5.0,1,50,14450.0
2010-07-05,284.0,284.0,284.0,289.0,-5.0,2,90,25560.0
2010-07-08,279.0,274.0,274.0,284.0,-10.0,2,120,32980.0
2010-07-21,289.0,279.0,289.0,274.0,15.0,3,60,17040.0
2010-07-28,284.0,284.0,284.0,289.0,-5.0,1,100,28400.0
2010-07-29,284.0,284.0,284.0,284.0,,1,400,113600.0
2010-08-10,279.0,273.0,273.0,284.0,-11.0,4,240,65950.0
2010-08-11,288.0,278.0,288.0,273.0,15.0,3,60,16980.0
2010-08-12,288.0,288.0,288.0,288.0,,1,30,8640.0
2010-08-15,283.0,283.0,283.0,288.0,-5.0,1,180,50940.0
2010-09-26,283.0,283.0,283.0,283.0,,2,474,134142.0
2010-09-27,278.0,270.0,270.0,283.0,-13.0,4,606,166116.0
2010-09-28,265.0,264.0,264.0,270.0,-6.0,2,115,30375.0
2010-10-03,259.0,238.0,238.0,264.0,-26.0,11,12500,3065740.0
2010-10-05,234.0,234.0,234.0,238.0,-4.0,1,100,23400.0
2010-10-11,230.0,222.0,222.0,234.0,-12.0,4,1295,295370.0
2010-10-12,218.0,218.0,218.0,222.0,-4.0,1,200,43600.0
2010-10-13,218.0,218.0,218.0,218.0,,1,300,65400.0
2010-10-27,226.0,222.0,226.0,218.0,8.0,2,40,8960.0
2010-10-28,234.0,230.0,234.0,226.0,8.0,2,40,9280.0
2010-11-09,238.0,238.0,238.0,234.0,4.0,1,180,42840.0
2010-11-10,242.0,242.0,242.0,238.0,4.0,1,100,24200.0
2010-11-11,242.0,242.0,242.0,242.0,,1,90,21780.0
2010-11-18,242.0,242.0,242.0,242.0,,1,90,21780.0
2010-11-21,246.0,246.0,246.0,242.0,4.0,1,60,14760.0
2010-12-20,242.0,242.0,242.0,246.0,-4.0,1,100,24200.0
2011-01-24,242.0,238.0,238.0,242.0,-4.0,2,90,21660.0
2011-02-02,239.0,239.0,239.0,238.0,1.0,1,60,14340.0
2011-03-15,239.0,239.0,239.0,239.0,,1,60,14340.0
2011-05-25,235.0,235.0,235.0,239.0,-4.0,3,1404,329940.0
2011-06-06,231.0,231.0,231.0,235.0,-4.0,1,20,4620.0
2011-06-08,227.0,215.0,215.0,231.0,-16.0,4,90,19870.0
2011-09-06,215.0,215.0,215.0,215.0,,1,20,4300.0
2011-12-05,213.0,213.0,213.0,215.0,-2.0,1,20,4260.0
2011-12-19,209.0,205.0,205.0,213.0,-8.0,2,90,18490.0
2012-01-31,201.0,191.0,191.0,205.0,-14.0,6,300,59050.0
2012-02-07,188.0,173.0,173.0,191.0,-18.0,6,200,35500.0
2012-02-08,170.0,170.0,170.0,173.0,-3.0,1,3120,530400.0
2012-02-23,167.0,167.0,167.0,170.0,-3.0,1,10,1670.0
2012-03-19,149.0,147.0,147.0,152.0,-5.0,2,40,5920.0
2012-03-20,145.0,145.0,145.0,147.0,-2.0,1,20,2900.0
2012-03-28,143.0,141.0,141.0,145.0,-4.0,2,2000,282020.0
2012-03-29,139.0,131.0,131.0,141.0,-10.0,5,1520,205944.0
2012-04-03,129.0,127.0,127.0,131.0,-4.0,2,40,5120.0
2012-04-04,125.0,115.0,115.0,127.0,-12.0,6,120,14400.0
2012-04-05,113.0,104.0,104.0,115.0,-11.0,6,210,22670.0
2012-04-08,102.0,97.0,97.0,104.0,-7.0,14,1063,104624.0
2012-04-09,98.0,98.0,98.0,97.0,1.0,1,60,5880.0
2012-04-10,102.0,98.0,102.0,98.0,4.0,4,1976,195356.0
2012-04-11,102.0,98.0,98.0,102.0,-4.0,4,1200,118600.0
2012-04-15,106.0,99.0,106.0,98.0,8.0,7,180,18690.0
2012-04-17,108.0,108.0,108.0,106.0,2.0,3,130,14040.0
2012-04-19,112.0,110.0,112.0,108.0,4.0,2,140,15420.0
2012-04-22,118.0,114.0,118.0,112.0,6.0,3,100,11600.0
2012-04-26,122.0,120.0,122.0,118.0,4.0,2,212,25824.0
2012-04-29,126.0,122.0,126.0,122.0,4.0,3,740,91760.0
2012-04-30,128.0,128.0,128.0,126.0,2.0,2,355,45440.0
2012-05-08,128.0,128.0,128.0,128.0,,1,182,23296.0
2012-05-17,130.0,130.0,130.0,128.0,2.0,1,20,2600.0
