date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-05-05,260.0,255.0,255.0,,255.0,4,40,10250.0
2019-05-06,243.0,239.0,239.0,255.0,-16.0,3,40,9600.0
2019-05-07,228.0,216.0,216.0,239.0,-23.0,6,60,13280.0
2019-05-08,206.0,206.0,206.0,216.0,-10.0,1,10,2060.0
2019-05-20,196.0,190.0,190.0,206.0,-16.0,4,50,9710.0
2019-05-23,181.0,181.0,181.0,190.0,-9.0,2,20,3620.0
2019-05-30,172.0,163.0,163.0,181.0,-18.0,15,210,34410.0
2019-06-02,155.0,147.0,147.0,163.0,-16.0,21,2120,327750.0
2019-06-03,140.0,133.0,133.0,147.0,-14.0,32,460,62210.0
2019-06-04,137.0,120.0,137.0,133.0,4.0,1523,64549,7925935.0
2019-06-06,131.0,124.0,130.0,137.0,-7.0,467,13400,1692330.0
2019-06-10,129.0,122.0,126.0,130.0,-4.0,325,17740,2245180.0
2019-06-11,138.0,123.0,138.0,126.0,12.0,791,69329,9316743.0
2019-06-12,144.0,134.0,139.0,138.0,1.0,451,19848,2742026.0
2019-06-13,141.0,133.0,139.0,139.0,,296,16450,2276440.0
2019-06-16,140.0,132.0,136.0,139.0,-3.0,152,9209,1259556.0
2019-06-17,140.0,133.0,136.0,136.0,,96,11109,1504070.0
2019-06-18,140.0,133.0,136.0,136.0,,122,4539,616125.0
2019-06-19,140.0,136.0,138.0,136.0,2.0,149,6140,850180.0
2019-06-20,148.0,134.0,146.0,138.0,8.0,152,9421,1347096.0
2019-06-23,144.0,136.0,139.0,146.0,-7.0,61,3204,444506.0
2019-06-24,141.0,136.0,141.0,139.0,2.0,74,1110,152570.0
2019-06-25,141.0,136.0,139.0,141.0,-2.0,122,2865,398410.0
2019-06-26,148.0,136.0,148.0,139.0,9.0,235,8790,1258550.0
2019-06-27,146.0,138.0,141.0,148.0,-7.0,153,9420,1311410.0
2019-06-30,148.0,135.0,142.0,141.0,1.0,98,2270,314160.0
2019-07-01,140.0,137.0,137.0,142.0,-5.0,49,880,121035.0
2019-07-02,140.0,136.0,140.0,137.0,3.0,119,5050,693940.0
2019-07-03,143.0,138.0,143.0,140.0,3.0,108,3190,444210.0
2019-07-04,144.0,138.0,138.0,143.0,-5.0,79,2150,300310.0
2019-07-07,140.0,138.0,140.0,138.0,2.0,96,3770,521580.0
2019-07-08,138.0,136.0,137.0,140.0,-3.0,116,4150,569330.0
2019-07-09,139.0,135.0,139.0,137.0,2.0,61,1130,155160.0
2019-07-10,138.0,135.0,136.0,139.0,-3.0,34,2269,309164.0
2019-07-11,137.0,135.0,136.0,136.0,,60,1010,137670.0
2019-07-14,138.0,134.0,136.0,136.0,,41,980,133220.0
2019-07-15,137.0,134.0,137.0,136.0,1.0,39,1730,234800.0
2019-07-16,137.0,135.0,137.0,137.0,,41,1159,157863.0
2019-07-17,139.0,135.0,139.0,137.0,2.0,81,1610,219620.0
2019-07-18,140.0,135.0,135.0,139.0,-4.0,14,270,37070.0
2019-07-21,137.0,134.0,135.0,135.0,,24,410,55560.0
2019-07-22,138.0,134.0,136.0,135.0,1.0,63,1651,223796.0
2019-07-23,139.0,135.0,139.0,136.0,3.0,65,1480,201010.0
2019-07-24,140.0,134.0,140.0,139.0,1.0,27,1650,224040.0
2019-07-28,138.0,132.0,132.0,140.0,-8.0,88,1920,257050.0
2019-07-29,136.0,130.0,133.0,132.0,1.0,56,1290,170570.0
2019-07-30,137.0,130.0,137.0,133.0,4.0,84,1468,193986.0
2019-07-31,135.0,132.0,135.0,137.0,-2.0,44,876,116652.0
2019-08-01,137.0,131.0,135.0,135.0,,30,730,96770.0
2019-08-04,133.0,130.0,131.0,135.0,-4.0,75,1860,243710.0
2019-08-05,132.0,129.0,132.0,131.0,1.0,37,970,126710.0
2019-08-06,133.0,128.0,133.0,132.0,1.0,42,840,109220.0
2019-08-07,137.0,128.0,137.0,133.0,4.0,57,1060,137440.0
2019-08-11,135.0,126.0,126.0,137.0,-11.0,35,870,110760.0
2019-08-12,127.0,124.0,126.0,126.0,,88,1860,233940.0
2019-08-13,126.0,119.0,122.0,126.0,-4.0,105,8400,1025560.0
2019-08-14,122.0,120.0,120.0,122.0,-2.0,52,900,108580.0
2019-08-15,119.0,114.0,116.0,120.0,-4.0,89,1220,142760.0
2019-08-18,117.0,113.0,117.0,116.0,1.0,69,1000,114110.0
2019-08-19,117.0,113.0,115.0,117.0,-2.0,50,1165,133935.0
2019-08-20,113.0,104.0,104.0,115.0,-11.0,136,19951,2101114.0
2019-08-21,109.0,97.0,109.0,104.0,5.0,111,6490,656724.0
2019-08-22,111.0,105.0,111.0,109.0,2.0,76,3900,413090.0
2019-08-25,109.0,101.0,103.0,111.0,-8.0,26,1000,102980.0
2019-08-26,105.0,102.0,105.0,103.0,2.0,33,620,63540.0
2019-08-27,103.0,102.0,102.0,105.0,-3.0,25,340,34810.0
2019-08-28,103.0,100.0,102.0,102.0,,47,2530,257850.0
2019-08-29,102.0,100.0,100.0,102.0,-2.0,39,580,58350.0
2019-09-01,102.0,98.0,100.0,100.0,,34,610,60940.0
2019-09-02,100.0,98.0,98.0,100.0,-2.0,51,1500,148660.0
2019-09-03,100.0,94.0,97.0,98.0,-1.0,49,1788,172984.0
2019-09-04,106.0,95.0,106.0,97.0,9.0,27,420,41690.0
2019-09-05,106.0,99.0,106.0,106.0,,65,1110,112530.0
2019-09-08,104.0,97.0,97.0,106.0,-9.0,45,730,72830.0
2019-09-09,99.0,96.0,99.0,97.0,2.0,22,380,36890.0
2019-09-10,98.0,96.0,98.0,99.0,-1.0,14,390,38070.0
2019-09-11,99.0,98.0,99.0,98.0,1.0,29,1000,98640.0
2019-09-12,99.0,94.0,95.0,99.0,-4.0,36,1181,112386.0
2019-09-15,96.0,92.0,95.0,95.0,,30,1120,106410.0
2019-09-16,95.0,93.0,93.0,95.0,-2.0,24,1440,135390.0
2019-09-17,93.0,91.0,93.0,93.0,,17,2680,245270.0
2019-09-18,96.0,92.0,95.0,93.0,2.0,10,760,72560.0
2019-09-19,97.0,96.0,97.0,95.0,2.0,17,260,25090.0
2019-09-22,96.0,91.0,92.0,97.0,-5.0,24,350,32200.0
2019-09-23,94.0,91.0,92.0,92.0,,35,560,51660.0
2019-09-24,93.0,92.0,93.0,92.0,1.0,18,310,28680.0
2019-09-25,92.0,92.0,92.0,93.0,-1.0,15,170,15640.0
2019-09-26,95.0,90.0,95.0,92.0,3.0,19,450,41990.0
2019-09-29,98.0,95.0,96.0,95.0,1.0,22,1430,138180.0
2019-09-30,95.0,95.0,95.0,96.0,-1.0,2,60,5700.0
2019-10-01,95.0,94.0,95.0,95.0,,7,725,68835.0
2019-10-02,94.0,93.0,94.0,95.0,-1.0,15,280,26240.0
2019-10-10,93.0,93.0,93.0,94.0,-1.0,4,70,6510.0
2019-10-14,93.0,92.0,92.0,93.0,-1.0,27,470,43610.0
2019-10-15,93.0,92.0,93.0,92.0,1.0,3,110,10220.0
2019-10-16,94.0,93.0,93.0,93.0,,4,629,59096.0
2019-10-17,94.0,93.0,94.0,93.0,1.0,13,220,20510.0
2019-10-20,94.0,93.0,93.0,94.0,-1.0,9,130,12150.0
2019-10-21,93.0,92.0,93.0,93.0,,9,330,30410.0
2019-10-22,94.0,92.0,93.0,93.0,,8,150,13940.0
2019-10-23,93.0,92.0,92.0,93.0,-1.0,8,380,35060.0
2019-10-24,95.0,91.0,95.0,92.0,3.0,8,150,13960.0
2019-10-31,94.0,93.0,94.0,95.0,-1.0,13,200,18790.0
2019-11-03,96.0,92.0,96.0,94.0,2.0,13,570,53410.0
2019-11-04,97.0,94.0,96.0,96.0,,14,430,41280.0
2019-11-05,98.0,96.0,97.0,96.0,1.0,26,560,54260.0
2019-11-06,97.0,95.0,97.0,97.0,,21,470,44990.0
2019-11-07,96.0,93.0,96.0,97.0,-1.0,26,840,79620.0
2019-11-10,96.0,93.0,93.0,96.0,-3.0,13,740,69540.0
2019-11-11,94.0,92.0,93.0,93.0,,24,450,41790.0
2019-11-12,94.0,92.0,92.0,93.0,-1.0,12,200,18430.0
2019-11-13,94.0,91.0,93.0,92.0,1.0,19,984,92002.0
2019-11-14,102.0,94.0,102.0,93.0,9.0,49,5190,527840.0
2019-11-17,112.0,104.0,112.0,102.0,10.0,36,3170,353740.0
2019-11-18,123.0,108.0,108.0,112.0,-4.0,79,5020,587050.0
2019-11-19,107.0,104.0,107.0,108.0,-1.0,30,3250,343730.0
2019-11-20,107.0,103.0,103.0,107.0,-4.0,16,790,83010.0
2019-11-21,104.0,103.0,103.0,103.0,,11,850,88010.0
2019-11-24,101.0,100.0,101.0,103.0,-2.0,18,890,89870.0
2019-11-25,102.0,100.0,102.0,101.0,1.0,15,250,25070.0
2019-11-26,106.0,100.0,101.0,102.0,-1.0,29,580,58840.0
2019-11-27,100.0,99.0,99.0,101.0,-2.0,8,170,16900.0
2019-11-28,104.0,97.0,104.0,99.0,5.0,18,420,42580.0
2019-12-01,104.0,100.0,100.0,104.0,-4.0,15,910,93060.0
2019-12-02,104.0,100.0,104.0,100.0,4.0,23,560,56690.0
2019-12-03,106.0,102.0,104.0,104.0,,19,370,38580.0
2019-12-04,105.0,102.0,105.0,104.0,1.0,12,210,21760.0
2019-12-05,105.0,101.0,102.0,105.0,-3.0,45,1210,123970.0
2019-12-08,103.0,100.0,102.0,102.0,,15,290,29350.0
2019-12-09,104.0,100.0,102.0,102.0,,17,360,37240.0
2019-12-10,108.0,103.0,107.0,102.0,5.0,116,5090,535880.0
2019-12-11,109.0,106.0,109.0,107.0,2.0,36,1620,172930.0
2019-12-12,116.0,107.0,109.0,109.0,,44,1428,158464.0
2019-12-15,109.0,105.0,106.0,109.0,-3.0,42,4410,477340.0
2019-12-16,107.0,104.0,105.0,106.0,-1.0,21,550,58240.0
2019-12-17,108.0,105.0,108.0,105.0,3.0,22,800,85570.0
2019-12-18,106.0,104.0,104.0,108.0,-4.0,11,220,23080.0
2019-12-19,105.0,103.0,104.0,104.0,,22,340,35370.0
2019-12-22,114.0,104.0,114.0,104.0,10.0,33,1330,145580.0
2019-12-23,112.0,106.0,106.0,114.0,-8.0,11,308,33354.0
2019-12-24,116.0,104.0,116.0,106.0,10.0,36,1985,223660.0
2019-12-25,118.0,106.0,118.0,116.0,2.0,38,3720,429020.0
2019-12-26,116.0,108.0,109.0,118.0,-9.0,15,840,92100.0
2019-12-29,109.0,106.0,108.0,109.0,-1.0,36,1045,111755.0
2019-12-30,108.0,107.0,108.0,108.0,,19,420,44990.0
2019-12-31,109.0,105.0,108.0,108.0,,22,1420,149980.0
2020-01-01,110.0,107.0,110.0,108.0,2.0,34,5730,624320.0
2020-01-02,113.0,109.0,113.0,110.0,3.0,43,3330,371640.0
2020-01-05,115.0,111.0,111.0,113.0,-2.0,31,2390,270050.0
2020-01-06,113.0,107.0,112.0,111.0,1.0,40,8160,891010.0
2020-01-07,116.0,112.0,113.0,112.0,1.0,62,2138,240482.0
2020-01-08,117.0,113.0,115.0,113.0,2.0,69,2840,327170.0
2020-01-09,116.0,114.0,115.0,115.0,,46,1152,132790.0
2020-01-12,119.0,113.0,119.0,115.0,4.0,32,960,112760.0
2020-01-13,130.0,116.0,123.0,119.0,4.0,81,11477,1386111.0
2020-01-14,125.0,117.0,123.0,123.0,,22,1270,154640.0
2020-01-15,135.0,119.0,135.0,123.0,12.0,63,4328,552470.0
2020-01-16,141.0,130.0,141.0,135.0,6.0,79,5340,712990.0
2020-01-19,154.0,140.0,140.0,141.0,-1.0,90,7680,1103614.0
2020-01-20,140.0,126.0,126.0,140.0,-14.0,60,3170,418330.0
2020-01-21,138.0,121.0,138.0,126.0,12.0,67,2280,295890.0
2020-01-22,136.0,126.0,126.0,138.0,-12.0,20,350,45660.0
2020-01-23,126.0,121.0,122.0,126.0,-4.0,45,2360,293280.0
2020-01-26,124.0,120.0,122.0,122.0,,62,2990,366030.0
2020-01-27,125.0,119.0,122.0,122.0,,38,18295,2244365.0
2020-01-28,125.0,120.0,120.0,122.0,-2.0,36,6860,847940.0
2020-01-29,124.0,119.0,124.0,120.0,4.0,24,440,53520.0
2020-01-30,125.0,122.0,123.0,124.0,-1.0,37,770,95120.0
2020-02-02,124.0,117.0,122.0,123.0,-1.0,53,8920,1086430.0
2020-02-03,129.0,120.0,127.0,122.0,5.0,74,4160,518930.0
2020-02-04,127.0,123.0,124.0,127.0,-3.0,53,1930,240200.0
2020-02-05,125.0,120.0,124.0,124.0,,42,1060,130480.0
2020-02-06,126.0,121.0,126.0,124.0,2.0,34,670,82560.0
2020-02-09,129.0,123.0,125.0,126.0,-1.0,32,14241,1768098.0
2020-02-10,125.0,123.0,123.0,125.0,-2.0,33,725,89900.0
2020-02-11,127.0,121.0,125.0,123.0,2.0,45,1030,127800.0
2020-02-12,126.0,122.0,123.0,125.0,-2.0,45,1150,142760.0
2020-02-13,125.0,121.0,123.0,123.0,,54,1121,138353.0
2020-02-16,131.0,120.0,129.0,123.0,6.0,44,3400,431110.0
2020-02-17,133.0,124.0,133.0,129.0,4.0,63,5450,701802.0
2020-02-18,132.0,127.0,127.0,133.0,-6.0,76,5690,738610.0
2020-02-19,129.0,123.0,127.0,127.0,,39,790,99720.0
2020-02-20,127.0,123.0,127.0,127.0,,53,1270,158830.0
2020-02-23,131.0,123.0,131.0,127.0,4.0,69,8070,1006270.0
2020-02-24,131.0,123.0,131.0,131.0,,74,2950,376030.0
2020-02-25,133.0,128.0,130.0,131.0,-1.0,83,6890,898410.0
2020-02-26,136.0,130.0,130.0,130.0,,85,6116,807660.0
2020-02-27,132.0,127.0,130.0,130.0,,79,3410,439660.0
2020-03-01,132.0,124.0,124.0,130.0,-6.0,69,1910,244420.0
2020-03-02,126.0,122.0,122.0,124.0,-2.0,37,1150,141340.0
2020-03-03,125.0,120.0,122.0,122.0,,61,2620,319540.0
2020-03-04,122.0,118.0,119.0,122.0,-3.0,48,2270,271070.0
2020-03-05,120.0,116.0,116.0,119.0,-3.0,38,1690,199310.0
2020-03-10,115.0,112.0,112.0,116.0,-4.0,14,340,38480.0
2020-03-11,119.0,110.0,117.0,112.0,5.0,121,1690,192130.0
2020-03-12,119.0,111.0,112.0,117.0,-5.0,43,1430,162500.0
2020-03-15,114.0,104.0,110.0,112.0,-2.0,50,1390,152815.0
2020-03-16,112.0,108.0,110.0,110.0,,25,1510,165690.0
2020-03-17,112.0,105.0,107.0,110.0,-3.0,31,2020,215460.0
2020-03-18,107.0,104.0,107.0,107.0,,32,740,78240.0
2020-03-19,107.0,104.0,107.0,107.0,,22,330,34860.0
2020-06-29,105.0,98.0,100.0,107.0,-7.0,19,1450,145130.0
