date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-10-16,305.8,255.7,255.7,,-28.4,740,23578,6326271.5
2022-10-17,256,230.2,230.2,255.7,-25.5,296,7417,1710688.4
2022-10-19,225.6,207.3,213,230.2,-17.2,3097,46633,9830954.5
2022-10-20,225,205,217,213,4,1097,14121,3055821.1
2022-10-23,217.8,207.1,216,217,-1,471,7780,1660922.5
2022-10-31,214.9,209,210,216,-6,631,11450,2427566
2022-11-01,221.2,204.1,220.8,210,10.8,705,20105,4237046.9
2022-11-02,225.2,213,219.8,220.8,-1,649,19520,4280323
2022-11-03,221,211.5,213,219.8,-6.800000000000011,383,8393,1807773
2022-11-06,219,210,217.5,213,4.5,497,7350,1585612
2022-11-07,222.6,213,213,217.5,-4.5,643,27195,5938953
2022-11-08,216.5,208.8,213,213,0,301,5581,1196512.5
2022-11-09,215,207,207,213,-6,378,7623,1606438.6
2022-11-10,209,202,203,207,-4,287,12388,2528795.7
2022-11-13,203,199.8,203,203,0,257,5337,1074898.8
2022-11-14,207,200,206.9,203,3.9000000000000057,238,4600,934663
2022-11-15,206.5,200,202,206.9,-4.900000000000006,316,7171,1459286.1
2022-11-16,209,200.9,203,202,1,324,8432,1715703
2022-11-22,211,202.1,204.2,206,-1.8000000000000114,343,6585,1357139.3
2022-11-23,214.5,201.3,214.4,204.2,10.200000000000017,281,7472,1526255.6
2022-11-24,215,205,211,214.4,-3.4000000000000057,351,7005,1471709.5
2022-11-27,215.2,207,212,211,1,415,7568,1584431.4
2022-11-28,216.2,208,211.8,212,-0.19999999999998863,288,6509,1372940
2022-11-29,212,205.2,210,211.8,-1.8000000000000114,247,7070,1478290.5
2022-11-30,214,206,208,210,-2,303,6690,1390918
2022-12-01,211,204.8,210.9,208,2.9000000000000057,309,7934,1653644.4
2022-12-04,218.4,209,209.1,210.9,-1.8000000000000114,378,8006,1702168.8
2022-12-05,211.1,202.4,204,209.1,-5.099999999999994,241,12794,2615164.8
2022-12-06,210,201,204.5,204,0.5,259,6755,1387708
2022-12-07,205,200.8,201.5,204.5,-3,211,6620,1339905.2
2022-12-11,201.6,198,198,201.5,-3.5,290,6901,1374769
2022-12-12,203.5,195,202,198,4,178,3095,619057
2022-12-13,206,198.2,204.9,202,2.9000000000000057,177,3333,673837
2022-12-14,208.9,199.9,204,204.9,-0.9000000000000057,270,4530,914333
2022-12-15,207,196.2,200,204,-4,379,6335,1263801.8
2022-12-18,204,195,198,200,-2,351,6260,1238213.6
2022-12-19,203.7,194.2,194.8,198,-3.1999999999999886,393,13969,2733486.5
2022-12-20,200,191.3,199,194.8,4.199999999999989,313,8085,1578761.5
2022-12-21,200,191.2,192.5,199,-6.5,238,4160,808503
2022-12-22,196,190,196,192.5,3.5,229,3556,680676.1
2022-12-26,202.8,190,202.8,196,6.800000000000011,331,14025,2794071
2022-12-27,211,202,208,202.8,5.199999999999989,436,27582,5706989
2022-12-28,216.1,200,207.7,208,-0.30000000000001137,365,22102,4636795.4
2022-12-29,220.3,204.7,218.5,207.7,10.800000000000011,530,37682,8086387.6
2023-01-01,238.6,217,228,218.5,9.5,623,47259,10772533.2
2023-01-02,242.3,219.3,235,228,7,527,21228,4935750.5
