date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-22,171.0,171.0,171.0,192.0,-21.0,1,100,17100.0
2010-05-17,170.0,170.0,170.0,171.0,-1.0,2,151,25670.0
2010-05-18,170.0,170.0,170.0,170.0,,2,61,10370.0
2010-06-06,167.0,167.0,167.0,170.0,-3.0,1,31,5177.0
2010-06-09,170.0,170.0,170.0,167.0,3.0,1,500,85000.0
2010-06-28,167.0,164.0,164.0,170.0,-6.0,2,20,3310.0
2010-07-04,161.0,158.0,158.0,164.0,-6.0,3,60,9630.0
2010-07-05,155.0,152.0,152.0,158.0,-6.0,2,20,3070.0
2010-07-12,149.0,145.0,145.0,152.0,-7.0,3,20020,2902960.0
2010-07-13,143.0,143.0,143.0,145.0,-2.0,7,27000,3861000.0
2010-07-19,141.0,135.0,135.0,143.0,-8.0,7,276,38076.0
2010-07-20,133.0,130.0,131.0,135.0,-4.0,7,330,43606.0
2010-07-21,129.0,129.0,129.0,131.0,-2.0,1,12,1548.0
2010-08-03,127.0,127.0,127.0,129.0,-2.0,1,2000,254000.0
2010-08-04,127.0,127.0,127.0,127.0,,1,9522,1209294.0
2010-08-08,129.0,129.0,129.0,127.0,2.0,2,80,10320.0
2010-08-11,131.0,131.0,131.0,129.0,2.0,1,23,3013.0
2010-08-19,129.0,129.0,129.0,131.0,-2.0,1,100,12900.0
2010-08-30,127.0,127.0,127.0,129.0,-2.0,2,178,22606.0
2010-09-12,128.0,128.0,128.0,127.0,1.0,1,100,12800.0
2010-11-21,126.0,126.0,126.0,128.0,-2.0,1,11844,1492344.0
2010-11-24,130.0,128.0,130.0,126.0,4.0,3,690,88370.0
2010-12-22,132.0,132.0,132.0,130.0,2.0,5,70,9240.0
2010-12-23,134.0,134.0,134.0,132.0,2.0,1,14,1876.0
2010-12-27,136.0,136.0,136.0,134.0,2.0,1,14,1904.0
2010-12-29,138.0,136.0,136.0,136.0,,5,6404,871056.0
2011-01-10,138.0,138.0,138.0,136.0,2.0,1,14,1932.0
2011-02-02,136.0,133.0,133.0,138.0,-5.0,9,1060,143140.0
2011-03-16,131.0,131.0,131.0,133.0,-2.0,1,14,1834.0
2011-03-22,131.0,131.0,131.0,131.0,,1,173,22663.0
2011-03-24,129.0,129.0,129.0,131.0,-2.0,1,28,3612.0
2011-03-31,127.0,125.0,125.0,129.0,-4.0,2,53,6689.0
2011-05-02,127.0,127.0,127.0,125.0,2.0,1,600,76200.0
2011-05-09,125.0,125.0,125.0,127.0,-2.0,2,64,8000.0
2011-05-18,129.0,127.0,129.0,125.0,4.0,2,28,3588.0
2011-06-14,127.0,120.0,120.0,129.0,-9.0,6,2218,266320.0
2011-07-04,118.0,118.0,118.0,120.0,-2.0,1,28,3304.0
2011-08-25,116.0,116.0,116.0,118.0,-2.0,1,120,13920.0
2011-08-28,116.0,116.0,116.0,116.0,,2,166,19256.0
2011-11-08,114.0,114.0,114.0,116.0,-2.0,1,14,1596.0
2012-01-04,112.0,112.0,112.0,114.0,-2.0,1,18,2016.0
2012-01-05,110.0,110.0,110.0,112.0,-2.0,2,28,3080.0
2012-01-31,108.0,108.0,108.0,110.0,-2.0,1,36,3888.0
2012-02-01,106.0,106.0,106.0,108.0,-2.0,7,121,12826.0
2012-02-02,106.0,105.0,106.0,106.0,,4,530,56150.0
2012-02-05,104.0,98.0,98.0,106.0,-8.0,4,1807,181538.0
2012-02-07,99.0,98.0,98.0,98.0,,2,2263,221829.0
2012-02-12,97.0,97.0,97.0,98.0,-1.0,2,231,22407.0
2012-02-21,100.0,98.0,100.0,97.0,3.0,3,104,10270.0
2012-03-01,98.0,97.0,97.0,100.0,-3.0,2,47,4590.0
2012-03-12,96.0,95.0,95.0,97.0,-2.0,4,80,7660.0
2012-03-13,95.0,95.0,95.0,95.0,,4,80,7600.0
2012-04-05,96.0,96.0,96.0,95.0,1.0,1,100,9600.0
2012-04-10,97.0,97.0,97.0,96.0,1.0,1,100,9700.0
2012-07-04,98.0,98.0,98.0,97.0,1.0,1,20,1960.0
2012-08-14,99.0,99.0,99.0,98.0,1.0,1,58,5742.0
2012-08-19,100.0,100.0,100.0,99.0,1.0,1,820,82000.0
2012-08-21,106.0,102.0,106.0,100.0,6.0,3,102,10608.0
2012-08-27,110.0,108.0,110.0,106.0,4.0,2,22,2400.0
2012-09-02,112.0,112.0,112.0,110.0,2.0,1,82,9184.0
2012-10-01,122.0,114.0,122.0,112.0,10.0,5,500,59000.0
