date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-19,490.0,490.0,490.0,499.0,-9.0,1,30,14700.0
2010-04-20,481.0,441.0,441.0,490.0,-49.0,8,340,153830.0
2010-04-21,433.0,433.0,433.0,441.0,-8.0,1,40,17320.0
2010-04-22,425.0,390.0,390.0,433.0,-43.0,6,450,183200.0
2010-04-25,383.0,376.0,376.0,390.0,-14.0,4,100,37950.0
2010-04-26,370.0,362.0,362.0,376.0,-14.0,7,780,283150.0
2010-04-28,355.0,348.0,348.0,362.0,-14.0,2,140,49210.0
2010-04-29,348.0,342.0,342.0,348.0,-6.0,2,60,20700.0
2010-05-09,337.0,332.0,332.0,342.0,-10.0,9,180,60260.0
2010-05-11,330.0,330.0,330.0,332.0,-2.0,1,20,6600.0
2010-05-16,325.0,324.0,324.0,330.0,-6.0,6,180,58460.0
2010-05-24,324.0,324.0,324.0,324.0,,25,500,162000.0
2010-05-30,330.0,330.0,330.0,324.0,6.0,38,760,250800.0
2010-06-03,336.0,336.0,336.0,330.0,6.0,1,200,67200.0
2010-06-20,336.0,336.0,336.0,336.0,,2,340,114240.0
2010-06-21,335.0,335.0,335.0,336.0,-1.0,65,1300,435500.0
2010-06-22,335.0,335.0,335.0,335.0,,15,300,100500.0
2010-06-23,335.0,335.0,335.0,335.0,,34,680,227800.0
2010-06-28,336.0,336.0,336.0,335.0,1.0,1,30,10080.0
2010-06-29,339.0,335.0,339.0,336.0,3.0,11,2590,870390.0
2010-06-30,342.0,336.0,336.0,339.0,-3.0,13,380,127980.0
2010-07-19,156.0,156.0,156.0,336.0,-180.0,2,80,12480.0
2010-08-16,153.0,153.0,153.0,156.0,-3.0,8,190,29070.0
2010-11-25,150.0,150.0,150.0,153.0,-3.0,3,60,9000.0
2010-12-07,153.0,153.0,153.0,150.0,3.0,1,20,3060.0
2011-01-04,150.0,150.0,150.0,153.0,-3.0,1,120,18000.0
2011-01-05,153.0,153.0,153.0,150.0,3.0,1,120,18360.0
2011-01-17,153.0,153.0,153.0,153.0,,1,60,9180.0
2011-01-20,156.0,150.0,150.0,153.0,-3.0,9,1660,254800.0
2011-01-24,148.0,148.0,148.0,150.0,-2.0,4,890,131720.0
2011-02-02,148.0,148.0,148.0,148.0,,1,630,93240.0
2011-02-06,146.0,146.0,146.0,148.0,-2.0,4,480,70080.0
2011-02-13,144.0,144.0,144.0,146.0,-2.0,1,1110,159840.0
2011-02-14,142.0,140.0,140.0,144.0,-4.0,2,970,137700.0
2011-02-15,142.0,142.0,142.0,140.0,2.0,2,1320,187440.0
2011-02-20,146.0,144.0,146.0,142.0,4.0,2,120,17400.0
2011-02-22,146.0,146.0,146.0,146.0,,2,120,17520.0
2011-02-23,146.0,146.0,146.0,146.0,,2,120,17520.0
2011-02-28,145.0,145.0,145.0,146.0,-1.0,2,180,26100.0
2011-03-01,147.0,145.0,145.0,145.0,,4,640,93180.0
2011-03-03,145.0,145.0,145.0,145.0,,1,80,11600.0
2011-03-13,143.0,143.0,143.0,145.0,-2.0,1,80,11440.0
2011-03-16,143.0,143.0,143.0,143.0,,1,1260,180180.0
2011-03-20,143.0,143.0,143.0,143.0,,1,60,8580.0
2011-03-31,141.0,141.0,141.0,143.0,-2.0,2,120,16920.0
2011-04-13,140.0,140.0,140.0,141.0,-1.0,1,20,2800.0
2011-05-08,138.0,136.0,138.0,140.0,-2.0,4,300,41160.0
2011-05-11,136.0,136.0,136.0,,136.0,4,240,32640.0
2011-05-12,136.0,136.0,136.0,136.0,,1,60,8160.0
2011-05-19,135.0,135.0,135.0,136.0,-1.0,9,21840,2948400.0
2011-05-22,135.0,135.0,135.0,135.0,,1,280,37800.0
2011-05-23,135.0,135.0,135.0,135.0,,3,2800,378000.0
2011-06-02,135.0,135.0,135.0,135.0,,5,400,54000.0
2011-09-06,133.0,133.0,133.0,135.0,-2.0,1,20,2660.0
2011-10-19,131.0,131.0,131.0,133.0,-2.0,1,3890,509590.0
2012-01-16,129.0,129.0,129.0,131.0,-2.0,8,160,20640.0
2012-01-22,129.0,129.0,129.0,129.0,,1,4800,619200.0
2012-01-31,127.0,127.0,127.0,129.0,-2.0,1,20,2540.0
2012-03-01,129.0,129.0,129.0,127.0,2.0,1,1000,129000.0
2012-03-04,133.0,131.0,133.0,129.0,4.0,2,1950,257410.0
2012-03-05,137.0,135.0,137.0,133.0,4.0,2,2000,272000.0
2012-03-06,143.0,139.0,143.0,137.0,6.0,3,2280,322920.0
2012-03-12,145.0,145.0,145.0,143.0,2.0,1,480,69600.0
2012-03-27,141.0,139.0,139.0,143.0,-4.0,2,2170,301650.0
2012-03-28,139.0,139.0,139.0,139.0,,1,1260,175140.0
2012-04-01,137.0,135.0,135.0,139.0,-4.0,2,4810,649370.0
2012-04-08,133.0,131.0,131.0,135.0,-4.0,2,5210,682530.0
2012-04-12,129.0,127.0,127.0,131.0,-4.0,2,4600,584220.0
2012-05-20,129.0,129.0,129.0,127.0,2.0,1,700,90300.0
2012-05-29,127.0,125.0,125.0,129.0,-4.0,2,4010,501270.0
2012-05-30,125.0,125.0,125.0,125.0,,1,800,100000.0
2012-06-17,125.0,125.0,125.0,125.0,,1,200,25000.0
2014-04-21,125.0,125.0,125.0,125.0,,1,120,15000.0
2014-04-22,123.0,123.0,123.0,125.0,-2.0,1,140,17220.0
2014-04-23,121.0,121.0,121.0,123.0,-2.0,1,120,14520.0
2014-05-28,119.0,117.0,117.0,121.0,-4.0,2,140,16420.0
2014-06-01,115.0,115.0,115.0,117.0,-2.0,1,20,2300.0
2014-06-03,113.0,113.0,113.0,115.0,-2.0,1,120,13560.0
2014-06-05,111.0,111.0,111.0,113.0,-2.0,1,560,62160.0
2014-06-18,113.0,113.0,111.0,111.0,2.0,1,120,13560.0
2014-07-06,111.0,111.0,111.0,113.0,-2.0,5,480,53280.0
2014-07-15,109.0,109.0,109.0,111.0,-2.0,2,200,21800.0
2014-07-16,111.0,110.0,110.0,109.0,1.0,3,240,26560.0
2014-07-17,115.0,112.0,115.0,110.0,5.0,4,400,45400.0
2014-07-30,119.0,104.0,112.0,115.0,-3.0,18,115560,12353780.0
2014-08-03,116.0,112.0,116.0,112.0,4.0,6,14280,1628320.0
2014-08-04,116.0,116.0,116.0,116.0,,2,160,18560.0
2014-08-14,126.0,118.0,126.0,116.0,10.0,5,50,6100.0
2014-08-18,136.0,128.0,136.0,126.0,10.0,7,590,79420.0
2014-08-19,140.0,138.0,140.0,136.0,4.0,2,620,85840.0
2014-08-21,144.0,138.0,144.0,140.0,4.0,10,10360,1456660.0
2014-08-28,148.0,146.0,146.0,144.0,2.0,6,360,52640.0
2014-09-21,147.0,147.0,147.0,146.0,1.0,1,80,11760.0
2014-09-22,145.0,145.0,145.0,147.0,-2.0,2,510,73950.0
