date,high,low,close,previous,diff,numtrans,tradedshares,volume
2010-04-15,1400.0,1350.0,1400.0,1326.0,74.0,3,1530,2106500.0
2010-04-19,309.0,304.0,304.0,315.0,-11.0,4,215,65850.0
2010-04-20,300.0,294.0,294.0,304.0,-10.0,6,205,60600.0
2010-04-21,1405.0,1390.0,1405.0,1400.0,5.0,2,22,30730.0
2010-04-22,280.0,279.0,279.0,280.0,-1.0,21,985,274900.0
2010-04-25,1400.0,1400.0,1400.0,1405.0,-5.0,1,40,56000.0
2010-04-26,255.0,255.0,255.0,260.0,-5.0,4,180,45900.0
2010-04-27,1372.0,1316.0,1316.0,1400.0,-84.0,7,454,604847.0
2010-04-28,1290.0,1290.0,1290.0,1316.0,-26.0,2,150,193500.0
2010-04-29,1336.0,1290.0,1336.0,1290.0,46.0,5,180,236510.0
2010-05-12,273.0,253.0,273.0,249.0,24.0,7,120,31310.0
2010-05-13,300.0,278.0,300.0,273.0,27.0,6,60,17400.0
2010-05-16,1336.0,1336.0,1336.0,1336.0,,2,36,48096.0
2010-05-17,290.0,265.0,265.0,290.0,-25.0,24,1630,441500.0
2010-05-18,291.0,270.0,291.0,265.0,26.0,6,60,16910.0
2010-05-19,319.0,296.0,319.0,291.0,28.0,5,50,15360.0
2010-05-20,350.0,325.0,350.0,319.0,31.0,8,205,71020.0
2010-05-23,369.0,350.0,369.0,350.0,19.0,6,280,100440.0
2010-05-24,390.0,376.0,390.0,369.0,21.0,5,75,28795.0
2010-05-25,1400.0,1362.0,1400.0,1336.0,64.0,3,1572,2198720.0
2010-05-26,1514.0,1428.0,1514.0,1400.0,114.0,5,134,196568.0
2010-05-30,1484.0,1484.0,1484.0,1514.0,-30.0,1,200,296800.0
2010-05-31,436.0,433.0,433.0,435.0,-2.0,2,50,21710.0
2010-06-01,425.0,393.0,393.0,433.0,-40.0,7,110,44710.0
2010-06-02,1455.0,1425.0,1425.0,1484.0,-59.0,3,2615,3728637.0
2010-06-03,392.0,371.0,371.0,400.0,-29.0,5,140,53830.0
2010-06-06,1425.0,1425.0,1425.0,1425.0,,1,3000,4275000.0
2010-06-07,357.0,343.0,355.0,364.0,-9.0,13,585,205560.0
2010-06-09,370.0,362.0,370.0,355.0,15.0,3,160,59070.0
2010-06-10,380.0,370.0,380.0,370.0,10.0,5,265,99450.0
2010-06-13,380.0,380.0,380.0,380.0,,1,15,5700.0
2010-06-15,373.0,366.0,370.0,380.0,-10.0,4,230,85385.0
2010-06-16,363.0,333.0,333.0,370.0,-37.0,8,135,46635.0
2010-06-20,358.0,339.0,358.0,333.0,25.0,14,945,331740.0
2010-06-21,365.0,358.0,365.0,358.0,7.0,20,810,290085.0
2010-06-24,377.0,370.0,377.0,365.0,12.0,5,265,98750.0
2010-06-29,385.0,377.0,385.0,377.0,8.0,5,180,69150.0
