date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-06-16,290.2,263.9,290.2,,26.3,2753,60760,17605819.4
2022-06-17,301.9,270,273,290.2,-17.2,3311,52534,14617918.7
2022-06-19,267.6,245.8,246.9,273,-26.1,1840,19420,4886187
2022-06-20,250,222.3,224.1,246.9,-22.8,1091,31226,6985049.7
2022-06-21,246.5,211.3,244,224.1,19.9,718,20128,4674223.2
2022-06-22,253.7,227,233.5,244,-10.5,426,6830,1585135
2022-06-23,238.1,212,216,233.5,-17.5,410,11649,2524901.6
2022-06-24,228,200,213,216,-3,278,9612,2020577.5
2022-06-26,227,212,227,213,14,433,14916,3294027.7
2022-06-27,231.5,216.6,224.7,227,-2.3,462,13680,3055452.2
2022-06-28,224,212,216.9,224.7,-7.8,330,9230,2000857
2022-06-30,235,214.1,229,225,4,449,24919,5721025.6
2022-07-01,233,222.5,226,229,-3,243,8939,2020276
2022-07-03,244,218.2,242,226,16,502,18191,4281348.4
2022-07-04,260,225.4,231,242,-11,643,33149,8009262.9
2022-07-05,240,221,223,231,-8,373,12329,2804460.1
2022-07-06,234,218.7,225,223,2,470,9290,2066905
2022-07-07,234.6,218.2,224,225,-1,398,13889,3120943
2022-07-08,220,214,215,224,-9,203,7726,1669379.4
2022-07-11,214,201,203.1,215,-11.9,352,14254,2926275.2
2022-07-12,211,200,203.8,203.1,0.7,223,8467,1735784.1
2022-07-13,220.3,205,219,203.8,15.2,393,9792,2099507.5
2022-07-14,233.3,213,233,219,14,526,17479,3843840.8
2022-07-15,237.6,220,222,233,-11,317,9792,2191828.7
2022-07-17,225.4,215,222,222,,374,8151,1794447.3
2022-07-18,226.4,213.3,226.4,222,4.4,364,11432,2528642.2
2022-07-19,231,218.1,223,226.4,-3.4,407,12170,2751676.7
2022-07-20,225.8,219.5,221,223,-2,300,7531,1669670.5
2022-07-21,223,215,218,221,-3,257,10772,2351226.1
2022-07-22,221,210,212,218,-6,180,6494,1381156.8
2022-07-24,233.1,212,231.5,212,19.5,555,25996,5811488.2
2022-07-25,244.8,223.5,237.2,231.5,5.7,594,23825,5653255.4
2022-07-26,241,223,223,237.2,-14.2,412,19600,4499867
2022-07-27,242,223,239,223,16,688,56227,13161655
2022-07-28,262.9,240,258,239,19,680,53624,13898882.7
2022-07-29,269,254.8,264,258,6,506,17567,4610705
2022-07-31,267,253.7,260.5,264,-3.5,764,28364,7359317.5
2022-08-01,270.3,246.1,258,260.5,-2.5,722,41098,10713102.6
2022-08-02,282,255.3,280,258,22,879,36730,9969195.9
2022-08-03,308,274.1,299,280,19,1035,60118,17770679.1
2022-08-04,320,284,315,299,16,1140,69198,21186252.7
2022-08-05,321,304,307,315,-8,608,37903,11859510.7
2022-08-07,313,299,308,307,1,910,40781,12537192.7
2022-08-08,325,307,314,308,6,815,34766,11028028.2
2022-08-09,317,297,299.1,314,-14.9,570,23544,7123713.1
2022-08-10,298,284.1,290,299.1,-9.1,514,19990,5814558.8
2022-08-11,297,285,288.6,290,-1.4,444,17515,5117009.5
2022-08-14,293,277,277.2,288.6,-11.4,433,13651,3873960
2022-08-15,304.9,273,304.9,277.2,27.7,527,15715,4610657.4
2022-08-16,317.1,290,291.9,304.9,-13,572,39575,11858243.7
2022-08-17,308.9,286.2,298,291.9,6.1,382,13259,3910318.3
2022-08-18,312,297,308,298,10,768,37341,11421968.2
2022-08-22,308,288,295,292,3,621,22188,6587478
2022-08-23,303,293.1,294.4,295,-0.6,445,10840,3205766.8
2022-08-24,300.9,289.6,298.5,294.4,4.1,560,27752,8182262
2022-08-25,306,287.1,288,298.5,-10.5,430,27460,8028585.7
2022-08-26,290,280,280,288,-8,205,8763,2478439.7
2022-08-28,280,263.5,265,280,-15,451,23824,6439311.3
2022-08-29,275.4,261.2,264.4,265,-0.6,238,13340,3557111.9
2022-08-30,284.2,263,267,264.4,2.6,230,10730,2861179.1
2022-08-31,271.1,252.9,258,267,-9,260,17589,4580455.2
2022-09-01,271,250,266,258,8,243,9216,2370198.4
2022-09-02,267.5,260,267,266,1,106,5110,1342686.4
2022-09-04,269.3,262,267,267,,283,4608,1220921.4
2022-09-05,272.3,261.5,264,267,-3,264,6407,1707279
2022-09-06,265,252,252,264,-12,188,5655,1446657.7
2022-09-07,252,246,249.1,252,-2.9,246,14255,3533030.2
2022-09-08,264,240,250,249.1,0.9,234,12004,2982845.1
2022-09-11,255,240.9,244.5,250,-5.5,209,4744,1163772.1
2022-09-12,244,235.3,238.1,244.5,-6.4,234,10390,2482592.5
2022-09-13,255.7,235,248.2,238.1,10.1,250,7165,1778646.3
2022-09-14,261.9,247.2,260.4,248.2,12.2,297,13799,3554146
2022-09-15,264,240,245,260.4,-15.4,303,16392,4051554.5
2022-09-16,241,222,232,245,-13,177,12149,2804384.1
2022-09-18,234,221.5,223.5,232,-8.5,257,9536,2155268.7
2022-09-20,224,212.8,214.2,223.5,-9.3,207,8212,1782071.4
2022-09-21,226,215,218.9,214.2,4.7,185,6848,1491903.1
2022-09-22,225,211,216,218.9,-2.9,149,5428,1182286
2022-09-25,215,204.5,208.4,216,-7.6,216,8338,1742007.7
2022-09-27,220,208,216.8,208.4,8.4,127,6899,1483822.4
2022-09-28,219,209,215,216.8,-1.8,121,4167,885645.7
2022-09-29,216.9,210,215,215,,79,4425,948579.1
2022-10-09,224,210.7,224,215,9,106,4273,939293
2022-10-10,224,215.5,217.5,224,-6.5,78,5218,1146697.8
2022-10-11,226,210.2,219,217.5,1.5,152,10787,2356351.8
2022-10-12,227.4,215.6,224.9,219,5.9,130,6721,1486642.2
2022-10-13,244.9,218,232,224.9,7.1,213,32943,7621567.9
2022-10-16,232.9,226.1,230.4,232,-1.6,165,4640,1063463.5
2022-10-17,230,223.4,224,230.4,-6.4,128,5419,1229366.5
2022-10-19,223,211.5,213,224,-11,121,5194,1120410.5
2022-10-20,214,207,213.4,213,0.4,131,5332,1120700
2022-10-23,217,209.2,215,213.4,1.6,86,1060,224892
2022-10-31,216.5,210,212.4,215,-2.6,101,1660,352452
2022-11-01,226.3,209,226.3,212.4,13.9,159,4370,963961
2022-11-02,230.8,218.6,222,226.3,-4.3,127,9119,2057050.6
2022-11-03,222.3,217.6,222,222,0,127,2034,447814.5
2022-11-06,235,220,235,222,13,223,6216,1405924.5
2022-11-07,239,229,229,235,-6,177,6132,1433071.5
2022-11-08,233.5,223,230,229,1,126,3145,718362.5
2022-11-09,225.4,216,221,230,-9,91,3515,771263
2022-11-10,220,210.9,211.1,221,-9.900000000000006,112,5507,1174893.9
2022-11-13,214.2,210,212.5,211.1,1.4000000000000057,118,1590,337770.5
2022-11-14,228.8,209.6,227.9,212.5,15.400000000000006,129,3326,717199.2
2022-11-15,228,217,218,227.9,-9.900000000000006,120,4368,968237
2022-11-16,221,215.1,216.3,218,-1.6999999999999886,104,2670,582686.4
2022-11-22,229,220,223.5,225,-1.5,156,6615,1476984.8
2022-11-23,222,216.2,217.4,223.5,-6.099999999999994,144,6116,1332647.6
2022-11-24,226,214,221.1,217.4,3.6999999999999886,193,5671,1264489
2022-11-27,230.4,219.3,230.4,221.1,9.300000000000011,285,21174,4784215.5
2022-11-28,234.7,222,226,230.4,-4.400000000000006,181,7447,1710563.5
2022-11-29,229.6,221.5,228,226,2,143,5165,1154017
2022-11-30,234.6,223.5,223.8,228,-4.199999999999989,101,1393,316569
2022-12-01,231.4,222.5,229,223.8,5.199999999999989,180,6418,1464166.2
2022-12-04,238.1,225,232.5,229,3.5,275,21920,5111945.7
2022-12-05,243.8,228,236,232.5,3.5,319,28865,6909343
2022-12-06,244.8,226.3,229.4,236,-6.599999999999994,151,4045,933929.5
2022-12-07,238,225.1,229,229.4,-0.4000000000000057,168,6820,1562792
2022-12-11,230,220.8,221.5,229,-7.5,173,4220,943366
2022-12-12,227,217.2,226,221.5,4.5,119,1980,442709
2022-12-13,230,221.8,227.9,226,1.9000000000000057,130,2399,541452
2022-12-14,232,218.7,221.1,227.9,-6.800000000000011,123,5120,1144263
2022-12-15,234.6,218.2,224,221.1,2.9000000000000057,166,3480,768354
2022-12-18,220.1,215.6,215.8,224,-8.199999999999989,150,3199,694132.8
2022-12-19,220.1,212.1,217.1,215.8,1.299999999999983,150,3045,660664
2022-12-20,222,212.9,217.5,217.1,0.4000000000000057,140,6452,1408212.3
2022-12-21,219,213.4,216.9,217.5,-0.5999999999999943,132,2305,497712
2022-12-22,216.9,212.6,214,216.9,-2.9000000000000057,121,2470,530618
2022-12-26,230,215.3,228.9,214,14.900000000000006,196,5664,1264934.8
2022-12-27,239,224.5,233,228.9,4.099999999999994,236,18034,4188005
2022-12-28,248.1,225.5,242,233,9,227,23305,5448352.3
2022-12-29,254,233.2,252.2,242,10.199999999999989,299,20754,5101603.1
2023-01-01,256.9,236.2,243,252.2,-9.199999999999989,298,21245,5182273
2023-01-02,251.7,234,242.2,243,-0.8000000000000114,262,19040,4693573.4
