date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-08-31,350.9,319,322.1,,3.1,5357,97653,32789341.3
2022-09-01,322,298.1,308,322.1,-14.1,2562,31303,9534637.6
2022-09-02,313,298.4,308.9,308,0.9,853,8910,2709357
2022-09-04,322,302.7,310,308.9,1.1,1278,15867,4885445.3
2022-09-05,312,304,307,310,-3,986,13743,4227495.1
2022-09-06,307,299,299,307,-8,635,12826,3870205.1
2022-09-07,296,287.3,296,299,-3,536,9955,2901040.8
2022-09-08,310,287,303,296,7,576,13203,3946593.5
2022-09-11,309,293,298,303,-5,550,8300,2469996
2022-09-12,297,284.2,291,298,-7,414,11426,3330455
2022-09-13,299.8,285,295.1,291,4.1,380,6500,1902710
2022-09-14,304,289.2,300,295.1,4.9,479,14405,4309966
2022-09-15,302.1,279,284,300,-16,395,16379,4690389.2
2022-09-16,278.4,263.7,274,284,-10,203,10641,2860098.1
2022-09-18,278,249.9,254,274,-20,455,22806,5872715.5
2022-09-20,249,235,239.9,254,-14.1,327,8516,2033806.2
2022-09-21,244.6,232.4,232.4,239.9,-7.5,199,5731,1359473.9
2022-09-22,232.5,225.2,230,232.4,-2.4,266,8612,1960000.7
2022-09-25,225.4,217,224,230,-6,238,6236,1366947.6
2022-09-27,242,216.7,231,224,7,197,4490,1016435
2022-09-28,240.3,209,217,231,-14,163,5269,1162605
2022-09-29,225.7,215.1,220.9,217,3.9,77,1820,401408
2022-10-09,229,216,226,220.9,5.1,112,3347,749813.2
2022-10-10,225,216,216.1,226,-9.9,116,5525,1211820.5
2022-10-11,224,212.1,224,216.1,7.9,103,2855,609047.5
2022-10-12,224,209,220.5,224,-3.5,110,3706,804073.1
2022-10-13,224,212.8,215.2,220.5,-5.3,143,4501,974384.1
2022-10-16,222,212,222,215.2,6.8,163,5782,1247468.6
2022-10-17,222.3,214,218,222,-4,183,3480,754879
2022-10-19,216,210,210.4,218,-7.6,215,5745,1219205.3
2022-10-20,214,203.1,210,210.4,-0.4,210,4795,992030
2022-10-23,211.1,204,210,210,,105,2980,619044
2022-10-31,211.1,206,207,210,-3,166,3090,640014
2022-11-01,219.9,203.3,217.1,207,10.1,219,7940,1682310
2022-11-02,221.4,211.5,220,217.1,2.9,157,4035,877813
2022-11-03,227.6,215,219,220,-1,197,9907,2186959.4
2022-11-06,227,211,227,219,8,271,6887,1517877.7
2022-11-07,234,219,223,227,-4,277,13987,3149150
2022-11-08,223.9,218,223,223,0,162,5053,1111271.4
2022-11-09,220,211.8,213,223,-10,158,3187,686072.5
2022-11-10,210.5,205,206,213,-7,138,5084,1052469.5
2022-11-13,210,203.1,206,206,0,154,3170,650835
2022-11-14,214.9,202,214.9,206,8.900000000000006,143,4634,955833
2022-11-15,213,200,207,214.9,-7.900000000000006,166,12238,2518272.1
2022-11-16,215,203,214,207,7,165,4122,862838.4
2022-11-22,221,205,214,217,-3,203,11898,2493710.3
2022-11-23,210,206,209.9,214,-4.099999999999994,121,1615,335218
2022-11-24,212,206,209,209.9,-0.9000000000000057,136,2511,523622.3
2022-11-27,215.2,205.1,213,209,4,296,11132,2341293.5
2022-11-28,217.2,207.3,213,213,0,168,5350,1125409
2022-11-29,211.9,208,211.8,213,-1.1999999999999886,168,4270,895215
2022-11-30,213,207.7,212,211.8,0.19999999999998863,148,2200,462677
2022-12-01,217.2,208.3,211,212,-1,184,6485,1382876
2022-12-04,217,208.1,214,211,3,284,11536,2463065.7
2022-12-05,217.9,208,211.8,214,-2.1999999999999886,147,4759,1004003
2022-12-06,212.9,207.7,212.9,211.8,1.0999999999999943,159,5597,1173195.6
2022-12-07,217.1,206.2,208,212.9,-4.900000000000006,116,2910,603818.6
2022-12-11,208,201.2,205,208,-3,208,9442,1917874.4
2022-12-12,210,201.2,207,205,2,148,4140,851535
2022-12-13,211,203,207.9,207,0.9000000000000057,106,1130,232889
2022-12-14,208,204,205,207.9,-2.9000000000000057,178,5389,1107641.7
2022-12-15,205,202,205,205,0,195,4137,845035.9
2022-12-18,202.5,197.2,200,205,-5,221,6020,1202132
2022-12-19,200,194.1,200,200,0,187,4260,840369
2022-12-20,204,196,200.8,200,0.8000000000000114,174,5670,1136353
2022-12-21,200.3,193.2,198,200.8,-2.8000000000000114,122,3170,624268
2022-12-22,199.8,191.6,199.8,198,1.8000000000000114,141,2490,487196
2022-12-26,208.8,196,207,199.8,7.199999999999989,285,7353,1508760
2022-12-27,222.3,208,220,207,13,412,33037,7084442.1
2022-12-28,224.4,212.1,218.9,220,-1.0999999999999943,230,11505,2483099
2022-12-29,237.6,210.3,237.6,218.9,18.69999999999999,326,17926,3971564.6
2023-01-01,241.4,223.6,230,237.6,-7.599999999999994,353,38315,8818721.1
2023-01-02,235.6,221,235.6,230,5.599999999999994,335,13861,3172755.2
2023-01-03,240.3,226.4,231,235.6,-4.599999999999994,274,14031,3238102.5
2023-01-04,247,224.5,247,231,16,436,28218,6745244.9
2023-01-05,262.8,238.5,254.9,247,7.900000000000006,452,29875,7455276.2
2023-01-08,273,249.9,255,254.9,0.09999999999999432,504,34356,8919176.7
2023-01-09,280.5,255,274.9,255,19.899999999999977,471,22850,6167913.6
2023-01-10,302,257,274.9,274.9,0,694,45311,12568468.3
2023-01-12,280,247.5,270,274.9,-4.899999999999977,513,32776,8647347.8
2023-01-17,292,256.1,284,270,14,604,25994,7193153
2023-01-18,298,279,285,284,1,576,27024,7754520.5
2023-01-19,289.9,271.1,285,285,0,613,27546,7815134.6
2023-01-23,295,277.9,287,285,2,664,33360,9477420.3
2023-01-24,285.6,270,285.6,287,-1.3999999999999773,592,32363,8954552.6
2023-01-25,300,276.1,290.8,285.6,5.199999999999989,625,35292,10331733.5
2023-01-26,315,290,313,290.8,22.19999999999999,722,40662,12472086.6
2023-01-29,319.2,300.1,310,313,-3,728,37323,11545976.6
2023-01-30,310,288,295,310,-15,565,47991,14462486.1
2023-01-31,313,289.3,299,295,4,555,38093,11390637.3
2023-02-01,317,295,317,299,18,655,32470,10009745.9
2023-02-02,323.2,302.2,303.4,317,-13.600000000000023,463,26506,8270497.9
2023-02-05,314.9,298.2,300,303.4,-3.3999999999999773,490,20402,6200327.7
2023-02-06,305,298.5,301,300,1,342,14081,4238584.5
