date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-09-17,535.2,486.6,495,0,495,33395,487186,245293976.2
2023-09-18,500,485.2,489,495,-6,17948,192130,93880860
2023-09-19,489,478.4,485.5,489,-3.5,17076,220056,106442691.7
2023-09-21,496,483.2,484.2,485.5,-1.3000000000000114,16749,286708,139658690.5
2023-09-24,491,462.2,463.1,484.2,-21.099999999999966,11798,159725,75416964.5
2023-09-25,470,456.1,460,463.1,-3.1000000000000227,9384,142761,65861503.7
2023-09-26,480.1,460,477.7,460,17.69999999999999,9240,151068,71348296.5
2023-09-27,486.5,471,479,477.7,1.3000000000000114,5891,122887,58436676.9
2023-10-01,475,461,462.5,479,-16.5,6631,116239,54062577.9
2023-10-02,466.6,456,466,462.5,3.5,6535,102400,47253637
2023-10-03,467,460,460.3,466,-5.699999999999989,4584,80679,37262140.2
2023-10-04,469.9,455,463,460.3,2.6999999999999886,5067,92751,43091944.1
2023-10-05,465,458.1,458.2,463,-4.800000000000011,4138,64915,29885210
2023-10-08,457,442.1,445,458.2,-13.199999999999989,4445,124649,55760572.5
2023-10-09,449,437.4,441.8,445,-3.1999999999999886,3867,76160,33632504.5
2023-10-10,441.8,433.3,433.6,441.8,-8.199999999999989,3339,57185,25000799.5
2023-10-11,445,429.3,433.5,433.6,-0.10000000000002274,3148,64213,27888363
2023-10-12,435,424,424.6,433.5,-8.899999999999977,3635,64409,27613460.8
2023-10-16,420.5,402,408.1,424.6,-16.5,3840,87805,35829584.9
2023-10-17,422.9,400,411.5,408.1,3.3999999999999773,2209,52689,21688520
2023-10-18,421,404.2,417,411.5,5.5,1541,41100,17113924
2023-10-19,421,411,415.8,417,-1.1999999999999886,953,28922,12054440.3
2023-10-29,410,403.2,405.5,415.8,-10.300000000000011,2226,34681,14032765.2
2023-10-30,406,400,406,405.5,0.5,2089,28848,11615704.6
2023-10-31,406,400.2,402.4,406,-3.6000000000000227,1504,25757,10373242
2023-11-01,407,398.2,400,402.4,-2.3999999999999773,1797,32091,12884200
2023-11-02,408,395.1,400,400,0,1810,32962,13161711.4
2023-11-05,401,390,393,400,-7,1376,25038,9805480.8
2023-11-06,400,390,397.6,393,4.600000000000023,1737,23181,9181625
2023-11-07,418,396,414,397.6,16.399999999999977,2059,64744,26513995.7
2023-11-08,426,407,417,414,3,1388,56829,23840277.5
