date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-05-03,384.0,356.0,384.0,,384.0,5,50,18500.0
2021-05-04,422.0,391.0,422.0,384.0,38.0,24,1759,700942.0
2021-05-05,454.0,430.0,454.0,422.0,32.0,4,40,17680.0
2021-05-06,499.0,463.0,499.0,454.0,45.0,30,300,148800.0
2021-05-09,548.0,523.0,548.0,499.0,49.0,80,800,437200.0
2021-05-10,602.0,575.0,602.0,548.0,54.0,104,1040,624790.0
2021-05-11,662.0,632.0,662.0,602.0,60.0,73,2386,1578601.0
2021-05-12,728.0,695.0,728.0,662.0,66.0,112,1100,799070.0
2021-05-13,800.0,764.0,800.0,728.0,72.0,203,2030,1623010.0
2021-05-16,880.0,840.0,880.0,800.0,80.0,316,4169,3663210.0
2021-05-17,968.0,924.0,968.0,880.0,88.0,505,9826,9504188.0
2021-05-18,1064.0,1016.0,1064.0,968.0,96.0,524,7325,7719160.0
2021-05-19,1170.0,1117.0,1170.0,1064.0,106.0,300,3350,3906910.0
2021-05-20,1287.0,1053.0,1125.0,1170.0,-45.0,3269,44213,50201302.0
2021-05-23,1179.0,1030.0,1083.0,1125.0,-42.0,925,10376,11227161.0
2021-05-24,1101.0,1045.0,1062.0,1083.0,-21.0,692,12738,13580615.0
2021-05-25,1091.0,1052.0,1073.0,1062.0,11.0,298,5907,6276660.0
2021-05-27,1085.0,1050.0,1085.0,1073.0,12.0,313,4868,5198017.0
2021-05-30,1100.0,1050.0,1052.0,1085.0,-33.0,227,5325,5661620.0
2021-05-31,1070.0,1011.0,1016.0,1052.0,-36.0,270,8268,8611004.0
2021-06-01,1020.0,968.0,999.0,1016.0,-17.0,284,6215,6142170.0
2021-06-02,1031.0,968.0,1030.0,999.0,31.0,224,2625,2632602.0
2021-06-03,1048.0,994.0,1012.0,1030.0,-18.0,124,1684,1708688.0
2021-06-06,1021.0,993.0,996.0,1012.0,-16.0,167,3992,4008115.0
2021-06-07,1033.0,975.0,990.0,996.0,-6.0,119,3880,3865440.0
2021-06-08,1021.0,982.0,994.0,990.0,4.0,88,3190,3173870.0
2021-06-09,1000.0,985.0,1000.0,994.0,6.0,105,1821,1800462.0
2021-06-10,1005.0,943.0,986.0,1000.0,-14.0,228,12413,12024905.0
2021-06-13,1005.0,970.0,970.0,986.0,-16.0,189,6830,6726265.0
2021-06-14,999.0,956.0,974.0,970.0,4.0,125,3620,3513580.0
2021-06-15,966.0,943.0,950.0,974.0,-24.0,159,4493,4289895.0
2021-06-16,963.0,885.0,914.0,950.0,-36.0,171,3420,3178810.0
2021-06-17,954.0,889.0,950.0,914.0,36.0,192,4414,4035480.0
2021-06-20,1000.0,925.0,980.0,950.0,30.0,266,8256,7894878.0
2021-06-21,980.0,937.0,954.0,980.0,-26.0,102,3410,3271460.0
2021-06-22,991.0,936.0,951.0,954.0,-3.0,90,3954,3761428.0
2021-06-23,960.0,933.0,936.0,951.0,-15.0,52,1115,1050395.0
2021-06-24,965.0,920.0,960.0,936.0,24.0,101,2380,2245770.0
2021-06-27,1008.0,931.0,964.0,960.0,4.0,118,3500,3331020.0
2021-06-28,970.0,933.0,950.0,964.0,-14.0,50,710,674120.0
2021-06-29,940.0,915.0,925.0,950.0,-25.0,52,1330,1232050.0
2021-06-30,943.0,907.0,927.0,925.0,2.0,80,1608,1488445.0
2021-07-01,940.0,891.0,936.0,927.0,9.0,93,4440,4122720.0
2021-07-04,920.0,901.0,913.0,936.0,-23.0,83,1629,1489984.0
2021-07-05,910.0,895.0,905.0,913.0,-8.0,95,1966,1773093.0
2021-07-06,945.0,892.0,910.0,905.0,5.0,90,1340,1227810.0
2021-07-07,907.0,893.0,907.0,910.0,-3.0,44,600,540534.0
2021-07-08,925.0,896.0,902.0,907.0,-5.0,79,2672,2432264.0
2021-07-11,930.0,900.0,909.0,902.0,7.0,91,2120,1933450.0
2021-07-12,920.0,902.0,903.0,909.0,-6.0,57,2670,2421280.0
2021-07-13,910.0,900.0,910.0,903.0,7.0,45,771,697689.0
2021-07-14,928.0,900.0,915.0,910.0,5.0,59,1305,1187820.0
2021-07-15,930.0,900.0,906.0,915.0,-9.0,103,4000,3620310.0
2021-07-18,940.0,900.0,939.0,906.0,33.0,101,2851,2634206.9
2021-07-19,930.0,912.0,920.0,939.0,-19.0,55,1119,1032987.8
2021-07-20,937.0,903.0,930.0,920.0,10.0,73,1060,982347.0
2021-07-22,1000.0,941.0,967.0,930.0,37.0,334,16210,15839914.4
2021-07-25,986.0,947.0,967.0,967.0,,145,5781,5553734.0
2021-07-26,970.0,950.0,950.1,967.0,-16.9,67,2890,2753453.5
2021-07-27,1010.0,940.0,976.1,950.1,26.0,166,5827,5713956.0
2021-07-28,1025.0,975.0,1002.0,976.1,25.9,220,6938,6945198.5
2021-07-29,999.6,965.0,999.0,1002.0,-3.0,111,4385,4280664.5
2021-08-01,1005.0,961.0,989.0,999.0,-10.0,95,5907,5841042.0
2021-08-02,1005.0,975.0,980.0,989.0,-9.0,89,2335,2300174.0
2021-08-03,1078.0,997.0,1078.0,980.0,98.0,443,17893,18529633.5
2021-08-04,1185.8,1099.5,1152.6,1078.0,62.0,461,14963,17045879.8
2021-08-05,1162.8,1085.1,1100.0,1152.6,-52.6,278,12292,13612815.0
2021-08-08,1120.0,1060.0,1100.0,1100.0,,209,6768,7418847.5
2021-08-09,1125.0,1079.5,1110.0,1100.0,10.0,173,5454,5989406.0
2021-08-10,1143.9,1085.0,1100.0,1110.0,-10.0,146,8160,9008713.0
2021-08-11,1210.0,1080.0,1210.0,1100.0,110.0,481,19474,23082752.0
2021-08-12,1331.0,1234.0,1331.0,1210.0,121.0,308,14822,19553411.5
2021-08-15,1400.0,1242.0,1398.0,1331.0,67.0,533,23547,30842591.9
2021-08-16,1537.8,1316.5,1530.0,1398.0,132.0,500,15796,22489207.8
2021-08-17,1683.0,1560.6,1683.0,1530.0,153.0,385,11943,19887009.3
2021-08-18,1770.0,1536.7,1770.0,1683.0,87.0,603,20233,33103941.1
2021-08-19,1849.2,1593.0,1813.0,1770.0,43.0,607,24376,40066835.6
2021-08-24,1776.8,1631.7,1631.7,1813.0,-181.3,148,4658,7605711.6
2021-08-25,1599.1,1468.6,1550.0,1631.7,-81.7,630,26750,39881109.1
2021-08-26,1662.0,1402.0,1662.0,1550.0,112.0,514,20481,30084048.0
2021-08-29,1628.8,1495.8,1495.8,1662.0,-166.2,466,22376,33646922.0
2021-08-31,1479.0,1346.3,1346.3,1495.8,-149.5,382,14913,20447077.1
2021-09-01,1479.0,1300.0,1448.0,1346.3,101.7,216,6391,8907716.0
2021-09-02,1476.0,1339.0,1445.0,1448.0,-3.0,148,6272,8710532.0
2021-09-05,1416.1,1300.5,1300.5,1445.0,-144.5,187,8156,10752107.0
2021-09-06,1410.0,1281.0,1398.0,1300.5,97.5,136,3706,5014735.5
2021-09-07,1405.0,1278.9,1300.0,1398.0,-98.0,155,7207,9532349.0
2021-09-08,1351.0,1280.0,1305.0,1300.0,5.0,139,4575,5975825.5
2021-09-09,1331.0,1280.0,1310.0,1305.0,5.0,115,4705,6091584.0
2021-09-12,1390.0,1325.0,1380.0,1310.0,70.0,197,7991,10894848.6
2021-09-13,1407.0,1353.0,1375.0,1380.0,-5.0,107,2965,4068595.0
2021-09-14,1380.0,1340.1,1379.0,1375.0,4.0,68,1520,2074768.0
2021-09-15,1395.0,1265.0,1312.0,1379.0,-67.0,119,4869,6323873.0
2021-09-16,1305.0,1280.0,1280.0,1312.0,-32.0,112,4861,6275079.0
2021-09-20,1300.0,1155.0,1160.0,1280.0,-120.0,157,4631,5605825.0
2021-09-21,1227.0,1063.3,1227.0,1160.0,67.0,126,4787,5577514.6
2021-09-22,1347.0,1230.0,1327.0,1227.0,100.0,258,6324,8235787.0
2021-09-23,1240.0,1170.0,1180.1,1206.0,-25.9,111,3958,4773142.0
2021-09-26,1160.0,1080.0,1106.0,1180.1,-74.1,75,2429,2717610.0
2021-09-27,1106.0,997.9,1065.0,1106.0,-41.0,93,3031,3221466.0
2021-09-28,1064.9,971.0,975.0,1065.0,-90.0,82,3578,3556657.0
2021-09-29,1072.5,960.0,1056.0,975.0,81.0,73,2109,2104543.0
2021-09-30,1119.9,992.0,1119.9,1056.0,63.9,90,2644,2729874.5
2021-10-03,1142.0,1050.0,1069.0,1119.9,-50.9,63,2525,2774289.0
2021-10-04,1090.3,990.0,1070.0,1069.0,1.0,69,1575,1598722.8
2021-10-05,1091.4,1010.0,1090.0,1070.0,20.0,47,1260,1324054.0
2021-10-06,1189.0,1040.0,1100.0,1090.0,10.0,58,1803,1957342.0
2021-10-10,1122.0,1050.0,1070.0,1100.0,-30.0,40,2424,2580684.0
2021-10-11,1091.0,1029.0,1050.0,1070.0,-20.0,22,2058,2161786.0
2021-10-17,1135.0,1029.0,1045.0,1050.0,-5.0,27,700,734351.0
2021-10-18,1024.1,985.1,988.9,1045.0,-56.1,28,830,827717.0
2021-10-19,970.0,930.0,970.0,988.9,-18.9,55,1805,1706565.0
2021-10-20,1067.0,936.9,1025.0,970.0,55.0,39,1120,1109991.0
2021-10-21,1015.0,922.5,1014.0,1025.0,-11.0,50,2135,2071149.5
2021-10-24,1020.0,955.0,990.0,1014.0,-24.0,39,1071,1051614.0
2021-10-25,1025.0,990.0,1025.0,990.0,35.0,62,2477,2512854.0
2021-10-26,1122.0,1025.0,1063.0,1025.0,38.0,71,2095,2262597.9
2021-10-27,1100.0,1039.0,1088.0,1063.0,25.0,95,5118,5440887.0
2021-10-28,1109.7,1048.6,1079.0,1088.0,-9.0,68,2670,2846907.9
