date,high,low,close,previous,diff,numtrans,tradedshares,volume
2019-08-22,320.0,302.0,320.0,302.0,18.0,4,40,12440.0
2019-08-26,332.0,326.0,332.0,320.0,12.0,2,20,6580.0
2019-08-27,365.0,338.0,365.0,332.0,33.0,7,560,203190.0
2019-08-28,401.0,383.0,401.0,365.0,36.0,10,100,39590.0
2019-08-29,441.0,409.0,441.0,401.0,40.0,22,220,96220.0
2019-09-01,485.0,463.0,485.0,441.0,44.0,303,3030,1467180.0
2019-09-02,531.0,485.0,507.0,485.0,22.0,3227,38269,19392113.0
2019-09-03,530.0,485.0,520.0,507.0,13.0,835,11510,5732250.0
2019-09-04,530.0,500.0,518.0,520.0,-2.0,563,7791,3990098.0
2019-09-05,519.0,503.0,506.0,518.0,-12.0,266,5650,2866760.0
2019-09-08,506.0,497.0,500.0,506.0,-6.0,207,6380,3194710.0
2019-09-09,505.0,492.0,493.0,500.0,-7.0,257,3580,1773940.0
2019-09-10,495.0,486.0,489.0,493.0,-4.0,276,3936,1928238.0
2019-09-11,499.0,484.0,486.0,489.0,-3.0,215,4650,2258810.0
2019-09-12,490.0,472.0,476.0,486.0,-10.0,123,2820,1345810.0
2019-09-15,477.0,462.0,470.0,476.0,-6.0,174,2100,979550.0
2019-09-16,473.0,459.0,460.0,470.0,-10.0,119,2225,1029680.0
2019-09-17,483.0,452.0,470.0,460.0,10.0,90,1773,826356.0
2019-09-18,490.0,470.0,473.0,470.0,3.0,94,1597,761536.0
2019-09-19,491.0,469.0,469.0,473.0,-4.0,119,1830,865750.0
2019-09-22,469.0,450.0,454.0,469.0,-15.0,154,2580,1169605.0
2019-09-23,463.0,447.0,462.0,454.0,8.0,109,1550,703690.0
2019-09-24,460.0,447.0,451.0,462.0,-11.0,85,1210,547300.0
2019-09-25,459.0,449.0,450.0,451.0,-1.0,84,905,410050.0
2019-09-26,459.0,447.0,454.0,450.0,4.0,89,920,413920.0
2019-09-29,450.0,441.0,446.0,454.0,-8.0,75,750,334740.0
2019-09-30,454.0,441.0,448.0,446.0,2.0,49,786,353250.0
2019-10-01,464.0,444.0,460.0,448.0,12.0,55,710,321060.0
2019-10-02,455.0,447.0,450.0,460.0,-10.0,31,640,287730.0
2019-10-03,460.0,450.0,458.0,450.0,8.0,29,744,337562.0
2019-10-10,451.0,450.0,451.0,458.0,-7.0,3,70,31560.0
2019-10-14,455.0,442.0,447.0,451.0,-4.0,27,1270,574910.0
2019-10-15,472.0,444.0,459.0,447.0,12.0,13,160,72830.0
2019-10-16,458.0,449.0,453.0,459.0,-6.0,39,430,194880.0
2019-10-17,457.0,447.0,452.0,453.0,-1.0,55,750,339740.0
2019-10-20,461.0,443.0,461.0,452.0,9.0,85,2010,903660.0
2019-10-21,460.0,446.0,450.0,461.0,-11.0,30,300,134870.0
2019-10-22,454.0,447.0,448.0,450.0,-2.0,33,330,148050.0
2019-10-23,459.0,446.0,447.0,448.0,-1.0,33,2720,1219510.0
2019-10-24,455.0,441.0,448.0,447.0,1.0,28,460,206630.0
2019-10-31,453.0,445.0,451.0,448.0,3.0,28,360,161760.0
2019-11-03,459.0,446.0,458.0,451.0,7.0,54,1095,494015.0
2019-11-04,468.0,453.0,454.0,458.0,-4.0,53,810,367865.0
2019-11-05,457.0,445.0,445.0,454.0,-9.0,72,1990,892030.0
2019-11-06,455.0,446.0,451.0,445.0,6.0,108,1560,703450.0
2019-11-07,459.0,448.0,451.0,451.0,,85,1480,670420.0
2019-11-10,462.0,448.0,455.0,451.0,4.0,151,1820,824960.0
2019-11-11,500.0,465.0,500.0,455.0,45.0,170,5723,2807767.0
2019-11-12,542.0,465.0,526.0,500.0,26.0,236,8030,4204924.0
2019-11-13,560.0,517.0,560.0,526.0,34.0,229,10010,5440876.0
2019-11-14,570.0,540.0,563.0,560.0,3.0,214,9185,5102183.0
2019-11-17,580.0,558.0,562.0,563.0,-1.0,172,5830,3298070.0
2019-11-18,561.0,550.0,555.0,562.0,-7.0,114,4093,2272938.0
2019-11-19,565.0,548.0,548.0,555.0,-7.0,157,5177,2857275.0
2019-11-20,558.0,542.0,546.0,548.0,-2.0,372,7970,4355155.0
2019-11-21,482.0,474.0,477.0,483.19,-6.19,47,2697,1287975.0
2019-11-24,477.0,464.0,470.0,477.0,-7.0,54,2150,1012600.0
2019-11-25,478.0,457.0,466.0,470.0,-4.0,59,1647,762766.0
2019-11-26,475.0,460.0,465.0,466.0,-1.0,43,1007,469440.0
2019-11-27,475.0,457.0,475.0,465.0,10.0,32,920,428220.0
2019-11-28,482.0,458.0,476.0,475.0,1.0,37,998,473492.0
2019-12-01,477.0,468.0,474.0,476.0,-2.0,13,295,139610.0
2019-12-02,480.0,470.0,479.0,474.0,5.0,17,475,226375.0
2019-12-03,488.0,471.0,484.0,479.0,5.0,35,1076,518157.0
2019-12-04,517.0,476.0,510.0,484.0,26.0,61,6147,3051501.0
2019-12-05,520.0,497.0,510.0,510.0,,57,3434,1744760.0
2019-12-08,531.0,501.0,523.0,510.0,13.0,77,5367,2773193.0
2019-12-09,558.0,530.0,544.0,523.0,21.0,90,10174,5542483.0
2019-12-10,560.0,530.0,545.0,544.0,1.0,101,8083,4419172.0
2019-12-11,578.0,545.0,568.0,545.0,23.0,94,6569,3709726.0
2019-12-12,573.0,551.0,551.0,568.0,-17.0,107,6895,3864890.0
2019-12-15,556.0,543.0,553.0,551.0,2.0,76,5622,3078413.0
2019-12-16,555.0,537.0,545.0,553.0,-8.0,59,1750,955000.0
2019-12-17,553.0,536.0,548.0,545.0,3.0,33,890,485670.0
