date,high,low,close,previous,diff,numtrans,tradedshares,volume
2011-11-16,314.0,314.0,314.0,,314.0,1,10,3140.0
2011-11-20,308.0,308.0,308.0,314.0,-6.0,1,50,15400.0
2011-11-28,293.0,293.0,293.0,308.0,-15.0,1,110,32230.0
2011-12-01,288.0,273.0,273.0,293.0,-20.0,6,180,50640.0
2012-01-18,268.0,263.0,263.0,273.0,-10.0,2,180,47740.0
2012-04-01,258.0,258.0,258.0,263.0,-5.0,1,170,43860.0
2012-04-30,253.0,248.0,248.0,258.0,-10.0,4,270,67960.0
2012-05-07,244.0,244.0,244.0,248.0,-4.0,1,20,4880.0
2012-05-20,232.0,232.0,232.0,244.0,-12.0,22,1240,287680.0
2012-05-29,225.0,225.0,225.0,232.0,-7.0,1,1240,279000.0
2012-07-10,214.0,214.0,214.0,225.0,-11.0,1,50,10700.0
2012-07-12,204.0,204.0,204.0,214.0,-10.0,1,50,10200.0
2012-07-16,200.0,200.0,200.0,204.0,-4.0,1,70,14000.0
2012-07-17,196.0,196.0,196.0,200.0,-4.0,3,270,52920.0
2012-07-26,193.0,193.0,193.0,196.0,-3.0,1,20,3860.0
2012-08-12,190.0,190.0,190.0,193.0,-3.0,5,500,95000.0
2012-08-19,181.0,181.0,181.0,190.0,-9.0,11,1320,238920.0
2012-08-26,172.0,172.0,172.0,181.0,-9.0,1,110,18920.0
2012-09-09,169.0,155.0,155.0,172.0,-17.0,6,60,9700.0
2012-09-25,152.0,147.0,147.0,155.0,-8.0,3,30,4480.0
2012-09-26,145.0,143.0,143.0,147.0,-4.0,3,70,10030.0
2012-09-27,141.0,137.0,137.0,143.0,-6.0,3,60,8340.0
2012-10-02,135.0,124.0,124.0,137.0,-13.0,8,200,25460.0
2012-10-03,122.0,112.0,112.0,124.0,-12.0,50,4850,544740.0
2012-10-04,113.0,106.0,111.0,112.0,-1.0,46,4670,510650.0
2012-10-07,113.0,106.0,112.0,111.0,1.0,32,3980,440670.0
2012-10-08,114.0,110.0,114.0,112.0,2.0,24,2710,301430.0
2012-10-09,113.0,111.0,112.0,114.0,-2.0,30,2770,309080.0
2012-10-10,114.0,112.0,112.0,112.0,,5,390,43880.0
2012-10-11,114.0,114.0,114.0,112.0,2.0,1,50,5700.0
2012-10-14,113.0,111.0,111.0,114.0,-3.0,2,2020,224420.0
2012-10-15,118.0,112.0,118.0,111.0,7.0,7,820,94570.0
2012-10-18,120.0,118.0,120.0,118.0,2.0,10,1090,130420.0
2012-10-30,119.0,118.0,119.0,120.0,-1.0,6,780,92360.0
2012-10-31,122.0,120.0,122.0,119.0,3.0,8,760,91740.0
2012-11-01,121.0,119.0,120.0,122.0,-2.0,6,550,65970.0
2012-11-04,122.0,118.0,120.0,120.0,,5,660,79620.0
2012-11-05,124.0,122.0,124.0,120.0,4.0,10,1440,175860.0
2012-11-06,128.0,125.0,128.0,124.0,4.0,7,490,61870.0
2012-11-07,129.0,128.0,128.0,128.0,,3,220,28280.0
2012-11-21,130.0,130.0,130.0,128.0,2.0,14,720,93600.0
2012-11-22,128.0,126.0,126.0,130.0,-4.0,4,470,59760.0
2012-11-25,124.0,116.0,116.0,126.0,-10.0,10,660,77840.0
2012-11-26,118.0,116.0,116.0,116.0,,4,560,64980.0
2012-11-27,117.0,117.0,117.0,116.0,1.0,7,2530,296010.0
2012-11-28,119.0,119.0,119.0,117.0,2.0,4,520,61880.0
2012-11-29,117.0,117.0,117.0,119.0,-2.0,5,750,87750.0
2012-12-03,116.0,116.0,116.0,117.0,-1.0,1,80,9280.0
2012-12-04,118.0,116.0,118.0,116.0,2.0,6,310,36220.0
2012-12-05,118.0,117.0,117.0,118.0,-1.0,12,730,85590.0
2012-12-06,119.0,117.0,118.0,117.0,1.0,7,1180,138920.0
2012-12-09,118.0,116.0,116.0,118.0,-2.0,7,1430,166230.0
2012-12-10,118.0,116.0,116.0,116.0,,4,200,23500.0
2012-12-11,118.0,114.0,118.0,116.0,2.0,4,910,104740.0
2012-12-12,116.0,116.0,116.0,118.0,-2.0,3,150,17400.0
