date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-10-31,445.8,405.3,445.8,,40.5,84,667,293759.1
2021-11-01,490.3,445.8,490.3,445.8,44.5,120,957,466425.9
2021-11-02,539.3,500.0,539.3,490.3,49.0,296,2891,1557835.2
2021-11-03,593.2,550.0,593.2,539.3,53.9,814,7962,4719682.1
2021-11-08,652.5,605.0,652.5,593.2,59.3,2559,28872,18817807.9
2021-11-09,717.7,665.0,717.7,652.5,65.2,25469,369134,257954417.8
2021-11-11,789.4,681.0,772.5,717.7,54.8,10255,124511,93553669.9
2021-11-14,772.5,696.5,705.0,772.5,-67.5,11499,186015,134423732.3
2021-11-15,733.0,691.1,714.0,705.0,9.0,6144,84049,59725214.0
2021-11-16,765.0,700.5,762.0,714.0,46.0,5532,106613,78470416.5
2021-11-17,780.0,747.0,752.0,762.0,-10.0,4184,111965,85758375.1
2021-11-18,752.0,725.0,726.0,752.0,-26.0,3125,79612,58472768.3
2021-11-21,748.6,712.0,712.0,726.0,-14.0,3238,57348,41165888.6
2021-11-22,733.0,701.0,723.0,712.0,11.0,3457,61413,44398345.0
2021-11-23,725.0,705.0,710.0,723.0,-13.0,2426,61860,44138550.0
2021-11-24,725.1,697.0,716.0,710.0,6.0,2399,40398,28644275.0
2021-11-25,730.0,705.0,706.0,716.0,-10.0,1968,36247,25842139.0
2021-11-28,704.0,679.0,682.0,706.0,-24.0,1813,61690,42432079.6
2021-11-29,683.0,655.0,658.0,682.0,-24.0,1796,59294,39655691.4
2021-11-30,678.3,640.0,649.0,658.0,-9.0,1595,42982,27933731.3
2021-12-01,666.6,636.1,649.0,649.0,,1063,24083,15753269.8
2021-12-02,653.0,616.6,620.0,649.0,-29.0,1139,38173,24152942.0
2021-12-05,618.0,592.0,600.0,620.0,-20.0,1517,41265,24760495.9
2021-12-06,649.0,575.0,649.0,600.0,49.0,1599,55590,33512905.5
2021-12-07,673.9,616.2,635.0,649.0,-14.0,1232,59575,38352655.5
2021-12-08,634.0,594.0,595.0,635.0,-40.0,831,31289,18929146.0
2021-12-09,619.0,572.0,581.0,595.0,-14.0,926,44125,25700423.0
2021-12-12,584.6,545.0,545.0,581.0,-36.0,916,39265,21998112.2
2021-12-13,542.0,500.0,513.0,545.0,-32.0,974,38196,19595979.6
2021-12-14,564.0,505.0,563.0,513.0,50.0,373,14615,7901219.0
2021-12-15,600.0,545.0,548.0,563.0,-15.0,842,30603,17373730.2
2021-12-16,570.0,523.0,540.0,548.0,-8.0,674,36059,19324673.7
2021-12-20,545.2,514.0,524.5,540.0,-15.5,646,18596,9764185.6
2021-12-21,540.0,514.1,533.2,524.5,8.7,657,23307,12306574.5
2021-12-22,560.0,522.6,558.9,533.2,25.7,708,25566,14142929.3
2021-12-23,571.5,540.2,551.0,558.9,-7.9,830,41614,23228297.5
