date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-05-15,611.1,554,560.5,599.12,-38.620000000000005,298,53417,29875551.4
2023-05-16,564,551.4,558.8,560.5,-1.7000000000000455,98,14258,7947486.5
2023-05-17,584,560,584,558.8,25.200000000000045,151,19381,11102241.6
2023-05-18,606,573,604.9,584,20.899999999999977,215,41447,24486414.3
2023-05-21,618,600,613.7,604.9,8.800000000000068,163,21127,12896200.9
2023-05-22,629,606,628,613.7,14.299999999999955,114,12030,7429584.2
2023-05-23,665,625,651,628,23,195,28344,18366810.7
2023-05-24,665,647,660,651,9,162,23153,15156811
2023-05-28,669,633,639,660,-21,184,33839,22093619.5
2023-05-30,632.9,608,622,639,-17,193,34278,21165690.4
2023-05-31,640,597.8,606,622,-16,147,49776,30602687.3
2023-06-01,628,594.1,615.2,606,9.200000000000045,124,16560,10080849.6
2023-06-04,650,615.2,641,615.2,25.799999999999955,129,14219,9030157.6
2023-06-05,650,635,635,641,-6,143,17932,11491173.4
2023-06-06,666,624.2,665,635,30,178,29713,19393478
2023-06-07,678,658,658.1,665,-6.899999999999977,154,31512,20951845
2023-06-08,696.9,650,696.9,658.1,38.799999999999955,273,49848,33885291.5
2023-06-11,708.5,694.3,708.5,696.9,11.600000000000023,228,41139,28819649.9
2023-06-12,718,700,704,708.5,-4.5,268,48227,34027181.6
2023-06-13,740,690,728.9,704,24.899999999999977,289,53143,38437238.3
2023-06-14,745,715,720,728.9,-8.899999999999977,231,44792,32914087.7
2023-06-15,745,720,740,720,20,222,26899,19686562.8
2023-06-18,784.9,740,780,740,40,326,54204,41352391.3
2023-06-19,795.6,751,760,780,-20,228,30787,23586425.5
2023-06-20,774,726.3,731.1,760,-28.899999999999977,177,32472,24324098.1
2023-06-21,749.9,731,733,731.1,1.8999999999999773,179,32546,24084132.8
2023-06-22,759.8,735,752,733,19,178,27637,20708648.3
2023-06-25,800,764.9,787.9,752,35.89999999999998,456,72656,57130982
2023-06-26,805,776,776,787.9,-11.899999999999977,241,44642,35150022.7
2023-06-27,786,767,771.9,776,-4.100000000000023,209,29547,22836929
2023-06-28,785,747,765,771.9,-6.899999999999977,185,35448,27312072.3
2023-07-02,790,755,774.9,765,9.899999999999977,253,43506,33694639.2
2023-07-03,776,752,758,774.9,-16.899999999999977,233,67716,51962916.2
2023-07-04,770,746.1,752,758,-6,153,37118,27935125.3
2023-07-05,750,739,739.5,752,-12.5,178,34776,25860157.5
2023-07-06,747.9,726.3,733.2,739.5,-6.2999999999999545,144,31245,22992049.5
2023-07-09,747.8,730,732.1,733.2,-1.1000000000000227,235,51779,38078831.5
2023-07-10,752,733.5,736,732.1,3.8999999999999773,165,35209,26051130.2
2023-07-11,750,727,746.9,736,10.899999999999977,127,32560,24092709.9
2023-07-12,765,743,758,746.9,11.100000000000023,233,47558,35968831.8
2023-07-13,770,741.4,750,758,-8,147,34844,26400449.9
2023-07-16,750,743.3,748,750,-2,85,16740,12497135.5
2023-07-17,770,741,765,748,17,103,20219,15425563.4
2023-07-18,790,771,780,765,15,235,41317,32242437.6
2023-07-19,789.8,767.5,774,780,-6,160,29080,22605433.5
2023-07-20,789,766,768.1,774,-5.899999999999977,113,14725,11335291.6
2023-07-23,782.4,766,770.1,768.1,2,131,21026,16262587.5
2023-07-24,780,762,770,770.1,-0.10000000000002274,143,18102,13927584.9
2023-07-25,782,752,760,770,-10,108,17512,13253690.9
2023-07-26,759.7,746.6,749,760,-11,63,4971,3731590.4
2023-07-27,756,740.1,745,749,-4,170,30389,22785746.6
2023-07-30,759,730,737,745,-8,114,22638,16586313.6
2023-07-31,749,733.5,733.5,737,-3.5,97,12298,9075053.9
2023-08-01,746,700.8,708,733.5,-25.5,93,7828,5628953.2
2023-08-02,719,701,714.9,708,6.899999999999977,100,9203,6519153.6
2023-08-03,736,701,705,714.9,-9.899999999999977,107,14121,10035131.4
2023-08-06,700,680,685,705,-20,126,13925,9593106.6
2023-08-07,692,660,691,685,6,62,5675,3863977
2023-08-08,696,670,683,691,-8,58,6093,4126387.4
2023-08-09,705,670,700,683,17,58,5308,3637938.8
2023-08-10,729,700,724,700,24,117,16859,12082864.7
2023-08-13,740,716,740,724,16,124,16096,11756449.7
2023-08-14,745,735,736,740,-4,110,20202,14925905.2
2023-08-15,743.9,720,725,736,-11,65,11958,8729294.6
2023-08-16,733,715,725,725,0,157,14979,10812860.8
2023-08-17,740,725,731.2,725,6.2000000000000455,112,9598,7030213.7
2023-08-20,736,711,722,731.2,-9.200000000000045,89,14445,10472738.2
2023-08-21,735,710,710,722,-12,74,6388,4565074
2023-08-22,719,701.2,715,710,5,74,11970,8461355.6
2023-08-23,730,711,725,715,10,99,16439,11879813.4
2023-08-24,733,710.2,711,725,-14,77,9868,7114403.2
2023-08-27,710,696.8,704,711,-7,58,5914,4149078.1
2023-08-28,713,701.2,705,704,1,54,5967,4222523
2023-08-29,717.9,707,716,705,11,60,10896,7774552.8
2023-08-30,721,712.1,712.2,716,-3.7999999999999545,55,7304,5238365.6
2023-09-03,705,695.1,705,712.2,-7.2000000000000455,88,14226,9972691.8
2023-09-04,711,696.1,706.9,705,1.8999999999999773,49,4934,3452204
2023-09-05,707.9,695,695,706.9,-11.899999999999977,36,3171,2212280.4
2023-09-07,699.7,687,695,695,0,59,4103,2828215.9
2023-09-10,698.5,685,692.3,695,-2.7000000000000455,48,3720,2576495.6
2023-09-11,716,692.3,708.3,692.3,16,56,5312,3756098.2
2023-09-12,724,702,713,708.3,4.7000000000000455,64,11658,8318291.3
2023-09-13,725.9,707,725,713,12,102,23459,16943292.4
2023-09-17,725,713,713.9,725,-11.100000000000023,74,9724,6962441.4
2023-09-18,722,703.3,715.1,713.9,1.2000000000000455,32,9023,6471591.7
2023-09-19,718,711.3,717.9,715.1,2.7999999999999545,31,1982,1420214.3
2023-09-21,732,723,723,717.9,5.100000000000023,91,19402,14094469.5
2023-09-24,724.9,715,717,723,-6,61,5667,4073603.9
2023-09-25,717,704,714.9,717,-2.1000000000000227,75,12449,8843988.2
2023-09-26,719,707.2,711,714.9,-3.8999999999999773,52,4709,3362443
2023-09-27,721,709.5,709.5,711,-1.5,53,5482,3899104
2023-10-01,714.9,702.3,702.3,709.5,-7.2000000000000455,38,9428,6658213.5
2023-10-02,708,697.1,703.1,702.3,0.8000000000000682,49,12069,8502543.8
2023-10-03,708,699.1,704,703.1,0.8999999999999773,57,4648,3263397.8
2023-10-04,717.9,697,711,704,7,69,12753,9006036.9
2023-10-05,709,703.7,705,711,-6,65,14934,10541390
2023-10-08,704,678,691,705,-14,100,14958,10274734.2
2023-10-09,703.9,676.2,680,691,-11,57,11018,7506345.1
2023-10-10,680,668,680,680,0,68,7162,4804312.8
2023-10-11,691,667,688,680,8,51,8857,6015376.8
2023-10-12,685,670,670,688,-18,97,12919,8763087.5
2023-10-16,674,655,657,670,-13,67,11713,7734868.8
2023-10-17,680,653,656,657,-1,61,7257,4781989
2023-10-18,688,651.1,688,656,32,97,14278,9512768.3
2023-10-19,691,680,688.9,688,0.8999999999999773,50,8551,5843423
2023-10-29,680,668,675,688.9,-13.899999999999977,42,8903,5984912.7
2023-10-30,675,652,675,675,0,45,11435,7659750.5
2023-10-31,666,662.2,662.5,675,-12.5,23,3411,2261919.9
2023-11-01,665,654.1,659,662.5,-3.5,27,4832,3185224.6
2023-11-02,660,651,651,659,-8,58,8482,5542628.5
2023-11-05,653,635.1,639,651,-12,57,13728,8825996.1
2023-11-06,650,631,648,639,9,66,15343,9792768.4
2023-11-07,683.4,642,653.9,648,5.899999999999977,31,3795,2485090.9
2023-11-08,690,643.5,651,653.9,-2.8999999999999773,57,5727,3744794.4
2023-11-09,669.9,640,650,651,-1,64,7234,4672441
2023-11-20,663,650,658,650,8,39,4474,2923871
2023-11-21,653,645,646,658,-12,28,2560,1661175.1
2023-11-22,658.9,645,650,646,4,28,1782,1162508.3
2023-11-23,674.5,641,660,650,10,57,5415,3581336.7
2023-11-26,684.4,665,680,660,20,89,7038,4768361.1
2023-11-27,693.5,670,670,680,-10,75,9373,6392650.2
2023-11-28,685,658,666,670,-4,76,5349,3552831.9
2023-11-29,670,653,664,666,-2,43,6598,4374126
2023-11-30,674,656,661,664,-3,41,5953,3953644.1
2023-12-03,666,658.4,660,661,-1,27,2717,1795846.6
2023-12-04,669,650,665,660,5,42,3067,2026808.8
2023-12-05,668,649.9,660,665,-5,54,6999,4566636.1
2023-12-06,659.9,652,659.8,660,-0.20000000000004547,8,120,78507
2023-12-07,691,656,674,659.8,14.200000000000045,122,19960,13452596.5
2023-12-10,713,687.4,713,674,39,9,1580,1107834
2023-12-11,727.2,696,720,713,7,206,37663,26745266.9
2023-12-12,741,715,740,720,20,201,47626,35040338.9
2023-12-13,745,721.1,729,740,-11,99,18540,13663410.1
2023-12-14,730,696,721,729,-8,64,15660,11262752.7
2023-12-17,730,707,721,721,0,76,10743,7716651.1
2023-12-18,744,722.1,736.9,721,15.899999999999977,168,23435,17149578.8
2023-12-19,750,727,746,736.9,9.100000000000023,157,32192,23888161.3
2023-12-20,754,732,741.9,746,-4.100000000000023,176,34428,25527485.5
2023-12-21,744,718,722,741.9,-19.899999999999977,114,12802,9308727.4
2023-12-24,727.9,708,715,722,-7,112,13227,9477924.3
2023-12-27,725,703.6,717.9,715,2.8999999999999773,119,18247,13025344.2
2023-12-28,729.9,705,718,717.9,0.10000000000002274,90,16561,11915592.7
2024-01-01,734,715.3,716,718,-2,144,20759,15104077.7
2024-01-02,720,700,708.9,716,-7.100000000000023,142,22828,16094059.7
2024-01-03,715,700,711,708.9,2.1000000000000227,72,6981,4938400.4
2024-01-04,725,705.1,716.7,711,5.7000000000000455,72,18579,13245456.1
2024-01-07,727,699.9,708,716.7,-8.700000000000045,95,15483,10919968.5
2024-01-08,716.5,700,703,708,-5,121,20450,14391839.7
2024-01-09,727,703.2,710,703,7,102,17137,12217093
2024-01-10,738,710,718.9,710,8.899999999999977,74,12998,9319912.5
2024-01-11,719,706.3,719,718.9,0.10000000000002274,82,11355,8099839.4
2024-01-14,732,711.5,714,719,-5,82,16113,11589397.1
2024-01-16,725,710,720,714,6,126,20282,14556454.6
2024-01-17,738,705.6,719,720,-1,157,29702,21601815.8
2024-01-18,717,707,716,719,-3,69,7391,5269910.4
2024-01-21,719,702.5,707,716,-9,104,17063,12124500.1
2024-01-22,710,703.2,707.9,707,0.8999999999999773,84,12265,8669200.5
2024-01-23,719,698.2,703,707.9,-4.899999999999977,100,14032,9843744.5
2024-01-24,715,701.1,701.1,703,-1.8999999999999773,44,7352,5169117.4
2024-01-25,702,692,700,701.1,-1.1000000000000227,82,6598,4597464.9
2024-01-28,725,696.2,696.2,700,-3.7999999999999545,37,2055,1449702
2024-01-29,706,693,698.1,696.2,1.8999999999999773,70,8207,5756383
2024-01-30,709,697.2,697.2,698.1,-0.8999999999999773,78,7595,5325076.5
2024-01-31,710,685.1,689,697.2,-8.200000000000045,66,4329,2992152
2024-02-01,690,675.4,686,689,-3,84,11614,7937331.3
2024-02-04,686,677,678,686,-8,57,4990,3386989.2
2024-02-05,691,671,673,678,-5,65,7208,4876382.4
2024-02-06,686.4,673,680,673,7,59,6739,4574589.2
2024-02-07,687.9,679,685,680,5,69,4711,3213513.7
2024-02-08,690,685,689,685,4,21,2175,1496085.5
2024-02-11,700,689,692.5,689,3.5,49,7289,5045648.7
2024-02-12,705.5,691.2,700,692.5,7.5,91,11692,8162805.3
2024-02-13,695,680,680.3,700,-19.700000000000045,74,6361,4361449.4
2024-02-14,692,680,680,680.3,-0.2999999999999545,55,8844,6040574
2024-02-15,685,677.2,680,680,0,45,7267,4941284.8
2024-02-18,683,667,668,680,-12,53,4360,2922088
2024-02-20,675,660,668,668,0,70,13162,8725841.3
2024-02-21,680,657.5,663,668,-5,45,3527,2341499.2
2024-02-22,676.2,655,659,663,-4,54,6781,4490518.1
2024-02-25,661,651,659,659,0,41,3242,2122052.1
2024-02-26,659,646,658,659,-1,44,6477,4213444.9
2024-02-27,650,632.1,649,658,-9,129,14008,9001934.7
2024-02-28,649,642,647,649,-2,27,3418,2203812.8
2024-02-29,655,640,640,647,-7,72,10975,7085177.3
2024-03-03,638,624.3,638,640,-2,52,6086,3837017
2024-03-04,663,650,663,638,25,2,150,97630
2024-03-05,670,643,652.5,663,-10.5,70,7390,4832086.2
2024-03-06,659,652,653,652.5,0.5,35,9349,6122260
2024-03-07,664,656,663.9,653,10.899999999999977,60,7708,5087990.9
2024-03-10,688,666,678,663.9,14.100000000000023,97,16121,10991355.2
2024-03-12,705.3,680.3,705,678,27,120,12046,8378554.8
2024-03-13,710,691.2,703.1,705,-1.8999999999999773,69,7647,5383014.8
2024-03-14,704,690,690.1,703.1,-13,42,5796,4038963.2
2024-03-17,695,684,692.5,690.1,2.3999999999999773,61,7250,5012862
2024-03-18,699,681.3,682,692.5,-10.5,29,1353,932147.9
2024-03-19,694,681,687,682,5,47,4011,2753069.6
2024-03-20,697.9,681,690,687,3,51,5015,3445839.6
2024-03-21,690.1,679,679,690,-11,51,6275,4295072.8
2024-03-25,680,666,671,679,-8,91,8900,5961995.9
2024-03-26,671,665,667.8,671,-3.2000000000000455,28,2349,1563768.6
2024-03-27,670,661.1,662,667.8,-5.7999999999999545,28,6113,4062817.2
2024-03-28,664.6,651.6,655.1,662,-6.899999999999977,40,6833,4509893.4
2024-03-31,664.9,652,653.2,655.1,-1.8999999999999773,55,9828,6446443.4
2024-04-01,662,650,657,653.2,3.7999999999999545,24,4609,3027022
2024-04-02,660,652.1,658,657,1,51,8098,5304983
2024-04-03,670,656.3,665,658,7,69,7611,5030409
2024-04-04,673.1,669,671,665,6,64,10910,7322298.3
2024-04-07,670,662,669,671,-2,45,3502,2334014.5
2024-04-09,675,662.4,667,669,-2,80,12203,8160015.8
2024-04-10,666.5,657.2,661,667,-6,40,5251,3472355.1
2024-04-14,661,650.5,655.5,661,-5.5,35,3549,2322674.5
2024-04-15,666,640,642.1,655.5,-13.399999999999977,53,3899,2520268.4
2024-04-16,645,632.1,639.4,642.1,-2.7000000000000455,67,12293,7818097.7
2024-04-18,635,617.5,634,639.4,-5.399999999999977,51,3727,2338772.5
2024-04-21,631,625,630,634,-4,75,5806,3644554.1
2024-04-22,634,610.6,610.6,630,-19.399999999999977,106,13152,8136013
2024-04-24,622,602,602,610.6,-8.600000000000023,80,7029,4290439.8
2024-04-25,614,605.1,613,602,11,42,6336,3862776.6
2024-04-28,625.2,613,620,613,7,32,3281,2036245.2
2024-04-29,626.9,615.2,625,620,5,41,5011,3114091.1
2024-04-30,663,615.5,652,625,27,72,10879,6977144.1
2024-05-02,652,635.1,644,652,-8,64,9280,5951791.5
2024-05-05,645,639.1,639.1,644,-4.899999999999977,59,8572,5515443
2024-05-06,640,627,630,639.1,-9.100000000000023,47,8552,5397876.6
