date,high,low,close,previous,diff,numtrans,tradedshares,volume
2023-07-17,72.1,72.1,72.1,0,72.1,5,21,1525.1
2023-07-24,73.5,73.5,73.5,72.1,1.4000000000000057,1,10,735
2023-07-27,73.5,73.5,73.5,73.5,0,2,6,436.3
2023-07-30,73.5,73.5,73.5,73.5,0,2,4,289.6
2023-08-03,74.9,74.9,74.9,73.5,1.4000000000000057,1,10,749
2023-08-07,65.56,65.56,65.56,65.56,0,3,10,653
2023-08-08,64.8,64.8,64.8,65.56,-0.7600000000000051,1,10,648
2023-08-10,66,66,66,64.8,1.2000000000000028,1,10,660
2023-08-13,67.3,67.3,67.3,66,1.2999999999999972,1,10,673
2023-08-15,67.3,67.3,67.3,67.3,0,2,392,293318.6
2023-08-20,68.6,67.3,68.6,67.3,1.2999999999999972,2,20,1359
2023-08-24,69.9,69.9,69.9,68.6,1.3000000000000114,1,10,699
2023-08-30,71.2,71.2,71.2,69.9,1.2999999999999972,1,10,712
2023-09-04,72.6,72.6,72.6,71.2,1.3999999999999915,1,10,726
2023-09-05,74,74,74,72.6,1.4000000000000057,1,10,740
2023-09-21,75.4,75.4,75.4,74,1.4000000000000057,9,156,11762.4
2023-09-25,76.9,76.9,76.9,75.4,1.5,1,10,769
2023-09-26,78.4,78.4,78.4,76.9,1.5,1,10,784
2023-10-01,79.9,78.4,79.9,78.4,1.5,3,20,1598
2023-10-03,81.4,79.9,81.4,79.9,1.5,4,15,1213.6
2023-10-05,83,83,83,81.4,1.5999999999999943,1,10,830
2023-10-08,83,83,83,83,0,10,10,819
2023-10-09,84.6,84.6,84.6,83,1.5999999999999943,1,10,846
2023-10-11,86.2,86.2,86.2,84.6,1.6000000000000085,1,10,862
2023-10-12,86.2,86.2,86.2,86.2,0,2,10,857
2023-10-30,87.9,87.9,87.9,86.2,1.7000000000000028,1,10,879
2023-11-01,87.9,87.9,87.9,87.9,0,1,3,261.3
2023-11-02,89.6,89.6,89.6,87.9,1.6999999999999886,1,10,896
2023-11-07,91.3,91.3,91.3,89.6,1.7000000000000028,1,10,913
2023-11-08,93.1,93.1,93.1,91.3,1.7999999999999972,3,20,1880
2023-11-09,96.7,94.9,96.7,93.1,3.6000000000000085,2,195,18523.5
2023-11-20,104.5,98.6,104.5,96.7,7.799999999999997,4,40,4061
2023-11-21,106.5,106.5,106.5,104.5,2,3,20,2145
2023-11-26,110.7,108.6,110.7,106.5,4.200000000000003,4,30,3279
2023-11-29,112.9,112.9,112.9,110.7,2.200000000000003,1,10,1129
2023-12-03,112.9,112.9,112.9,112.9,0,2,10,1110
2023-12-04,122,115.1,122,112.9,9.099999999999994,4,40,4742
2023-12-06,124.4,124.4,124.4,122,2.4000000000000057,1,10,1244
2023-12-07,136.8,126.8,136.8,124.4,12.400000000000006,8,70,9327
2023-12-12,139.5,139.5,139.5,136.8,2.6999999999999886,1,10,1395
2023-12-18,142.2,142.2,142.2,139.5,2.6999999999999886,1,10,1422
2023-12-19,142.2,142.2,142.2,142.2,0,1,174,143318.58
2023-12-20,145,145,145,142.2,2.8000000000000114,1,10,1450
2023-12-21,150.8,147.9,150.8,145,5.800000000000011,2,20,2987
2023-12-24,153.8,153.8,153.8,150.8,3,1,10,1538
2023-12-27,163,156.8,163,153.8,9.199999999999989,3,30,4797
2023-12-28,176.2,163,176.2,163,13.199999999999989,6,50,8507
2024-01-01,183.2,179.7,183.2,176.2,7,2,20,3629
2024-01-02,190.5,186.8,190.5,183.2,7.300000000000011,2,20,3773
2024-01-03,198.1,194.3,198.1,190.5,7.599999999999994,2,20,3924
2024-01-04,214.3,202,214.3,198.1,16.200000000000017,4,40,8324
2024-01-07,231.7,218.5,231.7,214.3,17.399999999999977,4,40,9002
2024-01-08,254.8,236.3,254.8,231.7,23.100000000000023,5,50,12286
2024-01-09,259.8,259.8,259.8,254.8,5,1,10,2598
2024-01-10,270.1,264.9,270.1,259.8,10.300000000000011,2,20,5350
2024-01-11,297.1,275.5,297.1,270.1,27,6,60,17296
2024-01-14,303,303,303,297.1,5.899999999999977,8,46,13980.2
2024-01-16,309,309,309,303,6,1,10,3090
2024-01-17,321.4,315.1,321.4,309,12.399999999999977,2,20,6365
2024-01-18,340.9,327.8,340.9,321.4,19.5,5,40,13371
2024-01-21,374.9,347.7,374.9,340.9,34,8,70,25533
2024-01-22,379.1,371.7,379.1,374.9,4.2000000000000455,2,20,7508
2024-01-23,386.6,386.6,386.6,379.1,7.5,3,20,7665
2024-01-24,410.1,394.3,410.1,386.6,23.5,3,30,12065
2024-01-25,418.3,418.3,418.3,410.1,8.199999999999989,1,10,4183
2024-01-28,443.8,418.3,443.8,418.3,25.5,4,39,16894.4
2024-01-29,480.2,452.6,480.2,443.8,36.39999999999998,4,40,18652
2024-01-30,528.2,489.8,528.2,480.2,48.00000000000006,7,70,36028
2024-01-31,549.4,528.2,549.4,528.2,21.199999999999932,6,47,25536.1
2024-02-01,582.9,560.3,582.9,549.4,33.5,3,30,17147
2024-02-04,630.7,594.5,630.7,582.9,47.80000000000007,4,40,24499
2024-02-05,693.7,643.3,693.7,630.7,63,5,50,33448
2024-02-06,763,707.5,763,693.7,69.29999999999995,7,70,52048
2024-02-07,839.3,762.9,839.3,763,76.29999999999995,11,110,90053
2024-02-08,923.2,839.2,923.2,839.3,83.90000000000009,11,110,99059
2024-02-11,1015.5,941.6,1015.5,923.2,92.29999999999995,19,180,180976
2024-02-12,1117,1035.8,1117,1015.5,101.5,12,100,109531
2024-02-13,1228.7,1139.3,1228.7,1117,111.70000000000005,14,130,157294.2
2024-02-14,1351.5,1253.2,1351.5,1228.7,122.79999999999995,7,60,78658
2024-02-15,1486.6,1378.5,1486.6,1351.5,135.0999999999999,42,420,621721
2024-02-18,1635.2,1515,1635.2,1486.6,148.60000000000014,117,1300,2122794
2024-02-20,1798.7,1667.9,1798.7,1635.2,163.5,794,10084,17840276.2
2024-02-21,1978.5,1800,1978.5,1798.7,179.79999999999995,114,1437,2829931.5
2024-02-22,2176.3,2018,2176.3,1978.5,197.80000000000018,108,1396,3033951.8
2024-02-25,2393.9,1958.7,1958.7,2176.3,-217.60000000000014,471,7241,15475425.4
2024-02-26,1919.6,1762.9,1762.9,1958.7,-195.79999999999995,25,380,674296
2024-02-27,1793,1586.7,1715,1762.9,-47.90000000000009,476,6148,10285198.4
2024-02-28,1726,1614.5,1656.1,1715,-58.90000000000009,142,1802,2994478.9
