date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-06-02,1000.0,1000.0,995.0,,-5.0,11,380,380500.0
2021-06-03,1000.0,998.0,998.0,995.0,3.0,5,205,204630.0
2021-06-06,1000.0,990.0,1000.0,998.0,2.0,7,175,173995.0
2021-06-07,1005.0,990.0,1000.0,1000.0,,10,425,425475.0
2021-06-08,1001.0,995.0,1001.0,1000.0,1.0,15,470,468250.0
2021-06-09,1001.0,995.0,996.0,1001.0,-5.0,9,450,449150.0
2021-06-10,1000.0,995.0,995.0,996.0,-1.0,7,255,253995.0
2021-06-13,1005.0,990.0,1000.0,995.0,5.0,13,590,590345.0
2021-06-14,1008.0,996.0,1008.0,1000.0,8.0,10,260,261730.0
2021-06-15,1005.0,995.0,999.0,1008.0,-9.0,18,925,924825.0
2021-06-16,1001.0,996.0,1001.0,999.0,2.0,4,120,119810.0
2021-06-17,1001.0,1000.0,1000.0,1001.0,-1.0,5,300,300100.0
2021-06-20,1000.0,997.0,1000.0,1000.0,,5,290,289955.0
2021-06-21,1003.0,1001.0,1001.0,1000.0,1.0,2,75,75135.0
2021-06-22,1005.0,1000.0,1002.0,1001.0,1.0,4,140,140380.0
2021-06-23,1002.0,1000.0,1002.0,1002.0,,3,75,75100.0
2021-06-24,1010.0,1000.0,1010.0,1002.0,8.0,10,355,357175.0
2021-06-27,1005.0,1002.0,1005.0,1010.0,-5.0,7,210,210815.0
2021-06-28,1005.0,1005.0,1005.0,1005.0,,3,220,221100.0
2021-06-29,1007.0,1003.0,1007.0,1005.0,2.0,4,100,100500.0
2021-07-01,1005.0,1004.0,1004.0,1007.0,-3.0,2,45,45200.0
2021-07-04,1005.0,1001.0,1005.0,1004.0,1.0,9,230,230810.0
2021-07-05,1004.0,1002.0,1002.0,1005.0,-3.0,8,275,275750.0
2021-07-06,1005.0,1004.0,1004.0,1002.0,2.0,3,80,80350.0
2021-07-07,1005.0,1003.0,1005.0,1004.0,1.0,2,65,65275.0
2021-07-11,1008.0,1005.0,1008.0,1005.0,3.0,7,325,327300.0
2021-07-12,1007.0,1006.0,1006.0,1008.0,-2.0,6,147,147979.0
2021-07-13,1009.0,1004.0,1009.0,1006.0,3.0,2,50,50325.0
2021-07-15,1004.0,1004.0,1004.0,1009.0,-5.0,1,25,25100.0
2021-07-18,995.0,984.3,995.0,1004.0,-9.0,2,95,93722.5
2021-07-19,995.0,995.0,995.0,995.0,,3,450,447750.0
2021-07-20,1000.0,995.0,995.0,995.0,,4,75,74675.0
2021-07-22,996.0,994.0,996.0,995.0,1.0,5,130,129357.0
2021-07-25,995.0,995.0,995.0,996.0,-1.0,4,450,447750.0
2021-07-26,985.0,985.0,985.0,995.0,-10.0,2,270,265950.0
2021-07-27,985.0,981.0,985.0,985.0,,3,180,177180.0
2021-07-28,995.0,984.0,990.0,985.0,5.0,5,235,232400.0
2021-07-29,995.0,985.1,995.0,990.0,5.0,3,75,74308.0
2021-08-01,990.0,990.0,990.0,995.0,-5.0,1,25,24750.0
2021-08-02,985.0,985.0,985.0,990.0,-5.0,4,355,349675.0
2021-08-03,990.0,990.0,990.0,985.0,5.0,2,40,39600.0
2021-08-04,985.6,983.0,985.0,990.0,-5.0,7,320,315041.0
2021-08-05,986.0,986.0,986.0,985.0,1.0,1,10,9860.0
2021-08-08,986.2,985.0,986.2,986.0,0.2,3,55,54208.0
2021-08-09,987.0,986.2,986.2,986.2,,6,95,93737.0
2021-08-10,988.0,986.0,986.1,986.2,-0.1,3,75,74002.5
2021-08-11,988.5,986.1,988.5,986.1,2.4,3,150,148155.0
2021-08-12,988.0,988.0,988.0,988.5,-0.5,2,45,44460.0
2021-08-15,988.0,985.1,985.1,988.0,-2.9,5,330,325337.5
2021-08-16,985.0,981.0,983.2,985.1,-1.9,3,105,103171.0
2021-08-17,983.4,983.2,983.4,983.2,0.2,3,155,152422.0
2021-08-18,985.0,980.0,985.0,983.4,1.6,6,235,230951.0
2021-08-19,983.0,981.0,983.0,985.0,-2.0,6,185,181620.0
2021-08-24,983.0,983.0,983.0,983.0,,1,25,24575.0
2021-08-25,980.0,980.0,980.0,983.0,-3.0,1,50,49000.0
2021-08-26,980.0,980.0,980.0,980.0,,2,50,49000.0
2021-08-29,983.0,980.0,983.0,980.0,3.0,5,255,250550.0
2021-08-31,990.0,980.0,990.0,983.0,7.0,6,170,167875.0
2021-09-01,983.0,983.0,983.0,990.0,-7.0,1,30,29490.0
2021-09-05,970.0,970.0,970.0,983.0,-13.0,1,30,29100.0
2021-09-06,980.0,975.2,977.0,970.0,7.0,3,105,102681.0
2021-09-08,981.0,981.0,981.0,977.0,4.0,1,25,24525.0
2021-09-09,989.0,970.0,989.0,981.0,8.0,2,55,53825.0
2021-09-12,985.0,985.0,985.0,989.0,-4.0,1,25,24625.0
2021-09-13,985.0,973.0,973.0,985.0,-12.0,3,70,68600.0
2021-09-14,983.9,983.9,983.9,973.0,10.9,1,300,295170.0
2021-09-15,971.0,971.0,971.0,983.9,-12.9,1,25,24275.0
2021-09-16,980.0,975.0,975.0,971.0,4.0,2,55,53775.0
2021-09-21,965.0,965.0,965.0,975.0,-10.0,1,25,24125.0
2021-09-22,967.0,967.0,967.0,965.0,2.0,1,30,29010.0
2021-09-26,970.0,970.0,970.0,967.0,3.0,2,50,48500.0
2021-09-28,970.0,970.0,970.0,970.0,,1,25,24250.0
2021-09-29,979.0,960.0,979.0,970.0,9.0,2,60,57790.0
2021-10-03,960.1,960.0,960.0,979.0,-19.0,5,145,139204.5
2021-10-04,958.2,958.2,958.2,960.0,-1.8,1,15,14373.0
2021-10-21,954.0,954.0,954.0,958.2,-4.2,1,25,23850.0
2021-10-24,953.0,948.0,953.0,954.0,-1.0,2,50,47525.0
2021-10-25,947.0,947.0,947.0,953.0,-6.0,1,25,23675.0
2021-10-26,949.0,949.0,949.0,947.0,2.0,2,50,47450.0
2021-10-31,949.1,949.1,949.1,949.0,0.1,1,30,28473.0
2021-11-01,949.1,949.1,949.1,949.1,,1,100,94910.0
2021-11-08,948.0,948.0,948.0,949.1,-1.1,1,10,9480.0
2021-11-14,950.1,948.0,950.0,948.0,2.0,5,225,213452.5
2021-11-15,966.9,960.0,960.0,950.0,10.0,3,65,62469.0
2021-11-18,950.0,950.0,950.0,960.0,-10.0,1,50,47500.0
2021-11-23,948.0,948.0,948.0,950.0,-2.0,1,30,28440.0
2021-11-24,963.0,963.0,963.0,948.0,15.0,2,20,19260.0
2021-11-25,950.0,950.0,950.0,963.0,-13.0,1,30,28500.0
2021-11-29,945.1,945.1,945.1,950.0,-4.9,1,25,23627.5
2021-12-02,945.0,945.0,945.0,945.1,-0.1,2,55,51975.0
2021-12-05,945.0,942.1,942.1,945.0,-2.9,2,50,47177.5
2021-12-12,950.0,950.0,950.0,942.1,7.9,1,25,23750.0
2021-12-13,950.0,950.0,950.0,950.0,,2,45,42750.0
2021-12-20,950.0,950.0,950.0,950.0,,1,25,23750.0
2021-12-23,950.0,950.0,950.0,950.0,,1,200,190000.0
2021-12-26,969.0,969.0,969.0,950.0,19.0,1,50,48450.0
2021-12-29,969.0,950.0,950.0,969.0,-19.0,2,50,47975.0
2022-01-02,969.0,950.0,950.0,950.0,,3,100,96325.0
2022-01-03,969.0,969.0,969.0,950.0,19.0,1,50,48450.0
2022-01-04,975.0,975.0,975.0,969.0,6.0,1,50,48750.0
2022-01-05,975.0,975.0,975.0,975.0,,4,300,292500.0
