date,high,low,close,previous,diff,numtrans,tradedshares,volume
2022-11-28,941.2,920,922.4,960.4,-38,4,150,139240
2022-11-29,915,897.1,900,922.4,-22.399999999999977,5,955,859732.5
2022-11-30,900,895.2,896,900,-4,4,150,134480
2022-12-01,891,891,891,896,-5,1,25,22275
2022-12-05,893,893,893,891,2,1,10,8930
2022-12-06,900,897,897.1,893,4.100000000000023,6,115,103327.5
2022-12-07,896,895,896,897.1,-1.1000000000000227,3,95,85049.5
2022-12-11,900,900,900,896,4,2,75,67500
2022-12-12,888,888,888,900,-12,1,25,22200
2022-12-13,895.1,895.1,895.1,888,7.100000000000023,1,25,22377.5
2022-12-14,900,892,900,895.1,4.899999999999977,4,550,494800
2022-12-18,887,887,887,900,-13,1,25,22175
2022-12-20,890.2,886.3,890.1,887,3.1000000000000227,3,37,32897.2
2022-12-21,902,900,902,890.1,11.899999999999977,2,500,450800
2022-12-26,903,903,903,902,1,1,25,22575
2022-12-28,925,910,925,903,22,2,30,27600
2023-01-05,910,900,900,925,-25,4,100,90419
2023-01-08,892,892,892,900,-8,1,25,22300
2023-01-09,910,909.8,910,892,18,4,110,100098
2023-01-17,891.8,891.8,891.8,910,-18.200000000000045,1,10,8918
2023-01-23,880.1,880,880,891.8,-11.799999999999955,3,400,352020
2023-01-24,895,881,895,880,15,3,325,287950
2023-01-25,880.1,880,880,895,-15,3,553,486645.3
2023-01-29,880.1,880.1,880.1,880,0.10000000000002274,1,25,22002.5
2023-01-30,880,880,880,880.1,-0.10000000000002274,1,200,176000
2023-02-01,890,872.2,885,880,5,4,163,143793
2023-02-07,872,870.1,871,885,-14,4,70,60935
2023-02-12,870.2,870.2,870.2,871,-0.7999999999999545,1,25,21755
2023-02-15,874.1,874.1,874.1,870.2,3.8999999999999773,1,25,21852.5
2023-02-20,870.2,870.2,870.2,874.1,-3.8999999999999773,1,25,21755
2023-02-22,872,865,865,870.2,-5.2000000000000455,6,425,369973.3
2023-02-23,860.3,860.2,860.2,865,-4.7999999999999545,2,50,43012.7
2023-02-26,865,865,865,860.2,4.7999999999999545,1,25,21625
2023-02-27,868,851,860,865,-5,7,250,215153.2
2023-03-07,861,861,861,860,1,3,100,86100
2023-03-14,895,878.2,895,861,34,3,110,96770
2023-03-16,909,900,909,895,14,11,545,494120
2023-03-19,910,895,910,909,1,2,70,63325
2023-03-20,920,910,920,910,10,4,250,228950
2023-03-23,915,915,915,920,-5,2,110,100650
2023-03-27,918,905,918,915,3,6,450,409900
2023-03-28,915,915,915,918,-3,1,25,22875
2023-03-29,900,900,900,915,-15,1,50,45000
2023-03-30,918,918,918,900,18,1,150,137700
2023-04-03,918,918,918,918,0,1,100,91800
2023-04-04,907,907,907,918,-11,1,10,9070
2023-04-05,915.1,915.1,915.1,907,8.100000000000023,1,25,22877.5
2023-04-06,930,930,930,915.1,14.899999999999977,1,15,13950
2023-04-09,920,920,920,930,-10,1,14,12880
2023-04-11,920,920,920,920,0,1,50,46000
2023-04-12,938.4,936.5,938.4,920,18.399999999999977,3,60,56256.5
2023-04-13,945,945,945,938.4,6.600000000000023,1,100,94500
2023-04-17,955,950,955,945,10,3,150,143000
2023-04-18,970,955,970,955,15,2,60,57450
