date,high,low,close,previous,diff,numtrans,tradedshares,volume
2021-06-02,1000,1000,1000,,,6,155,155325
2021-06-03,998,993,996,1000,-4,6,570,567685
2021-06-06,995,990,993,996,-3,14,520,515685
2021-06-07,1000,995,995,993,2,11,315,313600
2021-06-08,996,990,995,995,,7,625,622075
2021-06-09,995,991,995,995,,7,325,323250
2021-06-10,1002,992,992,995,-3,5,85,84510
2021-06-13,996,993,995,992,3,6,250,248825
2021-06-14,997,995,996,995,1,5,180,179255
2021-06-15,998,995,996,996,,4,85,84685
2021-06-16,996,996,996,996,,1,50,49800
2021-06-17,1001,998,998,996,2,4,90,89915
2021-06-20,1003,998,1000,998,2,13,385,385260
2021-06-21,1000,1000,1000,1000,,3,70,70000
2021-06-22,1000,1000,1000,1000,,2,45,45000
2021-06-23,1000,996,1000,1000,,2,35,34960
2021-06-24,1020,1004,1010,1000,10,4,120,121300
2021-06-27,1005,1003,1005,1010,-5,3,75,75275
2021-06-28,1005,1004,1004,1005,-1,4,150,150700
2021-06-29,1005,1004,1004,1004,,4,100,100450
2021-06-30,1004,1003,1004,1004,,4,125,125475
2021-07-01,1004,1000,1000,1004,-4,5,165,165370
2021-07-04,1005,1001,1002,1000,2,3,100,100250
2021-07-05,1002,1002,1002,1002,,1,25,25050
2021-07-06,1020,1001,1003,1002,1,4,110,110695
2021-07-11,1006,1002,1006,1003,3,2,50,50200
2021-07-12,1006,1004,1005,1006,-1,5,280,281445
2021-07-13,1007,1007,1007,1005,2,1,25,25175
2021-07-14,1007,1001,1001,1007,-6,2,65,65215
2021-07-18,981,981,981,1001,-20,1,125,122625
2021-07-25,989,985,989,981,8,2,35,34575
2021-07-26,993,985,985,989,-4,6,665,656450
2021-07-27,985,985,985,985,,1,25,24625
2021-07-29,978.5,978.5,978.5,985,-6.5,1,10,9785
2021-08-01,995,980,995,978.5,16.5,2,50,49300
2021-08-02,985,985,985,995,-10,1,25,24625
2021-08-03,1003,985,985,985,,4,85,84645
2021-08-04,981.6,981.3,981.3,985,-3.7,3,240,235537
2021-08-05,985,985,985,981.3,3.7,1,60,59100
2021-08-08,981.1,981.1,981.1,985,-3.9,1,25,24527.5
2021-08-09,982.5,982.5,982.5,981.1,1.4,1,25,24562.5
2021-08-10,984.1,983.1,984.1,982.5,1.6,3,75,73780
2021-08-11,980,980,980,984.1,-4.1,1,25,24500
2021-08-12,985.2,981,985.2,980,5.2,2,55,54060
2021-08-15,985.6,985.4,985.6,985.2,0.4,2,85,83771
2021-08-16,986,982.3,986,985.6,0.4,3,50,49207.5
2021-08-18,985,985,985,986,-1,2,75,73875
2021-08-24,981,980,981,985,-4,2,50,49025
2021-08-25,980,980,980,981,-1,1,25,24500
2021-08-26,990.4,980,981,980,1,3,125,122619
2021-08-29,982.1,981,982.1,981,1.1,7,250,245485
2021-08-31,985,981,985,982.1,2.9,2,100,98300
2021-09-01,985,985,985,985,,2,140,137900
2021-09-02,979,979,979,985,-6,1,100,97900
2021-09-06,980,980,980,979,1,1,25,24500
2021-09-08,970.1,970.1,970.1,980,-9.9,1,25,24252.5
2021-09-09,975,971,971,970.1,0.9,2,50,48650
2021-09-12,975,970,975,971,4,2,50,48625
2021-09-13,975,974,974,975,-1,3,75,73100
2021-09-14,975,975,975,974,1,1,30,29250
2021-09-21,965,965,965,975,-10,1,25,24125
2021-09-26,975,975,975,965,10,2,50,48750
2021-09-27,972,970,972,975,-3,3,60,58270
2021-09-30,963,960,963,972,-9,2,60,57690
2021-10-03,961,960.1,960.1,963,-2.9,4,125,120080
2021-10-04,960,960,960,960.1,-0.1,1,50,48000
2021-10-10,957,957,957,960,-3,1,50,47850
2021-10-17,956,956,956,957,-1,1,25,23900
2021-10-20,956,956,956,956,,1,25,23900
2021-10-26,951,951,951,956,-5,1,25,23775
2021-10-28,950,948.5,948.5,951,-2.5,2,50,47462.5
2021-10-31,950.2,950.2,950.2,948.5,1.7,1,30,28506
2021-11-03,956,950.2,956,950.2,5.8,4,100,95255
2021-11-08,951.2,951.2,951.2,956,-4.8,1,25,23780
2021-11-18,948.1,948.1,948.1,951.2,-3.1,1,25,23702.5
2021-11-28,948,947,947.5,948.1,-0.6,3,75,71062.5
2021-12-07,947.5,947.5,947.5,947.5,,1,150,142125
2021-12-13,947,941.1,947,947.5,-0.5,2,55,51937.5
2021-12-16,960.6,960.6,960.6,947,13.6,2,50,48030
2022-01-06,942,942,942,960.6,-18.6,1,30,28260
2022-01-11,960.8,960.8,960.8,942,18.8,1,25,24020
2022-01-24,950,940,940,960.8,-20.8,2,300,284000
2022-01-25,925,925,925,940,-15,1,50,46250
2022-01-26,910,910,910,925,-15,1,25,22750
2022-02-08,895,895,895,910,-15,1,50,44750
2022-02-13,877.6,877.5,877.5,895,-17.5,2,50,43877.5
2022-02-15,872.3,872.3,872.3,877.5,-5.2,1,25,21807.5
2022-02-16,889.7,889.7,889.7,872.3,17.4,1,75,66727.5
2022-04-12,888.9,888.9,888.9,889.7,-0.8,1,25,22222.5
2022-04-17,890,890,890,888.9,1.1,1,25,22250
2022-04-19,872.2,872.2,872.2,890,-17.8,1,75,65415
2022-04-20,889.5,889.4,889.5,872.2,17.3,2,50,44472.5
2022-04-21,871.8,871.8,871.8,889.5,-17.7,1,25,21795
